sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780658857424878938,1780658858446793340,1780658858446822431,1780658857425595804,1021914402,-1021226627,-1021570514,343887,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021524869,-1021525207,-1021525095,-1021524869,5849.108921,681,175311,177283,173596,176191,183561,175311,0,ok
2,1780658857425665523,1780658858447445405,1780658858447458415,1780658857426149253,1021779882,-1021309162,-1021544522,235360,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021524869,-1021525207,-1021525095,-1021524869,5849.108921,681,175311,177283,173596,176191,183561,175311,0,ok
3,1780658857426172963,1780658858447885427,1780658858447896007,1780658857426587235,1021712464,-1021308772,-1021510618,201846,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021524869,-1021525207,-1021525095,-1021524869,5849.108921,681,175311,177283,173596,176191,183561,175311,0,ok
4,1780658857426610784,1780658858448329090,1780658858448339310,1780658857427029646,1021718306,-1021309664,-1021513985,204321,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021524869,-1021525207,-1021525095,-1021524869,5849.108921,681,175311,177283,173596,176191,183561,175311,0,ok
5,1780658857427053185,1780658858448766602,1780658858448776742,1780658857427448208,1021713417,-1021328534,-1021520975,192441,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021524869,-1021525207,-1021525095,-1021524869,5849.108921,681,175311,177283,173596,176191,183561,175311,0,ok
6,1780658857427462387,1780658858449175845,1780658858449186365,1780658857427842790,1021713458,-1021343575,-1021528516,184941,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021524869,-1021525207,-1021525095,-1021524869,5849.108921,681,175311,177283,173596,176191,183561,175311,0,ok
7,1780658857427856099,1780658858449563937,1780658858449574557,1780658857428235852,1021707838,-1021338705,-1021523271,184566,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021524869,-1021525207,-1021525095,-1021524869,5849.108921,681,175311,177283,173596,176191,183561,175311,0,ok
8,1780658857428247842,1780658858449961649,1780658858449971899,1780658857428627415,1021713807,-1021344484,-1021529145,184661,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021524869,-1021525207,-1021525095,-1021524869,5849.108921,681,175311,177283,173596,176191,183561,175311,0,ok
9,1780658857428639625,1780658858450355901,1780658858450368011,1780658857429025177,1021716276,-1021342834,-1021529555,186721,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021524869,-1021525207,-1021525095,-1021524869,5849.108921,681,175311,177283,173596,176191,183561,175311,0,ok
10,1780658857429037227,1780658858450770694,1780658858450773444,1780658857429427099,1021733467,-1021346345,-1021539906,193561,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021524869,-1021525207,-1021525095,-1021524869,5849.108921,681,175311,177283,173596,176191,183561,175311,0,ok
11,1780658857429438649,1780658858451165996,1780658858451176176,1780658857429832011,1021727347,-1021344165,-1021535756,191591,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021524869,-1021525207,-1021525095,-1021524869,5849.108921,681,175311,177283,173596,176191,183561,175311,0,ok
12,1780658857429845361,1780658858451565949,1780658858451576159,1780658857430229433,1021720588,-1021346726,-1021533657,186931,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021524869,-1021525207,-1021525095,-1021524869,5849.108921,681,175311,177283,173596,176191,183561,175311,0,ok
13,1780658857430241623,1780658858451947671,1780658858451958111,1780658857430612816,1021706048,-1021345295,-1021525671,180376,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021524869,-1021525207,-1021525095,-1021524869,5849.108921,681,175311,177283,173596,176191,183561,175311,0,ok
14,1780658857430625635,1780658858452330493,1780658858452340563,1780658857430993358,1021704858,-1021347205,-1021526031,178826,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1021524869,-1021525207,-1021525095,-1021524869,5849.108921,681,175311,177283,173596,176191,183561,175311,0,ok
15,1780658857431005178,1780658858452708065,1780658858452718115,1780658857431369672,1021702887,-1021348443,-1021525665,177222,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1021524869,-1021525207,-1021525095,-1021524869,5849.108921,681,175311,177283,173596,176191,183561,175311,0,ok
