count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,7156750,0,7156750,7156750,-1021524869,175311
52,7156050,0,7156050,7156050,-1021524869,175311
53,7133731,0,7133731,7133731,-1021524869,175311
54,7132491,0,7132491,7132491,-1021524869,175311
55,7131681,0,7131681,7131681,-1021524869,175311
56,7130991,0,7130991,7130991,-1021524869,175311
57,7130441,0,7130441,7130441,-1021524869,175311
58,7129411,0,7129411,7129411,-1021524869,175311
59,7128781,0,7128781,7128781,-1021524869,175311
60,7127431,0,7127431,7127431,-1021524869,175311
61,7126741,0,7126741,7126741,-1021524869,175311
62,7126221,0,7126221,7126221,-1021524869,175311
63,7125671,0,7125671,7125671,-1021524869,175311
64,7125031,0,7125031,7125031,-1021524869,175311
65,7124061,0,7124061,7124061,-1021524869,175311
66,7123331,0,7123331,7123331,-1021524869,175311
67,7122781,0,7122781,7122781,-1021524869,175311
68,7121381,0,7121381,7121381,-1021524869,175311
69,7120491,0,7120491,7120491,-1021524869,175311
70,7119951,0,7119951,7119951,-1021524869,175311
71,7119411,0,7119411,7119411,-1021524869,175311
72,7118671,0,7118671,7118671,-1021524869,175311
73,7117992,0,7117992,7117992,-1021524869,175311
74,7117152,0,7117152,7117152,-1021524869,175311
75,7116302,0,7116302,7116302,-1021524869,175311
76,7115032,0,7115032,7115032,-1021524869,175311
77,7113232,0,7113232,7113232,-1021524869,175311
78,7112712,0,7112712,7112712,-1021524869,175311
79,7112162,0,7112162,7112162,-1021524869,175311
80,7111852,0,7111852,7111852,-1021524869,175311
81,7111472,0,7111472,7111472,-1021524869,175311
82,7110942,0,7110942,7110942,-1021524869,175311
83,7110412,0,7110412,7110412,-1021524869,175311
84,7109262,0,7109262,7109262,-1021524869,175311
85,7107832,0,7107832,7107832,-1021524869,175311
86,7107522,0,7107522,7107522,-1021524869,175311
87,7107002,0,7107002,7107002,-1021524869,175311
88,7106472,0,7106472,7106472,-1021524869,175311
89,7105832,0,7105832,7105832,-1021524869,175311
90,7142802,0,7142802,7142802,-1021524869,175311
91,7142542,0,7142542,7142542,-1021524869,175311
92,7141522,0,7141522,7141522,-1021524869,175311
93,7134752,0,7134752,7134752,-1021524869,175311
94,7134192,0,7134192,7134192,-1021524869,175311
95,7133602,0,7133602,7133602,-1021524869,175311
96,7133012,0,7133012,7133012,-1021524869,175311
97,7132412,0,7132412,7132412,-1021524869,175311
98,7131872,0,7131872,7131872,-1021524869,175311
99,7131302,0,7131302,7131302,-1021524869,175311
100,7130683,0,7130683,7130683,-1021524869,175311
101,7129903,0,7129903,7129903,-1021524869,175311
102,7129363,0,7129363,7129363,-1021524869,175311
103,7128613,0,7128613,7128613,-1021524869,175311
104,7128073,0,7128073,7128073,-1021524869,175311
105,7127523,0,7127523,7127523,-1021524869,175311
106,7126963,0,7126963,7126963,-1021524869,175311
107,7126453,0,7126453,7126453,-1021524869,175311
108,7125903,0,7125903,7125903,-1021524869,175311
109,7125333,0,7125333,7125333,-1021524869,175311
110,7124813,0,7124813,7124813,-1021524869,175311
111,7124263,0,7124263,7124263,-1021524869,175311
112,7123713,0,7123713,7123713,-1021524869,175311
113,7123163,0,7123163,7123163,-1021524869,175311
114,7122623,0,7122623,7122623,-1021524869,175311
115,7122103,0,7122103,7122103,-1021524869,175311
116,7121573,0,7121573,7121573,-1021524869,175311
117,7120103,0,7120103,7120103,-1021524869,175311
118,7119603,0,7119603,7119603,-1021524869,175311
119,7119083,0,7119083,7119083,-1021524869,175311
120,7118603,0,7118603,7118603,-1021524869,175311
121,7118063,0,7118063,7118063,-1021524869,175311
122,7117513,0,7117513,7117513,-1021524869,175311
123,7116993,0,7116993,7116993,-1021524869,175311
124,7115843,0,7115843,7115843,-1021524869,175311
125,7114573,0,7114573,7114573,-1021524869,175311
126,7114033,0,7114033,7114033,-1021524869,175311
127,7113513,0,7113513,7113513,-1021524869,175311
128,7112973,0,7112973,7112973,-1021524869,175311
129,7112573,0,7112573,7112573,-1021524869,175311
130,7112053,0,7112053,7112053,-1021524869,175311
131,7111663,0,7111663,7111663,-1021524869,175311
132,7110573,0,7110573,7110573,-1021524869,175311
133,7109244,0,7109244,7109244,-1021524869,175311
134,7108804,0,7108804,7108804,-1021524869,175311
135,7108384,0,7108384,7108384,-1021524869,175311
136,7107994,0,7107994,7107994,-1021524869,175311
137,7107434,0,7107434,7107434,-1021524869,175311
138,7106904,0,7106904,7106904,-1021524869,175311
139,7106414,0,7106414,7106414,-1021524869,175311
140,7105274,0,7105274,7105274,-1021524869,175311
141,7104064,0,7104064,7104064,-1021524869,175311
142,7103604,0,7103604,7103604,-1021524869,175311
143,7103124,0,7103124,7103124,-1021524869,175311
144,7102604,0,7102604,7102604,-1021524869,175311
145,7102074,0,7102074,7102074,-1021524869,175311
146,7101534,0,7101534,7101534,-1021524869,175311
147,7101024,0,7101024,7101024,-1021524869,175311
148,7100064,0,7100064,7100064,-1021524869,175311
149,7098704,0,7098704,7098704,-1021524869,175311
150,7098174,0,7098174,7098174,-1021524869,175311
151,7097634,0,7097634,7097634,-1021524869,175311
152,7097094,0,7097094,7097094,-1021524869,175311
153,7096594,0,7096594,7096594,-1021524869,175311
154,7095934,0,7095934,7095934,-1021524869,175311
155,7094694,0,7094694,7094694,-1021524869,175311
156,7093714,0,7093714,7093714,-1021524869,175311
157,7092214,0,7092214,7092214,-1021524869,175311
158,7091934,0,7091934,7091934,-1021524869,175311
159,7091694,0,7091694,7091694,-1021524869,175311
160,7091464,0,7091464,7091464,-1021524869,175311
161,7091264,0,7091264,7091264,-1021524869,175311
162,7091064,0,7091064,7091064,-1021524869,175311
163,7090794,0,7090794,7090794,-1021524869,175311
164,7089764,0,7089764,7089764,-1021524869,175311
165,7088794,0,7088794,7088794,-1021524869,175311
166,7088605,0,7088605,7088605,-1021524869,175311
167,7088305,0,7088305,7088305,-1021524869,175311
168,7088045,0,7088045,7088045,-1021524869,175311
169,7087765,0,7087765,7087765,-1021524869,175311
170,7087475,0,7087475,7087475,-1021524869,175311
171,7087195,0,7087195,7087195,-1021524869,175311
1287,899865,0,899865,899865,-1021524869,175311
1288,897855,0,897855,897855,-1021524869,175311
1289,896205,0,896205,896205,-1021524869,175311
1290,893986,0,893986,893986,-1021524869,175311
1291,892217,0,892217,892217,-1021524869,175311
1292,889947,0,889947,889947,-1021524869,175311
1293,887417,0,887417,887417,-1021524869,175311
1294,885747,0,885747,885747,-1021524869,175311
1295,884277,0,884277,884277,-1021524869,175311
1296,881617,0,881617,881617,-1021524869,175311
1297,880687,0,880687,880687,-1021524869,175311
1298,879957,0,879957,879957,-1021524869,175311
