sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780486165721099153,1780486166573753340,1780486166573754210,1780486165721946786,852654187,-851807424,-852230806,423381,-852163045,236709
2,1780486165721958526,1780486166574390463,1780486166574391153,1780486165722498965,852431937,-851892188,-852162063,269874,-852163045,236709
3,1780486165722513825,1780486166574898707,1780486166574898947,1780486165723005995,852384882,-851892952,-852138917,245965,-852163045,236709
4,1780486165723021305,1780486166575405599,1780486166575405829,1780486165723447737,852384294,-851958092,-852171193,213101,-852163045,236709
5,1780486165723463487,1780486166575856602,1780486166575857002,1780486165723945798,852393115,-851911204,-852152160,240955,-852163045,236709
6,1780486165723960917,1780486166576364535,1780486166576364705,1780486165724459147,852403618,-851905558,-852154588,249030,-852163045,236709
7,1780486165724468917,1780486166576874337,1780486166576874597,1780486165724970427,852405420,-851904170,-852154795,250625,-852163045,236709
8,1780486165724978567,1780486166577381450,1780486166577381670,1780486165725399529,852402883,-851982141,-852192512,210371,-852163045,236709
9,1780486165725408768,1780486166577807562,1780486166577807792,1780486165725887999,852398794,-851919793,-852159294,239500,-852163045,236709
10,1780486165725896129,1780486166578298946,1780486166578299036,1780486165726397130,852402817,-851901906,-852152362,250455,-852163045,236709
11,1780486165726405410,1780486166578805029,1780486166578805139,1780486165726903200,852399619,-851901939,-852150779,248840,-852163045,236709
12,1780486165726912449,1780486166579317222,1780486166579317512,1780486165727338191,852404773,-851979321,-852192047,212726,-852163045,236709
13,1780486165727346421,1780486166579745324,1780486166579745464,1780486165727823141,852398903,-851922323,-852160613,238290,-852163045,236709
14,1780486165727830811,1780486166580321107,1780486166580321297,1780486165728414050,852490296,-851907247,-852198772,291524,-852163045,236709
15,1780486165728421949,1780486166580817300,1780486166580817390,1780486165728912580,852395351,-851904810,-852150081,245270,-852163045,236709
16,1780486165728920500,1780486166581318213,1780486166581318303,1780486165729336082,852397713,-851982221,-852189967,207746,-852163045,236709
17,1780486165729345042,1780486166581754076,1780486166581754236,1780486165729829782,852409034,-851924454,-852166744,242290,-852163045,236709
18,1780486165729837912,1780486166582244069,1780486166582244229,1780486165730335652,852406157,-851908577,-852157367,248790,-852163045,236709
19,1780486165730343652,1780486166582748291,1780486166582748451,1780486165730844132,852404639,-851904319,-852154479,250160,-852163045,236709
20,1780486165730853402,1780486166583265994,1780486166583266104,1780486165731285274,852412592,-851980830,-852196711,215881,-852163045,236709
21,1780486165731293803,1780486166583702386,1780486166583702486,1780486165731779434,852408583,-851923052,-852165818,242765,-852163045,236709
22,1780486165731787404,1780486166584185019,1780486166584185119,1780486165732288705,852397615,-851896414,-852147015,250600,-852163045,236709
