count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,852068284,0,852068284,0,0
52,852066095,0,852066095,0,0
53,852065188,0,852065188,0,0
54,852065469,0,852065469,0,0
55,852065371,0,852065371,0,0
56,852064233,0,852064233,0,0
57,852065404,0,852065404,0,0
58,852065777,0,852065777,0,0
59,852064488,0,852064488,0,0
60,852064960,0,852064960,0,0
61,852072382,0,852072382,0,0
62,852064934,0,852064934,0,0
63,852065536,0,852065536,0,0
64,852065107,0,852065107,0,0
65,852065089,0,852065089,0,0
66,852064771,0,852064771,0,0
67,852069643,0,852069643,0,0
68,852065025,0,852065025,0,0
69,852064947,0,852064947,0,0
70,852066248,0,852066248,0,0
71,852064830,0,852064830,0,0
72,852064642,0,852064642,0,0
73,852064824,0,852064824,0,0
74,852064916,0,852064916,0,0
75,852065807,0,852065807,0,0
76,852065119,0,852065119,0,0
77,852065430,0,852065430,0,0
78,852067622,0,852067622,0,0
79,852064494,0,852064494,0,0
80,852065935,0,852065935,0,0
81,852064467,0,852064467,0,0
82,852064699,0,852064699,0,0
83,852067320,0,852067320,0,0
84,852178393,0,852178393,0,0
85,852107574,0,852107574,0,0
86,852078166,0,852078166,0,0
87,852063688,0,852063688,0,0
88,852062979,0,852062979,0,0
89,852064443,0,852064443,0,0
90,852063214,0,852063214,0,0
91,852064227,0,852064227,0,0
92,852062568,0,852062568,0,0
93,852063359,0,852063359,0,0
94,852066732,0,852066732,0,0
95,852062993,0,852062993,0,0
96,852063816,0,852063816,0,0
97,852063217,0,852063217,0,0
98,852063328,0,852063328,0,0
99,852065301,0,852065301,0,0
100,852063072,0,852063072,0,0
101,852062854,0,852062854,0,0
102,852064106,0,852064106,0,0
103,852063277,0,852063277,0,0
104,852062930,0,852062930,0,0
105,852063571,0,852063571,0,0
106,852067843,0,852067843,0,0
107,852063015,0,852063015,0,0
108,852063077,0,852063077,0,0
109,852063799,0,852063799,0,0
110,852062540,0,852062540,0,0
111,852063402,0,852063402,0,0
112,852063594,0,852063594,0,0
113,852062966,0,852062966,0,0
114,852064118,0,852064118,0,0
115,852066139,0,852066139,0,0
116,852066011,0,852066011,0,0
