sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780659899970864406,1780659900993429170,1780659900993508541,1780659899971647420,1022564764,-1021861121,-1022212943,351821,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
2,1780659899971766808,1780659900994201054,1780659900994269245,1780659899972363586,1022434246,-1021905659,-1022169953,264293,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
3,1780659899972448224,1780659900994826308,1780659900994849718,1780659899972903315,1022378084,-1021946403,-1022162244,215840,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
4,1780659899972944174,1780659900995311550,1780659900995332561,1780659899973384156,1022367376,-1021948405,-1022157891,209485,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
5,1780659899973424986,1780659900995786193,1780659900995805353,1780659899973842968,1022361207,-1021962385,-1022161796,199411,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
6,1780659899973884227,1780659900996247087,1780659900996267167,1780659899974305189,1022362860,-1021961978,-1022162419,200441,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
7,1780659899974346248,1780659900996718599,1780659900996728769,1780659899974764829,1022372351,-1021963940,-1022168146,204205,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
8,1780659899974806089,1780659900997159702,1780659900997177542,1780659899975215321,1022353613,-1021962221,-1022157917,195696,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
9,1780659899975256700,1780659900997610044,1780659900997629484,1780659899975658312,1022353344,-1021971172,-1022162258,191086,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
10,1780659899975699351,1780659900998055187,1780659900998073807,1780659899976080303,1022355836,-1021993504,-1022174670,181166,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
11,1780659899976104533,1780659900998467449,1780659900998484679,1780659899976498316,1022362916,-1021986363,-1022174640,188276,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
12,1780659899976519676,1780659900998978232,1780659900998995982,1780659899977000366,1022458556,-1021995616,-1022227086,231470,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
13,1780659899977021026,1780659900999375254,1780659900999394794,1780659899977398228,1022354228,-1021996566,-1022175397,178831,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
14,1780659899977418578,1780659900999769327,1780659900999786467,1780659899977788421,1022350749,-1021998046,-1022174398,176351,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
15,1780659899977808350,1780659901000161649,1780659901000178849,1780659899978180563,1022353299,-1021998286,-1022175793,177506,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
16,1780659899978199782,1780659901000550441,1780659901000569341,1780659899978576835,1022350659,-1021992506,-1022171583,179076,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
17,1780659899978596765,1780659901000946973,1780659901000964413,1780659899978972017,1022350208,-1021992396,-1022171302,178906,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
18,1780659899978991407,1780659901001343666,1780659901001361966,1780659899979364679,1022352259,-1021997287,-1022174773,177486,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
19,1780659899979383379,1780659901001732948,1780659901001750588,1780659899979753483,1022349569,-1021997105,-1022173337,176232,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
20,1780659899979774002,1780659901002125700,1780659901002140420,1780659899980145175,1022351698,-1021995245,-1022173472,178226,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
21,1780659899980164325,1780659901002517132,1780659901002533882,1780659899980536627,1022352807,-1021997255,-1022175031,177776,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
22,1780659899980556217,1780659901002906724,1780659901002922004,1780659899980922800,1022350507,-1021999204,-1022174856,175651,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
23,1780659899980941929,1780659901003296727,1780659901003311837,1780659899981314652,1022354798,-1021997185,-1022175992,178806,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
24,1780659899981333321,1780659901003684219,1780659901003698909,1780659899981701944,1022350898,-1021996965,-1022173932,176966,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
25,1780659899981720644,1780659901004071372,1780659901004086392,1780659899982088117,1022350728,-1021998275,-1022174502,176226,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
26,1780659899982107136,1780659901004460904,1780659901004482564,1780659899982488200,1022353768,-1021994364,-1022174066,179702,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
27,1780659899982507329,1780659901004859336,1780659901004877496,1780659899982879672,1022352007,-1021997824,-1022174916,177091,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
28,1780659899982898691,1780659901005260608,1780659901005279008,1780659899983278864,1022361917,-1022000144,-1022181031,180886,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1022174895,-1022175546,-1022175048,-1022174895,3378.882010,935,176751,178501,173721,177676,183201,176751,0,ok
