sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780660038871039064,1780660039893621029,1780660039893696100,1780660038871707300,1022581965,-1021988800,-1022285383,296582,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022263704,-1022265097,-1022263995,-1022263704,6532.195944,1041,176866,179257,174131,177932,185401,176866,0,ok
2,1780660038871762559,1780660039894245824,1780660039894292424,1780660038872258060,1022483265,-1022034364,-1022258815,224450,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022263704,-1022265097,-1022263995,-1022263704,6532.195944,1041,176866,179257,174131,177932,185401,176866,0,ok
3,1780660038872298989,1780660039894750046,1780660039894771307,1780660038872720280,1022451057,-1022051027,-1022251042,200015,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022263704,-1022265097,-1022263995,-1022263704,6532.195944,1041,176866,179257,174131,177932,185401,176866,0,ok
4,1780660038872746280,1780660039895197599,1780660039895217789,1780660038873153122,1022451319,-1022064667,-1022257993,193326,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022263704,-1022265097,-1022263995,-1022263704,6532.195944,1041,176866,179257,174131,177932,185401,176866,0,ok
5,1780660038873175431,1780660039895626781,1780660039895645441,1780660038873569044,1022451350,-1022076397,-1022263874,187476,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022263704,-1022265097,-1022263995,-1022263704,6532.195944,1041,176866,179257,174131,177932,185401,176866,0,ok
6,1780660038873589883,1780660039896050923,1780660039896069864,1780660038873985526,1022461040,-1022084338,-1022272689,188351,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022263704,-1022265097,-1022263995,-1022263704,6532.195944,1041,176866,179257,174131,177932,185401,176866,0,ok
7,1780660038874005756,1780660039896451986,1780660039896469486,1780660038874386498,1022446230,-1022082988,-1022264609,181621,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022263704,-1022265097,-1022263995,-1022263704,6532.195944,1041,176866,179257,174131,177932,185401,176866,0,ok
8,1780660038874407538,1780660039896851078,1780660039896869238,1780660038874787130,1022443540,-1022082108,-1022262824,180716,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022263704,-1022265097,-1022263995,-1022263704,6532.195944,1041,176866,179257,174131,177932,185401,176866,0,ok
9,1780660038874807970,1780660039897256480,1780660039897275690,1780660038875195242,1022448510,-1022080448,-1022264479,184031,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022263704,-1022265097,-1022263995,-1022263704,6532.195944,1041,176866,179257,174131,177932,185401,176866,0,ok
10,1780660038875215012,1780660039897659463,1780660039897678163,1780660038875593964,1022444451,-1022084199,-1022264325,180126,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022263704,-1022265097,-1022263995,-1022263704,6532.195944,1041,176866,179257,174131,177932,185401,176866,0,ok
