count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,178440,0,178440,178440,-1022203203,179736
52,175331,0,175331,175331,-1022203203,179736
53,177103,0,177103,177103,-1022203203,179736
54,177194,0,177194,177194,-1022203203,179736
55,177276,0,177276,177276,-1022203203,179736
56,177568,0,177568,177568,-1022203203,179736
57,178789,0,178789,178789,-1022203203,179736
58,176180,0,176180,176180,-1022203203,179736
59,177022,0,177022,177022,-1022203203,179736
60,184033,0,184033,184033,-1022203203,179736
61,176715,0,176715,176715,-1022203203,179736
62,175367,0,175367,175367,-1022203203,179736
63,181688,0,181688,181688,-1022203203,179736
64,178979,0,178979,178979,-1022203203,179736
65,177201,0,177201,177201,-1022203203,179736
66,178132,0,178132,178132,-1022203203,179736
67,177984,0,177984,177984,-1022203203,179736
68,176186,0,176186,176186,-1022203203,179736
69,181047,0,181047,181047,-1022203203,179736
70,179328,0,179328,179328,-1022203203,179736
71,177239,0,177239,177239,-1022203203,179736
72,176572,0,176572,176572,-1022203203,179736
73,179813,0,179813,179813,-1022203203,179736
74,176984,0,176984,176984,-1022203203,179736
75,177216,0,177216,177216,-1022203203,179736
76,183597,0,183597,183597,-1022203203,179736
77,176008,0,176008,176008,-1022203203,179736
78,176591,0,176591,176591,-1022203203,179736
79,176692,0,176692,176692,-1022203203,179736
80,178793,0,178793,178793,-1022203203,179736
81,176295,0,176295,176295,-1022203203,179736
82,183776,0,183776,183776,-1022203203,179736
83,178777,0,178777,178777,-1022203203,179736
84,176640,0,176640,176640,-1022203203,179736
85,176421,0,176421,176421,-1022203203,179736
86,175242,0,175242,175242,-1022203203,179736
87,177093,0,177093,177093,-1022203203,179736
88,181925,0,181925,181925,-1022203203,179736
89,178727,0,178727,178727,-1022203203,179736
90,176239,0,176239,176239,-1022203203,179736
91,176391,0,176391,176391,-1022203203,179736
92,176282,0,176282,176282,-1022203203,179736
93,183133,0,183133,183133,-1022203203,179736
94,176995,0,176995,176995,-1022203203,179736
95,182576,0,182576,182576,-1022203203,179736
96,176158,0,176158,176158,-1022203203,179736
97,176400,0,176400,176400,-1022203203,179736
98,176491,0,176491,176491,-1022203203,179736
99,177152,0,177152,177152,-1022203203,179736
100,178934,0,178934,178934,-1022203203,179736
101,184354,0,184354,184354,-1022203203,179736
102,178196,0,178196,178196,-1022203203,179736
103,177818,0,177818,177818,-1022203203,179736
104,177439,0,177439,177439,-1022203203,179736
105,176400,0,176400,176400,-1022203203,179736
106,176481,0,176481,176481,-1022203203,179736
107,177383,0,177383,177383,-1022203203,179736
108,180115,0,180115,180115,-1022203203,179736
109,176556,0,176556,176556,-1022203203,179736
110,174438,0,174438,174438,-1022203203,179736
111,177109,0,177109,177109,-1022203203,179736
112,178280,0,178280,178280,-1022203203,179736
113,177213,0,177213,177213,-1022203203,179736
114,181374,0,181374,181374,-1022203203,179736
115,179195,0,179195,179195,-1022203203,179736
116,177857,0,177857,177857,-1022203203,179736
117,177319,0,177319,177319,-1022203203,179736
118,177690,0,177690,177690,-1022203203,179736
119,177842,0,177842,177842,-1022203203,179736
120,181903,0,181903,181903,-1022203203,179736
121,177544,0,177544,177544,-1022203203,179736
122,176836,0,176836,176836,-1022203203,179736
123,177017,0,177017,177017,-1022203203,179736
124,177099,0,177099,177099,-1022203203,179736
