count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,179269,0,179269,179269,-1252144419,180221
52,179211,0,179211,179211,-1252144419,180221
53,178843,0,178843,178843,-1252144419,180221
54,178664,0,178664,178664,-1252144419,180221
55,181505,0,181505,181505,-1252144419,180221
56,179686,0,179686,179686,-1252144419,180221
57,184079,0,184079,184079,-1252144419,180221
58,181060,0,181060,181060,-1252144419,180221
59,178642,0,178642,178642,-1252144419,180221
60,180134,0,180134,180134,-1252144419,180221
61,184545,0,184545,184545,-1252144419,180221
62,179336,0,179336,179336,-1252144419,180221
63,184788,0,184788,184788,-1252144419,180221
64,189569,0,189569,189569,-1252144419,180221
65,184781,0,184781,184781,-1252144419,180221
66,179823,0,179823,179823,-1252144419,180221
67,180024,0,180024,180024,-1252144419,180221
68,180255,0,180255,180255,-1252144419,180221
69,179467,0,179467,179467,-1252144419,180221
70,179028,0,179028,179028,-1252144419,180221
71,179420,0,179420,179420,-1252144419,180221
72,178911,0,178911,178911,-1252144419,180221
73,181823,0,181823,181823,-1252144419,180221
74,179914,0,179914,179914,-1252144419,180221
75,180565,0,180565,180565,-1252144419,180221
76,180587,0,180587,180587,-1252144419,180221
77,185387,0,185387,185387,-1252144419,180221
78,179729,0,179729,179729,-1252144419,180221
79,181331,0,181331,181331,-1252144419,180221
80,179092,0,179092,179092,-1252144419,180221
81,179803,0,179803,179803,-1252144419,180221
82,181455,0,181455,181455,-1252144419,180221
83,182066,0,182066,182066,-1252144419,180221
84,178568,0,178568,178568,-1252144419,180221
85,178710,0,178710,178710,-1252144419,180221
86,266181,0,266181,266181,-1252144419,180221
87,208632,0,208632,208632,-1252144419,180221
88,192984,0,192984,192984,-1252144419,180221
89,181025,0,181025,181025,-1252144419,180221
90,176636,0,176636,176636,-1252144419,180221
91,177788,0,177788,177788,-1252144419,180221
92,176620,0,176620,176620,-1252144419,180221
93,179751,0,179751,179751,-1252144419,180221
