sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780486136257359279,1780486137109993491,1780486137109994251,1780486136258170564,852634212,-851823687,-852228950,405262,-852124930,239388
2,1780486136258184524,1780486137110535524,1780486137110535824,1780486136258681684,852351000,-851854140,-852102570,248430,-852124930,239388
3,1780486136258697454,1780486137111036678,1780486137111036778,1780486136259173774,852339224,-851863004,-852101114,238110,-852124930,239388
4,1780486136259184014,1780486137111530361,1780486137111530581,1780486136259668065,852346347,-851862516,-852104432,241915,-852124930,239388
5,1780486136259677254,1780486137112038603,1780486137112038793,1780486136260098876,852361349,-851939917,-852150633,210716,-852124930,239388
6,1780486136260107946,1780486137112473446,1780486137112473546,1780486136260592157,852365500,-851881389,-852123445,242055,-852124930,239388
7,1780486136260600637,1780486137112969359,1780486137112969639,1780486136261113887,852368722,-851855752,-852112237,256485,-852124930,239388
8,1780486136261123297,1780486137113497811,1780486137113498031,1780486136261633077,852374514,-851864954,-852119734,254780,-852124930,239388
9,1780486136261641427,1780486137114005234,1780486137114005354,1780486136262061688,852363807,-851943666,-852153737,210070,-852124930,239388
10,1780486136262070888,1780486137114433648,1780486137114433788,1780486136262554929,852362760,-851878859,-852120810,241950,-852124930,239388
11,1780486136262564498,1780486137114927700,1780486137114927810,1780486136263065068,852363202,-851862742,-852112972,250230,-852124930,239388
12,1780486136263074028,1780486137115435933,1780486137115436103,1780486136263569329,852361905,-851866774,-852114340,247565,-852124930,239388
13,1780486136263577639,1780486137115938916,1780486137115939016,1780486136263990971,852361277,-851948045,-852154661,206616,-852124930,239388
14,1780486136263999151,1780486137116368168,1780486137116368298,1780486136264484621,852369017,-851883677,-852126347,242670,-852124930,239388
15,1780486136264493511,1780486137116854011,1780486137116854161,1780486136264986951,852360500,-851867210,-852113855,246645,-852124930,239388
16,1780486136264995241,1780486137117359314,1780486137117359644,1780486136265492421,852364073,-851867223,-852115648,248425,-852124930,239388
