count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,172511,0,172511,-939929309,235709
52,171963,0,171963,-939929309,235709
53,172764,0,172764,-939929309,235709
54,171975,0,171975,-939929309,235709
55,171777,0,171777,-939929309,235709
56,172508,0,172508,-939929309,235709
57,171309,0,171309,-939929309,235709
58,172802,0,172802,-939929309,235709
59,172394,0,172394,-939929309,235709
60,173395,0,173395,-939929309,235709
61,172176,0,172176,-939929309,235709
62,181498,0,181498,-939929309,235709
63,172379,0,172379,-939929309,235709
64,173830,0,173830,-939929309,235709
65,174402,0,174402,-939929309,235709
66,175803,0,175803,-939929309,235709
67,172924,0,172924,-939929309,235709
68,171315,0,171315,-939929309,235709
69,172498,0,172498,-939929309,235709
70,170569,0,170569,-939929309,235709
71,172780,0,172780,-939929309,235709
72,172872,0,172872,-939929309,235709
73,171613,0,171613,-939929309,235709
74,171884,0,171884,-939929309,235709
75,172066,0,172066,-939929309,235709
76,172357,0,172357,-939929309,235709
77,171918,0,171918,-939929309,235709
78,172119,0,172119,-939929309,235709
79,171151,0,171151,-939929309,235709
80,170923,0,170923,-939929309,235709
81,172314,0,172314,-939929309,235709
82,179556,0,179556,-939929309,235709
83,173977,0,173977,-939929309,235709
84,171928,0,171928,-939929309,235709
85,172110,0,172110,-939929309,235709
86,171090,0,171090,-939929309,235709
87,172081,0,172081,-939929309,235709
88,172582,0,172582,-939929309,235709
89,173204,0,173204,-939929309,235709
90,176395,0,176395,-939929309,235709
91,172056,0,172056,-939929309,235709
92,172379,0,172379,-939929309,235709
93,172760,0,172760,-939929309,235709
94,173891,0,173891,-939929309,235709
95,175463,0,175463,-939929309,235709
96,172054,0,172054,-939929309,235709
97,172145,0,172145,-939929309,235709
98,175417,0,175417,-939929309,235709
99,173018,0,173018,-939929309,235709
100,172969,0,172969,-939929309,235709
101,172610,0,172610,-939929309,235709
102,170923,0,170923,-939929309,235709
103,171984,0,171984,-939929309,235709
104,171895,0,171895,-939929309,235709
105,172097,0,172097,-939929309,235709
106,172108,0,172108,-939929309,235709
107,171379,0,171379,-939929309,235709
108,171391,0,171391,-939929309,235709
109,171992,0,171992,-939929309,235709
110,171353,0,171353,-939929309,235709
111,173234,0,173234,-939929309,235709
112,175506,0,175506,-939929309,235709
113,173348,0,173348,-939929309,235709
114,174849,0,174849,-939929309,235709
115,173501,0,173501,-939929309,235709
116,171532,0,171532,-939929309,235709
117,172833,0,172833,-939929309,235709
118,175325,0,175325,-939929309,235709
119,172836,0,172836,-939929309,235709
120,172127,0,172127,-939929309,235709
