count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
1,5190,1170,5320
2,4890,1070,4930
3,4710,920,4750
4,3940,849,3970
5,3790,890,3840
6,4800,950,4840
7,4299,840,4339
8,3890,860,3930
9,3780,820,3820
10,3830,880,3860
11,3820,820,3860
12,3770,830,3810
13,3780,850,3830
14,3689,1000,3719
15,3870,870,3910
16,3780,840,3820
17,3750,840,3800
18,4150,930,4190
19,3750,910,3800
20,3760,900,3800
21,3829,880,3869
22,3900,910,3950
23,3820,810,3870
24,3860,850,3910
25,3830,830,3860
26,3870,870,3910
27,3730,840,3760
28,3699,840,3739
29,3790,800,3830
30,3730,1240,3770
31,3910,970,3950
32,3800,920,3840
33,3890,870,3940
34,3720,860,3760
35,3829,820,3869
36,3860,870,3890
37,3800,870,3840
38,4000,1320,4050
39,3850,910,3890
40,3740,910,3770
41,3840,900,3890
42,3789,940,3829
43,3840,840,3890
44,3860,850,3890
45,3830,840,3860
46,3700,810,3740
47,3730,1180,3770
48,3670,940,3710
49,3759,860,3809
50,3810,870,3850
51,3790,820,3840
52,3800,870,3840
53,3880,830,3920
54,3770,860,3810
55,3880,820,3930
56,3829,980,3869
57,3780,800,3820
58,3720,840,3770
59,3780,850,3820
60,3750,850,3800
61,3770,850,3810
62,5820,5410,5890
63,6240,1600,6280
64,7940,1930,8000
65,5920,890,5960
66,4270,860,4320
67,3920,839,3970
68,6170,1520,6240
69,4400,840,4440
70,3930,890,3980
71,3780,850,3830
72,3860,830,3900
73,3870,850,3920
74,3920,830,3960
75,3900,830,3930
76,3840,810,3890
77,3750,810,3800
78,3790,960,3840
79,3850,880,3890
80,3800,840,3830
81,3820,890,3860
82,3780,830,3820
83,4010,830,4050
84,3790,840,3840
85,3870,860,3910
86,3760,930,3800
87,3790,800,3840
88,3780,880,3820
89,3810,840,3860
90,3700,830,3750
91,3840,840,3890
92,3810,800,3850
93,3760,810,3800
94,3750,1050,3800
95,3790,860,3830
96,3840,820,3880
97,8570,960,8610
98,3940,840,3980
99,3849,830,3889
100,3770,820,3810
101,3810,850,3850
102,3859,810,3899
103,3810,900,3860
104,3890,850,3930
105,3769,840,3809
106,3810,830,3860
107,3830,810,3870
