sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780566371840816470,1780566376730771422,1780566376730771622,1780566371841248813,4889954952,-4889522809,-4889738880,216071,-4889629277,121391
2,1780566371841253663,1780566376731123863,1780566376731123993,1780566371841679244,4889870200,-4889444749,-4889657474,212725,-4889629277,121391
3,1780566371841684904,1780566376731506243,1780566376731506313,1780566371842024247,4889821339,-4889482066,-4889651702,169636,-4889629277,121391
4,1780566371842035077,1780566376731793233,1780566376731793303,1780566371842317462,4889758156,-4889475841,-4889616998,141157,-4889629277,121391
5,1780566371842322982,1780566376732088243,1780566376732088303,1780566371842538397,4889765261,-4889549906,-4889657583,107677,-4889629277,121391
6,1780566371842543737,1780566376732361073,1780566376732361123,1780566371842873561,4889817336,-4889487562,-4889652449,164887,-4889629277,121391
7,1780566371842878901,1780566376732632824,1780566376732632874,1780566371843147875,4889753923,-4889484999,-4889619461,134462,-4889629277,121391
8,1780566371843154165,1780566376732939614,1780566376732939714,1780566371843379771,4889785449,-4889559943,-4889672696,112753,-4889629277,121391
9,1780566371843385090,1780566376733141474,1780566376733141504,1780566371843645375,4889756384,-4889496129,-4889626256,130127,-4889629277,121391
10,1780566371843650895,1780566376733341554,1780566376733341574,1780566371843861281,4889690659,-4889480293,-4889585476,105183,-4889629277,121391
11,1780566371843866601,1780566376733653054,1780566376733653134,1780566371844095517,4889786453,-4889557617,-4889672035,114418,-4889629277,121391
12,1780566371844101017,1780566376733858604,1780566376733858634,1780566371844364462,4889757587,-4889494172,-4889625879,131707,-4889629277,121391
13,1780566371844370062,1780566376734063184,1780566376734063214,1780566371844579008,4889693122,-4889484206,-4889588664,104458,-4889629277,121391
14,1780566371844584368,1780566376734285035,1780566376734285065,1780566371844789534,4889700667,-4889495531,-4889598099,102568,-4889629277,121391
15,1780566371844794834,1780566376734576575,1780566376734576665,1780566371845089318,4889781741,-4889487347,-4889634544,147197,-4889629277,121391
16,1780566371845095208,1780566376734797615,1780566376734797665,1780566371845311553,4889702407,-4889486112,-4889594259,108147,-4889629277,121391
17,1780566371845317003,1780566376735096225,1780566376735096305,1780566371845539479,4889779222,-4889556826,-4889668024,111198,-4889629277,121391
18,1780566371845544769,1780566376735302545,1780566376735302575,1780566371845808494,4889757776,-4889494081,-4889625928,131847,-4889629277,121391
19,1780566371845813703,1780566376735505865,1780566376735505895,1780566371846025099,4889692162,-4889480796,-4889586479,105683,-4889629277,121391
20,1780566371846035649,1780566376735813726,1780566376735813806,1780566371846255625,4889778077,-4889558181,-4889668129,109948,-4889629277,121391
21,1780566371846260845,1780566376736019146,1780566376736019176,1780566371846524969,4889758301,-4889494207,-4889626254,132047,-4889629277,121391
22,1780566371846530499,1780566376736218966,1780566376736218996,1780566371846739345,4889688467,-4889479651,-4889584059,104408,-4889629277,121391
23,1780566371846744655,1780566376736449596,1780566376736449616,1780566371846950072,4889704941,-4889499544,-4889602242,102698,-4889629277,121391
24,1780566371846955292,1780566376736733166,1780566376736733246,1780566371847246706,4889777874,-4889486540,-4889632207,145667,-4889629277,121391
25,1780566371847252636,1780566376736955196,1780566376736955226,1780566371847471541,4889702560,-4889483685,-4889593122,109437,-4889629277,121391
26,1780566371847476961,1780566376737255757,1780566376737255837,1780566371847696167,4889778796,-4889559670,-4889669233,109563,-4889629277,121391
27,1780566371847701457,1780566376737461077,1780566376737461097,1780566371847964712,4889759620,-4889496385,-4889628002,131617,-4889629277,121391
28,1780566371847970142,1780566376737665977,1780566376737666007,1780566371848182987,4889695835,-4889483020,-4889589427,106407,-4889629277,121391
29,1780566371848188637,1780566376737969157,1780566376737969237,1780566371848481711,4889780520,-4889487526,-4889634023,146497,-4889629277,121391
30,1780566371848486981,1780566376738248697,1780566376738248787,1780566371848761286,4889761716,-4889487501,-4889624608,137107,-4889629277,121391
31,1780566371848766606,1780566376738530687,1780566376738530777,1780566371849047800,4889764081,-4889482977,-4889623529,140552,-4889629277,121391
32,1780566371849053470,1780566376738744038,1780566376738744068,1780566371849259186,4889690568,-4889484882,-4889587725,102843,-4889629277,121391
33,1780566371849264576,1780566376738972008,1780566376738972038,1780566371849460202,4889707432,-4889511836,-4889609634,97798,-4889629277,121391
34,1780566371849465522,1780566376739242698,1780566376739242778,1780566371849682817,4889777176,-4889559961,-4889668568,108607,-4889629277,121391
35,1780566371849687897,1780566376739466108,1780566376739466138,1780566371849968443,4889778211,-4889497695,-4889637953,140258,-4889629277,121391
36,1780566371849973743,1780566376739751888,1780566376739751968,1780566371850275887,4889778145,-4889476081,-4889627113,151032,-4889629277,121391
37,1780566371850283287,1780566376740053888,1780566376740053968,1780566371850577961,4889770601,-4889476007,-4889623304,147297,-4889629277,121391
38,1780566371850583581,1780566376740283689,1780566376740283719,1780566371850796906,4889700108,-4889486813,-4889593460,106647,-4889629277,121391
39,1780566371850802186,1780566376740585179,1780566376740585259,1780566371851100570,4889782993,-4889484689,-4889633841,149152,-4889629277,121391
40,1780566371851106800,1780566376740871949,1780566376740872039,1780566371851387435,4889765149,-4889484604,-4889624876,140272,-4889629277,121391
41,1780566371851393055,1780566376741156819,1780566376741156899,1780566371851597210,4889763764,-4889559689,-4889661726,102037,-4889629277,121391
42,1780566371851602610,1780566376741364099,1780566376741364119,1780566371851867815,4889761489,-4889496304,-4889628896,132592,-4889629277,121391
