count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,100754,0,100754,-3242521089,125977
52,108335,0,108335,-3242521089,125977
53,99417,0,99417,-3242521089,125977
54,100239,0,100239,-3242521089,125977
55,102520,0,102520,-3242521089,125977
56,112912,0,112912,-3242521089,125977
57,112883,0,112883,-3242521089,125977
58,121995,0,121995,-3242521089,125977
59,125196,0,125196,-3242521089,125977
60,119138,0,119138,-3242521089,125977
61,125030,0,125030,-3242521089,125977
62,128961,0,128961,-3242521089,125977
63,135743,0,135743,-3242521089,125977
64,67694,0,67694,-3242521089,125977
65,62197,0,62197,-3242521089,125977
66,76568,0,76568,-3242521089,125977
67,72300,0,72300,-3242521089,125977
68,67432,0,67432,-3242521089,125977
69,70253,0,70253,-3242521089,125977
70,72225,0,72225,-3242521089,125977
71,73156,0,73156,-3242521089,125977
72,83818,0,83818,-3242521089,125977
73,87329,0,87329,-3242521089,125977
74,81721,0,81721,-3242521089,125977
75,86683,0,86683,-3242521089,125977
76,96344,0,96344,-3242521089,125977
77,100346,0,100346,-3242521089,125977
78,114677,0,114677,-3242521089,125977
79,115999,0,115999,-3242521089,125977
80,129569,0,129569,-3242521089,125977
81,128151,0,128151,-3242521089,125977
82,136452,0,136452,-3242521089,125977
83,137955,0,137955,-3242521089,125977
84,135626,0,135626,-3242521089,125977
85,131088,0,131088,-3242521089,125977
86,141420,0,141420,-3242521089,125977
87,138381,0,138381,-3242521089,125977
88,69953,0,69953,-3242521089,125977
89,65214,0,65214,-3242521089,125977
90,73896,0,73896,-3242521089,125977
91,77787,0,77787,-3242521089,125977
92,89579,0,89579,-3242521089,125977
93,85340,0,85340,-3242521089,125977
94,97382,0,97382,-3242521089,125977
95,95383,0,95383,-3242521089,125977
96,106995,0,106995,-3242521089,125977
97,104227,0,104227,-3242521089,125977
98,112628,0,112628,-3242521089,125977
99,118250,0,118250,-3242521089,125977
100,109251,0,109251,-3242521089,125977
101,112603,0,112603,-3242521089,125977
102,121665,0,121665,-3242521089,125977
103,123397,0,123397,-3242521089,125977
104,133309,0,133309,-3242521089,125977
105,138570,0,138570,-3242521089,125977
106,71382,0,71382,-3242521089,125977
107,74923,0,74923,-3242521089,125977
108,62645,0,62645,-3242521089,125977
109,64206,0,64206,-3242521089,125977
110,69678,0,69678,-3242521089,125977
111,70010,0,70010,-3242521089,125977
112,81081,0,81081,-3242521089,125977
113,80903,0,80903,-3242521089,125977
114,82004,0,82004,-3242521089,125977
115,84566,0,84566,-3242521089,125977
116,97527,0,97527,-3242521089,125977
117,103179,0,103179,-3242521089,125977
118,118159,0,118159,-3242521089,125977
119,129311,0,129311,-3242521089,125977
120,139842,0,139842,-3242521089,125977
121,142474,0,142474,-3242521089,125977
122,76256,0,76256,-3242521089,125977
123,73118,0,73118,-3242521089,125977
124,83499,0,83499,-3242521089,125977
125,89361,0,89361,-3242521089,125977
126,103892,0,103892,-3242521089,125977
127,112433,0,112433,-3242521089,125977
128,121885,0,121885,-3242521089,125977
129,125726,0,125726,-3242521089,125977
130,123478,0,123478,-3242521089,125977
