count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,150360,0,150360,-3243537904,134668
52,84402,0,84402,-3243537904,134668
53,78773,0,78773,-3243537904,134668
54,91545,0,91545,-3243537904,134668
55,93856,0,93856,-3243537904,134668
56,107258,0,107258,-3243537904,134668
57,92780,0,92780,-3243537904,134668
58,107641,0,107641,-3243537904,134668
59,113452,0,113452,-3243537904,134668
60,125344,0,125344,-3243537904,134668
61,129345,0,129345,-3243537904,134668
62,140627,0,140627,-3243537904,134668
63,150278,0,150278,-3243537904,134668
64,85560,0,85560,-3243537904,134668
65,77331,0,77331,-3243537904,134668
66,88443,0,88443,-3243537904,134668
67,80484,0,80484,-3243537904,134668
68,92676,0,92676,-3243537904,134668
69,88198,0,88198,-3243537904,134668
70,98199,0,98199,-3243537904,134668
71,100981,0,100981,-3243537904,134668
72,114952,0,114952,-3243537904,134668
73,116494,0,116494,-3243537904,134668
74,111085,0,111085,-3243537904,134668
75,103987,0,103987,-3243537904,134668
76,112169,0,112169,-3243537904,134668
77,121530,0,121530,-3243537904,134668
78,121582,0,121582,-3243537904,134668
79,130683,0,130683,-3243537904,134668
80,143755,0,143755,-3243537904,134668
81,142366,0,142366,-3243537904,134668
82,153128,0,153128,-3243537904,134668
83,137819,0,137819,-3243537904,134668
84,147201,0,147201,-3243537904,134668
85,80922,0,80922,-3243537904,134668
86,81674,0,81674,-3243537904,134668
87,90095,0,90095,-3243537904,134668
88,94637,0,94637,-3243537904,134668
89,106108,0,106108,-3243537904,134668
90,90281,0,90281,-3243537904,134668
91,94033,0,94033,-3243537904,134668
92,93094,0,93094,-3243537904,134668
93,104136,0,104136,-3243537904,134668
94,103567,0,103567,-3243537904,134668
95,105699,0,105699,-3243537904,134668
96,114950,0,114950,-3243537904,134668
97,120412,0,120412,-3243537904,134668
98,128583,0,128583,-3243537904,134668
99,124105,0,124105,-3243537904,134668
100,131887,0,131887,-3243537904,134668
101,144598,0,144598,-3243537904,134668
102,82369,0,82369,-3243537904,134668
103,83501,0,83501,-3243537904,134668
104,98772,0,98772,-3243537904,134668
105,107884,0,107884,-3243537904,134668
106,121175,0,121175,-3243537904,134668
107,123506,0,123506,-3243537904,134668
108,138638,0,138638,-3243537904,134668
109,153740,0,153740,-3243537904,134668
110,90381,0,90381,-3243537904,134668
111,89952,0,89952,-3243537904,134668
112,102564,0,102564,-3243537904,134668
113,108855,0,108855,-3243537904,134668
114,123836,0,123836,-3243537904,134668
115,123808,0,123808,-3243537904,134668
116,140339,0,140339,-3243537904,134668
117,149061,0,149061,-3243537904,134668
118,86382,0,86382,-3243537904,134668
119,87183,0,87183,-3243537904,134668
120,104345,0,104345,-3243537904,134668
121,109306,0,109306,-3243537904,134668
122,126958,0,126958,-3243537904,134668
123,131479,0,131479,-3243537904,134668
124,128341,0,128341,-3243537904,134668
125,127702,0,127702,-3243537904,134668
126,145604,0,145604,-3243537904,134668
127,80775,0,80775,-3243537904,134668
