sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780659637156325546,1780659643970079538,1780659643970080658,1780659637156755577,6813753992,-6813325081,-6813539537,214455,-6813478597,118637
2,1780659637156761187,1780659643970517088,1780659643970517608,1780659637157224168,6813755901,-6813293440,-6813524671,231230,-6813478597,118637
3,1780659637157230278,1780659643971070258,1780659643971070768,1780659637157745588,6813839980,-6813325180,-6813582580,257400,-6813478597,118637
4,1780659637157751788,1780659643971409269,1780659643971409529,1780659637158006603,6813657481,-6813402926,-6813530204,127277,-6813478597,118637
5,1780659637158012032,1780659643971594399,1780659643971594659,1780659637158207719,6813582367,-6813386940,-6813484654,97713,-6813478597,118637
6,1780659637158212978,1780659643971811699,1780659643971811829,1780659637158464433,6813598721,-6813347396,-6813473059,125662,-6813478597,118637
7,1780659637158470123,1780659643972100369,1780659643972100549,1780659637158686319,6813630246,-6813414230,-6813522238,108008,-6813478597,118637
8,1780659637158691639,1780659643972360409,1780659643972360549,1780659637159009784,6813668770,-6813350765,-6813509768,159002,-6813478597,118637
9,1780659637159015593,1780659643972640639,1780659643972640809,1780659637159307068,6813625046,-6813333741,-6813479394,145652,-6813478597,118637
10,1780659637159312488,1780659643972933640,1780659643972933790,1780659637159602672,6813621152,-6813331118,-6813476135,145017,-6813478597,118637
11,1780659637159608272,1780659643973150640,1780659643973150810,1780659637159824227,6813542368,-6813326583,-6813434476,107892,-6813478597,118637
12,1780659637159829997,1780659643973454070,1780659643973454200,1780659637160113222,6813624073,-6813340978,-6813482526,141547,-6813478597,118637
13,1780659637160118962,1780659643973729030,1780659643973729140,1780659637160389226,6813610068,-6813339914,-6813474991,135077,-6813478597,118637
14,1780659637160394736,1780659643974007440,1780659643974007690,1780659637160598982,6813612704,-6813408708,-6813510706,101998,-6813478597,118637
15,1780659637160604362,1780659643974217630,1780659643974217830,1780659637160869167,6813613268,-6813348663,-6813480966,132302,-6813478597,118637
16,1780659637160875006,1780659643974500611,1780659643974500751,1780659637161167671,6813625605,-6813333080,-6813479343,146262,-6813478597,118637
17,1780659637161173241,1780659643974791661,1780659643974791791,1780659637161458645,6813618420,-6813333146,-6813475783,142637,-6813478597,118637
18,1780659637161464135,1780659643975017121,1780659643975017331,1780659637161678020,6813552986,-6813339311,-6813446149,106837,-6813478597,118637
19,1780659637161683360,1780659643975310611,1780659643975310741,1780659637161971576,6813627251,-6813339165,-6813483208,144043,-6813478597,118637
20,1780659637161977366,1780659643975587061,1780659643975587271,1780659637162246140,6813609695,-6813341131,-6813475413,134282,-6813478597,118637
21,1780659637162251680,1780659643975861311,1780659643975861521,1780659637162457656,6813609631,-6813403865,-6813506748,102883,-6813478597,118637
22,1780659637162463176,1780659643976079762,1780659643976079912,1780659637162743260,6813616586,-6813336652,-6813476619,139967,-6813478597,118637
23,1780659637162749150,1780659643976367132,1780659643976367302,1780659637163032335,6813617982,-6813334967,-6813476475,141507,-6813478597,118637
24,1780659637163037934,1780659643976657372,1780659643976657502,1780659637163325939,6813619438,-6813331563,-6813475501,143937,-6813478597,118637
25,1780659637163331449,1780659643976884962,1780659643976885062,1780659637163544764,6813553513,-6813340298,-6813446906,106607,-6813478597,118637
26,1780659637163550084,1780659643977102162,1780659643977102262,1780659637163748360,6813552078,-6813353902,-6813452990,99088,-6813478597,118637
27,1780659637163754000,1780659643977379422,1780659643977379582,1780659637163965706,6813625422,-6813413876,-6813519649,105773,-6813478597,118637
28,1780659637163971286,1780659643977597213,1780659643977597433,1780659637164250600,6813625927,-6813346833,-6813486380,139547,-6813478597,118637
29,1780659637164256230,1780659643977872953,1780659643977877763,1780659637164543455,6813616723,-6813334308,-6813475516,141207,-6813478597,118637
30,1780659637164548905,1780659643978157103,1780659643978157263,1780659637164825439,6813608198,-6813331824,-6813470011,138187,-6813478597,118637
31,1780659637164831499,1780659643978370443,1780659643978370593,1780659637165045046,6813538944,-6813325547,-6813432246,106698,-6813478597,118637
32,1780659637165050576,1780659643978677033,1780659643978677183,1780659637165333940,6813626457,-6813343243,-6813484850,141607,-6813478597,118637
33,1780659637165339290,1780659643978956854,1780659643978957034,1780659637165614864,6813617564,-6813342170,-6813479867,137697,-6813478597,118637
34,1780659637165620424,1780659643979232744,1780659643979233084,1780659637165827050,6813612320,-6813406034,-6813509177,103143,-6813478597,118637
35,1780659637165832880,1780659643979444144,1780659643979444294,1780659637166103265,6813611264,-6813341029,-6813476147,135117,-6813478597,118637
36,1780659637166108735,1780659643979724574,1780659643979724694,1780659637166388349,6813615839,-6813336345,-6813476092,139747,-6813478597,118637
37,1780659637166393829,1780659643980012814,1780659643980013024,1780659637166599405,6813618985,-6813413619,-6813516302,102683,-6813478597,118637
38,1780659637166605065,1780659643980232664,1780659643980232834,1780659637166882869,6813627599,-6813349965,-6813488782,138817,-6813478597,118637
39,1780659637166888809,1780659643980513215,1780659643980513405,1780659637167179564,6813624406,-6813333841,-6813479124,145282,-6813478597,118637
40,1780659637167185123,1780659643980805515,1780659643980805635,1780659637167474118,6813620392,-6813331517,-6813475955,144437,-6813478597,118637
41,1780659637167479538,1780659643981032555,1780659643981032695,1780659637167691843,6813553017,-6813340852,-6813446935,106082,-6813478597,118637
42,1780659637167697273,1780659643981325965,1780659643981326105,1780659637167985409,6813628692,-6813340696,-6813484694,143998,-6813478597,118637
43,1780659637167991218,1780659643981600285,1780659643981600525,1780659637168259213,6813609067,-6813341312,-6813475190,133877,-6813478597,118637
44,1780659637168264763,1780659643981879255,1780659643981879395,1780659637168466159,6813614492,-6813413236,-6813513864,100628,-6813478597,118637
45,1780659637168471549,1780659643982093526,1780659643982093716,1780659637168744454,6813621977,-6813349262,-6813485620,136357,-6813478597,118637
46,1780659637168750123,1780659643982368046,1780659643982368186,1780659637169039608,6813617923,-6813328578,-6813473251,144672,-6813478597,118637
47,1780659637169045238,1780659643982664726,1780659643982664856,1780659637169333372,6813619488,-6813331484,-6813475486,144002,-6813478597,118637
48,1780659637169338822,1780659643982888006,1780659643982888166,1780659637169550688,6813549184,-6813337478,-6813443331,105853,-6813478597,118637
49,1780659637169556077,1780659643983185336,1780659643983185526,1780659637169843492,6813629259,-6813342034,-6813485647,143612,-6813478597,118637
50,1780659637169849602,1780659643983460857,1780659643983461017,1780659637170121446,6813611255,-6813339571,-6813475413,135842,-6813478597,118637
51,1780659637170127106,1780659643983738397,1780659643983738577,1780659637170331382,6813611291,-6813407195,-6813509243,102048,-6813478597,118637
52,1780659637170336822,1780659643983950267,1780659643983950417,1780659637170600257,6813613445,-6813350160,-6813481803,131642,-6813478597,118637
53,1780659637170605917,1780659643984231427,1780659643984231567,1780659637170898221,6813625510,-6813333346,-6813479428,146082,-6813478597,118637
54,1780659637170904181,1780659643984527967,1780659643984528187,1780659637171196806,6813623786,-6813331381,-6813477584,146202,-6813478597,118637
55,1780659637171202446,1780659643984739427,1780659643984739537,1780659637171406862,6813536981,-6813332675,-6813434828,102153,-6813478597,118637
56,1780659637171412302,1780659643984968778,1780659643984968958,1780659637171619668,6813556476,-6813349290,-6813452883,103593,-6813478597,118637
57,1780659637171624827,1780659643985248308,1780659643985248508,1780659637171834133,6813623481,-6813414375,-6813518928,104553,-6813478597,118637
58,1780659637171839833,1780659643985477578,1780659643985477728,1780659637172130577,6813637745,-6813347151,-6813492448,145297,-6813478597,118637
59,1780659637172136207,1780659643985755168,1780659643985755378,1780659637172424351,6813618961,-6813331027,-6813474994,143967,-6813478597,118637
60,1780659637172429851,1780659643986047318,1780659643986047508,1780659637172715886,6813617467,-6813331622,-6813474545,142922,-6813478597,118637
61,1780659637172721446,1780659643986262048,1780659643986262138,1780659637172934881,6813540602,-6813327257,-6813433930,106672,-6813478597,118637
62,1780659637172940551,1780659643986488489,1780659643986488599,1780659637173135297,6813547938,-6813353302,-6813450620,97318,-6813478597,118637
63,1780659637173140637,1780659643986763379,1780659643986763569,1780659637173349163,6813622742,-6813414406,-6813518574,104168,-6813478597,118637
64,1780659637173354793,1780659643986984439,1780659643986984609,1780659637173635437,6813629646,-6813349172,-6813489409,140237,-6813478597,118637
65,1780659637173640777,1780659643987252429,1780659643987252599,1780659637173854213,6813611652,-6813398386,-6813505019,106633,-6813478597,118637
66,1780659637173860073,1780659643987471889,1780659643987472089,1780659637174064150,6813611816,-6813407939,-6813509878,101938,-6813478597,118637
67,1780659637174069550,1780659643987681739,1780659643987681849,1780659637174334154,6813612189,-6813347695,-6813479942,132247,-6813478597,118637
68,1780659637174339704,1780659643987966180,1780659643987966380,1780659637174632399,6813626476,-6813333981,-6813480229,146247,-6813478597,118637
69,1780659637174638088,1780659643988256540,1780659643988256680,1780659637174925963,6813618452,-6813330717,-6813474585,143867,-6813478597,118637
70,1780659637174931993,1780659643988473850,1780659643988473950,1780659637175144058,6813541857,-6813329892,-6813435875,105982,-6813478597,118637
71,1780659637175149538,1780659643988778750,1780659643988778900,1780659637175434293,6813629212,-6813344607,-6813486910,142302,-6813478597,118637
72,1780659637175439683,1780659643989054440,1780659643989054580,1780659637175713707,6813614757,-6813340873,-6813477815,136942,-6813478597,118637
73,1780659637175719097,1780659643989332840,1780659643989333040,1780659637175924383,6813613743,-6813408657,-6813511200,102543,-6813478597,118637
74,1780659637175929833,1780659643989542751,1780659643989542911,1780659637176200997,6813612918,-6813341914,-6813477416,135502,-6813478597,118637
75,1780659637176206457,1780659643989826031,1780659643989826231,1780659637176486402,6813619574,-6813339829,-6813479702,139872,-6813478597,118637
76,1780659637176491942,1780659643990109521,1780659643990109661,1780659637176694248,6813617579,-6813415413,-6813516496,101083,-6813478597,118637
77,1780659637176699368,1780659643990316381,1780659643990316561,1780659637176967073,6813617013,-6813349488,-6813483251,133762,-6813478597,118637
78,1780659637176972943,1780659643990525881,1780659643990525991,1780659637177181729,6813552938,-6813344262,-6813448600,104338,-6813478597,118637
79,1780659637177187149,1780659643990724401,1780659643990724551,1780659637177393085,6813537252,-6813331466,-6813434359,102893,-6813478597,118637
80,1780659637177398315,1780659643990952162,1780659643990952312,1780659637177595751,6813553847,-6813356561,-6813455204,98643,-6813478597,118637
81,1780659637177601081,1780659643991228882,1780659643991229072,1780659637177816397,6813627801,-6813412675,-6813520238,107563,-6813478597,118637
82,1780659637177822306,1780659643991445982,1780659643991446172,1780659637178094951,6813623676,-6813351221,-6813487449,136227,-6813478597,118637
83,1780659637178100561,1780659643991652282,1780659643991652412,1780659637178311507,6813551721,-6813340905,-6813446313,105408,-6813478597,118637
84,1780659637178316857,1780659643991855682,1780659643991855812,1780659637178520693,6813538825,-6813335119,-6813436972,101853,-6813478597,118637
85,1780659637178525982,1780659643992083492,1780659643992083642,1780659637178733818,6813557510,-6813349824,-6813453667,103843,-6813478597,118637
86,1780659637178739328,1780659643992375522,1780659643992375942,1780659637178971344,6813636194,-6813404598,-6813520396,115798,-6813478597,118637
87,1780659637178976864,1780659643992592993,1780659643992593143,1780659637179242278,6813616129,-6813350865,-6813483497,132632,-6813478597,118637
88,1780659637179247718,1780659643992797443,1780659643992797603,1780659637179458024,6813549725,-6813339579,-6813444652,105073,-6813478597,118637
89,1780659637179463234,1780659643993010293,1780659643993010453,1780659637179667100,6813547059,-6813343353,-6813445206,101853,-6813478597,118637
90,1780659637179672270,1780659643993230363,1780659643993230473,1780659637179874536,6813558093,-6813355937,-6813457015,101078,-6813478597,118637
91,1780659637179880126,1780659643993507623,1780659643993507803,1780659637180094192,6813627497,-6813413611,-6813520554,106943,-6813478597,118637
92,1780659637180099382,1780659643993755723,1780659643993755963,1780659637180403326,6813656341,-6813352637,-6813504489,151852,-6813478597,118637
93,1780659637180408716,1780659643994025604,1780659643994025804,1780659637180617202,6813616888,-6813408602,-6813512745,104143,-6813478597,118637
94,1780659637180622472,1780659643994240564,1780659643994240914,1780659637180825398,6813618092,-6813415516,-6813516804,101288,-6813478597,118637
95,1780659637180831138,1780659643994450164,1780659643994450334,1780659637181098903,6813619026,-6813351431,-6813485229,133797,-6813478597,118637
96,1780659637181104382,1780659643994656574,1780659643994656734,1780659637181312918,6813552192,-6813343816,-6813448004,104188,-6813478597,118637
97,1780659637181318358,1780659643994855534,1780659643994855724,1780659637181524594,6813537176,-6813331130,-6813434153,103023,-6813478597,118637
98,1780659637181529814,1780659643995083844,1780659643995084004,1780659637181733360,6813554030,-6813350644,-6813452337,101693,-6813478597,118637
99,1780659637181738990,1780659643995363074,1780659643995363264,1780659637181950306,6813624084,-6813412958,-6813518521,105563,-6813478597,118637
100,1780659637181955676,1780659643995581145,1780659643995581325,1780659637182231540,6813625469,-6813349785,-6813487627,137842,-6813478597,118637
101,1780659637182237180,1780659643995786915,1780659643995787035,1780659637182449366,6813549735,-6813337669,-6813443702,106033,-6813478597,118637
102,1780659637182454786,1780659643995995165,1780659643995995325,1780659637182657482,6813540379,-6813337843,-6813439111,101268,-6813478597,118637
