count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,82802,0,82802,-6813478597,118637
52,86293,0,86293,-6813478597,118637
53,93685,0,93685,-6813478597,118637
54,95776,0,95776,-6813478597,118637
55,100297,0,100297,-6813478597,118637
56,103399,0,103399,-6813478597,118637
57,105890,0,105890,-6813478597,118637
58,113611,0,113611,-6813478597,118637
59,47703,0,47703,-6813478597,118637
60,49584,0,49584,-6813478597,118637
61,53115,0,53115,-6813478597,118637
62,56806,0,56806,-6813478597,118637
63,61158,0,61158,-6813478597,118637
64,66598,0,66598,-6813478597,118637
65,71519,0,71519,-6813478597,118637
66,73091,0,73091,-6813478597,118637
67,76892,0,76892,-6813478597,118637
68,81143,0,81143,-6813478597,118637
69,85705,0,85705,-6813478597,118637
70,90076,0,90076,-6813478597,118637
71,93388,0,93388,-6813478597,118637
72,97470,0,97470,-6813478597,118637
73,100511,0,100511,-6813478597,118637
74,107162,0,107162,-6813478597,118637
75,109714,0,109714,-6813478597,118637
76,115215,0,115215,-6813478597,118637
77,48676,0,48676,-6813478597,118637
78,50297,0,50297,-6813478597,118637
79,57229,0,57229,-6813478597,118637
80,57800,0,57800,-6813478597,118637
81,62341,0,62341,-6813478597,118637
82,64993,0,64993,-6813478597,118637
83,71434,0,71434,-6813478597,118637
84,71705,0,71705,-6813478597,118637
85,75457,0,75457,-6813478597,118637
86,83238,0,83238,-6813478597,118637
87,80219,0,80219,-6813478597,118637
88,79381,0,79381,-6813478597,118637
89,80212,0,80212,-6813478597,118637
90,80644,0,80644,-6813478597,118637
91,83695,0,83695,-6813478597,118637
92,84186,0,84186,-6813478597,118637
93,84609,0,84609,-6813478597,118637
94,85510,0,85510,-6813478597,118637
95,87681,0,87681,-6813478597,118637
96,88413,0,88413,-6813478597,118637
97,96114,0,96114,-6813478597,118637
98,90086,0,90086,-6813478597,118637
99,93937,0,93937,-6813478597,118637
100,94878,0,94878,-6813478597,118637
101,94630,0,94630,-6813478597,118637
102,95521,0,95521,-6813478597,118637
103,93973,0,93973,-6813478597,118637
104,95464,0,95464,-6813478597,118637
105,91535,0,91535,-6813478597,118637
106,91387,0,91387,-6813478597,118637
107,92278,0,92278,-6813478597,118637
108,92510,0,92510,-6813478597,118637
109,93430,0,93430,-6813478597,118637
110,94511,0,94511,-6813478597,118637
111,99653,0,99653,-6813478597,118637
112,97404,0,97404,-6813478597,118637
113,99035,0,99035,-6813478597,118637
114,99838,0,99838,-6813478597,118637
115,98439,0,98439,-6813478597,118637
116,106491,0,106491,-6813478597,118637
117,102092,0,102092,-6813478597,118637
118,102403,0,102403,-6813478597,118637
119,103525,0,103525,-6813478597,118637
120,103106,0,103106,-6813478597,118637
121,104837,0,104837,-6813478597,118637
122,105779,0,105779,-6813478597,118637
123,106930,0,106930,-6813478597,118637
124,107242,0,107242,-6813478597,118637
125,108003,0,108003,-6813478597,118637
126,110344,0,110344,-6813478597,118637
127,111906,0,111906,-6813478597,118637
128,111667,0,111667,-6813478597,118637
129,111729,0,111729,-6813478597,118637
130,112200,0,112200,-6813478597,118637
131,114671,0,114671,-6813478597,118637
132,115653,0,115653,-6813478597,118637
133,117884,0,117884,-6813478597,118637
134,48675,0,48675,-6813478597,118637
135,50547,0,50547,-6813478597,118637
136,52708,0,52708,-6813478597,118637
137,55241,0,55241,-6813478597,118637
138,60482,0,60482,-6813478597,118637
139,45983,0,45983,-6813478597,118637
140,46065,0,46065,-6813478597,118637
141,46716,0,46716,-6813478597,118637
142,49107,0,49107,-6813478597,118637
143,52839,0,52839,-6813478597,118637
144,48450,0,48450,-6813478597,118637
145,48922,0,48922,-6813478597,118637
146,49593,0,49593,-6813478597,118637
147,51784,0,51784,-6813478597,118637
148,51966,0,51966,-6813478597,118637
149,54097,0,54097,-6813478597,118637
150,49469,0,49469,-6813478597,118637
151,49210,0,49210,-6813478597,118637
152,53300,0,53300,-6813478597,118637
153,52002,0,52002,-6813478597,118637
154,53433,0,53433,-6813478597,118637
155,54014,0,54014,-6813478597,118637
