sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780658807208962345,1780658814005523665,1780658814005607675,1780658807209305508,6796561320,-6796302167,-6796431744,129576,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
2,1780658807209332348,1780658814005892515,1780658814005966295,1780658807209659661,6796560167,-6796306634,-6796433401,126766,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
3,1780658807209688610,1780658814006247716,1780658814006276196,1780658807209949856,6796559106,-6796326340,-6796442723,116383,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
4,1780658807209975616,1780658814006546856,1780658814006575406,1780658807210247010,6796571240,-6796328396,-6796449818,121422,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
5,1780658807210272600,1780658814006817376,1780658814006846906,1780658807210514485,6796544776,-6796332421,-6796438599,106177,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
6,1780658807210540355,1780658814007080846,1780658814007103626,1780658807210771290,6796540491,-6796332336,-6796436414,104077,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
7,1780658807210794120,1780658814007273926,1780658814007300756,1780658807210963156,6796479806,-6796337600,-6796408703,71103,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
8,1780658807210988366,1780658814007539386,1780658814007560146,1780658807211221681,6796551020,-6796338465,-6796444743,106277,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
9,1780658807211246651,1780658814007800137,1780658814007822197,1780658807211490236,6796553486,-6796331961,-6796442724,110762,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
10,1780658807211514765,1780658814008050017,1780658814008069957,1780658807211733911,6796535252,-6796336046,-6796435649,99603,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
11,1780658807211757130,1780658814008302597,1780658814008322567,1780658807211972936,6796545467,-6796349631,-6796447549,97918,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
12,1780658807211993776,1780658814008470717,1780658814008497557,1780658807212143473,6796476941,-6796354084,-6796415513,61428,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
13,1780658807212164412,1780658814008716177,1780658814008736207,1780658807212383178,6796551765,-6796353029,-6796452397,99368,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
14,1780658807212403848,1780658814008954997,1780658814008974857,1780658807212624633,6796551149,-6796350224,-6796450687,100462,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
15,1780658807212645463,1780658814009182188,1780658814009201918,1780658807212849340,6796536725,-6796352578,-6796444652,92073,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
16,1780658807212869549,1780658814009403838,1780658814009421998,1780658807213070255,6796534289,-6796351743,-6796443016,91273,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
17,1780658807213091215,1780658814009563008,1780658814009641578,1780658807213308501,6796471793,-6796333077,-6796402435,69358,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
18,1780658807213329110,1780658814009880388,1780658814009911328,1780658807213567945,6796551278,-6796343383,-6796447331,103947,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
19,1780658807213599435,1780658814010149518,1780658814010176068,1780658807213830690,6796550083,-6796345378,-6796447731,102352,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
20,1780658807213851990,1780658814010389268,1780658814010415758,1780658807214069315,6796537278,-6796346443,-6796441861,95417,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
21,1780658807214090445,1780658814010627989,1780658814010649939,1780658807214297921,6796537544,-6796352018,-6796444781,92763,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
22,1780658807214318480,1780658814010789819,1780658814010819539,1780658807214469317,6796471339,-6796350222,-6796410781,60558,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
23,1780658807214490737,1780658814011041629,1780658814011062489,1780658807214713343,6796550892,-6796349146,-6796450019,100873,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
24,1780658807214735292,1780658814011287669,1780658814011308579,1780658807214957188,6796552377,-6796351391,-6796451884,100493,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-6796442682,-6796440174,-6796444844,-6796442682,14779.737721,5668,91928,92332,58623,98032,108557,91928,0,ok
