count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,343722,0,343722,343722,-6796442682,91928
52,342292,0,342292,342292,-6796442682,91928
53,340902,0,340902,340902,-6796442682,91928
54,340252,0,340252,340252,-6796442682,91928
55,337952,0,337952,337952,-6796442682,91928
56,335962,0,335962,335962,-6796442682,91928
57,333392,0,333392,333392,-6796442682,91928
58,331822,0,331822,331822,-6796442682,91928
59,315303,0,315303,315303,-6796442682,91928
60,313403,0,313403,313403,-6796442682,91928
61,311733,0,311733,311733,-6796442682,91928
62,309413,0,309413,309413,-6796442682,91928
63,307413,0,307413,307413,-6796442682,91928
64,306303,0,306303,306303,-6796442682,91928
65,343603,0,343603,343603,-6796442682,91928
66,338013,0,338013,338013,-6796442682,91928
67,335884,0,335884,335884,-6796442682,91928
68,334024,0,334024,334024,-6796442682,91928
69,331834,0,331834,331834,-6796442682,91928
70,330494,0,330494,330494,-6796442682,91928
71,328504,0,328504,328504,-6796442682,91928
72,327924,0,327924,327924,-6796442682,91928
73,325554,0,325554,325554,-6796442682,91928
74,323564,0,323564,323564,-6796442682,91928
75,321624,0,321624,321624,-6796442682,91928
76,412664,0,412664,412664,-6796442682,91928
77,411244,0,411244,411244,-6796442682,91928
78,409304,0,409304,409304,-6796442682,91928
79,407504,0,407504,407504,-6796442682,91928
80,405095,0,405095,405095,-6796442682,91928
81,402395,0,402395,402395,-6796442682,91928
82,400315,0,400315,400315,-6796442682,91928
83,399035,0,399035,399035,-6796442682,91928
84,397125,0,397125,397125,-6796442682,91928
85,395545,0,395545,395545,-6796442682,91928
86,393955,0,393955,393955,-6796442682,91928
87,392225,0,392225,392225,-6796442682,91928
88,390805,0,390805,390805,-6796442682,91928
89,388375,0,388375,388375,-6796442682,91928
90,386415,0,386415,386415,-6796442682,91928
91,384975,0,384975,384975,-6796442682,91928
92,383215,0,383215,383215,-6796442682,91928
93,381985,0,381985,381985,-6796442682,91928
94,380175,0,380175,380175,-6796442682,91928
95,378376,0,378376,378376,-6796442682,91928
96,376666,0,376666,376666,-6796442682,91928
97,398076,0,398076,398076,-6796442682,91928
98,589616,0,589616,589616,-6796442682,91928
99,589846,0,589846,589846,-6796442682,91928
100,588106,0,588106,588106,-6796442682,91928
101,586536,0,586536,586536,-6796442682,91928
102,584946,0,584946,584946,-6796442682,91928
103,583456,0,583456,583456,-6796442682,91928
104,582036,0,582036,582036,-6796442682,91928
105,579556,0,579556,579556,-6796442682,91928
106,577936,0,577936,577936,-6796442682,91928
107,576456,0,576456,576456,-6796442682,91928
108,574606,0,574606,574606,-6796442682,91928
109,560887,0,560887,560887,-6796442682,91928
110,559197,0,559197,559197,-6796442682,91928
111,557717,0,557717,557717,-6796442682,91928
112,556907,0,556907,556907,-6796442682,91928
113,555247,0,555247,555247,-6796442682,91928
114,553487,0,553487,553487,-6796442682,91928
115,551727,0,551727,551727,-6796442682,91928
116,549907,0,549907,549907,-6796442682,91928
117,547957,0,547957,547957,-6796442682,91928
118,546387,0,546387,546387,-6796442682,91928
119,544368,0,544368,544368,-6796442682,91928
120,543968,0,543968,543968,-6796442682,91928
121,541818,0,541818,541818,-6796442682,91928
122,539798,0,539798,539798,-6796442682,91928
123,538578,0,538578,538578,-6796442682,91928
124,536628,0,536628,536628,-6796442682,91928
125,534608,0,534608,534608,-6796442682,91928
126,532768,0,532768,532768,-6796442682,91928
127,530688,0,530688,530688,-6796442682,91928
128,529788,0,529788,529788,-6796442682,91928
129,527738,0,527738,527738,-6796442682,91928
130,525878,0,525878,525878,-6796442682,91928
131,523948,0,523948,523948,-6796442682,91928
132,522098,0,522098,522098,-6796442682,91928
133,520169,0,520169,520169,-6796442682,91928
134,518389,0,518389,518389,-6796442682,91928
135,516159,0,516159,516159,-6796442682,91928
136,515219,0,515219,515219,-6796442682,91928
137,554389,0,554389,554389,-6796442682,91928
138,553059,0,553059,553059,-6796442682,91928
139,551179,0,551179,551179,-6796442682,91928
140,549119,0,549119,549119,-6796442682,91928
141,547429,0,547429,547429,-6796442682,91928
142,544339,0,544339,544339,-6796442682,91928
143,541579,0,541579,541579,-6796442682,91928
144,540929,0,540929,540929,-6796442682,91928
145,539439,0,539439,539439,-6796442682,91928
146,537569,0,537569,537569,-6796442682,91928
147,535970,0,535970,535970,-6796442682,91928
148,534240,0,534240,534240,-6796442682,91928
149,532630,0,532630,532630,-6796442682,91928
150,529730,0,529730,529730,-6796442682,91928
151,562630,0,562630,562630,-6796442682,91928
152,107269,0,107269,107269,-6796442682,91928
153,105369,0,105369,105369,-6796442682,91928
154,100779,0,100779,100779,-6796442682,91928
155,99199,0,99199,99199,-6796442682,91928
156,97579,0,97579,97579,-6796442682,91928
157,94599,0,94599,94599,-6796442682,91928
158,194530,0,194530,194530,-6796442682,91928
159,190850,0,190850,190850,-6796442682,91928
160,190100,0,190100,190100,-6796442682,91928
161,188230,0,188230,188230,-6796442682,91928
162,185450,0,185450,185450,-6796442682,91928
163,184140,0,184140,184140,-6796442682,91928
164,182380,0,182380,182380,-6796442682,91928
165,178610,0,178610,178610,-6796442682,91928
166,177050,0,177050,177050,-6796442682,91928
167,214020,0,214020,214020,-6796442682,91928
168,208750,0,208750,208750,-6796442682,91928
169,207280,0,207280,207280,-6796442682,91928
170,205391,0,205391,205391,-6796442682,91928
171,203241,0,203241,203241,-6796442682,91928
172,201421,0,201421,201421,-6796442682,91928
173,199331,0,199331,199331,-6796442682,91928
174,197481,0,197481,197481,-6796442682,91928
175,194341,0,194341,194341,-6796442682,91928
176,265851,0,265851,265851,-6796442682,91928
177,264711,0,264711,264711,-6796442682,91928
178,263221,0,263221,263221,-6796442682,91928
179,261571,0,261571,261571,-6796442682,91928
180,260031,0,260031,260031,-6796442682,91928
181,258161,0,258161,258161,-6796442682,91928
182,252591,0,252591,252591,-6796442682,91928
183,250432,0,250432,250432,-6796442682,91928
184,249572,0,249572,249572,-6796442682,91928
185,247802,0,247802,247802,-6796442682,91928
186,246032,0,246032,246032,-6796442682,91928
187,243882,0,243882,243882,-6796442682,91928
188,416002,0,416002,416002,-6796442682,91928
189,417182,0,417182,417182,-6796442682,91928
190,415542,0,415542,415542,-6796442682,91928
191,413572,0,413572,413572,-6796442682,91928
192,412072,0,412072,412072,-6796442682,91928
193,410372,0,410372,410372,-6796442682,91928
194,408852,0,408852,408852,-6796442682,91928
195,407272,0,407272,407272,-6796442682,91928
196,405722,0,405722,405722,-6796442682,91928
197,403863,0,403863,403863,-6796442682,91928
198,402533,0,402533,402533,-6796442682,91928
199,400823,0,400823,400823,-6796442682,91928
200,398283,0,398283,398283,-6796442682,91928
201,396613,0,396613,396613,-6796442682,91928
202,394983,0,394983,394983,-6796442682,91928
203,393263,0,393263,393263,-6796442682,91928
204,391513,0,391513,391513,-6796442682,91928
205,391153,0,391153,391153,-6796442682,91928
206,389673,0,389673,389673,-6796442682,91928
207,387723,0,387723,387723,-6796442682,91928
208,385243,0,385243,385243,-6796442682,91928
209,383753,0,383753,383753,-6796442682,91928
210,382033,0,382033,382033,-6796442682,91928
211,380494,0,380494,380494,-6796442682,91928
212,379014,0,379014,379014,-6796442682,91928
213,377574,0,377574,377574,-6796442682,91928
214,376044,0,376044,376044,-6796442682,91928
