round,ts_swap_ns,werner_a,werner_b,werner_result,pswap_success_bit
0,1790179520188290779,0.394129,0.967819,0.381445,1
1,1790179523197364366,0.991309,0.861631,0.854143,1
2,1790179523199143393,0.843979,0.991021,0.000000,0
3,1790179535223985428,0.985053,0.656571,0.000000,0
4,1790179535224996905,0.990020,0.553894,0.000000,0
5,1790179544243372585,0.549909,0.984620,0.541451,1
6,1790179544245471307,0.990258,0.406945,0.000000,0
7,1790179544246296466,0.674877,0.990020,0.000000,0
8,1790179544247536350,0.991021,0.347738,0.000000,0
9,1790179544248760263,0.991130,0.485129,0.000000,0
10,1790179544249248617,0.937593,0.991179,0.000000,0
11,1790179556269146946,0.983488,0.611265,0.000000,0
