round,gen_attempts,t_gen_total_ns,gen_rtt_ns,ts_gen_success_ns,ts_swap_ns,swap_to_recv_ns,t_exp_ns,werner,pgen_success_bit,pswap_success_bit
0,1,353168,393417,1790175101250685722,1790175101251190415,133213,504693,0.518596,1,1
1,1,254468,299638,1790175101251632216,1790175101252099673,109560,467457,0.000000,1,0
2,1,238628,258988,1790175101252475521,1790175101252583107,113214,107586,0.791364,1,1
3,1,193899,213799,1790175101252912510,1790175101253004511,86768,92001,0.819774,1,1
4,1,159709,177969,1790175101253271028,1790175101253407166,70741,136138,0.806487,1,1
5,1,158299,174229,1790175101253655576,1790175101253823910,70384,168334,0.781981,1,1
6,1,165609,180349,1790175101254077923,1790175101254634130,72270,556207,0.528078,1,1
7,1,159159,174669,1790175101254888209,1790175101255052264,68183,164055,0.784792,1,1
8,1,155059,170209,1790175101255293256,1790175101255482428,67637,189172,0.000000,1,0
9,1,156759,171699,1790175101255724315,1790175101255909033,80330,184718,0.000000,1,0
10,1,158119,172939,1790175101256165362,1790175101256336667,70954,171305,0.779769,1,1
11,1,152769,168089,1790175101256577760,1790175101256767891,68937,190131,0.766366,1,1
12,1,142010,156869,1790175101256996198,1790175101257198306,69430,202108,0.756996,1,1
13,2,299698,157569,1790175101257581104,1790175101257625590,74034,44486,0.886975,1,1
14,2,308559,160480,1790175101258030172,1790175101258025345,68926,0,0.932460,1,1
15,1,134319,152879,1790175101258250270,1790175101258452779,67640,202509,0.759135,1,1
16,3,2220936,652046,1790175107268003674,1790175107268245478,227974,241804,0.605171,1,1
17,1,274508,324568,1790175107268805890,1790175107268875300,110039,69410,0.000000,1,0
18,1,253658,278958,1790175107269271587,1790175107269839467,111806,567880,0.500974,1,1
19,2,478667,226449,1790175107270457360,1790175107270365800,124820,0,0.906568,1,1
20,2,330388,167948,1790175107270844888,1790175107270787354,120613,0,0.974960,1,1
21,1,156939,176649,1790175107271086946,1790175107271202919,68577,115973,0.825086,1,1
22,1,155429,174569,1790175107271448305,1790175107271632393,65040,184088,0.000000,1,0
23,1,159379,179969,1790175107271883012,1790175107272047408,70113,164396,0.785561,1,1
24,2,303278,157429,1790175107272443079,1790175107272514331,67527,71252,0.865475,1,1
25,1,148649,168049,1790175107272752447,1790175107272952036,69869,199589,0.000000,1,0
26,1,162669,182349,1790175107273206644,1790175107273384350,74202,177706,0.000000,1,0
27,1,142159,160479,1790175107273623021,1790175107273814584,68926,191563,0.000000,1,0
28,1,141569,161519,1790175107274046839,1790175107274242319,69129,195480,0.763412,1,1
29,3,461287,163639,1790175107274794615,1790175107274736892,119793,0,0.927884,1,1
30,1,139549,157439,1790175107275018324,1790175107275134137,68466,115813,0.000000,1,0
31,1,140560,158949,1790175107275365122,1790175107275547231,65369,182109,0.774261,1,1
32,1,140729,159619,1790175107275774239,1790175107276369050,70285,594811,0.512133,1,1
33,1,141059,160729,1790175107276606324,1790175107276808695,71147,202371,0.000000,1,0
34,1,147409,166049,1790175107277049241,1790175107277238429,66922,189188,0.766549,1,1
