round,gen_attempts,t_gen_total_ns,gen_rtt_ns,ts_gen_success_ns,ts_swap_ns,swap_to_recv_ns,t_exp_ns,werner,pgen_success_bit,pswap_success_bit
0,1,836723,858083,1789999669194209443,1789999669194374021,285494,164578,0.598658,1,1
1,1,586562,599422,1789999669195267087,1789999669194993613,273564,0,0.974686,1,1
2,1,394482,402512,1789999669195685919,1789999669195430407,255602,0,0.000000,1,0
3,1,388831,395941,1789999669196091870,1789999669195842731,267849,0,0.000000,1,0
4,1,389582,397272,1789999669196508732,1789999669196254986,253836,0,0.000000,1,0
5,1,388011,395802,1789999669196913053,1789999669196659511,253622,0,0.826060,1,1
6,1,378431,385331,1789999669197307505,1789999669197171534,256922,0,0.878984,1,1
7,1,372911,379771,1789999669197810037,1789999669197562349,284238,0,0.000000,1,0
8,2,761053,385901,1789999669198626790,1789999669198377038,290032,0,0.000000,1,0
9,1,378752,386072,1789999669199055072,1789999669198804212,250950,0,0.755658,1,1
10,1,378081,399792,1789999669199449093,1789999669199199287,295777,0,0.000000,1,0
11,1,372441,383221,1789999669199881185,1789999669199628711,290144,0,0.755628,1,1
12,1,363002,374402,1789999669200294887,1789999669200043865,293342,0,0.762056,1,1
13,1,367561,379582,1789999669200717658,1789999669200464330,253398,0,0.758982,1,1
14,1,367081,378751,1789999669201105450,1789999669200853765,251755,0,0.901443,1,1
15,1,372912,384362,1789999669201498262,1789999669201243230,294062,0,0.785318,1,1
16,1,370311,382331,1789999669201920403,1789999669201667074,253419,0,0.755794,1,1
17,1,364132,375192,1789999669202304845,1789999669202055499,293186,0,0.787370,1,1
18,1,367121,379041,1789999669202728846,1789999669202480163,291914,0,0.758604,1,1
19,1,363281,374501,1789999669203148368,1789999669202899238,290380,0,0.000000,1,0
20,1,372552,384632,1789999669203586590,1789999669203331912,254768,0,0.000000,1,0
21,1,366621,377801,1789999669203973701,1789999669203723237,294754,0,0.779590,1,1
22,2,753303,382591,1789999669204784094,1789999669204531576,252588,0,0.512123,1,1
23,1,369792,381312,1789999669205174056,1789999669204921211,252915,0,0.000000,1,0
24,1,369261,380401,1789999669205567017,1789999669205315446,292791,0,0.000000,1,0
25,1,362572,373162,1789999669205984009,1789999669205736530,289719,0,0.755167,1,1
26,1,371431,382342,1789999669206410110,1789999669206159364,290267,0,0.765042,1,1
27,1,365711,377151,1789999669206833112,1789999669206583989,290963,0,0.764222,1,1
28,2,741853,378111,1789999669207629765,1789999669207378678,289937,0,0.522447,1,1
29,1,369402,381372,1789999669208051157,1789999669207798483,252734,0,0.761529,1,1
30,1,372121,387381,1789999669208443758,1789999669208188898,295591,0,0.786906,1,1
31,1,366901,378051,1789999669208864550,1789999669208613622,290818,0,0.000000,1,0
32,1,367032,377732,1789999669209284232,1789999669209035126,290016,0,0.758748,1,1
33,1,368731,379771,1789999669209706743,1789999669209454751,293283,0,0.000000,1,0
34,1,369281,383141,1789999669210130175,1789999669209878695,251550,0,0.000000,1,0
35,1,376022,388002,1789999669210528407,1789999669210277040,294847,0,0.000000,1,0
36,1,365921,377551,1789999669210951428,1789999669210701284,290974,0,0.000000,1,0
37,1,366792,379022,1789999669211371720,1789999669211119399,252391,0,0.762809,1,1
38,1,365521,376861,1789999669211757451,1789999669211506704,294788,0,0.789917,1,1
39,1,368681,384851,1789999669212182783,1789999669211931098,292225,0,0.000000,1,0
40,1,368252,379242,1789999669212604615,1789999669212354253,292242,0,0.758557,1,1
41,2,757743,391682,1789999669213417198,1789999669213165622,291446,0,0.514463,1,1
42,1,366861,377771,1789999669213836739,1789999669213586846,290193,0,0.000000,1,0
43,1,363182,374022,1789999669214252771,1789999669214004851,289630,0,0.764451,1,1
44,1,369531,380912,1789999669214676672,1789999669214425675,292948,0,0.767354,1,1
45,1,367511,379201,1789999669215099034,1789999669214847690,290054,0,0.759666,1,1
46,1,370892,382762,1789999669215521456,1789999669215266174,291922,0,0.889159,1,1
47,1,365751,377051,1789999669215936717,1789999669215687658,289579,0,0.881996,1,1
48,1,363421,375301,1789999669216353629,1789999669216105193,289536,0,0.760198,1,1
49,1,368512,380182,1789999669216775921,1789999669216523137,290664,0,0.000000,1,0
50,1,363721,375721,1789999669217190212,1789999669216941312,289140,0,0.761110,1,1
51,1,367842,379982,1789999669217610944,1789999669217360136,292368,0,0.000000,1,0
52,1,367662,379202,1789999669218032886,1789999669217781191,251785,0,0.760175,1,1
53,1,374111,385661,1789999669218427307,1789999669218176065,294852,0,0.779334,1,1
54,1,363792,374822,1789999669218847829,1789999669218599320,290539,0,0.000000,1,0
55,1,363631,375241,1789999669219270150,1789999669219020384,290247,0,0.000000,1,0
56,1,371951,383581,1789999669219695322,1789999669219442049,253353,0,0.760905,1,1
57,1,365702,376892,1789999669220080894,1789999669219831224,291980,0,0.784423,1,1
58,1,374491,385901,1789999669220510645,1789999669220261098,291117,0,0.754442,1,1
59,1,367321,378511,1789999669220933827,1789999669220684102,291025,0,0.760016,1,1
60,1,362452,373502,1789999669221350379,1789999669221102707,290382,0,0.000000,1,0
61,2,753513,385712,1789999669222159102,1789999669221899656,259536,0,0.000000,1,0
