seq,ts_emit,w,bit
0,1789388428905785018,0.475,1
1,1789388428906406968,0.475,1
2,1789388428907004814,0.475,1
3,1789388428907587987,0.475,1
4,1789388428908167210,0.475,1
5,1789388428908745578,0.475,1
6,1789388428909326346,0.475,1
7,1789388428909907985,0.475,1
8,1789388428910490511,0.475,1
9,1789388428911111702,0.475,1
10,1789388428911780072,0.475,1
11,1789388428912395871,0.475,1
12,1789388428913012359,0.0,0
13,1789388428913636788,0.475,1
14,1789388428914244429,0.475,1
15,1789388428914847187,0.475,1
16,1789388428915439807,0.475,1
17,1789388428916031122,0.475,1
18,1789388428916616411,0.475,1
19,1789388428917200003,0.475,1
20,1789388428917789501,0.475,1
21,1789388428918420332,0.475,1
22,1789388428919034042,0.475,1
23,1789388428919636008,0.475,1
24,1789388428920238226,0.475,1
25,1789388428920837463,0.0,0
26,1789388428921436768,0.475,1
27,1789388428922103313,0.475,1
28,1789388428922691122,0.475,1
29,1789388428923278897,0.0,0
30,1789388428923860904,0.0,0
31,1789388428924447672,0.475,1
32,1789388428925075460,0.475,1
33,1789388428925686353,0.475,1
34,1789388428926279308,0.475,1
35,1789388428926873751,0.475,1
36,1789388428927469710,0.475,1
37,1789388428928065765,0.475,1
38,1789388428928663304,0.475,1
39,1789388428929255664,0.475,1
40,1789388428929848595,0.0,0
41,1789388428930439499,0.475,1
42,1789388428931028958,0.475,1
43,1789388428931614012,0.475,1
44,1789388428932217004,0.475,1
45,1789388428932844188,0.475,1
46,1789388428933443041,0.475,1
47,1789388428934036312,0.475,1
48,1789388428934624822,0.475,1
49,1789388428935209485,0.475,1
50,1789388428935806152,0.475,1
51,1789388428936397638,0.475,1
52,1789388428936989494,0.475,1
53,1789388428937579597,0.475,1
54,1789388428938170965,0.475,1
55,1789388428938759413,0.475,1
56,1789388428939350906,0.475,1
57,1789388428939945989,0.475,1
58,1789388428940539124,0.475,1
59,1789388428941126757,0.475,1
60,1789388428941711315,0.475,1
61,1789388428942295402,0.475,1
62,1789388428942878833,0.0,0
63,1789388428943463356,0.0,0
64,1789388428944049550,0.0,0
65,1789388428944643618,0.0,0
66,1789388428945237636,0.475,1
67,1789388428945832144,0.475,1
68,1789388428946420965,0.475,1
69,1789388428947015209,0.475,1
70,1789388428947611868,0.475,1
71,1789388428948201994,0.475,1
72,1789388428948789140,0.475,1
73,1789388428949378644,0.475,1
74,1789388428950006075,0.475,1
75,1789388428950592933,0.0,0
76,1789388428951175038,0.475,1
77,1789388428951756668,0.475,1
78,1789388428952384183,0.475,1
79,1789388428952967546,0.475,1
80,1789388428953563005,0.475,1
81,1789388428954151034,0.475,1
82,1789388428954738028,0.475,1
83,1789388428955320969,0.475,1
84,1789388428955906828,0.0,0
85,1789388428956498552,0.475,1
86,1789388428957091635,0.0,0
87,1789388428957674782,0.475,1
