count_idx,delay_ns,delay_physical_ns,ts_r1_ns,stage1_recv_local_ns,stage1_recv_r1_ns,bits_r1,w12,w34,w14,werner_intermediate,state_after_stage1_peer_id
51,4228,4228,1781173907004225752,1781173907004229980,1781173907004229980,1,1.000000000000,1.000000000000,1.000000000000,0.991579651408,3
52,3983,3983,1781173907004284891,1781173907004288874,1781173907004288874,0,1.000000000000,1.000000000000,1.000000000000,0.992065644496,3
53,3688,3688,1781173907004343530,1781173907004347218,1781173907004347218,2,1.000000000000,1.000000000000,1.000000000000,0.992651135929,3
54,6832,6832,1781173907004404998,1781173907004411830,1781173907004411830,1,1.000000000000,1.000000000000,1.000000000000,0.986428928707,3
55,6121,6121,1781173907004480992,1781173907004487113,1781173907004487113,0,1.000000000000,1.000000000000,1.000000000000,0.987832628438,3
56,5955,5955,1781173907004555749,1781173907004561704,1781173907004561704,2,1.000000000000,1.000000000000,1.000000000000,0.988160643318,3
57,4054,4054,1781173907004615994,1781173907004620048,1781173907004620048,0,1.000000000000,1.000000000000,1.000000000000,0.991924781176,3
58,6516,6516,1781173907004689073,1781173907004695589,1781173907004695589,0,1.000000000000,1.000000000000,1.000000000000,0.987052548833,3
59,4402,4402,1781173907004753362,1781173907004757764,1781173907004757764,3,1.000000000000,1.000000000000,1.000000000000,0.991234641724,3
60,6362,6362,1781173907004826666,1781173907004833028,1781173907004833028,3,1.000000000000,1.000000000000,1.000000000000,0.987356607841,3
61,3985,3985,1781173907004889487,1781173907004893472,1781173907004893472,2,1.000000000000,1.000000000000,1.000000000000,0.992061676241,3
62,6707,6707,1781173907004975324,1781173907004982031,1781173907004982031,3,1.000000000000,1.000000000000,1.000000000000,0.986675566768,3
63,4359,4359,1781173907005052493,1781173907005056852,1781173907005056852,2,1.000000000000,1.000000000000,1.000000000000,0.991319891569,3
64,5556,5556,1781173907005125912,1781173907005131468,1781173907005131468,1,1.000000000000,1.000000000000,1.000000000000,0.988949510227,3
65,5582,5582,1781173907005198833,1781173907005204415,1781173907005204415,2,1.000000000000,1.000000000000,1.000000000000,0.988898086190,3
66,5583,5583,1781173907005271425,1781173907005277008,1781173907005277008,3,1.000000000000,1.000000000000,1.000000000000,0.988896108396,3
67,5586,5586,1781173907005343910,1781173907005349496,1781173907005349496,2,1.000000000000,1.000000000000,1.000000000000,0.988890175037,3
68,5567,5567,1781173907005415997,1781173907005421564,1781173907005421564,0,1.000000000000,1.000000000000,1.000000000000,0.988927753577,3
69,5626,5626,1781173907005488654,1781173907005494280,1781173907005494280,1,1.000000000000,1.000000000000,1.000000000000,0.988811066987,3
