count_idx,delay_ns,delay_physical_ns,final_e2e_via_r2_ns,stage2_link_delay_ns,stage1_delay_ns,ts_r1_ns,ts_r2_ns,ts_r2_on_r1_ns,stage1_recv_r1_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_r1,bits_final,w14,w56,w_final_raw,werner_intermediate,werner_final,state_after_stage1_peer_id,state_final_peer_id
51,101285,101285,101285,3748,4228,1781173907004225752,1781173907004323289,1781173907004323289,1781173907004229980,1781173907004327037,1781173907004327037,1,1,1.000000000000,1.000000000000,1.000000000000,0.991579651408,0.816629316545,3,4
52,57762,57762,57762,5681,3983,1781173907004284891,1781173907004336972,1781173907004336972,1781173907004288874,1781173907004342653,1781173907004342653,0,2,1.000000000000,1.000000000000,1.000000000000,0.992065644496,0.890899190400,3,4
53,20294,20294,20294,3798,3688,1781173907004343530,1781173907004360026,1781173907004360026,1781173907004347218,1781173907004363824,1781173907004363824,2,1,1.000000000000,1.000000000000,1.000000000000,0.992651135929,0.960224661023,3,4
54,105208,105208,105208,16006,6832,1781173907004404998,1781173907004494200,1781173907004494200,1781173907004411830,1781173907004510206,1781173907004510206,1,0,1.000000000000,1.000000000000,1.000000000000,0.986428928707,0.810247113052,3,4
55,100552,100552,100552,5737,6121,1781173907004480992,1781173907004575807,1781173907004575807,1781173907004487113,1781173907004581544,1781173907004581544,0,1,1.000000000000,1.000000000000,1.000000000000,0.987832628438,0.817827373084,3,4
56,41993,41993,41993,3704,5955,1781173907004555749,1781173907004594038,1781173907004594038,1781173907004561704,1781173907004597742,1781173907004597742,2,1,1.000000000000,1.000000000000,1.000000000000,0.988160643318,0.919444128223,3,4
57,51000,51000,51000,6266,4054,1781173907004615994,1781173907004660728,1781173907004660728,1781173907004620048,1781173907004666994,1781173907004666994,0,1,1.000000000000,1.000000000000,1.000000000000,0.991924781176,0.903029551669,3,4
58,30853,30853,30853,5962,6516,1781173907004689073,1781173907004713964,1781173907004713964,1781173907004695589,1781173907004719926,1781173907004719926,0,3,1.000000000000,1.000000000000,1.000000000000,0.987052548833,0.940159252984,3,4
59,46972,46972,46972,6020,4402,1781173907004753362,1781173907004794314,1781173907004794314,1781173907004757764,1781173907004800334,1781173907004800334,3,1,1.000000000000,1.000000000000,1.000000000000,0.991234641724,0.910333739503,3,4
60,31354,31354,31354,5788,6362,1781173907004826666,1781173907004852232,1781173907004852232,1781173907004833028,1781173907004858020,1781173907004858020,3,1,1.000000000000,1.000000000000,1.000000000000,0.987356607841,0.939217685216,3,4
61,83893,83893,83893,13919,3985,1781173907004889487,1781173907004959461,1781173907004959461,1781173907004893472,1781173907004973380,1781173907004973380,2,1,1.000000000000,1.000000000000,1.000000000000,0.992061676241,0.845534759764,3,4
62,64307,64307,64307,5478,6707,1781173907004975324,1781173907005034153,1781173907005034153,1781173907004982031,1781173907005039631,1781173907005039631,3,0,1.000000000000,1.000000000000,1.000000000000,0.986675566768,0.879313314987,3,4
63,48932,48932,48932,5001,4359,1781173907005052493,1781173907005096424,1781173907005096424,1781173907005056852,1781173907005101425,1781173907005101425,2,0,1.000000000000,1.000000000000,1.000000000000,0.991319891569,0.906772216390,3,4
64,43294,43294,43294,5332,5556,1781173907005125912,1781173907005163874,1781173907005163874,1781173907005131468,1781173907005169206,1781173907005169206,1,2,1.000000000000,1.000000000000,1.000000000000,0.988949510227,0.917054844407,3,4
65,42777,42777,42777,5231,5582,1781173907005198833,1781173907005236379,1781173907005236379,1781173907005204415,1781173907005241610,1781173907005241610,2,1,1.000000000000,1.000000000000,1.000000000000,0.988898086190,0.918003569523,3,4
66,42597,42597,42597,5080,5583,1781173907005271425,1781173907005308942,1781173907005308942,1781173907005277008,1781173907005314022,1781173907005314022,3,1,1.000000000000,1.000000000000,1.000000000000,0.988896108396,0.918334110302,3,4
67,42500,42500,42500,5202,5586,1781173907005343910,1781173907005381208,1781173907005381208,1781173907005349496,1781173907005386410,1781173907005386410,2,2,1.000000000000,1.000000000000,1.000000000000,0.988890175037,0.918512284401,3,4
68,42622,42622,42622,5105,5567,1781173907005415997,1781173907005453514,1781173907005453514,1781173907005421564,1781173907005458619,1781173907005458619,0,0,1.000000000000,1.000000000000,1.000000000000,0.988927753577,0.918288194744,3,4
69,43050,43050,43050,5120,5626,1781173907005488654,1781173907005526584,1781173907005526584,1781173907005494280,1781173907005531704,1781173907005531704,1,2,1.000000000000,1.000000000000,1.000000000000,0.988811066987,0.917502476385,3,4
70,42646,42646,42646,5182,5612,1781173907005563400,1781173907005600864,1781173907005600864,1781173907005569012,1781173907005606046,1781173907005606046,2,0,1.000000000000,1.000000000000,1.000000000000,0.988838754085,0.918244117969,3,4
71,57886,57886,57886,6195,5693,1781173907005636136,1781173907005687827,1781173907005687827,1781173907005641829,1781173907005694022,1781173907005694022,2,0,1.000000000000,1.000000000000,1.000000000000,0.988678575181,0.890678274795,3,4
72,38883,38883,38883,4701,5121,1781173907005720578,1781173907005754760,1781173907005754760,1781173907005725699,1781173907005759461,1781173907005759461,1,0,1.000000000000,1.000000000000,1.000000000000,0.989810270678,0.925180893545,3,4
73,49569,49569,49569,4832,5016,1781173907005791078,1781173907005835815,1781173907005835815,1781173907005796094,1781173907005840647,1781173907005840647,0,3,1.000000000000,1.000000000000,1.000000000000,0.990018152661,0.905617724154,3,4
74,38925,38925,38925,4771,5041,1781173907005871828,1781173907005905982,1781173907005905982,1781173907005876869,1781173907005910753,1781173907005910753,3,2,1.000000000000,1.000000000000,1.000000000000,0.989968652991,0.925103181614,3,4
75,39039,39039,39039,4632,5138,1781173907005942465,1781173907005976872,1781173907005976872,1781173907005947603,1781173907005981504,1781173907005981504,3,1,1.000000000000,1.000000000000,1.000000000000,0.989776617701,0.924892282132,3,4
