count_idx,delay_ns,delay_physical_ns,final_e2e_via_r2_ns,stage2_link_delay_ns,stage1_delay_ns,ts_r1_ns,ts_r2_ns,ts_r2_on_r1_ns,stage1_recv_r1_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_r1,bits_final,w14,w56,w_final_raw,werner_intermediate,werner_final,state_after_stage1_peer_id,state_final_peer_id
51,18405,18405,18405,3311,4065,1781173949100762658,1781173949100777752,1781173949100777752,1781173949100766723,1781173949100781063,1781173949100781063,1,3,1.000000000000,1.000000000000,1.000000000000,0.991902959070,0.963859251210,3,4
52,36213,36213,36213,5976,2434,1781173949100820120,1781173949100850357,1781173949100850357,1781173949100822554,1781173949100856333,1781173949100856333,0,1,1.000000000000,1.000000000000,1.000000000000,0.995143829509,0.930134574072,3,4
53,46731,46731,46731,5376,4152,1781173949100884050,1781173949100925405,1781173949100925405,1781173949100888202,1781173949100930781,1781173949100930781,1,3,1.000000000000,1.000000000000,1.000000000000,0.991730382970,0.910772626128,3,4
54,55637,55637,55637,5386,4138,1781173949100949901,1781173949101000152,1781173949101000152,1781173949100954039,1781173949101005538,1781173949101005538,3,0,1.000000000000,1.000000000000,1.000000000000,0.991758151810,0.894693569303,3,4
55,22593,22593,22593,3298,4062,1781173949101015704,1781173949101034999,1781173949101034999,1781173949101019766,1781173949101038297,1781173949101038297,1,2,1.000000000000,1.000000000000,1.000000000000,0.991908910506,0.955819682837,3,4
56,34957,34957,34957,5347,2202,1781173949101072863,1781173949101102473,1781173949101102473,1781173949101075065,1781173949101107820,1781173949101107820,2,2,1.000000000000,1.000000000000,1.000000000000,0.995605683388,0.932474009223,3,4
57,29532,29532,29532,3628,3734,1781173949101137052,1781173949101162956,1781173949101162956,1781173949101140786,1781173949101166584,1781173949101166584,3,0,1.000000000000,1.000000000000,1.000000000000,0.992559816225,0.942646437854,3,4
58,37503,37503,37503,3506,4032,1781173949101203290,1781173949101237287,1781173949101237287,1781173949101207322,1781173949101240793,1781173949101240793,3,1,1.000000000000,1.000000000000,1.000000000000,0.991968426826,0.927737919884,3,4
59,37018,37018,37018,3647,4026,1781173949101279220,1781173949101312591,1781173949101312591,1781173949101283246,1781173949101316238,1781173949101316238,2,1,1.000000000000,1.000000000000,1.000000000000,0.991980330519,0.928638262262,3,4
60,36724,36724,36724,3545,4088,1781173949101353144,1781173949101386323,1781173949101386323,1781173949101357232,1781173949101389868,1781173949101389868,3,1,1.000000000000,1.000000000000,1.000000000000,0.991857332584,0.929184462127,3,4
61,37240,37240,37240,3599,3931,1781173949101427025,1781173949101460666,1781173949101460666,1781173949101430956,1781173949101464265,1781173949101464265,0,2,1.000000000000,1.000000000000,1.000000000000,0.992168824688,0.928226038394,3,4
62,37267,37267,37267,3654,4165,1781173949101501082,1781173949101534695,1781173949101534695,1781173949101505247,1781173949101538349,1781173949101538349,0,0,1.000000000000,1.000000000000,1.000000000000,0.991704598315,0.928175915541,3,4
63,37366,37366,37366,3657,4292,1781173949101575237,1781173949101608946,1781173949101608946,1781173949101579529,1781173949101612603,1781173949101612603,3,2,1.000000000000,1.000000000000,1.000000000000,0.991452737335,0.927992154903,3,4
64,37056,37056,37056,3568,4016,1781173949101649487,1781173949101682975,1781173949101682975,1781173949101653503,1781173949101686543,1781173949101686543,1,0,1.000000000000,1.000000000000,1.000000000000,0.992000170324,0.928567688436,3,4
65,36745,36745,36745,3572,4120,1781173949101723386,1781173949101756559,1781173949101756559,1781173949101727506,1781173949101760131,1781173949101760131,2,1,1.000000000000,1.000000000000,1.000000000000,0.991793855746,0.929145437199,3,4
66,37257,37257,37257,3576,4080,1781173949101797257,1781173949101830938,1781173949101830938,1781173949101801337,1781173949101834514,1781173949101834514,0,1,1.000000000000,1.000000000000,1.000000000000,0.991873202428,0.928194479245,3,4
67,37037,37037,37037,3721,4052,1781173949101871243,1781173949101904559,1781173949101904559,1781173949101875295,1781173949101908280,1781173949101908280,0,3,1.000000000000,1.000000000000,1.000000000000,0.991928748883,0.928602974679,3,4
68,37121,37121,37121,3633,4034,1781173949101944984,1781173949101978472,1781173949101978472,1781173949101949018,1781173949101982105,1781173949101982105,0,3,1.000000000000,1.000000000000,1.000000000000,0.991964458960,0.928446982483,3,4
69,36938,36938,36938,3635,4139,1781173949102018781,1781173949102052084,1781173949102052084,1781173949102022920,1781173949102055719,1781173949102055719,3,1,1.000000000000,1.000000000000,1.000000000000,0.991756168295,0.928786856271,3,4
70,36880,36880,36880,3618,4035,1781173949102092614,1781173949102125876,1781173949102125876,1781173949102096649,1781173949102129494,1781173949102129494,0,3,1.000000000000,1.000000000000,1.000000000000,0.991962475033,0.928894601796,3,4
71,37151,37151,37151,3656,4105,1781173949102169779,1781173949102203274,1781173949102203274,1781173949102173884,1781173949102206930,1781173949102206930,2,1,1.000000000000,1.000000000000,1.000000000000,0.991823610008,0.928391277335,3,4
72,21412,21412,21412,3509,4153,1781173949102243649,1781173949102261552,1781173949102261552,1781173949102247802,1781173949102265061,1781173949102265061,0,3,1.000000000000,1.000000000000,1.000000000000,0.991728399511,0.958079997309,3,4
73,36307,36307,36307,3797,2539,1781173949102301007,1781173949102333517,1781173949102333517,1781173949102303546,1781173949102337314,1781173949102337314,1,1,1.000000000000,1.000000000000,1.000000000000,0.994934871246,0.929959725208,3,4
74,37923,37923,37923,3859,4324,1781173949102373432,1781173949102407496,1781173949102407496,1781173949102377756,1781173949102411355,1781173949102411355,0,2,1.000000000000,1.000000000000,1.000000000000,0.991389286390,0.926958947246,3,4
75,37151,37151,37151,3759,3930,1781173949102447580,1781173949102480972,1781173949102480972,1781173949102451510,1781173949102484731,1781173949102484731,0,1,1.000000000000,1.000000000000,1.000000000000,0.992170809028,0.928391277335,3,4
76,36735,36735,36735,3612,3954,1781173949102521354,1781173949102554477,1781173949102554477,1781173949102525308,1781173949102558089,1781173949102558089,0,0,1.000000000000,1.000000000000,1.000000000000,0.992123185972,0.929164020294,3,4
77,37200,37200,37200,3650,4006,1781173949102594965,1781173949102628515,1781173949102628515,1781173949102598971,1781173949102632165,1781173949102632165,2,3,1.000000000000,1.000000000000,1.000000000000,0.992020010526,0.928300299448,3,4
78,37274,37274,37274,3636,4033,1781173949102669121,1781173949102702759,1781173949102702759,1781173949102673154,1781173949102706395,1781173949102706395,3,0,1.000000000000,1.000000000000,1.000000000000,0.991966442891,0.928162921170,3,4
79,36790,36790,36790,3565,3996,1781173949102742925,1781173949102776150,1781173949102776150,1781173949102746921,1781173949102779715,1781173949102779715,0,1,1.000000000000,1.000000000000,1.000000000000,0.992039851124,0.929061817873,3,4
80,37147,37147,37147,3673,3999,1781173949102816531,1781173949102850005,1781173949102850005,1781173949102820530,1781173949102853678,1781173949102853678,0,2,1.000000000000,1.000000000000,1.000000000000,0.992033898903,0.928398704495,3,4
81,36934,36934,36934,3699,4070,1781173949102890286,1781173949102923521,1781173949102923521,1781173949102894356,1781173949102927220,1781173949102927220,3,0,1.000000000000,1.000000000000,1.000000000000,0.991893040090,0.928794286596,3,4
82,36995,36995,36995,3588,4097,1781173949102965252,1781173949102998659,1781173949102998659,1781173949102969349,1781173949103002247,1781173949103002247,3,1,1.000000000000,1.000000000000,1.000000000000,0.991839479312,0.928680980605,3,4
83,36894,36894,36894,3637,4041,1781173949103038974,1781173949103072231,1781173949103072231,1781173949103043015,1781173949103075868,1781173949103075868,3,2,1.000000000000,1.000000000000,1.000000000000,0.991950571555,0.928868593111,3,4
84,36991,36991,36991,3718,4135,1781173949103112757,1781173949103146030,1781173949103146030,1781173949103116892,1781173949103149748,1781173949103149748,1,2,1.000000000000,1.000000000000,1.000000000000,0.991764102376,0.928688410082,3,4
85,36672,36672,36672,3600,3986,1781173949103186585,1781173949103219657,1781173949103219657,1781173949103190571,1781173949103223257,1781173949103223257,0,0,1.000000000000,1.000000000000,1.000000000000,0.992059692120,0.929281102337,3,4
86,36901,36901,36901,3641,4020,1781173949103260219,1781173949103293479,1781173949103293479,1781173949103264239,1781173949103297120,1781173949103297120,3,2,1.000000000000,1.000000000000,1.000000000000,0.991992234354,0.928855589042,3,4
87,37091,37091,37091,3634,4038,1781173949103333910,1781173949103367367,1781173949103367367,1781173949103337948,1781173949103371001,1781173949103371001,2,0,1.000000000000,1.000000000000,1.000000000000,0.991956523276,0.928502690973,3,4
88,36805,36805,36805,3625,4043,1781173949103407978,1781173949103441158,1781173949103441158,1781173949103412021,1781173949103444783,1781173949103444783,0,0,1.000000000000,1.000000000000,1.000000000000,0.991946603761,0.929033946437,3,4
89,36842,36842,36842,3587,4062,1781173949103481697,1781173949103514952,1781173949103514952,1781173949103485759,1781173949103518539,1781173949103518539,1,1,1.000000000000,1.000000000000,1.000000000000,0.991908910506,0.928965200468,3,4
90,37380,37380,37380,3691,4213,1781173949103556546,1781173949103590235,1781173949103590235,1781173949103560759,1781173949103593926,1781173949103593926,2,0,1.000000000000,1.000000000000,1.000000000000,0.991609399244,0.927966171486,3,4
91,37537,37537,37537,3601,4043,1781173949103630834,1781173949103664770,1781173949103664770,1781173949103634877,1781173949103668371,1781173949103668371,0,3,1.000000000000,1.000000000000,1.000000000000,0.991946603761,0.927674835851,3,4
92,37589,37589,37589,3675,4058,1781173949103705449,1781173949103739363,1781173949103739363,1781173949103709507,1781173949103743038,1781173949103743038,1,0,1.000000000000,1.000000000000,1.000000000000,0.991916845809,0.927578362684,3,4
93,37067,37067,37067,3615,4031,1781173949103779639,1781173949103813091,1781173949103813091,1781173949103783670,1781173949103816706,1781173949103816706,0,1,1.000000000000,1.000000000000,1.000000000000,0.991970410765,0.928547260172,3,4
94,37265,37265,37265,3668,4119,1781173949103855110,1781173949103888707,1781173949103888707,1781173949103859229,1781173949103892375,1781173949103892375,0,2,1.000000000000,1.000000000000,1.000000000000,0.991795839335,0.928179628252,3,4
95,37129,37129,37129,3626,4022,1781173949103929194,1781173949103962697,1781173949103962697,1781173949103933216,1781173949103966323,1781173949103966323,3,2,1.000000000000,1.000000000000,1.000000000000,0.991988266393,0.928432127450,3,4
96,37177,37177,37177,3666,3994,1781173949104003211,1781173949104036722,1781173949104036722,1781173949104007205,1781173949104040388,1781173949104040388,1,1,1.000000000000,1.000000000000,1.000000000000,0.992043819291,0.928343002244,3,4
97,36915,36915,36915,3663,4056,1781173949104077416,1781173949104110668,1781173949104110668,1781173949104081472,1781173949104114331,1781173949104114331,1,0,1.000000000000,1.000000000000,1.000000000000,0.991920813484,0.928829581449,3,4
