count_idx,delay_ns,delay_physical_ns,ts_r2_ns,ts_r2_on_r1_ns,stage2_recv_local_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_final,w14,w56,w_final_raw,state_final_peer_id
51,15478,15478,1781174174499106512,1781174174499106512,1781174174499121990,1781174174499121990,1781174174499121990,2,1.000000000000,1.000000000000,1.000000000000,1
52,19736,19736,1781174174499177080,1781174174499177080,1781174174499196816,1781174174499196816,1781174174499196816,0,1.000000000000,1.000000000000,1.000000000000,1
53,5219,5219,1781174174499214804,1781174174499214804,1781174174499220023,1781174174499220023,1781174174499220023,1,1.000000000000,1.000000000000,1.000000000000,1
54,16499,16499,1781174174499290923,1781174174499290923,1781174174499307422,1781174174499307422,1781174174499307422,2,1.000000000000,1.000000000000,1.000000000000,1
55,15435,15435,1781174174499364171,1781174174499364171,1781174174499379606,1781174174499379606,1781174174499379606,0,1.000000000000,1.000000000000,1.000000000000,1
56,15258,15258,1781174174499437731,1781174174499437731,1781174174499452989,1781174174499452989,1781174174499452989,2,1.000000000000,1.000000000000,1.000000000000,1
57,15383,15383,1781174174499512200,1781174174499512200,1781174174499527583,1781174174499527583,1781174174499527583,2,1.000000000000,1.000000000000,1.000000000000,1
58,16076,16076,1781174174499607286,1781174174499607286,1781174174499623362,1781174174499623362,1781174174499623362,1,1.000000000000,1.000000000000,1.000000000000,1
59,15534,15534,1781174174499688069,1781174174499688069,1781174174499703603,1781174174499703603,1781174174499703603,2,1.000000000000,1.000000000000,1.000000000000,1
60,62529,62529,1781174174499758062,1781174174499758062,1781174174499820591,1781174174499820591,1781174174499820591,3,1.000000000000,1.000000000000,1.000000000000,1
61,5467,5467,1781174174499839114,1781174174499839114,1781174174499844581,1781174174499844581,1781174174499844581,2,1.000000000000,1.000000000000,1.000000000000,1
62,15081,15081,1781174174499942435,1781174174499942435,1781174174499957516,1781174174499957516,1781174174499957516,0,1.000000000000,1.000000000000,1.000000000000,1
63,5916,5916,1781174174499985519,1781174174499985519,1781174174499991435,1781174174499991435,1781174174499991435,2,1.000000000000,1.000000000000,1.000000000000,1
64,19239,19239,1781174174500045785,1781174174500045785,1781174174500065024,1781174174500065024,1781174174500065024,0,1.000000000000,1.000000000000,1.000000000000,1
65,5332,5332,1781174174500082987,1781174174500082987,1781174174500088319,1781174174500088319,1781174174500088319,0,1.000000000000,1.000000000000,1.000000000000,1
66,15938,15938,1781174174500155738,1781174174500155738,1781174174500171676,1781174174500171676,1781174174500171676,3,1.000000000000,1.000000000000,1.000000000000,1
67,15433,15433,1781174174500230759,1781174174500230759,1781174174500246192,1781174174500246192,1781174174500246192,1,1.000000000000,1.000000000000,1.000000000000,1
68,10989,10989,1781174174500337200,1781174174500337200,1781174174500348189,1781174174500348189,1781174174500348189,0,1.000000000000,1.000000000000,1.000000000000,1
69,4163,4163,1781174174500354147,1781174174500354147,1781174174500358310,1781174174500358310,1781174174500358310,3,1.000000000000,1.000000000000,1.000000000000,1
70,6764,6764,1781174174500438737,1781174174500438737,1781174174500445501,1781174174500445501,1781174174500445501,3,1.000000000000,1.000000000000,1.000000000000,1
71,25465,25465,1781174174500519788,1781174174500519788,1781174174500545253,1781174174500545253,1781174174500545253,3,1.000000000000,1.000000000000,1.000000000000,1
72,5640,5640,1781174174500564441,1781174174500564441,1781174174500570081,1781174174500570081,1781174174500570081,3,1.000000000000,1.000000000000,1.000000000000,1
73,29360,29360,1781174174500656171,1781174174500656171,1781174174500685531,1781174174500685531,1781174174500685531,3,1.000000000000,1.000000000000,1.000000000000,1
74,5649,5649,1781174174500705919,1781174174500705919,1781174174500711568,1781174174500711568,1781174174500711568,1,1.000000000000,1.000000000000,1.000000000000,1
75,15868,15868,1781174174500777983,1781174174500777983,1781174174500793851,1781174174500793851,1781174174500793851,3,1.000000000000,1.000000000000,1.000000000000,1
76,15044,15044,1781174174500850270,1781174174500850270,1781174174500865314,1781174174500865314,1781174174500865314,3,1.000000000000,1.000000000000,1.000000000000,1
77,12699,12699,1781174174500950942,1781174174500950942,1781174174500963641,1781174174500963641,1781174174500963641,3,1.000000000000,1.000000000000,1.000000000000,1
78,6027,6027,1781174174500990625,1781174174500990625,1781174174500996652,1781174174500996652,1781174174500996652,2,1.000000000000,1.000000000000,1.000000000000,1
79,7766,7766,1781174174501022769,1781174174501022769,1781174174501030535,1781174174501030535,1781174174501030535,0,1.000000000000,1.000000000000,1.000000000000,1
80,6825,6825,1781174174501103836,1781174174501103836,1781174174501110661,1781174174501110661,1781174174501110661,1,1.000000000000,1.000000000000,1.000000000000,1
81,19613,19613,1781174174501207893,1781174174501207893,1781174174501227506,1781174174501227506,1781174174501227506,2,1.000000000000,1.000000000000,1.000000000000,1
82,5380,5380,1781174174501250321,1781174174501250321,1781174174501255701,1781174174501255701,1781174174501255701,1,1.000000000000,1.000000000000,1.000000000000,1
83,16148,16148,1781174174501334813,1781174174501334813,1781174174501350961,1781174174501350961,1781174174501350961,0,1.000000000000,1.000000000000,1.000000000000,1
84,5487,5487,1781174174501368236,1781174174501368236,1781174174501373723,1781174174501373723,1781174174501373723,3,1.000000000000,1.000000000000,1.000000000000,1
85,16248,16248,1781174174501462519,1781174174501462519,1781174174501478767,1781174174501478767,1781174174501478767,1,1.000000000000,1.000000000000,1.000000000000,1
86,5364,5364,1781174174501495607,1781174174501495607,1781174174501500971,1781174174501500971,1781174174501500971,0,1.000000000000,1.000000000000,1.000000000000,1
87,13870,13870,1781174174501594059,1781174174501594059,1781174174501607929,1781174174501607929,1781174174501607929,3,1.000000000000,1.000000000000,1.000000000000,1
88,5333,5333,1781174174501628051,1781174174501628051,1781174174501633384,1781174174501633384,1781174174501633384,0,1.000000000000,1.000000000000,1.000000000000,1
89,22377,22377,1781174174501706590,1781174174501706590,1781174174501728967,1781174174501728967,1781174174501728967,0,1.000000000000,1.000000000000,1.000000000000,1
90,5231,5231,1781174174501747937,1781174174501747937,1781174174501753168,1781174174501753168,1781174174501753168,0,1.000000000000,1.000000000000,1.000000000000,1
91,16212,16212,1781174174501827165,1781174174501827165,1781174174501843377,1781174174501843377,1781174174501843377,1,1.000000000000,1.000000000000,1.000000000000,1
92,24771,24771,1781174174501894739,1781174174501894739,1781174174501919510,1781174174501919510,1781174174501919510,2,1.000000000000,1.000000000000,1.000000000000,1
93,5499,5499,1781174174501939668,1781174174501939668,1781174174501945167,1781174174501945167,1781174174501945167,2,1.000000000000,1.000000000000,1.000000000000,1
94,16281,16281,1781174174502022860,1781174174502022860,1781174174502039141,1781174174502039141,1781174174502039141,0,1.000000000000,1.000000000000,1.000000000000,1
95,19616,19616,1781174174502100360,1781174174502100360,1781174174502119976,1781174174502119976,1781174174502119976,0,1.000000000000,1.000000000000,1.000000000000,1
96,5412,5412,1781174174502138773,1781174174502138773,1781174174502144185,1781174174502144185,1781174174502144185,3,1.000000000000,1.000000000000,1.000000000000,1
97,18997,18997,1781174174502214748,1781174174502214748,1781174174502233745,1781174174502233745,1781174174502233745,1,1.000000000000,1.000000000000,1.000000000000,1
98,5233,5233,1781174174502252470,1781174174502252470,1781174174502257703,1781174174502257703,1781174174502257703,2,1.000000000000,1.000000000000,1.000000000000,1
99,16207,16207,1781174174502327847,1781174174502327847,1781174174502344054,1781174174502344054,1781174174502344054,1,1.000000000000,1.000000000000,1.000000000000,1
100,15375,15375,1781174174502401658,1781174174502401658,1781174174502417033,1781174174502417033,1781174174502417033,2,1.000000000000,1.000000000000,1.000000000000,1
101,6663,6663,1781174174502473559,1781174174502473559,1781174174502480222,1781174174502480222,1781174174502480222,3,1.000000000000,1.000000000000,1.000000000000,1
102,16219,16219,1781174174502552347,1781174174502552347,1781174174502568566,1781174174502568566,1781174174502568566,3,1.000000000000,1.000000000000,1.000000000000,1
103,15589,15589,1781174174502626124,1781174174502626124,1781174174502641713,1781174174502641713,1781174174502641713,3,1.000000000000,1.000000000000,1.000000000000,1
104,15319,15319,1781174174502697853,1781174174502697853,1781174174502713172,1781174174502713172,1781174174502713172,1,1.000000000000,1.000000000000,1.000000000000,1
105,15136,15136,1781174174502768560,1781174174502768560,1781174174502783696,1781174174502783696,1781174174502783696,2,1.000000000000,1.000000000000,1.000000000000,1
106,5279,5279,1781174174502800502,1781174174502800502,1781174174502805781,1781174174502805781,1781174174502805781,0,1.000000000000,1.000000000000,1.000000000000,1
107,15820,15820,1781174174502879019,1781174174502879019,1781174174502894839,1781174174502894839,1781174174502894839,2,1.000000000000,1.000000000000,1.000000000000,1
108,19503,19503,1781174174502960399,1781174174502960399,1781174174502979902,1781174174502979902,1781174174502979902,0,1.000000000000,1.000000000000,1.000000000000,1
109,5272,5272,1781174174502997985,1781174174502997985,1781174174503003257,1781174174503003257,1781174174503003257,1,1.000000000000,1.000000000000,1.000000000000,1
110,15439,15439,1781174174503078756,1781174174503078756,1781174174503094195,1781174174503094195,1781174174503094195,0,1.000000000000,1.000000000000,1.000000000000,1
