count_idx,delay_ns,delay_physical_ns,final_e2e_via_r2_ns,stage2_link_delay_ns,stage1_delay_ns,ts_r1_ns,ts_r2_ns,ts_r2_on_r1_ns,stage1_recv_r1_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_r1,bits_final,w14,w56,w_final_raw,werner_intermediate,werner_final,state_after_stage1_peer_id,state_final_peer_id
51,103887,103887,103887,6350,,1781173907004225752,1781173907004323289,1781173907004323289,,1781173907004329639,1781173907004329639,,1,1.000000000000,1.000000000000,1.000000000000,,0.812390616246,,1
52,61736,61736,61736,9655,,1781173907004284891,1781173907004336972,1781173907004336972,,1781173907004346627,1781173907004346627,,2,1.000000000000,1.000000000000,1.000000000000,,0.883846388596,,1
53,22906,22906,22906,6410,,1781173907004343530,1781173907004360026,1781173907004360026,,1781173907004366436,1781173907004366436,,1,1.000000000000,1.000000000000,1.000000000000,,0.955221526958,,1
54,130592,130592,130592,41390,,1781173907004404998,1781173907004494200,1781173907004494200,,1781173907004535590,1781173907004535590,,0,1.000000000000,1.000000000000,1.000000000000,,0.770139200964,,1
55,103566,103566,103566,8751,,1781173907004480992,1781173907004575807,1781173907004575807,,1781173907004584558,1781173907004584558,,1,1.000000000000,1.000000000000,1.000000000000,,0.812912338476,,1
56,45093,45093,45093,6804,,1781173907004555749,1781173907004594038,1781173907004594038,,1781173907004600842,1781173907004600842,,1,1.000000000000,1.000000000000,1.000000000000,,0.913761209879,,1
57,69006,69006,69006,24272,,1781173907004615994,1781173907004660728,1781173907004660728,,1781173907004685000,1781173907004685000,,1,1.000000000000,1.000000000000,1.000000000000,,0.871088238624,,1
58,33808,33808,33808,8917,,1781173907004689073,1781173907004713964,1781173907004713964,,1781173907004722881,1781173907004722881,,3,1.000000000000,1.000000000000,1.000000000000,,0.934619298489,,1
59,63515,63515,63515,22563,,1781173907004753362,1781173907004794314,1781173907004794314,,1781173907004816877,1781173907004816877,,1,1.000000000000,1.000000000000,1.000000000000,,0.880707250983,,1
60,34342,34342,34342,8776,,1781173907004826666,1781173907004852232,1781173907004852232,,1781173907004861008,1781173907004861008,,1,1.000000000000,1.000000000000,1.000000000000,,0.933621657913,,1
61,113786,113786,113786,43812,,1781173907004889487,1781173907004959461,1781173907004959461,,1781173907005003273,1781173907005003273,,1,1.000000000000,1.000000000000,1.000000000000,,0.796465073948,,1
62,67332,67332,67332,8503,,1781173907004975324,1781173907005034153,1781173907005034153,,1781173907005042656,1781173907005042656,,0,1.000000000000,1.000000000000,1.000000000000,,0.874009529559,,1
63,64098,64098,64098,20167,,1781173907005052493,1781173907005096424,1781173907005096424,,1781173907005116591,1781173907005116591,,0,1.000000000000,1.000000000000,1.000000000000,,0.879680944781,,1
64,58041,58041,58041,20079,,1781173907005125912,1781173907005163874,1781173907005163874,,1781173907005183953,1781173907005183953,,2,1.000000000000,1.000000000000,1.000000000000,,0.890402207323,,1
65,57466,57466,57466,19920,,1781173907005198833,1781173907005236379,1781173907005236379,,1781173907005256299,1781173907005256299,,1,1.000000000000,1.000000000000,1.000000000000,,0.891426758866,,1
66,57229,57229,57229,19712,,1781173907005271425,1781173907005308942,1781173907005308942,,1781173907005328654,1781173907005328654,,1,1.000000000000,1.000000000000,1.000000000000,,0.891849395306,,1
67,56966,56966,56966,19668,,1781173907005343910,1781173907005381208,1781173907005381208,,1781173907005400876,1781173907005400876,,2,1.000000000000,1.000000000000,1.000000000000,,0.892318631486,,1
68,57992,57992,57992,20475,,1781173907005415997,1781173907005453514,1781173907005453514,,1781173907005473989,1781173907005473989,,0,1.000000000000,1.000000000000,1.000000000000,,0.890489471015,,1
69,57896,57896,57896,19966,,1781173907005488654,1781173907005526584,1781173907005526584,,1781173907005546550,1781173907005546550,,2,1.000000000000,1.000000000000,1.000000000000,,0.890660461408,,1
70,45326,45326,45326,7862,,1781173907005563400,1781173907005600864,1781173907005600864,,1781173907005608726,1781173907005608726,,0,1.000000000000,1.000000000000,1.000000000000,,0.913335496354,,1
71,70967,70967,70967,19276,,1781173907005636136,1781173907005687827,1781173907005687827,,1781173907005707103,1781173907005707103,,0,1.000000000000,1.000000000000,1.000000000000,,0.867678521379,,1
72,41290,41290,41290,7108,,1781173907005720578,1781173907005754760,1781173907005754760,,1781173907005761868,1781173907005761868,,0,1.000000000000,1.000000000000,1.000000000000,,0.920737775888,,1
73,62864,62864,62864,18127,,1781173907005791078,1781173907005835815,1781173907005835815,,1781173907005853942,1781173907005853942,,3,1.000000000000,1.000000000000,1.000000000000,,0.881854678637,,1
74,52015,52015,52015,17861,,1781173907005871828,1781173907005905982,1781173907005905982,,1781173907005923843,1781173907005923843,,2,1.000000000000,1.000000000000,1.000000000000,,0.901198261068,,1
75,52397,52397,52397,17990,,1781173907005942465,1781173907005976872,1781173907005976872,,1781173907005994862,1781173907005994862,,1,1.000000000000,1.000000000000,1.000000000000,,0.900510008542,,1
76,51761,51761,51761,17795,,1781173907006013278,1781173907006047244,1781173907006047244,,1781173907006065039,1781173907006065039,,0,1.000000000000,1.000000000000,1.000000000000,,0.901656186088,,1
77,52483,52483,52483,17939,,1781173907006083933,1781173907006118477,1781173907006118477,,1781173907006136416,1781173907006136416,,2,1.000000000000,1.000000000000,1.000000000000,,0.900355134140,,1
78,52520,52520,52520,17819,,1781173907006154738,1781173907006189439,1781173907006189439,,1781173907006207258,1781173907006207258,,3,1.000000000000,1.000000000000,1.000000000000,,0.900288510326,,1
79,52092,52092,52092,17891,,1781173907006225817,1781173907006260018,1781173907006260018,,1781173907006277909,1781173907006277909,,2,1.000000000000,1.000000000000,1.000000000000,,0.901059487221,,1
80,52078,52078,52078,17706,,1781173907006296291,1781173907006330663,1781173907006330663,,1781173907006348369,1781173907006348369,,1,1.000000000000,1.000000000000,1.000000000000,,0.901084717240,,1
81,55378,55378,55378,17873,,1781173907006368588,1781173907006406093,1781173907006406093,,1781173907006423966,1781173907006423966,,1,1.000000000000,1.000000000000,1.000000000000,,0.895157140626,,1
82,52360,52360,52360,17881,,1781173907006442415,1781173907006476894,1781173907006476894,,1781173907006494775,1781173907006494775,,2,1.000000000000,1.000000000000,1.000000000000,,0.900576648749,,1
83,52003,52003,52003,17579,,1781173907006513092,1781173907006547516,1781173907006547516,,1781173907006565095,1781173907006565095,,1,1.000000000000,1.000000000000,1.000000000000,,0.901219890086,,1
84,52001,52001,52001,17757,,1781173907006583819,1781173907006618063,1781173907006618063,,1781173907006635820,1781173907006635820,,3,1.000000000000,1.000000000000,1.000000000000,,0.901223494972,,1
85,51918,51918,51918,17834,,1781173907006654418,1781173907006688502,1781173907006688502,,1781173907006706336,1781173907006706336,,0,1.000000000000,1.000000000000,1.000000000000,,0.901373110490,,1
86,51941,51941,51941,17577,,1781173907006725026,1781173907006759390,1781173907006759390,,1781173907006776967,1781173907006776967,,1,1.000000000000,1.000000000000,1.000000000000,,0.901331648281,,1
87,52294,52294,52294,18297,,1781173907006795797,1781173907006829794,1781173907006829794,,1781173907006848091,1781173907006848091,,3,1.000000000000,1.000000000000,1.000000000000,,0.900695532712,,1
88,42453,42453,42453,14547,,1781173907006866215,1781173907006894121,1781173907006894121,,1781173907006908668,1781173907006908668,,3,1.000000000000,1.000000000000,1.000000000000,,0.918598628614,,1
89,42584,42584,42584,5867,,1781173907006933250,1781173907006969967,1781173907006969967,,1781173907006975834,1781173907006975834,,1,1.000000000000,1.000000000000,1.000000000000,,0.918357987299,,1
90,51472,51472,51472,14707,,1781173907007008513,1781173907007045278,1781173907007045278,,1781173907007059985,1781173907007059985,,3,1.000000000000,1.000000000000,1.000000000000,,0.902177494007,,1
91,42012,42012,42012,14266,,1781173907007084032,1781173907007111778,1781173907007111778,,1781173907007126044,1781173907007126044,,3,1.000000000000,1.000000000000,1.000000000000,,0.919409190010,,1
92,42165,42165,42165,5889,,1781173907007151003,1781173907007187279,1781173907007187279,,1781173907007193168,1781173907007193168,,0,1.000000000000,1.000000000000,1.000000000000,,0.919127893838,,1
93,42457,42457,42457,5836,,1781173907007225895,1781173907007262516,1781173907007262516,,1781173907007268352,1781173907007268352,,1,1.000000000000,1.000000000000,1.000000000000,,0.918591279855,,1
94,50923,50923,50923,14568,,1781173907007302535,1781173907007338890,1781173907007338890,,1781173907007353458,1781173907007353458,,2,1.000000000000,1.000000000000,1.000000000000,,0.903168628929,,1
95,42294,42294,42294,5695,,1781173907007377755,1781173907007414354,1781173907007414354,,1781173907007420049,1781173907007420049,,0,1.000000000000,1.000000000000,1.000000000000,,0.918890789429,,1
96,42237,42237,42237,5793,,1781173907007453296,1781173907007489740,1781173907007489740,,1781173907007495533,1781173907007495533,,0,1.000000000000,1.000000000000,1.000000000000,,0.918995548950,,1
97,42479,42479,42479,5858,,1781173907007528377,1781173907007564998,1781173907007564998,,1781173907007570856,1781173907007570856,,0,1.000000000000,1.000000000000,1.000000000000,,0.918550862728,,1
98,42094,42094,42094,5840,,1781173907007603714,1781173907007639968,1781173907007639968,,1781173907007645808,1781173907007645808,,1,1.000000000000,1.000000000000,1.000000000000,,0.919258419266,,1
99,42439,42439,42439,5914,,1781173907007678505,1781173907007715030,1781173907007715030,,1781173907007720944,1781173907007720944,,2,1.000000000000,1.000000000000,1.000000000000,,0.918624349736,,1
100,42428,42428,42428,5745,,1781173907007753762,1781173907007790445,1781173907007790445,,1781173907007796190,1781173907007796190,,1,1.000000000000,1.000000000000,1.000000000000,,0.918644559694,,1
101,67020,67020,67020,14874,,1781173907007828750,1781173907007880896,1781173907007880896,,1781173907007895770,1781173907007895770,,2,1.000000000000,1.000000000000,1.000000000000,,0.874555081700,,1
102,50998,50998,50998,14563,,1781173907007919501,1781173907007955936,1781173907007955936,,1781173907007970499,1781173907007970499,,2,1.000000000000,1.000000000000,1.000000000000,,0.903033163794,,1
103,52657,52657,52657,13839,,1781173907007994539,1781173907008033357,1781173907008033357,,1781173907008047196,1781173907008047196,,0,1.000000000000,1.000000000000,1.000000000000,,0.900041865066,,1
104,48567,48567,48567,13812,,1781173907008069440,1781173907008104195,1781173907008104195,,1781173907008118007,1781173907008118007,,0,1.000000000000,1.000000000000,1.000000000000,,0.907434401776,,1
105,40299,40299,40299,5737,,1781173907008144863,1781173907008179425,1781173907008179425,,1781173907008185162,1781173907008185162,,3,1.000000000000,1.000000000000,1.000000000000,,0.922564487834,,1
106,48564,48564,48564,14095,,1781173907008218862,1781173907008253331,1781173907008253331,,1781173907008267426,1781173907008267426,,2,1.000000000000,1.000000000000,1.000000000000,,0.907439846399,,1
