count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
1,76344,1781173949097379214,1781173949097379214,1781173949097697627,1781173949097697627,1781173949097455558,1781173949097455558,0,0,0,1.000000000000,1.000000000000,1.000000000000
2,11830,1781173949097534182,1781173949097534182,1781173949097803016,1781173949097803016,1781173949097546012,1781173949097546012,0,0,0,1.000000000000,1.000000000000,1.000000000000
3,7651,1781173949097599039,1781173949097599039,1781173949097832095,1781173949097832095,1781173949097606690,1781173949097606690,1,2,3,1.000000000000,1.000000000000,1.000000000000
4,8164,1781173949097659507,1781173949097659507,1781173949097877153,1781173949097877153,1781173949097667671,1781173949097667671,0,2,2,1.000000000000,1.000000000000,1.000000000000
5,7775,1781173949097719901,1781173949097719901,1781173949097897024,1781173949097897024,1781173949097727676,1781173949097727676,0,3,3,1.000000000000,1.000000000000,1.000000000000
6,10389,1781173949097779968,1781173949097779968,1781173949097915307,1781173949097915307,1781173949097790357,1781173949097790357,0,0,0,1.000000000000,1.000000000000,1.000000000000
7,13670,1781173949097843286,1781173949097843286,1781173949097931550,1781173949097931550,1781173949097856956,1781173949097856956,3,3,0,1.000000000000,1.000000000000,1.000000000000
8,7348,1781173949097908928,1781173949097908928,1781173949097948518,1781173949097948518,1781173949097916276,1781173949097916276,2,3,1,1.000000000000,1.000000000000,1.000000000000
9,11673,1781173949097974201,1781173949097974201,1781173949098080418,1781173949098080418,1781173949097985874,1781173949097985874,0,0,0,1.000000000000,1.000000000000,1.000000000000
10,10523,1781173949098055558,1781173949098055558,1781173949098175294,1781173949098175294,1781173949098066081,1781173949098066081,0,2,2,1.000000000000,1.000000000000,1.000000000000
11,14421,1781173949098118938,1781173949098118938,1781173949098197070,1781173949098197070,1781173949098133359,1781173949098133359,0,1,1,1.000000000000,1.000000000000,1.000000000000
12,7260,1781173949098185601,1781173949098185601,1781173949098257413,1781173949098257413,1781173949098192861,1781173949098192861,0,2,2,1.000000000000,1.000000000000,1.000000000000
13,12145,1781173949098252282,1781173949098252282,1781173949098281693,1781173949098281693,1781173949098264427,1781173949098264427,3,1,2,1.000000000000,1.000000000000,1.000000000000
14,8224,1781173949098318507,1781173949098318507,1781173949098455984,1781173949098455984,1781173949098326731,1781173949098326731,0,1,1,1.000000000000,1.000000000000,1.000000000000
15,24519,1781173949098395264,1781173949098395264,1781173949098520882,1781173949098520882,1781173949098419783,1781173949098419783,2,1,3,1.000000000000,1.000000000000,1.000000000000
16,9169,1781173949098473770,1781173949098473770,1781173949098540232,1781173949098540232,1781173949098482939,1781173949098482939,3,2,1,1.000000000000,1.000000000000,1.000000000000
17,6853,1781173949098535416,1781173949098535416,1781173949098555380,1781173949098555380,1781173949098542269,1781173949098542269,0,0,0,1.000000000000,1.000000000000,1.000000000000
18,6492,1781173949098594586,1781173949098594586,1781173949098682321,1781173949098682321,1781173949098601078,1781173949098601078,2,1,3,1.000000000000,1.000000000000,1.000000000000
19,24548,1781173949098667711,1781173949098667711,1781173949098750719,1781173949098750719,1781173949098692259,1781173949098692259,0,2,2,1.000000000000,1.000000000000,1.000000000000
20,9495,1781173949098746340,1781173949098746340,1781173949098770420,1781173949098770420,1781173949098755835,1781173949098755835,3,1,2,1.000000000000,1.000000000000,1.000000000000
21,12517,1781173949098808123,1781173949098808123,1781173949098876838,1781173949098876838,1781173949098820640,1781173949098820640,1,0,1,1.000000000000,1.000000000000,1.000000000000
22,6026,1781173949098879880,1781173949098879880,1781173949098916690,1781173949098916690,1781173949098885906,1781173949098885906,1,3,2,1.000000000000,1.000000000000,1.000000000000
23,4358,1781173949098937613,1781173949098937613,1781173949098984885,1781173949098984885,1781173949098941971,1781173949098941971,3,2,1,1.000000000000,1.000000000000,1.000000000000
