count_idx,delay_ns,delay_physical_ns,final_e2e_via_r2_ns,stage2_link_delay_ns,stage1_delay_ns,ts_r1_ns,ts_r2_ns,ts_r2_on_r1_ns,stage1_recv_r1_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_r1,bits_final,w14,w56,w_final_raw,werner_intermediate,werner_final,state_after_stage1_peer_id,state_final_peer_id
51,34682,34682,34682,4635,4563,1781174201740462349,1781174201740492396,1781174201740492396,1781174201740466912,1781174201740497031,1781174201740497031,0,0,1.000000000000,1.000000000000,1.000000000000,0.990915515552,0.932987010990,3,4
52,30557,30557,30557,4170,4364,1781174201740580756,1781174201740607143,1781174201740607143,1781174201740585120,1781174201740611313,1781174201740611313,3,2,1.000000000000,1.000000000000,1.000000000000,0.991309978420,0.940715992040,3,4
53,34438,34438,34438,4420,6245,1781174201740699318,1781174201740729336,1781174201740729336,1781174201740705563,1781174201740733756,1781174201740733756,1,3,1.000000000000,1.000000000000,1.000000000000,0.987587676321,0.933442419762,3,4
54,54723,54723,54723,5371,11396,1781174201740829198,1781174201740878550,1781174201740878550,1781174201740840594,1781174201740883921,1781174201740883921,2,0,1.000000000000,1.000000000000,1.000000000000,0.977465775512,0.896330564906,3,4
55,32770,32770,32770,4320,4642,1781174201740955016,1781174201740983466,1781174201740983466,1781174201740959658,1781174201740987786,1781174201740987786,3,0,1.000000000000,1.000000000000,1.000000000000,0.990758963268,0.936561583547,3,4
56,33533,33533,33533,5116,4453,1781174201741073858,1781174201741102275,1781174201741102275,1781174201741078311,1781174201741107391,1781174201741107391,3,2,1.000000000000,1.000000000000,1.000000000000,0.991133540947,0.935133480490,3,4
57,30248,30248,30248,4191,4520,1781174201741192378,1781174201741218435,1781174201741218435,1781174201741196898,1781174201741222626,1781174201741222626,2,0,1.000000000000,1.000000000000,1.000000000000,0.991000737951,0.941297534201,3,4
58,57439,57439,57439,6723,4521,1781174201741310888,1781174201741361604,1781174201741361604,1781174201741315409,1781174201741368327,1781174201741368327,0,0,1.000000000000,1.000000000000,1.000000000000,0.990998755951,0.891474897210,3,4
59,53864,53864,53864,10563,4009,1781174201741435387,1781174201741478688,1781174201741478688,1781174201741439396,1781174201741489251,1781174201741489251,3,0,1.000000000000,1.000000000000,1.000000000000,0.992014058423,0.897871784345,3,4
60,31511,31511,31511,4049,4170,1781174201741558335,1781174201741585797,1781174201741585797,1781174201741562505,1781174201741589846,1781174201741589846,2,0,1.000000000000,1.000000000000,1.000000000000,0.991694681319,0.938922817160,3,4
