count_idx,delay_ns,delay_physical_ns,ts_r2_ns,ts_r2_on_r1_ns,stage2_recv_local_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_final,w14,w56,w_final_raw,state_final_peer_id
51,8831,8831,1781174201740492396,1781174201740492396,1781174201740501227,1781174201740501227,1781174201740501227,0,1.000000000000,1.000000000000,1.000000000000,1
52,6063,6063,1781174201740607143,1781174201740607143,1781174201740613206,1781174201740613206,1781174201740613206,2,1.000000000000,1.000000000000,1.000000000000,1
53,6508,6508,1781174201740729336,1781174201740729336,1781174201740735844,1781174201740735844,1781174201740735844,3,1.000000000000,1.000000000000,1.000000000000,1
54,17357,17357,1781174201740878550,1781174201740878550,1781174201740895907,1781174201740895907,1781174201740895907,0,1.000000000000,1.000000000000,1.000000000000,1
55,6602,6602,1781174201740983466,1781174201740983466,1781174201740990068,1781174201740990068,1781174201740990068,0,1.000000000000,1.000000000000,1.000000000000,1
56,7393,7393,1781174201741102275,1781174201741102275,1781174201741109668,1781174201741109668,1781174201741109668,2,1.000000000000,1.000000000000,1.000000000000,1
57,6181,6181,1781174201741218435,1781174201741218435,1781174201741224616,1781174201741224616,1781174201741224616,0,1.000000000000,1.000000000000,1.000000000000,1
58,19744,19744,1781174201741361604,1781174201741361604,1781174201741381348,1781174201741381348,1781174201741381348,0,1.000000000000,1.000000000000,1.000000000000,1
59,15931,15931,1781174201741478688,1781174201741478688,1781174201741494619,1781174201741494619,1781174201741494619,0,1.000000000000,1.000000000000,1.000000000000,1
60,15069,15069,1781174201741585797,1781174201741585797,1781174201741600866,1781174201741600866,1781174201741600866,0,1.000000000000,1.000000000000,1.000000000000,1
61,5570,5570,1781174201741708181,1781174201741708181,1781174201741713751,1781174201741713751,1781174201741713751,1,1.000000000000,1.000000000000,1.000000000000,1
62,5630,5630,1781174201741831332,1781174201741831332,1781174201741836962,1781174201741836962,1781174201741836962,3,1.000000000000,1.000000000000,1.000000000000,1
63,6790,6790,1781174201741956459,1781174201741956459,1781174201741963249,1781174201741963249,1781174201741963249,0,1.000000000000,1.000000000000,1.000000000000,1
64,5481,5481,1781174201742079128,1781174201742079128,1781174201742084609,1781174201742084609,1781174201742084609,2,1.000000000000,1.000000000000,1.000000000000,1
65,5573,5573,1781174201742202544,1781174201742202544,1781174201742208117,1781174201742208117,1781174201742208117,1,1.000000000000,1.000000000000,1.000000000000,1
66,14434,14434,1781174201742337399,1781174201742337399,1781174201742351833,1781174201742351833,1781174201742351833,3,1.000000000000,1.000000000000,1.000000000000,1
67,15782,15782,1781174201742462888,1781174201742462888,1781174201742478670,1781174201742478670,1781174201742478670,3,1.000000000000,1.000000000000,1.000000000000,1
68,49203,49203,1781174201742617279,1781174201742617279,1781174201742666482,1781174201742666482,1781174201742666482,3,1.000000000000,1.000000000000,1.000000000000,1
69,14301,14301,1781174201742711110,1781174201742711110,1781174201742725411,1781174201742725411,1781174201742725411,0,1.000000000000,1.000000000000,1.000000000000,1
70,25743,25743,1781174201742822161,1781174201742822161,1781174201742847904,1781174201742847904,1781174201742847904,2,1.000000000000,1.000000000000,1.000000000000,1
71,7268,7268,1781174201742935223,1781174201742935223,1781174201742942491,1781174201742942491,1781174201742942491,2,1.000000000000,1.000000000000,1.000000000000,1
72,55007,55007,1781174201743110352,1781174201743110352,1781174201743165359,1781174201743165359,1781174201743165359,0,1.000000000000,1.000000000000,1.000000000000,1
73,43586,43586,1781174201743285247,1781174201743285247,1781174201743328833,1781174201743328833,1781174201743328833,3,1.000000000000,1.000000000000,1.000000000000,1
74,14773,14773,1781174201743465211,1781174201743465211,1781174201743479984,1781174201743479984,1781174201743479984,1,1.000000000000,1.000000000000,1.000000000000,1
75,5781,5781,1781174201743577987,1781174201743577987,1781174201743583768,1781174201743583768,1781174201743583768,3,1.000000000000,1.000000000000,1.000000000000,1
76,15207,15207,1781174201743719874,1781174201743719874,1781174201743735081,1781174201743735081,1781174201743735081,0,1.000000000000,1.000000000000,1.000000000000,1
77,14581,14581,1781174201743815236,1781174201743815236,1781174201743829817,1781174201743829817,1781174201743829817,1,1.000000000000,1.000000000000,1.000000000000,1
78,17344,17344,1781174201743949535,1781174201743949535,1781174201743966879,1781174201743966879,1781174201743966879,1,1.000000000000,1.000000000000,1.000000000000,1
79,57287,57287,1781174201744122105,1781174201744122105,1781174201744179392,1781174201744179392,1781174201744179392,3,1.000000000000,1.000000000000,1.000000000000,1
80,37096,37096,1781174201744226018,1781174201744226018,1781174201744263114,1781174201744263114,1781174201744263114,2,1.000000000000,1.000000000000,1.000000000000,1
81,22885,22885,1781174201744328932,1781174201744328932,1781174201744351817,1781174201744351817,1781174201744351817,3,1.000000000000,1.000000000000,1.000000000000,1
82,14346,14346,1781174201744446509,1781174201744446509,1781174201744460855,1781174201744460855,1781174201744460855,3,1.000000000000,1.000000000000,1.000000000000,1
83,45739,45739,1781174201744558054,1781174201744558054,1781174201744603793,1781174201744603793,1781174201744603793,0,1.000000000000,1.000000000000,1.000000000000,1
84,32120,32120,1781174201744712493,1781174201744712493,1781174201744744613,1781174201744744613,1781174201744744613,0,1.000000000000,1.000000000000,1.000000000000,1
85,14487,14487,1781174201744826069,1781174201744826069,1781174201744840556,1781174201744840556,1781174201744840556,1,1.000000000000,1.000000000000,1.000000000000,1
86,16459,16459,1781174201744950256,1781174201744950256,1781174201744966715,1781174201744966715,1781174201744966715,0,1.000000000000,1.000000000000,1.000000000000,1
87,24612,24612,1781174201745181787,1781174201745181787,1781174201745206399,1781174201745206399,1781174201745206399,1,1.000000000000,1.000000000000,1.000000000000,1
88,33484,33484,1781174201745291360,1781174201745291360,1781174201745324844,1781174201745324844,1781174201745324844,0,1.000000000000,1.000000000000,1.000000000000,1
89,52662,52662,1781174201745460048,1781174201745460048,1781174201745512710,1781174201745512710,1781174201745512710,1,1.000000000000,1.000000000000,1.000000000000,1
90,49564,49564,1781174201745643177,1781174201745643177,1781174201745692741,1781174201745692741,1781174201745692741,3,1.000000000000,1.000000000000,1.000000000000,1
91,14760,14760,1781174201745742988,1781174201745742988,1781174201745757748,1781174201745757748,1781174201745757748,3,1.000000000000,1.000000000000,1.000000000000,1
92,26152,26152,1781174201745877545,1781174201745877545,1781174201745903697,1781174201745903697,1781174201745903697,1,1.000000000000,1.000000000000,1.000000000000,1
93,15544,15544,1781174201745967336,1781174201745967336,1781174201745982880,1781174201745982880,1781174201745982880,3,1.000000000000,1.000000000000,1.000000000000,1
94,14521,14521,1781174201746092592,1781174201746092592,1781174201746107113,1781174201746107113,1781174201746107113,2,1.000000000000,1.000000000000,1.000000000000,1
95,20087,20087,1781174201746294295,1781174201746294295,1781174201746314382,1781174201746314382,1781174201746314382,3,1.000000000000,1.000000000000,1.000000000000,1
96,5309,5309,1781174201746333433,1781174201746333433,1781174201746338742,1781174201746338742,1781174201746338742,1,1.000000000000,1.000000000000,1.000000000000,1
97,5548,5548,1781174201746450965,1781174201746450965,1781174201746456513,1781174201746456513,1781174201746456513,3,1.000000000000,1.000000000000,1.000000000000,1
98,5628,5628,1781174201746578907,1781174201746578907,1781174201746584535,1781174201746584535,1781174201746584535,1,1.000000000000,1.000000000000,1.000000000000,1
99,5373,5373,1781174201746706335,1781174201746706335,1781174201746711708,1781174201746711708,1781174201746711708,1,1.000000000000,1.000000000000,1.000000000000,1
100,5836,5836,1781174201746832569,1781174201746832569,1781174201746838405,1781174201746838405,1781174201746838405,3,1.000000000000,1.000000000000,1.000000000000,1
101,5477,5477,1781174201746957152,1781174201746957152,1781174201746962629,1781174201746962629,1781174201746962629,0,1.000000000000,1.000000000000,1.000000000000,1
102,6082,6082,1781174201747083345,1781174201747083345,1781174201747089427,1781174201747089427,1781174201747089427,0,1.000000000000,1.000000000000,1.000000000000,1
103,5705,5705,1781174201747208552,1781174201747208552,1781174201747214257,1781174201747214257,1781174201747214257,3,1.000000000000,1.000000000000,1.000000000000,1
104,15515,15515,1781174201747347936,1781174201747347936,1781174201747363451,1781174201747363451,1781174201747363451,2,1.000000000000,1.000000000000,1.000000000000,1
105,19986,19986,1781174201747474047,1781174201747474047,1781174201747494033,1781174201747494033,1781174201747494033,0,1.000000000000,1.000000000000,1.000000000000,1
106,23686,23686,1781174201747600768,1781174201747600768,1781174201747624454,1781174201747624454,1781174201747624454,2,1.000000000000,1.000000000000,1.000000000000,1
107,9265,9265,1781174201747715767,1781174201747715767,1781174201747725032,1781174201747725032,1781174201747725032,3,1.000000000000,1.000000000000,1.000000000000,1
108,19243,19243,1781174201747846513,1781174201747846513,1781174201747865756,1781174201747865756,1781174201747865756,3,1.000000000000,1.000000000000,1.000000000000,1
109,51122,51122,1781174201747990520,1781174201747990520,1781174201748041642,1781174201748041642,1781174201748041642,0,1.000000000000,1.000000000000,1.000000000000,1
110,20484,20484,1781174201748142593,1781174201748142593,1781174201748163077,1781174201748163077,1781174201748163077,2,1.000000000000,1.000000000000,1.000000000000,1
111,6361,6361,1781174201748257291,1781174201748257291,1781174201748263652,1781174201748263652,1781174201748263652,3,1.000000000000,1.000000000000,1.000000000000,1
112,51356,51356,1781174201748412520,1781174201748412520,1781174201748463876,1781174201748463876,1781174201748463876,2,1.000000000000,1.000000000000,1.000000000000,1
113,9348,9348,1781174201748572807,1781174201748572807,1781174201748582155,1781174201748582155,1781174201748582155,1,1.000000000000,1.000000000000,1.000000000000,1
114,16760,16760,1781174201748722463,1781174201748722463,1781174201748739223,1781174201748739223,1781174201748739223,0,1.000000000000,1.000000000000,1.000000000000,1
115,10789,10789,1781174201748858218,1781174201748858218,1781174201748869007,1781174201748869007,1781174201748869007,3,1.000000000000,1.000000000000,1.000000000000,1
116,25033,25033,1781174201748993112,1781174201748993112,1781174201749018145,1781174201749018145,1781174201749018145,3,1.000000000000,1.000000000000,1.000000000000,1
117,6995,6995,1781174201749102076,1781174201749102076,1781174201749109071,1781174201749109071,1781174201749109071,1,1.000000000000,1.000000000000,1.000000000000,1
118,5622,5622,1781174201749221490,1781174201749221490,1781174201749227112,1781174201749227112,1781174201749227112,3,1.000000000000,1.000000000000,1.000000000000,1
119,5574,5574,1781174201749344515,1781174201749344515,1781174201749350089,1781174201749350089,1781174201749350089,0,1.000000000000,1.000000000000,1.000000000000,1
120,48998,48998,1781174201749500215,1781174201749500215,1781174201749549213,1781174201749549213,1781174201749549213,1,1.000000000000,1.000000000000,1.000000000000,1
121,20443,20443,1781174201749620777,1781174201749620777,1781174201749641220,1781174201749641220,1781174201749641220,1,1.000000000000,1.000000000000,1.000000000000,1
122,8613,8613,1781174201749757578,1781174201749757578,1781174201749766191,1781174201749766191,1781174201749766191,3,1.000000000000,1.000000000000,1.000000000000,1
123,17925,17925,1781174201749911050,1781174201749911050,1781174201749928975,1781174201749928975,1781174201749928975,0,1.000000000000,1.000000000000,1.000000000000,1
124,8179,8179,1781174201750037652,1781174201750037652,1781174201750045831,1781174201750045831,1781174201750045831,1,1.000000000000,1.000000000000,1.000000000000,1
125,5724,5724,1781174201750154727,1781174201750154727,1781174201750160451,1781174201750160451,1781174201750160451,1,1.000000000000,1.000000000000,1.000000000000,1
126,5851,5851,1781174201750278241,1781174201750278241,1781174201750284092,1781174201750284092,1781174201750284092,2,1.000000000000,1.000000000000,1.000000000000,1
127,6023,6023,1781174201750402352,1781174201750402352,1781174201750408375,1781174201750408375,1781174201750408375,0,1.000000000000,1.000000000000,1.000000000000,1
128,5748,5748,1781174201750525911,1781174201750525911,1781174201750531659,1781174201750531659,1781174201750531659,1,1.000000000000,1.000000000000,1.000000000000,1
129,7433,7433,1781174201750644955,1781174201750644955,1781174201750652388,1781174201750652388,1781174201750652388,2,1.000000000000,1.000000000000,1.000000000000,1
130,8859,8859,1781174201750777873,1781174201750777873,1781174201750786732,1781174201750786732,1781174201750786732,0,1.000000000000,1.000000000000,1.000000000000,1
131,49214,49214,1781174201750953430,1781174201750953430,1781174201751002644,1781174201751002644,1781174201751002644,1,1.000000000000,1.000000000000,1.000000000000,1
132,37739,37739,1781174201751055050,1781174201751055050,1781174201751092789,1781174201751092789,1781174201751092789,2,1.000000000000,1.000000000000,1.000000000000,1
133,43660,43660,1781174201751138413,1781174201751138413,1781174201751182073,1781174201751182073,1781174201751182073,1,1.000000000000,1.000000000000,1.000000000000,1
134,24843,24843,1781174201751266870,1781174201751266870,1781174201751291713,1781174201751291713,1781174201751291713,2,1.000000000000,1.000000000000,1.000000000000,1
135,7339,7339,1781174201751379760,1781174201751379760,1781174201751387099,1781174201751387099,1781174201751387099,3,1.000000000000,1.000000000000,1.000000000000,1
136,21821,21821,1781174201751517353,1781174201751517353,1781174201751539174,1781174201751539174,1781174201751539174,1,1.000000000000,1.000000000000,1.000000000000,1
137,45644,45644,1781174201751664427,1781174201751664427,1781174201751710071,1781174201751710071,1781174201751710071,0,1.000000000000,1.000000000000,1.000000000000,1
138,37757,37757,1781174201751754447,1781174201751754447,1781174201751792204,1781174201751792204,1781174201751792204,2,1.000000000000,1.000000000000,1.000000000000,1
139,11787,11787,1781174201751851620,1781174201751851620,1781174201751863407,1781174201751863407,1781174201751863407,1,1.000000000000,1.000000000000,1.000000000000,1
140,15976,15976,1781174201752057371,1781174201752057371,1781174201752073347,1781174201752073347,1781174201752073347,3,1.000000000000,1.000000000000,1.000000000000,1
141,5781,5781,1781174201752102239,1781174201752102239,1781174201752108020,1781174201752108020,1781174201752108020,2,1.000000000000,1.000000000000,1.000000000000,1
142,11522,11522,1781174201752210796,1781174201752210796,1781174201752222318,1781174201752222318,1781174201752222318,3,1.000000000000,1.000000000000,1.000000000000,1
143,49968,49968,1781174201752370655,1781174201752370655,1781174201752420623,1781174201752420623,1781174201752420623,3,1.000000000000,1.000000000000,1.000000000000,1
144,41114,41114,1781174201752468720,1781174201752468720,1781174201752509834,1781174201752509834,1781174201752509834,3,1.000000000000,1.000000000000,1.000000000000,1
145,17783,17783,1781174201752559689,1781174201752559689,1781174201752577472,1781174201752577472,1781174201752577472,0,1.000000000000,1.000000000000,1.000000000000,1
146,55117,55117,1781174201752765379,1781174201752765379,1781174201752820496,1781174201752820496,1781174201752820496,3,1.000000000000,1.000000000000,1.000000000000,1
147,18550,18550,1781174201752915397,1781174201752915397,1781174201752933947,1781174201752933947,1781174201752933947,2,1.000000000000,1.000000000000,1.000000000000,1
148,5287,5287,1781174201752956157,1781174201752956157,1781174201752961444,1781174201752961444,1781174201752961444,2,1.000000000000,1.000000000000,1.000000000000,1
149,5701,5701,1781174201753045034,1781174201753045034,1781174201753050735,1781174201753050735,1781174201753050735,3,1.000000000000,1.000000000000,1.000000000000,1
150,6127,6127,1781174201753170719,1781174201753170719,1781174201753176846,1781174201753176846,1781174201753176846,1,1.000000000000,1.000000000000,1.000000000000,1
151,17104,17104,1781174201753309349,1781174201753309349,1781174201753326453,1781174201753326453,1781174201753326453,1,1.000000000000,1.000000000000,1.000000000000,1
152,5734,5734,1781174201753418902,1781174201753418902,1781174201753424636,1781174201753424636,1781174201753424636,1,1.000000000000,1.000000000000,1.000000000000,1
153,5425,5425,1781174201753541741,1781174201753541741,1781174201753547166,1781174201753547166,1781174201753547166,1,1.000000000000,1.000000000000,1.000000000000,1
154,5669,5669,1781174201753665884,1781174201753665884,1781174201753671553,1781174201753671553,1781174201753671553,0,1.000000000000,1.000000000000,1.000000000000,1
155,5774,5774,1781174201753799127,1781174201753799127,1781174201753804901,1781174201753804901,1781174201753804901,0,1.000000000000,1.000000000000,1.000000000000,1
156,25520,25520,1781174201753951508,1781174201753951508,1781174201753977028,1781174201753977028,1781174201753977028,0,1.000000000000,1.000000000000,1.000000000000,1
157,22015,22015,1781174201754058664,1781174201754058664,1781174201754080679,1781174201754080679,1781174201754080679,3,1.000000000000,1.000000000000,1.000000000000,1
158,5718,5718,1781174201754176832,1781174201754176832,1781174201754182550,1781174201754182550,1781174201754182550,3,1.000000000000,1.000000000000,1.000000000000,1
159,5612,5612,1781174201754299600,1781174201754299600,1781174201754305212,1781174201754305212,1781174201754305212,1,1.000000000000,1.000000000000,1.000000000000,1
160,5535,5535,1781174201754423679,1781174201754423679,1781174201754429214,1781174201754429214,1781174201754429214,3,1.000000000000,1.000000000000,1.000000000000,1
161,5588,5588,1781174201754547864,1781174201754547864,1781174201754553452,1781174201754553452,1781174201754553452,0,1.000000000000,1.000000000000,1.000000000000,1
162,5598,5598,1781174201754672210,1781174201754672210,1781174201754677808,1781174201754677808,1781174201754677808,2,1.000000000000,1.000000000000,1.000000000000,1
163,5633,5633,1781174201754796310,1781174201754796310,1781174201754801943,1781174201754801943,1781174201754801943,0,1.000000000000,1.000000000000,1.000000000000,1
164,5954,5954,1781174201754920949,1781174201754920949,1781174201754926903,1781174201754926903,1781174201754926903,3,1.000000000000,1.000000000000,1.000000000000,1
165,5576,5576,1781174201755045367,1781174201755045367,1781174201755050943,1781174201755050943,1781174201755050943,3,1.000000000000,1.000000000000,1.000000000000,1
166,5807,5807,1781174201755170092,1781174201755170092,1781174201755175899,1781174201755175899,1781174201755175899,1,1.000000000000,1.000000000000,1.000000000000,1
167,5961,5961,1781174201755298097,1781174201755298097,1781174201755304058,1781174201755304058,1781174201755304058,1,1.000000000000,1.000000000000,1.000000000000,1
168,5750,5750,1781174201755423281,1781174201755423281,1781174201755429031,1781174201755429031,1781174201755429031,1,1.000000000000,1.000000000000,1.000000000000,1
169,6090,6090,1781174201755548235,1781174201755548235,1781174201755554325,1781174201755554325,1781174201755554325,2,1.000000000000,1.000000000000,1.000000000000,1
170,5708,5708,1781174201755672953,1781174201755672953,1781174201755678661,1781174201755678661,1781174201755678661,3,1.000000000000,1.000000000000,1.000000000000,1
171,5578,5578,1781174201755798625,1781174201755798625,1781174201755804203,1781174201755804203,1781174201755804203,0,1.000000000000,1.000000000000,1.000000000000,1
172,5826,5826,1781174201755922176,1781174201755922176,1781174201755928002,1781174201755928002,1781174201755928002,3,1.000000000000,1.000000000000,1.000000000000,1
173,5865,5865,1781174201756047171,1781174201756047171,1781174201756053036,1781174201756053036,1781174201756053036,1,1.000000000000,1.000000000000,1.000000000000,1
174,5718,5718,1781174201756175388,1781174201756175388,1781174201756181106,1781174201756181106,1781174201756181106,0,1.000000000000,1.000000000000,1.000000000000,1
175,5664,5664,1781174201756299393,1781174201756299393,1781174201756305057,1781174201756305057,1781174201756305057,2,1.000000000000,1.000000000000,1.000000000000,1
176,15527,15527,1781174201756432951,1781174201756432951,1781174201756448478,1781174201756448478,1781174201756448478,2,1.000000000000,1.000000000000,1.000000000000,1
177,5634,5634,1781174201756546991,1781174201756546991,1781174201756552625,1781174201756552625,1781174201756552625,3,1.000000000000,1.000000000000,1.000000000000,1
