count_idx,delay_ns,delay_physical_ns,ts_r2_ns,ts_r2_on_r1_ns,stage2_recv_local_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_final,w14,w56,w_final_raw,state_final_peer_id
51,5899,5899,1781174216475401553,1781174216475401553,1781174216475407452,1781174216475407452,1781174216475407452,3,1.000000000000,1.000000000000,1.000000000000,1
52,15709,15709,1781174216475528027,1781174216475528027,1781174216475543736,1781174216475543736,1781174216475543736,0,1.000000000000,1.000000000000,1.000000000000,1
53,5945,5945,1781174216475654356,1781174216475654356,1781174216475660301,1781174216475660301,1781174216475660301,1,1.000000000000,1.000000000000,1.000000000000,1
54,15639,15639,1781174216475782011,1781174216475782011,1781174216475797650,1781174216475797650,1781174216475797650,1,1.000000000000,1.000000000000,1.000000000000,1
55,5859,5859,1781174216475908064,1781174216475908064,1781174216475913923,1781174216475913923,1781174216475913923,3,1.000000000000,1.000000000000,1.000000000000,1
56,17487,17487,1781174216476034811,1781174216476034811,1781174216476052298,1781174216476052298,1781174216476052298,2,1.000000000000,1.000000000000,1.000000000000,1
57,5385,5385,1781174216476158177,1781174216476158177,1781174216476163562,1781174216476163562,1781174216476163562,1,1.000000000000,1.000000000000,1.000000000000,1
58,14221,14221,1781174216476283556,1781174216476283556,1781174216476297777,1781174216476297777,1781174216476297777,3,1.000000000000,1.000000000000,1.000000000000,1
59,5447,5447,1781174216476407555,1781174216476407555,1781174216476413002,1781174216476413002,1781174216476413002,1,1.000000000000,1.000000000000,1.000000000000,1
60,13954,13954,1781174216476531605,1781174216476531605,1781174216476545559,1781174216476545559,1781174216476545559,3,1.000000000000,1.000000000000,1.000000000000,1
61,5368,5368,1781174216476655410,1781174216476655410,1781174216476660778,1781174216476660778,1781174216476660778,2,1.000000000000,1.000000000000,1.000000000000,1
62,14625,14625,1781174216476790942,1781174216476790942,1781174216476805567,1781174216476805567,1781174216476805567,3,1.000000000000,1.000000000000,1.000000000000,1
63,5675,5675,1781174216476916294,1781174216476916294,1781174216476921969,1781174216476921969,1781174216476921969,0,1.000000000000,1.000000000000,1.000000000000,1
64,14334,14334,1781174216477040252,1781174216477040252,1781174216477054586,1781174216477054586,1781174216477054586,1,1.000000000000,1.000000000000,1.000000000000,1
65,5355,5355,1781174216477164022,1781174216477164022,1781174216477169377,1781174216477169377,1781174216477169377,3,1.000000000000,1.000000000000,1.000000000000,1
66,14210,14210,1781174216477287981,1781174216477287981,1781174216477302191,1781174216477302191,1781174216477302191,0,1.000000000000,1.000000000000,1.000000000000,1
67,5449,5449,1781174216477412163,1781174216477412163,1781174216477417612,1781174216477417612,1781174216477417612,3,1.000000000000,1.000000000000,1.000000000000,1
68,14082,14082,1781174216477536062,1781174216477536062,1781174216477550144,1781174216477550144,1781174216477550144,1,1.000000000000,1.000000000000,1.000000000000,1
69,5443,5443,1781174216477661589,1781174216477661589,1781174216477667032,1781174216477667032,1781174216477667032,3,1.000000000000,1.000000000000,1.000000000000,1
70,13917,13917,1781174216477785986,1781174216477785986,1781174216477799903,1781174216477799903,1781174216477799903,3,1.000000000000,1.000000000000,1.000000000000,1
71,16364,16364,1781174216477946564,1781174216477946564,1781174216477962928,1781174216477962928,1781174216477962928,3,1.000000000000,1.000000000000,1.000000000000,1
72,12836,12836,1781174216478056880,1781174216478056880,1781174216478069716,1781174216478069716,1781174216478069716,3,1.000000000000,1.000000000000,1.000000000000,1
73,17622,17622,1781174216478163046,1781174216478163046,1781174216478180668,1781174216478180668,1781174216478180668,1,1.000000000000,1.000000000000,1.000000000000,1
74,24962,24962,1781174216478321829,1781174216478321829,1781174216478346791,1781174216478346791,1781174216478346791,2,1.000000000000,1.000000000000,1.000000000000,1
75,23737,23737,1781174216478428175,1781174216478428175,1781174216478451912,1781174216478451912,1781174216478451912,1,1.000000000000,1.000000000000,1.000000000000,1
76,23801,23801,1781174216478534540,1781174216478534540,1781174216478558341,1781174216478558341,1781174216478558341,0,1.000000000000,1.000000000000,1.000000000000,1
77,11830,11830,1781174216478664308,1781174216478664308,1781174216478676138,1781174216478676138,1781174216478676138,0,1.000000000000,1.000000000000,1.000000000000,1
78,17192,17192,1781174216478783570,1781174216478783570,1781174216478800762,1781174216478800762,1781174216478800762,0,1.000000000000,1.000000000000,1.000000000000,1
79,27147,27147,1781174216478921238,1781174216478921238,1781174216478948385,1781174216478948385,1781174216478948385,3,1.000000000000,1.000000000000,1.000000000000,1
80,21298,21298,1781174216479048001,1781174216479048001,1781174216479069299,1781174216479069299,1781174216479069299,3,1.000000000000,1.000000000000,1.000000000000,1
81,7234,7234,1781174216479154566,1781174216479154566,1781174216479161800,1781174216479161800,1781174216479161800,0,1.000000000000,1.000000000000,1.000000000000,1
82,29607,29607,1781174216479279933,1781174216479279933,1781174216479309540,1781174216479309540,1781174216479309540,0,1.000000000000,1.000000000000,1.000000000000,1
83,5885,5885,1781174216479390481,1781174216479390481,1781174216479396366,1781174216479396366,1781174216479396366,1,1.000000000000,1.000000000000,1.000000000000,1
84,24513,24513,1781174216479527335,1781174216479527335,1781174216479551848,1781174216479551848,1781174216479551848,3,1.000000000000,1.000000000000,1.000000000000,1
85,17004,17004,1781174216479643341,1781174216479643341,1781174216479660345,1781174216479660345,1781174216479660345,0,1.000000000000,1.000000000000,1.000000000000,1
86,28501,28501,1781174216479800053,1781174216479800053,1781174216479828554,1781174216479828554,1781174216479828554,1,1.000000000000,1.000000000000,1.000000000000,1
87,16875,16875,1781174216479929226,1781174216479929226,1781174216479946101,1781174216479946101,1781174216479946101,1,1.000000000000,1.000000000000,1.000000000000,1
88,7077,7077,1781174216480059442,1781174216480059442,1781174216480066519,1781174216480066519,1781174216480066519,1,1.000000000000,1.000000000000,1.000000000000,1
