count_idx,delay_ns,delay_physical_ns,final_e2e_via_r2_ns,stage2_link_delay_ns,stage1_delay_ns,ts_r1_ns,ts_r2_ns,ts_r2_on_r1_ns,stage1_recv_r1_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_r1,bits_final,w14,w56,w_final_raw,werner_intermediate,werner_final,state_after_stage1_peer_id,state_final_peer_id
51,38878,38878,38878,8831,,1781174201740462349,1781174201740492396,1781174201740492396,,1781174201740501227,1781174201740501227,,0,1.000000000000,1.000000000000,1.000000000000,,0.925190145400,,1
52,32450,32450,32450,6063,,1781174201740580756,1781174201740607143,1781174201740607143,,1781174201740613206,1781174201740613206,,2,1.000000000000,1.000000000000,1.000000000000,,0.937161174809,,1
53,36526,36526,36526,6508,,1781174201740699318,1781174201740729336,1781174201740729336,,1781174201740735844,1781174201740735844,,3,1.000000000000,1.000000000000,1.000000000000,,0.929552492039,,1
54,66709,66709,66709,17357,,1781174201740829198,1781174201740878550,1781174201740878550,,1781174201740895907,1781174201740895907,,0,1.000000000000,1.000000000000,1.000000000000,,0.875099224172,,1
55,35052,35052,35052,6602,,1781174201740955016,1781174201740983466,1781174201740983466,,1781174201740990068,1781174201740990068,,0,1.000000000000,1.000000000000,1.000000000000,,0.932296855991,,1
56,35810,35810,35810,7393,,1781174201741073858,1781174201741102275,1781174201741102275,,1781174201741109668,1781174201741109668,,2,1.000000000000,1.000000000000,1.000000000000,,0.930884564744,,1
57,32238,32238,32238,6181,,1781174201741192378,1781174201741218435,1781174201741218435,,1781174201741224616,1781174201741224616,,0,1.000000000000,1.000000000000,1.000000000000,,0.937558615399,,1
58,70460,70460,70460,19744,,1781174201741310888,1781174201741361604,1781174201741361604,,1781174201741381348,1781174201741381348,,0,1.000000000000,1.000000000000,1.000000000000,,0.868558793622,,1
59,59232,59232,59232,15931,,1781174201741435387,1781174201741478688,1781174201741478688,,1781174201741494619,1781174201741494619,,0,1.000000000000,1.000000000000,1.000000000000,,0.888283793298,,1
60,42531,42531,42531,15069,,1781174201741558335,1781174201741585797,1781174201741585797,,1781174201741600866,1781174201741600866,,0,1.000000000000,1.000000000000,1.000000000000,,0.918455338405,,1
61,39047,39047,39047,5570,,1781174201741674704,1781174201741708181,1781174201741708181,,1781174201741713751,1781174201741713751,,1,1.000000000000,1.000000000000,1.000000000000,,0.924877483974,,1
62,38737,38737,38737,5630,,1781174201741798225,1781174201741831332,1781174201741831332,,1781174201741836962,1781174201741836962,,3,1.000000000000,1.000000000000,1.000000000000,,0.925451085812,,1
63,41528,41528,41528,6790,,1781174201741921721,1781174201741956459,1781174201741956459,,1781174201741963249,1781174201741963249,,0,1.000000000000,1.000000000000,1.000000000000,,0.920299608999,,1
64,39472,39472,39472,5481,,1781174201742045137,1781174201742079128,1781174201742079128,,1781174201742084609,1781174201742084609,,2,1.000000000000,1.000000000000,1.000000000000,,0.924091672130,,1
65,39006,39006,39006,5573,,1781174201742169111,1781174201742202544,1781174201742202544,,1781174201742208117,1781174201742208117,,1,1.000000000000,1.000000000000,1.000000000000,,0.924953327037,,1
66,57185,57185,57185,14434,,1781174201742294648,1781174201742337399,1781174201742337399,,1781174201742351833,1781174201742351833,,3,1.000000000000,1.000000000000,1.000000000000,,0.891927881506,,1
67,51089,51089,51089,15782,,1781174201742427581,1781174201742462888,1781174201742462888,,1781174201742478670,1781174201742478670,,3,1.000000000000,1.000000000000,1.000000000000,,0.902868826714,,1
68,115047,115047,115047,49203,,1781174201742551435,1781174201742617279,1781174201742617279,,1781174201742666482,1781174201742666482,,3,1.000000000000,1.000000000000,1.000000000000,,0.794458919855,,1
69,49603,49603,49603,14301,,1781174201742675808,1781174201742711110,1781174201742711110,,1781174201742725411,1781174201742725411,,0,1.000000000000,1.000000000000,1.000000000000,,0.905556144242,,1
70,64528,64528,64528,25743,,1781174201742783376,1781174201742822161,1781174201742822161,,1781174201742847904,1781174201742847904,,2,1.000000000000,1.000000000000,1.000000000000,,0.878924744382,,1
71,44544,44544,44544,7268,,1781174201742897947,1781174201742935223,1781174201742935223,,1781174201742942491,1781174201742942491,,2,1.000000000000,1.000000000000,1.000000000000,,0.914765070706,,1
72,142861,142861,142861,55007,,1781174201743022498,1781174201743110352,1781174201743110352,,1781174201743165359,1781174201743165359,,0,1.000000000000,1.000000000000,1.000000000000,,0.751471495987,,1
73,107515,107515,107515,43586,,1781174201743221318,1781174201743285247,1781174201743285247,,1781174201743328833,1781174201743328833,,3,1.000000000000,1.000000000000,1.000000000000,,0.806517244297,,1
