count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
1,42725,1781174201734437020,1781174201734437020,1781174201734609971,1781174201734609971,1781174201734479745,1781174201734479745,0,3,3,1.000000000000,1.000000000000,1.000000000000
2,5857,1781174201734593761,1781174201734593761,1781174201734667596,1781174201734667596,1781174201734599618,1781174201734599618,2,0,2,1.000000000000,1.000000000000,1.000000000000
3,4014,1781174201734701054,1781174201734701054,1781174201734777744,1781174201734777744,1781174201734705068,1781174201734705068,1,1,0,1.000000000000,1.000000000000,1.000000000000
4,5832,1781174201734815855,1781174201734815855,1781174201734873921,1781174201734873921,1781174201734821687,1781174201734821687,0,3,3,1.000000000000,1.000000000000,1.000000000000
5,5760,1781174201734942651,1781174201734942651,1781174201734995950,1781174201734995950,1781174201734948411,1781174201734948411,3,0,3,1.000000000000,1.000000000000,1.000000000000
6,5639,1781174201735058267,1781174201735058267,1781174201735122401,1781174201735122401,1781174201735063906,1781174201735063906,3,2,1,1.000000000000,1.000000000000,1.000000000000
7,5810,1781174201735174886,1781174201735174886,1781174201735247743,1781174201735247743,1781174201735180696,1781174201735180696,0,0,0,1.000000000000,1.000000000000,1.000000000000
8,5939,1781174201735291127,1781174201735291127,1781174201735309753,1781174201735309753,1781174201735297066,1781174201735297066,3,3,0,1.000000000000,1.000000000000,1.000000000000
9,12238,1781174201735398788,1781174201735398788,1781174201735468082,1781174201735468082,1781174201735411026,1781174201735411026,2,1,3,1.000000000000,1.000000000000,1.000000000000
10,6036,1781174201735521284,1781174201735521284,1781174201735570086,1781174201735570086,1781174201735527320,1781174201735527320,1,1,0,1.000000000000,1.000000000000,1.000000000000
11,13347,1781174201735628925,1781174201735628925,1781174201735666759,1781174201735666759,1781174201735642272,1781174201735642272,2,2,0,1.000000000000,1.000000000000,1.000000000000
12,5574,1781174201735744540,1781174201735744540,1781174201735817178,1781174201735817178,1781174201735750114,1781174201735750114,0,2,2,1.000000000000,1.000000000000,1.000000000000
13,5750,1781174201735860847,1781174201735860847,1781174201735882607,1781174201735882607,1781174201735866597,1781174201735866597,0,0,0,1.000000000000,1.000000000000,1.000000000000
14,12704,1781174201735970368,1781174201735970368,1781174201736015577,1781174201736015577,1781174201735983072,1781174201735983072,3,0,3,1.000000000000,1.000000000000,1.000000000000
15,14551,1781174201736092098,1781174201736092098,1781174201736121937,1781174201736121937,1781174201736106649,1781174201736106649,2,2,0,1.000000000000,1.000000000000,1.000000000000
16,14266,1781174201736210664,1781174201736210664,1781174201736249387,1781174201736249387,1781174201736224930,1781174201736224930,2,3,1,1.000000000000,1.000000000000,1.000000000000
17,15730,1781174201736328810,1781174201736328810,1781174201736358537,1781174201736358537,1781174201736344540,1781174201736344540,3,0,3,1.000000000000,1.000000000000,1.000000000000
18,17150,1781174201736448502,1781174201736448502,1781174201736479610,1781174201736479610,1781174201736465652,1781174201736465652,3,3,0,1.000000000000,1.000000000000,1.000000000000
19,14106,1781174201736569564,1781174201736569564,1781174201736598168,1781174201736598168,1781174201736583670,1781174201736583670,0,0,0,1.000000000000,1.000000000000,1.000000000000
20,14208,1781174201736687447,1781174201736687447,1781174201736717438,1781174201736717438,1781174201736701655,1781174201736701655,3,3,0,1.000000000000,1.000000000000,1.000000000000
21,14026,1781174201736805507,1781174201736805507,1781174201736846140,1781174201736846140,1781174201736819533,1781174201736819533,2,0,2,1.000000000000,1.000000000000,1.000000000000
22,14970,1781174201736923364,1781174201736923364,1781174201736953272,1781174201736953272,1781174201736938334,1781174201736938334,1,1,0,1.000000000000,1.000000000000,1.000000000000
23,14072,1781174201737042358,1781174201737042358,1781174201737070478,1781174201737070478,1781174201737056430,1781174201737056430,2,1,3,1.000000000000,1.000000000000,1.000000000000
24,14103,1781174201737160492,1781174201737160492,1781174201737188620,1781174201737188620,1781174201737174595,1781174201737174595,3,3,0,1.000000000000,1.000000000000,1.000000000000
25,14373,1781174201737278576,1781174201737278576,1781174201737307120,1781174201737307120,1781174201737292949,1781174201737292949,2,2,0,1.000000000000,1.000000000000,1.000000000000
26,6076,1781174201737397009,1781174201737397009,1781174201737417416,1781174201737417416,1781174201737403085,1781174201737403085,3,0,3,1.000000000000,1.000000000000,1.000000000000
27,13470,1781174201737506443,1781174201737506443,1781174201737534253,1781174201737534253,1781174201737519913,1781174201737519913,0,3,3,1.000000000000,1.000000000000,1.000000000000
28,14226,1781174201737623613,1781174201737623613,1781174201737661669,1781174201737661669,1781174201737637839,1781174201737637839,3,0,3,1.000000000000,1.000000000000,1.000000000000
29,14160,1781174201737741541,1781174201737741541,1781174201737768725,1781174201737768725,1781174201737755701,1781174201737755701,1,0,1,1.000000000000,1.000000000000,1.000000000000
30,14990,1781174201737859593,1781174201737859593,1781174201737888687,1781174201737888687,1781174201737874583,1781174201737874583,0,0,0,1.000000000000,1.000000000000,1.000000000000
31,14359,1781174201737978337,1781174201737978337,1781174201738005699,1781174201738005699,1781174201737992696,1781174201737992696,0,0,0,1.000000000000,1.000000000000,1.000000000000
32,62925,1781174201738096494,1781174201738096494,1781174201738173917,1781174201738173917,1781174201738159419,1781174201738159419,2,3,1,1.000000000000,1.000000000000,1.000000000000
33,16906,1781174201738263817,1781174201738263817,1781174201738300084,1781174201738300084,1781174201738280723,1781174201738280723,0,2,2,1.000000000000,1.000000000000,1.000000000000
34,16076,1781174201738384589,1781174201738384589,1781174201738415055,1781174201738415055,1781174201738400665,1781174201738400665,0,0,0,1.000000000000,1.000000000000,1.000000000000
35,15233,1781174201738504970,1781174201738504970,1781174201738532185,1781174201738532185,1781174201738520203,1781174201738520203,0,1,1,1.000000000000,1.000000000000,1.000000000000
36,15305,1781174201738623959,1781174201738623959,1781174201738651870,1781174201738651870,1781174201738639264,1781174201738639264,1,3,2,1.000000000000,1.000000000000,1.000000000000
37,17415,1781174201738743215,1781174201738743215,1781174201738773390,1781174201738773390,1781174201738760630,1781174201738760630,1,0,1,1.000000000000,1.000000000000,1.000000000000
38,16826,1781174201738867066,1781174201738867066,1781174201738897411,1781174201738897411,1781174201738883892,1781174201738883892,1,0,1,1.000000000000,1.000000000000,1.000000000000
39,16209,1781174201738987778,1781174201738987778,1781174201739016228,1781174201739016228,1781174201739003987,1781174201739003987,2,2,0,1.000000000000,1.000000000000,1.000000000000
40,15478,1781174201739107957,1781174201739107957,1781174201739138807,1781174201739138807,1781174201739123435,1781174201739123435,0,0,0,1.000000000000,1.000000000000,1.000000000000
41,15290,1781174201739227084,1781174201739227084,1781174201739257193,1781174201739257193,1781174201739242374,1781174201739242374,0,2,2,1.000000000000,1.000000000000,1.000000000000
42,19496,1781174201739388520,1781174201739388520,1781174201739422612,1781174201739422612,1781174201739408016,1781174201739408016,1,0,1,1.000000000000,1.000000000000,1.000000000000
43,15039,1781174201739513139,1781174201739513139,1781174201739541848,1781174201739541848,1781174201739528178,1781174201739528178,1,1,0,1.000000000000,1.000000000000,1.000000000000
44,14759,1781174201739631903,1781174201739631903,1781174201739657824,1781174201739657824,1781174201739646662,1781174201739646662,0,3,3,1.000000000000,1.000000000000,1.000000000000
45,14781,1781174201739750397,1781174201739750397,1781174201739776581,1781174201739776581,1781174201739765178,1781174201739765178,1,2,3,1.000000000000,1.000000000000,1.000000000000
46,15146,1781174201739869007,1781174201739869007,1781174201739895652,1781174201739895652,1781174201739884153,1781174201739884153,1,1,0,1.000000000000,1.000000000000,1.000000000000
47,14274,1781174201739987953,1781174201739987953,1781174201740015279,1781174201740015279,1781174201740002227,1781174201740002227,1,1,0,1.000000000000,1.000000000000,1.000000000000
48,15282,1781174201740106069,1781174201740106069,1781174201740134541,1781174201740134541,1781174201740121351,1781174201740121351,2,2,0,1.000000000000,1.000000000000,1.000000000000
49,14907,1781174201740225311,1781174201740225311,1781174201740251318,1781174201740251318,1781174201740240218,1781174201740240218,3,1,2,1.000000000000,1.000000000000,1.000000000000
50,14675,1781174201740344010,1781174201740344010,1781174201740375868,1781174201740375868,1781174201740358685,1781174201740358685,1,1,0,1.000000000000,1.000000000000,1.000000000000
51,14736,1781174201740462349,1781174201740462349,1781174201740492396,1781174201740492396,1781174201740477085,1781174201740477085,0,0,0,1.000000000000,1.000000000000,1.000000000000
52,14760,1781174201740580756,1781174201740580756,1781174201740607143,1781174201740607143,1781174201740595516,1781174201740595516,3,1,2,1.000000000000,1.000000000000,1.000000000000
53,16160,1781174201740699318,1781174201740699318,1781174201740729336,1781174201740729336,1781174201740715478,1781174201740715478,1,2,3,1.000000000000,1.000000000000,1.000000000000
54,21987,1781174201740829198,1781174201740829198,1781174201740878550,1781174201740878550,1781174201740851185,1781174201740851185,2,2,0,1.000000000000,1.000000000000,1.000000000000
55,15115,1781174201740955016,1781174201740955016,1781174201740983466,1781174201740983466,1781174201740970131,1781174201740970131,3,3,0,1.000000000000,1.000000000000,1.000000000000
56,14552,1781174201741073858,1781174201741073858,1781174201741102275,1781174201741102275,1781174201741088410,1781174201741088410,3,1,2,1.000000000000,1.000000000000,1.000000000000
57,14740,1781174201741192378,1781174201741192378,1781174201741218435,1781174201741218435,1781174201741207118,1781174201741207118,2,2,0,1.000000000000,1.000000000000,1.000000000000
58,14959,1781174201741310888,1781174201741310888,1781174201741361604,1781174201741361604,1781174201741325847,1781174201741325847,0,0,0,1.000000000000,1.000000000000,1.000000000000
59,13806,1781174201741435387,1781174201741435387,1781174201741478688,1781174201741478688,1781174201741449193,1781174201741449193,3,3,0,1.000000000000,1.000000000000,1.000000000000
