count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
1,108384,1781174216468324144,1781174216468324144,1781174216468576578,1781174216468576578,1781174216468432528,1781174216468432528,2,1,3,1.000000000000,1.000000000000,1.000000000000
2,21551,1781174216468578250,1781174216468578250,1781174216468694371,1781174216468694371,1781174216468599801,1781174216468599801,0,1,1,1.000000000000,1.000000000000,1.000000000000
3,35977,1781174216468704019,1781174216468704019,1781174216468823009,1781174216468823009,1781174216468739996,1781174216468739996,2,0,2,1.000000000000,1.000000000000,1.000000000000
4,43531,1781174216468869543,1781174216468869543,1781174216468980277,1781174216468980277,1781174216468913074,1781174216468913074,2,0,2,1.000000000000,1.000000000000,1.000000000000
5,16986,1781174216469042047,1781174216469042047,1781174216469089320,1781174216469089320,1781174216469059033,1781174216469059033,0,2,2,1.000000000000,1.000000000000,1.000000000000
6,12490,1781174216469164794,1781174216469164794,1781174216469289916,1781174216469289916,1781174216469177284,1781174216469177284,0,0,0,1.000000000000,1.000000000000,1.000000000000
7,41703,1781174216469307566,1781174216469307566,1781174216469430668,1781174216469430668,1781174216469349269,1781174216469349269,3,2,1,1.000000000000,1.000000000000,1.000000000000
8,17825,1781174216469455456,1781174216469455456,1781174216469506774,1781174216469506774,1781174216469473281,1781174216469473281,3,0,3,1.000000000000,1.000000000000,1.000000000000
9,34069,1781174216469581474,1781174216469581474,1781174216469700716,1781174216469700716,1781174216469615543,1781174216469615543,0,3,3,1.000000000000,1.000000000000,1.000000000000
10,16748,1781174216469742785,1781174216469742785,1781174216469803920,1781174216469803920,1781174216469759533,1781174216469759533,0,1,1,1.000000000000,1.000000000000,1.000000000000
11,32917,1781174216469864376,1781174216469864376,1781174216469953592,1781174216469953592,1781174216469897293,1781174216469897293,0,0,0,1.000000000000,1.000000000000,1.000000000000
12,15422,1781174216470038261,1781174216470038261,1781174216470131270,1781174216470131270,1781174216470053683,1781174216470053683,2,0,2,1.000000000000,1.000000000000,1.000000000000
13,15099,1781174216470180412,1781174216470180412,1781174216470231915,1781174216470231915,1781174216470195511,1781174216470195511,0,3,3,1.000000000000,1.000000000000,1.000000000000
