count_idx,delay_ns,delay_physical_ns,final_e2e_via_r2_ns,stage2_link_delay_ns,stage1_delay_ns,ts_r1_ns,ts_r2_ns,ts_r2_on_r1_ns,stage1_recv_r1_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_r1,bits_final,w14,w56,w_final_raw,werner_intermediate,werner_final,state_after_stage1_peer_id,state_final_peer_id
51,444542,444542,444542,231312,115811,1783332971851863864,1783332971852077094,1783332971852077094,1783332971851979675,1783332971852308406,1783332971852308406,2,3,1.000000000000,1.000000000000,1.000000000000,0.793245913598,0.411032085756,3,4
52,432009,432009,432009,217601,112437,1783332971851978875,1783332971852193283,1783332971852193283,1783332971852091312,1783332971852410884,1783332971852410884,3,0,1.000000000000,1.000000000000,1.000000000000,0.798616838142,0.421465228334,3,4
53,450865,450865,450865,233079,104114,1783332971852093475,1783332971852311261,1783332971852311261,1783332971852197589,1783332971852544340,1783332971852544340,3,2,1.000000000000,1.000000000000,1.000000000000,0.812021874617,0.405866902290,3,4
54,452701,452701,452701,237817,113610,1783332971852218376,1783332971852433260,1783332971852433260,1783332971852331986,1783332971852671077,1783332971852671077,0,2,1.000000000000,1.000000000000,1.000000000000,0.796745479002,0.404379291949,3,4
55,451527,451527,451527,236016,105586,1783332971852340057,1783332971852555568,1783332971852555568,1783332971852445643,1783332971852791584,1783332971852791584,1,1,1.000000000000,1.000000000000,1.000000000000,0.809634797719,0.405329890092,3,4
56,445573,445573,445573,231874,115661,1783332971852457798,1783332971852671497,1783332971852671497,1783332971852573459,1783332971852903371,1783332971852903371,3,1,1.000000000000,1.000000000000,1.000000000000,0.793483923072,0.410185410817,3,4
57,435369,435369,435369,221963,115627,1783332971852572399,1783332971852785805,1783332971852785805,1783332971852688026,1783332971853007768,1783332971853007768,0,2,1.000000000000,1.000000000000,1.000000000000,0.793537881813,0.418642477066,3,4
58,458785,458785,458785,245050,108145,1783332971852687029,1783332971852900764,1783332971852900764,1783332971852795174,1783332971853145814,1783332971853145814,0,0,1.000000000000,1.000000000000,1.000000000000,0.805501672514,0.399488619916,3,4
59,441702,441702,441702,228029,117420,1783332971852801570,1783332971853015243,1783332971853015243,1783332971852918990,1783332971853243272,1783332971853243272,2,2,1.000000000000,1.000000000000,1.000000000000,0.790697351085,0.413373391015,3,4
60,448038,448038,448038,235428,113256,1783332971852916231,1783332971853128841,1783332971853128841,1783332971853029487,1783332971853364269,1783332971853364269,2,0,1.000000000000,1.000000000000,1.000000000000,0.797309774538,0.408168173318,3,4
