count_idx,delay_ns,delay_physical_ns,final_e2e_via_r2_ns,stage2_link_delay_ns,stage1_delay_ns,ts_r1_ns,ts_r2_ns,ts_r2_on_r1_ns,stage1_recv_r1_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_r1,bits_final,w14,w56,w_final_raw,werner_intermediate,werner_final,state_after_stage1_peer_id,state_final_peer_id
51,501570,501570,501570,166552,167840,1783334436316370679,1783334436316705697,1783334436316705697,1783334436316538519,1783334436316872249,1783334436316872249,3,3,1.000000000000,1.000000000000,1.000000000000,0.714851821803,0.366726111402,3,4
52,495436,495436,495436,166291,163975,1783334436316496950,1783334436316826095,1783334436316826095,1783334436316660925,1783334436316992386,1783334436316992386,0,1,1.000000000000,1.000000000000,1.000000000000,0.720399038757,0.371252817377,3,4
53,498513,498513,498513,170149,168302,1783334436316616930,1783334436316945294,1783334436316945294,1783334436316785232,1783334436317115443,1783334436317115443,3,2,1.000000000000,1.000000000000,1.000000000000,0.714191603787,0.368975143131,3,4
54,494959,494959,494959,167947,167517,1783334436316738391,1783334436317065403,1783334436317065403,1783334436316905908,1783334436317233350,1783334436317233350,3,2,1.000000000000,1.000000000000,1.000000000000,0.715313765271,0.371607161560,3,4
55,491253,491253,491253,164355,167272,1783334436316856273,1783334436317183171,1783334436317183171,1783334436317023545,1783334436317347526,1783334436317347526,1,1,1.000000000000,1.000000000000,1.000000000000,0.715664354904,0.374371746737,3,4
56,494950,494950,494950,167053,168949,1783334436316974173,1783334436317302070,1783334436317302070,1783334436317143122,1783334436317469123,1783334436317469123,0,2,1.000000000000,1.000000000000,1.000000000000,0.713268037528,0.371613850549,3,4
57,499926,499926,499926,167191,168615,1783334436317093674,1783334436317426409,1783334436317426409,1783334436317262289,1783334436317593600,1783334436317593600,2,2,1.000000000000,1.000000000000,1.000000000000,0.713744659751,0.367933891358,3,4
58,490762,490762,490762,162280,163791,1783334436317213265,1783334436317541747,1783334436317541747,1783334436317377056,1783334436317704027,1783334436317704027,1,1,1.000000000000,1.000000000000,1.000000000000,0.720664194389,0.374739560360,3,4
59,503578,503578,503578,168407,169887,1783334436317334305,1783334436317669476,1783334436317669476,1783334436317504192,1783334436317837883,1783334436317837883,1,0,1.000000000000,1.000000000000,1.000000000000,0.711931201034,0.365256292710,3,4
60,509873,509873,509873,166505,181132,1783334436317454126,1783334436317797494,1783334436317797494,1783334436317635258,1783334436317963999,1783334436317963999,1,2,1.000000000000,1.000000000000,1.000000000000,0.696098573559,0.360686542921,3,4
61,486440,486440,486440,160124,163939,1783334436317569197,1783334436317895513,1783334436317895513,1783334436317733136,1783334436318055637,1783334436318055637,0,2,1.000000000000,1.000000000000,1.000000000000,0.720450909355,0.377992849579,3,4
62,496255,496255,496255,167631,168454,1783334436317689388,1783334436318018012,1783334436318018012,1783334436317857842,1783334436318185643,1783334436318185643,3,1,1.000000000000,1.000000000000,1.000000000000,0.713974522537,0.370645203034,3,4
63,489261,489261,489261,161509,168520,1783334436317807629,1783334436318135381,1783334436318135381,1783334436317976149,1783334436318296890,1783334436318296890,0,0,1.000000000000,1.000000000000,1.000000000000,0.713880284120,0.375866218788,3,4
64,493017,493017,493017,166358,161806,1783334436317928320,1783334436318254979,1783334436318254979,1783334436318090126,1783334436318421337,1783334436318421337,0,0,1.000000000000,1.000000000000,1.000000000000,0.723530917921,0.373053290340,3,4
65,493844,493844,493844,165416,169013,1783334436318046050,1783334436318374478,1783334436318374478,1783334436318215063,1783334436318539894,1783334436318539894,0,2,1.000000000000,1.000000000000,1.000000000000,0.713176745062,0.372436770200,3,4
66,492809,492809,492809,165092,162758,1783334436318169461,1783334436318497178,1783334436318497178,1783334436318332219,1783334436318662270,1783334436318662270,1,1,1.000000000000,1.000000000000,1.000000000000,0.722154625700,0.373208512792,3,4
67,498865,498865,498865,170901,169794,1783334436318288822,1783334436318616786,1783334436318616786,1783334436318458616,1783334436318787687,1783334436318787687,2,0,1.000000000000,1.000000000000,1.000000000000,0.712063632553,0.368715476043,3,4
68,491232,491232,491232,161059,168121,1783334436318408882,1783334436318739055,1783334436318739055,1783334436318577003,1783334436318900114,1783334436318900114,0,1,1.000000000000,1.000000000000,1.000000000000,0.714450187948,0.374387470681,3,4
69,511077,511077,511077,169497,166686,1783334436318537103,1783334436318878683,1783334436318878683,1783334436318703789,1783334436319048180,1783334436319048180,1,2,1.000000000000,1.000000000000,1.000000000000,0.716503605232,0.359819054601,3,4
70,499632,499632,499632,161475,167181,1783334436318657325,1783334436318995482,1783334436318995482,1783334436318824506,1783334436319156957,1783334436319156957,0,0,1.000000000000,1.000000000000,1.000000000000,0.715794617670,0.368150300104,3,4
71,496969,496969,496969,167343,164698,1783334436318775625,1783334436319105251,1783334436319105251,1783334436318940323,1783334436319272594,1783334436319272594,3,1,1.000000000000,1.000000000000,1.000000000000,0.719358094531,0.370116299411,3,4
72,495244,495244,495244,167910,167473,1783334436318895576,1783334436319222910,1783334436319222910,1783334436319063049,1783334436319390820,1783334436319390820,0,1,1.000000000000,1.000000000000,1.000000000000,0.715376715652,0.371395405834,3,4
73,496440,496440,496440,166859,166959,1783334436319013407,1783334436319342988,1783334436319342988,1783334436319180366,1783334436319509847,1783334436319509847,1,0,1.000000000000,1.000000000000,1.000000000000,0.716112501045,0.370508089676,3,4
74,488377,488377,488377,160377,168396,1783334436319131507,1783334436319459507,1783334436319459507,1783334436319299903,1783334436319619884,1783334436319619884,1,1,1.000000000000,1.000000000000,1.000000000000,0.714057348386,0.376531338055,3,4
75,494153,494153,494153,165995,170172,1783334436319249868,1783334436319578026,1783334436319578026,1783334436319420040,1783334436319744021,1783334436319744021,1,2,1.000000000000,1.000000000000,1.000000000000,0.711525515881,0.372206675383,3,4
76,500989,500989,500989,168443,168888,1783334436319371048,1783334436319703594,1783334436319703594,1783334436319539936,1783334436319872037,1783334436319872037,3,3,1.000000000000,1.000000000000,1.000000000000,0.713355061537,0.367152494824,3,4
77,489074,489074,489074,160931,162863,1783334436319490600,1783334436319818743,1783334436319818743,1783334436319653463,1783334436319979674,1783334436319979674,3,1,1.000000000000,1.000000000000,1.000000000000,0.722002989151,0.376006819045,3,4
78,505229,505229,505229,175839,170739,1783334436319613951,1783334436319943341,1783334436319943341,1783334436319784690,1783334436320119180,1783334436320119180,0,2,1.000000000000,1.000000000000,1.000000000000,0.710719103268,0.364052205473,3,4
79,490596,490596,490596,161587,170025,1783334436319733961,1783334436320062970,1783334436320062970,1783334436319903986,1783334436320224557,1783334436320224557,0,1,1.000000000000,1.000000000000,1.000000000000,0.711734735136,0.374863994549,3,4
80,498992,498992,498992,171235,161891,1783334436319855042,1783334436320182799,1783334436320182799,1783334436320016933,1783334436320354034,1783334436320354034,3,3,1.000000000000,1.000000000000,1.000000000000,0.723407928120,0.368621834206,3,4
81,487328,487328,487328,159654,168077,1783334436319973023,1783334436320300697,1783334436320300697,1783334436320141100,1783334436320460351,1783334436320460351,2,2,1.000000000000,1.000000000000,1.000000000000,0.714513062331,0.377322130053,3,4
82,494665,494665,494665,166342,162404,1783334436320090953,1783334436320419276,1783334436320419276,1783334436320253357,1783334436320585618,1783334436320585618,3,2,1.000000000000,1.000000000000,1.000000000000,0.722666092212,0.371825730824,3,4
83,496880,496880,496880,167659,170029,1783334436320213514,1783334436320542735,1783334436320542735,1783334436320383543,1783334436320710394,1783334436320710394,0,1,1.000000000000,1.000000000000,1.000000000000,0.711729041281,0.370182185976,3,4
84,515565,515565,515565,168687,163485,1783334436320333295,1783334436320680173,1783334436320680173,1783334436320496780,1783334436320848860,1783334436320848860,2,0,1.000000000000,1.000000000000,1.000000000000,0.721105375863,0.356603770549,3,4
85,491042,491042,491042,164196,170201,1783334436320454356,1783334436320781202,1783334436320781202,1783334436320624557,1783334436320945398,1783334436320945398,3,0,1.000000000000,1.000000000000,1.000000000000,0.711484248598,0.374529764954,3,4
86,495417,495417,495417,165353,168856,1783334436320578787,1783334436320908851,1783334436320908851,1783334436320747643,1783334436321074204,1783334436321074204,0,3,1.000000000000,1.000000000000,1.000000000000,0.713400717722,0.371266925252,3,4
87,489273,489273,489273,160612,169252,1783334436320698018,1783334436321026679,1783334436321026679,1783334436320867270,1783334436321187291,1783334436321187291,1,1,1.000000000000,1.000000000000,1.000000000000,0.712835928039,0.375857198107,3,4
88,493640,493640,493640,166760,161599,1783334436320817688,1783334436321144568,1783334436321144568,1783334436320979287,1783334436321311328,1783334436321311328,0,0,1.000000000000,1.000000000000,1.000000000000,0.723830521735,0.372588755405,3,4
89,492355,492355,492355,161567,168904,1783334436320935509,1783334436321266297,1783334436321266297,1783334436321104413,1783334436321427864,1783334436321427864,0,1,1.000000000000,1.000000000000,1.000000000000,0.713332234540,0.373547540017,3,4
90,494691,494691,494691,166436,161600,1783334436321054040,1783334436321382295,1783334436321382295,1783334436321215640,1783334436321548731,1783334436321548731,0,1,1.000000000000,1.000000000000,1.000000000000,0.723829074076,0.371806396389,3,4
91,487458,487458,487458,161543,172547,1783334436321171550,1783334436321497465,1783334436321497465,1783334436321344097,1783334436321659008,1783334436321659008,2,1,1.000000000000,1.000000000000,1.000000000000,0.708153783883,0.377224039052,3,4
92,496723,496723,496723,170531,164192,1783334436321289412,1783334436321615604,1783334436321615604,1783334436321453604,1783334436321786135,1783334436321786135,3,2,1.000000000000,1.000000000000,1.000000000000,0.720086453410,0.370298441434,3,4
93,492809,492809,492809,163420,168807,1783334436321407863,1783334436321737252,1783334436321737252,1783334436321576670,1783334436321900672,1783334436321900672,1,2,1.000000000000,1.000000000000,1.000000000000,0.713470634418,0.373208512792,3,4
94,496745,496745,496745,166307,164014,1783334436321531453,1783334436321861891,1783334436321861891,1783334436321695467,1783334436322028198,1783334436322028198,0,0,1.000000000000,1.000000000000,1.000000000000,0.720342849823,0.370282148661,3,4
95,494651,494651,494651,164265,171140,1783334436321652834,1783334436321983220,1783334436321983220,1783334436321823974,1783334436322147485,1783334436322147485,3,3,1.000000000000,1.000000000000,1.000000000000,0.710149335055,0.371836142090,3,4
96,497206,497206,497206,166423,163356,1783334436321773985,1783334436322104768,1783334436322104768,1783334436321937341,1783334436322271191,1783334436322271191,1,2,1.000000000000,1.000000000000,1.000000000000,0.721291445052,0.369940905857,3,4
97,504953,504953,504953,166811,167932,1783334436321893455,1783334436322231597,1783334436322231597,1783334436322061387,1783334436322398408,1783334436322398408,1,3,1.000000000000,1.000000000000,1.000000000000,0.714720301168,0.364253217765,3,4
98,490029,490029,490029,160569,164308,1783334436322011396,1783334436322340856,1783334436322340856,1783334436322175704,1783334436322501425,1783334436322501425,3,2,1.000000000000,1.000000000000,1.000000000000,0.719919412730,0.375289331439,3,4
99,487525,487525,487525,159738,168874,1783334436322130037,1783334436322457824,1783334436322457824,1783334436322298911,1783334436322617562,1783334436322617562,3,2,1.000000000000,1.000000000000,1.000000000000,0.713375035758,0.377173494417,3,4
100,494410,494410,494410,166415,168489,1783334436322250908,1783334436322578903,1783334436322578903,1783334436322419397,1783334436322745318,1783334436322745318,3,2,1.000000000000,1.000000000000,1.000000000000,0.713924546070,0.372015410311,3,4
101,504446,504446,504446,171254,168445,1783334436322373479,1783334436322706671,1783334436322706671,1783334436322541924,1783334436322877925,1783334436322877925,1,0,1.000000000000,1.000000000000,1.000000000000,0.713987374194,0.364622757853,3,4
102,490562,490562,490562,161252,164311,1783334436322496270,1783334436322825580,1783334436322825580,1783334436322660581,1783334436322986832,1783334436322986832,3,1,1.000000000000,1.000000000000,1.000000000000,0.719915093227,0.374889486167,3,4
103,497308,497308,497308,168939,166517,1783334436322621830,1783334436322950199,1783334436322950199,1783334436322788347,1783334436323119138,1783334436323119138,0,0,1.000000000000,1.000000000000,1.000000000000,0.716745824383,0.369865445609,3,4
104,487984,487984,487984,159668,170093,1783334436322741121,1783334436323069437,1783334436323069437,1783334436322911214,1783334436323229105,1783334436323229105,1,3,1.000000000000,1.000000000000,1.000000000000,0.711637945794,0.376827408027,3,4
105,493980,493980,493980,166016,161309,1783334436322860672,1783334436323188636,1783334436323188636,1783334436323021981,1783334436323354652,1783334436323354652,2,2,1.000000000000,1.000000000000,1.000000000000,0.724250465210,0.372335481175,3,4
106,495306,495306,495306,167853,167685,1783334436322978852,1783334436323306305,1783334436323306305,1783334436323146537,1783334436323474158,1783334436323474158,3,2,1.000000000000,1.000000000000,1.000000000000,0.715073460219,0.371349355659,3,4
107,495891,495891,495891,166032,162950,1783334436323096754,1783334436323426613,1783334436323426613,1783334436323259704,1783334436323592645,1783334436323592645,3,3,1.000000000000,1.000000000000,1.000000000000,0.721877371560,0.370915130984,3,4
108,490777,490777,490777,160750,169916,1783334436323216415,1783334436323546442,1783334436323546442,1783334436323386331,1783334436323707192,1783334436323707192,3,1,1.000000000000,1.000000000000,1.000000000000,0.711889910222,0.374728318342,3,4
109,502743,502743,502743,167767,165603,1783334436323337155,1783334436323672131,1783334436323672131,1783334436323502758,1783334436323839898,1783334436323839898,1,1,1.000000000000,1.000000000000,1.000000000000,0.718057234014,0.365866780334,3,4
110,491309,491309,491309,160556,168998,1783334436323466696,1783334436323797449,1783334436323797449,1783334436323635694,1783334436323958005,1783334436323958005,2,3,1.000000000000,1.000000000000,1.000000000000,0.713198140685,0.374329819450,3,4
111,494765,494765,494765,165924,163564,1783334436323588197,1783334436323917038,1783334436323917038,1783334436323751761,1783334436324082962,1783334436324082962,2,0,1.000000000000,1.000000000000,1.000000000000,0.720991450214,0.371751373114,3,4
112,491042,491042,491042,161022,168240,1783334436323708727,1783334436324038747,1783334436324038747,1783334436323876967,1783334436324199769,1783334436324199769,0,2,1.000000000000,1.000000000000,1.000000000000,0.714280169037,0.374529764954,3,4
