count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
1,390816,1783332971845957675,1783332971845957675,1783332971846392660,1783332971846392660,1783332971846348491,1783332971846348491,2,0,2,1.000000000000,1.000000000000,1.000000000000
2,248014,1783332971846100567,1783332971846100567,1783332971846440400,1783332971846440400,1783332971846348581,1783332971846348581,3,1,2,1.000000000000,1.000000000000,1.000000000000
3,218952,1783332971846218128,1783332971846218128,1783332971846465969,1783332971846465969,1783332971846437080,1783332971846437080,0,0,0,1.000000000000,1.000000000000,1.000000000000
4,226760,1783332971846334048,1783332971846334048,1783332971846573828,1783332971846573828,1783332971846560808,1783332971846560808,1,3,2,1.000000000000,1.000000000000,1.000000000000
5,225718,1783332971846449319,1783332971846449319,1783332971846687277,1783332971846687277,1783332971846675037,1783332971846675037,3,0,3,1.000000000000,1.000000000000,1.000000000000
6,224765,1783332971846564320,1783332971846564320,1783332971846800505,1783332971846800505,1783332971846789085,1783332971846789085,3,0,3,1.000000000000,1.000000000000,1.000000000000
7,226744,1783332971846679540,1783332971846679540,1783332971846917154,1783332971846917154,1783332971846906284,1783332971846906284,1,3,2,1.000000000000,1.000000000000,1.000000000000
8,223662,1783332971846798421,1783332971846798421,1783332971847034313,1783332971847034313,1783332971847022083,1783332971847022083,2,2,0,1.000000000000,1.000000000000,1.000000000000
9,236740,1783332971846914071,1783332971846914071,1783332971847161801,1783332971847161801,1783332971847150811,1783332971847150811,0,2,2,1.000000000000,1.000000000000,1.000000000000
10,218967,1783332971847032563,1783332971847032563,1783332971847261560,1783332971847261560,1783332971847251530,1783332971847251530,0,1,1,1.000000000000,1.000000000000,1.000000000000
11,212345,1783332971847151144,1783332971847151144,1783332971847374218,1783332971847374218,1783332971847363489,1783332971847363489,3,3,0,1.000000000000,1.000000000000,1.000000000000
12,209843,1783332971847269204,1783332971847269204,1783332971847489367,1783332971847489367,1783332971847479047,1783332971847479047,3,0,3,1.000000000000,1.000000000000,1.000000000000
13,209751,1783332971847384735,1783332971847384735,1783332971847604576,1783332971847604576,1783332971847594486,1783332971847594486,3,0,3,1.000000000000,1.000000000000,1.000000000000
14,210868,1783332971847500116,1783332971847500116,1783332971847721184,1783332971847721184,1783332971847710984,1783332971847710984,3,1,2,1.000000000000,1.000000000000,1.000000000000
15,212038,1783332971847614836,1783332971847614836,1783332971847836154,1783332971847836154,1783332971847826874,1783332971847826874,2,2,0,1.000000000000,1.000000000000,1.000000000000
16,211366,1783332971847731457,1783332971847731457,1783332971847954023,1783332971847954023,1783332971847942823,1783332971847942823,0,3,3,1.000000000000,1.000000000000,1.000000000000
17,221084,1783332971847846527,1783332971847846527,1783332971848078211,1783332971848078211,1783332971848067611,1783332971848067611,1,0,1,1.000000000000,1.000000000000,1.000000000000
18,207051,1783332971847961449,1783332971847961449,1783332971848178420,1783332971848178420,1783332971848168500,1783332971848168500,3,3,0,1.000000000000,1.000000000000,1.000000000000
19,210818,1783332971848079370,1783332971848079370,1783332971848301038,1783332971848301038,1783332971848290188,1783332971848290188,1,2,3,1.000000000000,1.000000000000,1.000000000000
20,208817,1783332971848202790,1783332971848202790,1783332971848421477,1783332971848421477,1783332971848411607,1783332971848411607,2,2,0,1.000000000000,1.000000000000,1.000000000000
21,207105,1783332971848321981,1783332971848321981,1783332971848538895,1783332971848538895,1783332971848529086,1783332971848529086,3,0,3,1.000000000000,1.000000000000,1.000000000000
22,204612,1783332971848437292,1783332971848437292,1783332971848651364,1783332971848651364,1783332971848641904,1783332971848641904,0,3,3,1.000000000000,1.000000000000,1.000000000000
23,205421,1783332971848551772,1783332971848551772,1783332971848766893,1783332971848766893,1783332971848757193,1783332971848757193,0,1,1,1.000000000000,1.000000000000,1.000000000000
24,205818,1783332971848667043,1783332971848667043,1783332971848882821,1783332971848882821,1783332971848872861,1783332971848872861,1,2,3,1.000000000000,1.000000000000,1.000000000000
25,205926,1783332971848782224,1783332971848782224,1783332971848997930,1783332971848997930,1783332971848988150,1783332971848988150,2,2,0,1.000000000000,1.000000000000,1.000000000000
26,205554,1783332971848897425,1783332971848897425,1783332971849112719,1783332971849112719,1783332971849102979,1783332971849102979,2,3,1,1.000000000000,1.000000000000,1.000000000000
27,208571,1783332971849012276,1783332971849012276,1783332971849230167,1783332971849230167,1783332971849220847,1783332971849220847,1,2,3,1.000000000000,1.000000000000,1.000000000000
28,205630,1783332971849131976,1783332971849131976,1783332971849348796,1783332971849348796,1783332971849337606,1783332971849337606,1,3,2,1.000000000000,1.000000000000,1.000000000000
29,204577,1783332971849250137,1783332971849250137,1783332971849464774,1783332971849464774,1783332971849454714,1783332971849454714,2,0,2,1.000000000000,1.000000000000,1.000000000000
30,206745,1783332971849378018,1783332971849378018,1783332971849594473,1783332971849594473,1783332971849584763,1783332971849584763,0,2,2,1.000000000000,1.000000000000,1.000000000000
31,322922,1783332971849495468,1783332971849495468,1783332971849828000,1783332971849828000,1783332971849818390,1783332971849818390,0,2,2,1.000000000000,1.000000000000,1.000000000000
32,305500,1783332971849610279,1783332971849610279,1783332971849925119,1783332971849925119,1783332971849915779,1783332971849915779,1,1,0,1.000000000000,1.000000000000,1.000000000000
33,258267,1783332971849756341,1783332971849756341,1783332971850024008,1783332971850024008,1783332971850014608,1783332971850014608,2,0,2,1.000000000000,1.000000000000,1.000000000000
34,241816,1783332971849871451,1783332971849871451,1783332971850123306,1783332971850123306,1783332971850113267,1783332971850113267,2,3,1,1.000000000000,1.000000000000,1.000000000000
35,226113,1783332971849986152,1783332971849986152,1783332971850221935,1783332971850221935,1783332971850212265,1783332971850212265,0,0,0,1.000000000000,1.000000000000,1.000000000000
36,211461,1783332971850101183,1783332971850101183,1783332971850323814,1783332971850323814,1783332971850312644,1783332971850312644,1,0,1,1.000000000000,1.000000000000,1.000000000000
37,204620,1783332971850215703,1783332971850215703,1783332971850429993,1783332971850429993,1783332971850420323,1783332971850420323,3,1,2,1.000000000000,1.000000000000,1.000000000000
38,205307,1783332971850337434,1783332971850337434,1783332971850551851,1783332971850551851,1783332971850542741,1783332971850542741,2,1,3,1.000000000000,1.000000000000,1.000000000000
39,203526,1783332971850458764,1783332971850458764,1783332971850671360,1783332971850671360,1783332971850662290,1783332971850662290,3,1,2,1.000000000000,1.000000000000,1.000000000000
40,204843,1783332971850573126,1783332971850573126,1783332971850787328,1783332971850787328,1783332971850777969,1783332971850777969,0,1,1,1.000000000000,1.000000000000,1.000000000000
41,204281,1783332971850688517,1783332971850688517,1783332971850902238,1783332971850902238,1783332971850892798,1783332971850892798,2,1,3,1.000000000000,1.000000000000,1.000000000000
42,204080,1783332971850819007,1783332971850819007,1783332971851032976,1783332971851032976,1783332971851023087,1783332971851023087,1,3,2,1.000000000000,1.000000000000,1.000000000000
43,203067,1783332971850933858,1783332971850933858,1783332971851146605,1783332971851146605,1783332971851136925,1783332971851136925,3,0,3,1.000000000000,1.000000000000,1.000000000000
44,203845,1783332971851048459,1783332971851048459,1783332971851261824,1783332971851261824,1783332971851252304,1783332971851252304,2,1,3,1.000000000000,1.000000000000,1.000000000000
45,212853,1783332971851162929,1783332971851162929,1783332971851386152,1783332971851386152,1783332971851375782,1783332971851375782,2,3,1,1.000000000000,1.000000000000,1.000000000000
46,205391,1783332971851277230,1783332971851277230,1783332971851492611,1783332971851492611,1783332971851482621,1783332971851482621,3,0,3,1.000000000000,1.000000000000,1.000000000000
47,204199,1783332971851398521,1783332971851398521,1783332971851611939,1783332971851611939,1783332971851602720,1783332971851602720,0,0,0,1.000000000000,1.000000000000,1.000000000000
48,203966,1783332971851520132,1783332971851520132,1783332971851733358,1783332971851733358,1783332971851724098,1783332971851724098,0,0,0,1.000000000000,1.000000000000,1.000000000000
49,205904,1783332971851634933,1783332971851634933,1783332971851864816,1783332971851864816,1783332971851840837,1783332971851840837,3,2,1,1.000000000000,1.000000000000,1.000000000000
50,207442,1783332971851749433,1783332971851749433,1783332971851968105,1783332971851968105,1783332971851956875,1783332971851956875,2,3,1,1.000000000000,1.000000000000,1.000000000000
51,203570,1783332971851863864,1783332971851863864,1783332971852077094,1783332971852077094,1783332971852067434,1783332971852067434,2,1,3,1.000000000000,1.000000000000,1.000000000000
52,204588,1783332971851978875,1783332971851978875,1783332971852193283,1783332971852193283,1783332971852183463,1783332971852183463,3,3,0,1.000000000000,1.000000000000,1.000000000000
53,206456,1783332971852093475,1783332971852093475,1783332971852311261,1783332971852311261,1783332971852299931,1783332971852299931,3,1,2,1.000000000000,1.000000000000,1.000000000000
54,204914,1783332971852218376,1783332971852218376,1783332971852433260,1783332971852433260,1783332971852423290,1783332971852423290,0,2,2,1.000000000000,1.000000000000,1.000000000000
55,205881,1783332971852340057,1783332971852340057,1783332971852555568,1783332971852555568,1783332971852545938,1783332971852545938,1,0,1,1.000000000000,1.000000000000,1.000000000000
56,203989,1783332971852457798,1783332971852457798,1783332971852671497,1783332971852671497,1783332971852661787,1783332971852661787,3,2,1,1.000000000000,1.000000000000,1.000000000000
57,204157,1783332971852572399,1783332971852572399,1783332971852785805,1783332971852785805,1783332971852776556,1783332971852776556,0,2,2,1.000000000000,1.000000000000,1.000000000000
58,204125,1783332971852687029,1783332971852687029,1783332971852900764,1783332971852900764,1783332971852891154,1783332971852891154,0,0,0,1.000000000000,1.000000000000,1.000000000000
59,204273,1783332971852801570,1783332971852801570,1783332971853015243,1783332971853015243,1783332971853005843,1783332971853005843,2,0,2,1.000000000000,1.000000000000,1.000000000000
60,203330,1783332971852916231,1783332971852916231,1783332971853128841,1783332971853128841,1783332971853119561,1783332971853119561,2,2,0,1.000000000000,1.000000000000,1.000000000000
61,203139,1783332971853031051,1783332971853031051,1783332971853243520,1783332971853243520,1783332971853234190,1783332971853234190,1,0,1,1.000000000000,1.000000000000,1.000000000000
62,206587,1783332971853148132,1783332971853148132,1783332971853365499,1783332971853365499,1783332971853354719,1783332971853354719,2,0,2,1.000000000000,1.000000000000,1.000000000000
63,205863,1783332971853269534,1783332971853269534,1783332971853485087,1783332971853485087,1783332971853475397,1783332971853475397,2,1,3,1.000000000000,1.000000000000,1.000000000000
64,204572,1783332971853390834,1783332971853390834,1783332971853604956,1783332971853604956,1783332971853595406,1783332971853595406,1,3,2,1.000000000000,1.000000000000,1.000000000000
65,206249,1783332971853512375,1783332971853512375,1783332971853727994,1783332971853727994,1783332971853718624,1783332971853718624,1,2,3,1.000000000000,1.000000000000,1.000000000000
66,205059,1783332971853627005,1783332971853627005,1783332971853841394,1783332971853841394,1783332971853832064,1783332971853832064,2,1,3,1.000000000000,1.000000000000,1.000000000000
67,204957,1783332971853741646,1783332971853741646,1783332971853956173,1783332971853956173,1783332971853946603,1783332971853946603,0,1,1,1.000000000000,1.000000000000,1.000000000000
68,203404,1783332971853856097,1783332971853856097,1783332971854069021,1783332971854069021,1783332971854059501,1783332971854059501,2,3,1,1.000000000000,1.000000000000,1.000000000000
69,203273,1783332971853970487,1783332971853970487,1783332971854183150,1783332971854183150,1783332971854173760,1783332971854173760,3,2,1,1.000000000000,1.000000000000,1.000000000000
