count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
1,266914,1783333719221862760,1783333719221862760,1783333719222170804,1783333719222170804,1783333719222129674,1783333719222129674,2,1,3,1.000000000000,1.000000000000,1.000000000000
2,213893,1783333719222000361,1783333719222000361,1783333719222225534,1783333719222225534,1783333719222214254,1783333719222214254,2,1,3,1.000000000000,1.000000000000,1.000000000000
3,214582,1783333719222115841,1783333719222115841,1783333719222348973,1783333719222348973,1783333719222330423,1783333719222330423,0,1,1,1.000000000000,1.000000000000,1.000000000000
4,214370,1783333719222232902,1783333719222232902,1783333719222464312,1783333719222464312,1783333719222447272,1783333719222447272,1,3,2,1.000000000000,1.000000000000,1.000000000000
5,211428,1783333719222352693,1783333719222352693,1783333719222579851,1783333719222579851,1783333719222564121,1783333719222564121,1,1,0,1.000000000000,1.000000000000,1.000000000000
6,211487,1783333719222472384,1783333719222472384,1783333719222699461,1783333719222699461,1783333719222683871,1783333719222683871,3,3,0,1.000000000000,1.000000000000,1.000000000000
7,211605,1783333719222592285,1783333719222592285,1783333719222818980,1783333719222818980,1783333719222803890,1783333719222803890,2,3,1,1.000000000000,1.000000000000,1.000000000000
8,215784,1783333719222711895,1783333719222711895,1783333719222944809,1783333719222944809,1783333719222927679,1783333719222927679,1,0,1,1.000000000000,1.000000000000,1.000000000000
9,210692,1783333719222836396,1783333719222836396,1783333719223062688,1783333719223062688,1783333719223047088,1783333719223047088,1,3,2,1.000000000000,1.000000000000,1.000000000000
10,193691,1783333719222956367,1783333719222956367,1783333719223164618,1783333719223164618,1783333719223150058,1783333719223150058,1,2,3,1.000000000000,1.000000000000,1.000000000000
11,192870,1783333719223074617,1783333719223074617,1783333719223283297,1783333719223283297,1783333719223267487,1783333719223267487,0,3,3,1.000000000000,1.000000000000,1.000000000000
12,192228,1783333719223192398,1783333719223192398,1783333719223399696,1783333719223399696,1783333719223384626,1783333719223384626,2,2,0,1.000000000000,1.000000000000,1.000000000000
13,201776,1783333719223311259,1783333719223311259,1783333719223528475,1783333719223528475,1783333719223513035,1783333719223513035,2,0,2,1.000000000000,1.000000000000,1.000000000000
14,193665,1783333719223427220,1783333719223427220,1783333719223634975,1783333719223634975,1783333719223620885,1783333719223620885,3,2,1,1.000000000000,1.000000000000,1.000000000000
15,192833,1783333719223545831,1783333719223545831,1783333719223752794,1783333719223752794,1783333719223738664,1783333719223738664,1,2,3,1.000000000000,1.000000000000,1.000000000000
16,199251,1783333719223665342,1783333719223665342,1783333719223885453,1783333719223885453,1783333719223864593,1783333719223864593,3,3,0,1.000000000000,1.000000000000,1.000000000000
17,193331,1783333719223785672,1783333719223785672,1783333719223994503,1783333719223994503,1783333719223979003,1783333719223979003,0,3,3,1.000000000000,1.000000000000,1.000000000000
18,192530,1783333719223905543,1783333719223905543,1783333719224112473,1783333719224112473,1783333719224098073,1783333719224098073,3,2,1,1.000000000000,1.000000000000,1.000000000000
19,192499,1783333719224023463,1783333719224023463,1783333719224230132,1783333719224230132,1783333719224215962,1783333719224215962,3,2,1,1.000000000000,1.000000000000,1.000000000000
20,192847,1783333719224146394,1783333719224146394,1783333719224353501,1783333719224353501,1783333719224339241,1783333719224339241,3,0,3,1.000000000000,1.000000000000,1.000000000000
21,192554,1783333719224265326,1783333719224265326,1783333719224472090,1783333719224472090,1783333719224457880,1783333719224457880,3,0,3,1.000000000000,1.000000000000,1.000000000000
22,191344,1783333719224386206,1783333719224386206,1783333719224591719,1783333719224591719,1783333719224577550,1783333719224577550,1,3,2,1.000000000000,1.000000000000,1.000000000000
23,191602,1783333719224503967,1783333719224503967,1783333719224710199,1783333719224710199,1783333719224695569,1783333719224695569,0,3,3,1.000000000000,1.000000000000,1.000000000000
24,193530,1783333719224626098,1783333719224626098,1783333719224833818,1783333719224833818,1783333719224819628,1783333719224819628,0,1,1,1.000000000000,1.000000000000,1.000000000000
25,205929,1783333719224742348,1783333719224742348,1783333719224963287,1783333719224963287,1783333719224948277,1783333719224948277,1,3,2,1.000000000000,1.000000000000,1.000000000000
26,193037,1783333719224855689,1783333719224855689,1783333719225064016,1783333719225064016,1783333719225048726,1783333719225048726,1,3,2,1.000000000000,1.000000000000,1.000000000000
27,193556,1783333719224975420,1783333719224975420,1783333719225183706,1783333719225183706,1783333719225168976,1783333719225168976,0,3,3,1.000000000000,1.000000000000,1.000000000000
28,192595,1783333719225102760,1783333719225102760,1783333719225309835,1783333719225309835,1783333719225295355,1783333719225295355,3,3,0,1.000000000000,1.000000000000,1.000000000000
29,193162,1783333719225222412,1783333719225222412,1783333719225429964,1783333719225429964,1783333719225415574,1783333719225415574,2,2,0,1.000000000000,1.000000000000,1.000000000000
30,193410,1783333719225338463,1783333719225338463,1783333719225545993,1783333719225545993,1783333719225531873,1783333719225531873,1,0,1,1.000000000000,1.000000000000,1.000000000000
31,190870,1783333719225458253,1783333719225458253,1783333719225663303,1783333719225663303,1783333719225649123,1783333719225649123,1,3,2,1.000000000000,1.000000000000,1.000000000000
32,206968,1783333719225580574,1783333719225580574,1783333719225801802,1783333719225801802,1783333719225787542,1783333719225787542,1,1,0,1.000000000000,1.000000000000,1.000000000000
33,199316,1783333719225709025,1783333719225709025,1783333719225924371,1783333719225924371,1783333719225908341,1783333719225908341,1,2,3,1.000000000000,1.000000000000,1.000000000000
34,193805,1783333719225832685,1783333719225832685,1783333719226041980,1783333719226041980,1783333719226026490,1783333719226026490,0,2,2,1.000000000000,1.000000000000,1.000000000000
35,193443,1783333719225948786,1783333719225948786,1783333719226157019,1783333719226157019,1783333719226142229,1783333719226142229,3,1,2,1.000000000000,1.000000000000,1.000000000000
36,192751,1783333719226069058,1783333719226069058,1783333719226276129,1783333719226276129,1783333719226261809,1783333719226261809,2,2,0,1.000000000000,1.000000000000,1.000000000000
37,191910,1783333719226188568,1783333719226188568,1783333719226394898,1783333719226394898,1783333719226380478,1783333719226380478,3,3,0,1.000000000000,1.000000000000,1.000000000000
38,194418,1783333719226307999,1783333719226307999,1783333719226516737,1783333719226516737,1783333719226502417,1783333719226502417,2,3,1,1.000000000000,1.000000000000,1.000000000000
39,192427,1783333719226428839,1783333719226428839,1783333719226635486,1783333719226635486,1783333719226621266,1783333719226621266,0,0,0,1.000000000000,1.000000000000,1.000000000000
40,190936,1783333719226562230,1783333719226562230,1783333719226766885,1783333719226766885,1783333719226753166,1783333719226753166,2,1,3,1.000000000000,1.000000000000,1.000000000000
41,191244,1783333719226685051,1783333719226685051,1783333719226895305,1783333719226895305,1783333719226876295,1783333719226876295,1,3,2,1.000000000000,1.000000000000,1.000000000000
42,193593,1783333719226803002,1783333719226803002,1783333719227011105,1783333719227011105,1783333719226996595,1783333719226996595,2,0,2,1.000000000000,1.000000000000,1.000000000000
43,267542,1783333719226922722,1783333719226922722,1783333719227204764,1783333719227204764,1783333719227190264,1783333719227190264,1,3,2,1.000000000000,1.000000000000,1.000000000000
44,192599,1783333719227119404,1783333719227119404,1783333719227326473,1783333719227326473,1783333719227312003,1783333719227312003,2,2,0,1.000000000000,1.000000000000,1.000000000000
45,192137,1783333719227238765,1783333719227238765,1783333719227445182,1783333719227445182,1783333719227430902,1783333719227430902,0,1,1,1.000000000000,1.000000000000,1.000000000000
46,191275,1783333719227358116,1783333719227358116,1783333719227563791,1783333719227563791,1783333719227549391,1783333719227549391,0,1,1,1.000000000000,1.000000000000,1.000000000000
47,193385,1783333719227477496,1783333719227477496,1783333719227685441,1783333719227685441,1783333719227670881,1783333719227670881,1,1,0,1.000000000000,1.000000000000,1.000000000000
48,193843,1783333719227597237,1783333719227597237,1783333719227805440,1783333719227805440,1783333719227791080,1783333719227791080,1,0,1,1.000000000000,1.000000000000,1.000000000000
49,198421,1783333719227715328,1783333719227715328,1783333719227926549,1783333719227926549,1783333719227913749,1783333719227913749,2,3,1,1.000000000000,1.000000000000,1.000000000000
50,194730,1783333719227837758,1783333719227837758,1783333719228043408,1783333719228043408,1783333719228032488,1783333719228032488,3,0,3,1.000000000000,1.000000000000,1.000000000000
51,191808,1783333719227954260,1783333719227954260,1783333719228156107,1783333719228156107,1783333719228146068,1783333719228146068,2,1,3,1.000000000000,1.000000000000,1.000000000000
52,191996,1783333719228076311,1783333719228076311,1783333719228278887,1783333719228278887,1783333719228268307,1783333719228268307,3,1,2,1.000000000000,1.000000000000,1.000000000000
53,199735,1783333719228199291,1783333719228199291,1783333719228409046,1783333719228409046,1783333719228399026,1783333719228399026,1,0,1,1.000000000000,1.000000000000,1.000000000000
54,191663,1783333719228312622,1783333719228312622,1783333719228514225,1783333719228514225,1783333719228504285,1783333719228504285,1,0,1,1.000000000000,1.000000000000,1.000000000000
