count_idx,delay_ns,delay_physical_ns,ts_r2_ns,ts_r2_on_r1_ns,stage2_recv_local_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_final,w14,w56,w_final_raw,state_final_peer_id
51,75928,75928,1783332971852077094,1783332971852077094,1783332971852153022,1783332971852153022,1783332971852153022,3,1.000000000000,1.000000000000,1.000000000000,1
52,77337,77337,1783332971852193283,1783332971852193283,1783332971852270620,1783332971852270620,1783332971852270620,0,1.000000000000,1.000000000000,1.000000000000,1
53,76737,76737,1783332971852311261,1783332971852311261,1783332971852387998,1783332971852387998,1783332971852387998,2,1.000000000000,1.000000000000,1.000000000000,1
54,75726,75726,1783332971852433260,1783332971852433260,1783332971852508986,1783332971852508986,1783332971852508986,2,1.000000000000,1.000000000000,1.000000000000,1
55,75266,75266,1783332971852555568,1783332971852555568,1783332971852630834,1783332971852630834,1783332971852630834,1,1.000000000000,1.000000000000,1.000000000000,1
56,78425,78425,1783332971852671497,1783332971852671497,1783332971852749922,1783332971852749922,1783332971852749922,1,1.000000000000,1.000000000000,1.000000000000,1
57,76645,76645,1783332971852785805,1783332971852785805,1783332971852862450,1783332971852862450,1783332971852862450,2,1.000000000000,1.000000000000,1.000000000000,1
58,76294,76294,1783332971852900764,1783332971852900764,1783332971852977058,1783332971852977058,1783332971852977058,0,1.000000000000,1.000000000000,1.000000000000,1
59,78473,78473,1783332971853015243,1783332971853015243,1783332971853093716,1783332971853093716,1783332971853093716,2,1.000000000000,1.000000000000,1.000000000000,1
60,76073,76073,1783332971853128841,1783332971853128841,1783332971853204914,1783332971853204914,1783332971853204914,0,1.000000000000,1.000000000000,1.000000000000,1
61,76292,76292,1783332971853243520,1783332971853243520,1783332971853319812,1783332971853319812,1783332971853319812,1,1.000000000000,1.000000000000,1.000000000000,1
62,96291,96291,1783332971853365499,1783332971853365499,1783332971853461790,1783332971853461790,1783332971853461790,2,1.000000000000,1.000000000000,1.000000000000,1
63,81131,81131,1783332971853485087,1783332971853485087,1783332971853566218,1783332971853566218,1783332971853566218,3,1.000000000000,1.000000000000,1.000000000000,1
64,74220,74220,1783332971853604956,1783332971853604956,1783332971853679176,1783332971853679176,1783332971853679176,2,1.000000000000,1.000000000000,1.000000000000,1
65,75360,75360,1783332971853727994,1783332971853727994,1783332971853803354,1783332971853803354,1783332971853803354,3,1.000000000000,1.000000000000,1.000000000000,1
66,78228,78228,1783332971853841394,1783332971853841394,1783332971853919622,1783332971853919622,1783332971853919622,3,1.000000000000,1.000000000000,1.000000000000,1
67,75698,75698,1783332971853956173,1783332971853956173,1783332971854031871,1783332971854031871,1783332971854031871,1,1.000000000000,1.000000000000,1.000000000000,1
68,75808,75808,1783332971854069021,1783332971854069021,1783332971854144829,1783332971854144829,1783332971854144829,1,1.000000000000,1.000000000000,1.000000000000,1
69,75067,75067,1783332971854183150,1783332971854183150,1783332971854258217,1783332971854258217,1783332971854258217,1,1.000000000000,1.000000000000,1.000000000000,1
70,76838,76838,1783332971854303208,1783332971854303208,1783332971854380046,1783332971854380046,1783332971854380046,1,1.000000000000,1.000000000000,1.000000000000,1
71,76437,76437,1783332971854427157,1783332971854427157,1783332971854503594,1783332971854503594,1783332971854503594,0,1.000000000000,1.000000000000,1.000000000000,1
72,78227,78227,1783332971854546785,1783332971854546785,1783332971854625012,1783332971854625012,1783332971854625012,0,1.000000000000,1.000000000000,1.000000000000,1
73,76385,76385,1783332971854675354,1783332971854675354,1783332971854751739,1783332971854751739,1783332971854751739,1,1.000000000000,1.000000000000,1.000000000000,1
74,75735,75735,1783332971854780513,1783332971854780513,1783332971854856248,1783332971854856248,1783332971854856248,1,1.000000000000,1.000000000000,1.000000000000,1
75,75445,75445,1783332971854898351,1783332971854898351,1783332971854973796,1783332971854973796,1783332971854973796,1,1.000000000000,1.000000000000,1.000000000000,1
76,75794,75794,1783332971855014650,1783332971855014650,1783332971855090444,1783332971855090444,1783332971855090444,1,1.000000000000,1.000000000000,1.000000000000,1
77,76423,76423,1783332971855129019,1783332971855129019,1783332971855205442,1783332971855205442,1783332971855205442,1,1.000000000000,1.000000000000,1.000000000000,1
78,76213,76213,1783332971855253437,1783332971855253437,1783332971855329650,1783332971855329650,1783332971855329650,1,1.000000000000,1.000000000000,1.000000000000,1
79,76112,76112,1783332971855372306,1783332971855372306,1783332971855448418,1783332971855448418,1783332971855448418,0,1.000000000000,1.000000000000,1.000000000000,1
80,75022,75022,1783332971855493064,1783332971855493064,1783332971855568086,1783332971855568086,1783332971855568086,0,1.000000000000,1.000000000000,1.000000000000,1
81,73661,73661,1783332971855609783,1783332971855609783,1783332971855683444,1783332971855683444,1783332971855683444,2,1.000000000000,1.000000000000,1.000000000000,1
82,74571,74571,1783332971855729821,1783332971855729821,1783332971855804392,1783332971855804392,1783332971855804392,2,1.000000000000,1.000000000000,1.000000000000,1
83,76370,76370,1783332971855855410,1783332971855855410,1783332971855931780,1783332971855931780,1783332971855931780,0,1.000000000000,1.000000000000,1.000000000000,1
84,74389,74389,1783332971855961579,1783332971855961579,1783332971856035968,1783332971856035968,1783332971856035968,2,1.000000000000,1.000000000000,1.000000000000,1
85,74729,74729,1783332971856074257,1783332971856074257,1783332971856148986,1783332971856148986,1783332971856148986,3,1.000000000000,1.000000000000,1.000000000000,1
86,72758,72758,1783332971856189006,1783332971856189006,1783332971856261764,1783332971856261764,1783332971856261764,0,1.000000000000,1.000000000000,1.000000000000,1
87,78598,78598,1783332971856309364,1783332971856309364,1783332971856387962,1783332971856387962,1783332971856387962,2,1.000000000000,1.000000000000,1.000000000000,1
88,78157,78157,1783332971856431913,1783332971856431913,1783332971856510070,1783332971856510070,1783332971856510070,3,1.000000000000,1.000000000000,1.000000000000,1
