count_idx,delay_ns,delay_physical_ns,final_e2e_via_r2_ns,stage2_link_delay_ns,stage1_delay_ns,ts_r1_ns,ts_r2_ns,ts_r2_on_r1_ns,stage1_recv_r1_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_r1,bits_final,w14,w56,w_final_raw,werner_intermediate,werner_final,state_after_stage1_peer_id,state_final_peer_id
51,279411,279411,279411,-17155,,1783334464923823780,1783334464924120346,1783334464924120346,,1783334464924103191,1783334464924103191,,3,1.000000000000,1.000000000000,1.000000000000,,0.571882344611,,1
52,278508,278508,278508,-16756,,1783334464923949750,1783334464924245014,1783334464924245014,,1783334464924228258,1783334464924228258,,1,1.000000000000,1.000000000000,1.000000000000,,0.572916097323,,1
53,281725,281725,281725,-17096,,1783334464924067391,1783334464924366212,1783334464924366212,,1783334464924349116,1783334464924349116,,3,1.000000000000,1.000000000000,1.000000000000,,0.569241788081,,1
54,280311,280311,280311,-18077,,1783334464924190432,1783334464924488820,1783334464924488820,,1783334464924470743,1783334464924470743,,2,1.000000000000,1.000000000000,1.000000000000,,0.570853882284,,1
55,287588,287588,287588,-15168,,1783334464924310272,1783334464924613028,1783334464924613028,,1783334464924597860,1783334464924597860,,0,1.000000000000,1.000000000000,1.000000000000,,0.562605841465,,1
56,281976,281976,281976,-16397,,1783334464924430933,1783334464924729306,1783334464924729306,,1783334464924712909,1783334464924712909,,0,1.000000000000,1.000000000000,1.000000000000,,0.568956100417,,1
57,282611,282611,282611,-15638,,1783334464924550525,1783334464924848774,1783334464924848774,,1783334464924833136,1783334464924833136,,2,1.000000000000,1.000000000000,1.000000000000,,0.568233984809,,1
58,281819,281819,281819,-14528,,1783334464924669325,1783334464924965672,1783334464924965672,,1783334464924951144,1783334464924951144,,2,1.000000000000,1.000000000000,1.000000000000,,0.569134780683,,1
59,280896,280896,280896,-16688,,1783334464924782566,1783334464925080150,1783334464925080150,,1783334464925063462,1783334464925063462,,2,1.000000000000,1.000000000000,1.000000000000,,0.570186373810,,1
60,277723,277723,277723,-17869,,1783334464924902476,1783334464925198068,1783334464925198068,,1783334464925180199,1783334464925180199,,2,1.000000000000,1.000000000000,1.000000000000,,0.573816282056,,1
61,280909,280909,280909,-15160,,1783334464925026887,1783334464925322956,1783334464925322956,,1783334464925307796,1783334464925307796,,2,1.000000000000,1.000000000000,1.000000000000,,0.570171549157,,1
62,281936,281936,281936,-14480,,1783334464925145248,1783334464925441664,1783334464925441664,,1783334464925427184,1783334464925427184,,0,1.000000000000,1.000000000000,1.000000000000,,0.569001618725,,1
63,280513,280513,280513,-14481,,1783334464925262868,1783334464925557862,1783334464925557862,,1783334464925543381,1783334464925543381,,1,1.000000000000,1.000000000000,1.000000000000,,0.570623303896,,1
