count_idx,delay_ns,delay_physical_ns,final_e2e_via_r2_ns,stage2_link_delay_ns,stage1_delay_ns,ts_r1_ns,ts_r2_ns,ts_r2_on_r1_ns,stage1_recv_r1_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_r1,bits_final,w14,w56,w_final_raw,werner_intermediate,werner_final,state_after_stage1_peer_id,state_final_peer_id
51,403174,403174,367611,188135,81204,1782212084154237637,1782212080373505195,1782212084154417113,1782212084154318841,1782212084154640811,1782212080373693330,1,3,1.000000000000,1.000000000000,1.000000000000,0.850094295303,0.446485658055,3,4
52,393343,393343,357780,185227,79063,1782212084154360368,1782212080373621003,1782212084154532921,1782212084154439431,1782212084154753711,1782212080373806230,1,1,1.000000000000,1.000000000000,1.000000000000,0.853742203674,0.455351331886,3,4
53,392521,392521,356958,185239,88031,1782212084154477240,1782212080373737041,1782212084154648959,1782212084154565271,1782212084154869761,1782212080373922280,1,3,1.000000000000,1.000000000000,1.000000000000,0.838565990634,0.456100545160,3,4
54,393331,393331,357768,184391,79911,1782212084154596390,1782212080373857849,1782212084154769767,1782212084154676301,1782212084154989721,1782212080374042240,2,0,1.000000000000,1.000000000000,1.000000000000,0.852295484061,0.455362260449,3,4
55,392620,392620,357057,185493,79110,1782212084154713041,1782212080373972687,1782212084154884605,1782212084154792151,1782212084155105661,1782212080374158180,1,2,1.000000000000,1.000000000000,1.000000000000,0.853661955678,0.456010246192,3,4
56,393819,393819,358256,187065,80439,1782212084154829382,1782212080374088655,1782212084155000573,1782212084154909821,1782212084155223201,1782212080374275720,3,0,1.000000000000,1.000000000000,1.000000000000,0.851395935075,0.454918043696,3,4
57,392179,392179,356616,186437,78449,1782212084154945592,1782212080374203853,1782212084155115771,1782212084155024041,1782212084155337771,1782212080374390290,2,3,1.000000000000,1.000000000000,1.000000000000,0.854791243078,0.456412624652,3,4
58,395018,395018,359455,185730,83688,1782212084155061913,1782212080374323720,1782212084155235638,1782212084155145601,1782212084155456931,1782212080374509450,1,3,1.000000000000,1.000000000000,1.000000000000,0.845881500092,0.453828457164,3,4
59,393997,393997,358434,185462,79997,1782212084155178594,1782212080374439648,1782212084155351566,1782212084155258591,1782212084155572591,1782212080374625110,1,2,1.000000000000,1.000000000000,1.000000000000,0.852148901844,0.454756121696,3,4
60,393887,393887,358324,185314,80347,1782212084155295314,1782212080374556406,1782212084155468324,1782212084155375661,1782212084155689201,1782212080374741720,3,2,1.000000000000,1.000000000000,1.000000000000,0.851552606341,0.454856179049,3,4
61,392086,392086,356523,184417,78956,1782212084155412435,1782212080374672623,1782212084155584541,1782212084155491391,1782212084155804521,1782212080374857040,2,2,1.000000000000,1.000000000000,1.000000000000,0.853924924055,0.456497525296,3,4
62,395696,395696,360133,185349,81926,1782212084155531555,1782212080374794421,1782212084155706339,1782212084155613481,1782212084155927251,1782212080374979770,2,3,1.000000000000,1.000000000000,1.000000000000,0.848867644995,0.453213482823,3,4
63,393525,393525,357962,182971,81165,1782212084155648026,1782212080374911099,1782212084155823017,1782212084155729191,1782212084156041551,1782212080375094070,1,2,1.000000000000,1.000000000000,1.000000000000,0.850160605244,0.455185614164,3,4
