sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns
1,1782212028268744750,1782212046998651805,1782212046998767145,1782212028269477686,18729907055,-18729289459,-18729598257,308798,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
2,1782212028269535074,1782212046999398685,1782212046999474285,1782212028270134593,18729863611,-18729339692,-18729601652,261959,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
3,1782212028270172342,1782212047000000215,1782212047000071325,1782212028270726661,18729827873,-18729344664,-18729586269,241604,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
4,1782212028270766690,1782212047000575125,1782212047000606325,1782212028271235992,18729808435,-18729370333,-18729589384,219051,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
5,1782212028271270471,1782212047001076975,1782212047001106385,1782212028271722132,18729806504,-18729384253,-18729595379,211125,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
6,1782212028271754361,1782212047001562995,1782212047001591415,1782212028272204003,18729808634,-18729387412,-18729598023,210611,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
7,1782212028272232322,1782212047002020875,1782212047002084305,1782212028272704993,18729788553,-18729379312,-18729583933,204620,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
8,1782212028272733842,1782212047002526035,1782212047002554545,1782212028273166143,18729792193,-18729388402,-18729590298,201895,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
9,1782212028273194083,1782212047002978695,1782212047003042535,1782212028273660674,18729784612,-18729381861,-18729583237,201375,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
10,1782212028273698163,1782212047003486395,1782212047003550395,1782212028274170605,18729788232,-18729379790,-18729584011,204221,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
11,1782212028274201164,1782212047003987065,1782212047004050465,1782212028274669635,18729785901,-18729380830,-18729583366,202535,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
12,1782212028274702254,1782212047004487885,1782212047004551765,1782212028275156725,18729785631,-18729395040,-18729590336,195295,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
13,1782212028275186725,1782212047004982975,1782212047005046395,1782212028275651435,18729796250,-18729394960,-18729595605,200645,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
14,1782212028275680405,1782212047005470235,1782212047005533515,1782212028276137476,18729789830,-18729396039,-18729592935,196895,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
15,1782212028276164745,1782212047005973595,1782212047006043465,1782212028276646576,18729808850,-18729396889,-18729602870,205980,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
16,1782212028276675785,1782212047006483305,1782212047006550515,1782212028277153967,18729807520,-18729396548,-18729602034,205486,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
17,1782212028277181296,1782212047006989815,1782212047007059785,1782212028277661927,18729808519,-18729397858,-18729603189,205330,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
18,1782212028277690036,1782212047007499795,1782212047007568015,1782212028278169796,18729809759,-18729398219,-18729603989,205770,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
