sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns
1,1782212051973495525,1782212070704080925,1782212070704197414,1782212051974314959,18730585400,-18729882455,-18730233928,351472,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
2,1782212051974547654,1782212070705071985,1782212070705145754,1782212051975161642,18730524331,-18729984112,-18730254222,270109,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
3,1782212051975199211,1782212070705680425,1782212070705752054,1782212051975738141,18730481214,-18730013913,-18730247564,233650,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
4,1782212051975768870,1782212070706229585,1782212070706300894,1782212051976267221,18730460715,-18730033673,-18730247194,213521,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
5,1782212051976296130,1782212070706752214,1782212070706789245,1782212051976750631,18730456084,-18730038614,-18730247349,208735,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
6,1782212051976781941,1782212070707238085,1782212070707309465,1782212051977273351,18730456144,-18730036114,-18730246129,210015,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
7,1782212051977300990,1782212070707763805,1782212070707835214,1782212051977799940,18730462815,-18730035274,-18730249045,213770,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
8,1782212051977827020,1782212070708268234,1782212070708335925,1782212051978300271,18730441214,-18730035654,-18730238434,202780,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
9,1782212051978326730,1782212070708771365,1782212070708838474,1782212051978803181,18730444635,-18730035293,-18730239964,204671,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
10,1782212051978831910,1782212070709280025,1782212070709311885,1782212051979269532,18730448115,-18730042353,-18730245234,202881,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
11,1782212051979295872,1782212070709746714,1782212070709776565,1782212051979734193,18730450842,-18730042372,-18730246607,204235,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
12,1782212051979761113,1782212070710216774,1782212070710245225,1782212051980188834,18730455661,-18730056391,-18730256026,199635,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
13,1782212051980214434,1782212070710669714,1782212070710741554,1782212051980690834,18730455280,-18730050720,-18730253000,202280,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
14,1782212051980718274,1782212070711173825,1782212070711245125,1782212051981195164,18730455551,-18730049961,-18730252756,202795,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
15,1782212051981221834,1782212070711683314,1782212070711755134,1782212051981704824,18730461480,-18730050310,-18730255895,205585,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
16,1782212051981733304,1782212070712168085,1782212070712235074,1782212051982183995,18730434781,-18730051079,-18730242930,191851,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
17,1782212051982210664,1782212070712645765,1782212070712713294,1782212051982661746,18730435101,-18730051548,-18730243325,191776,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
18,1782212051982689706,1782212070713123705,1782212070713156325,1782212051983100567,18730433999,-18730055758,-18730244879,189120,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
19,1782212051983126157,1782212070713560554,1782212070713631385,1782212051983583648,18730434397,-18730047737,-18730241067,193330,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
20,1782212051983610727,1782212070714047554,1782212070714114905,1782212051984064098,18730436827,-18730050807,-18730243817,193010,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
21,1782212051984090458,1782212070714524374,1782212070714591494,1782212051984541399,18730433916,-18730050095,-18730242006,191910,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
22,1782212051984569898,1782212070715005094,1782212070715071914,1782212051985021329,18730435196,-18730050585,-18730242891,192305,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
23,1782212051985048169,1782212070715489434,1782212070715526245,1782212051985472211,18730441265,-18730054034,-18730247650,193615,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
24,1782212051985498811,1782212070715933625,1782212070716000925,1782212051985952072,18730434814,-18730048853,-18730241834,192980,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
25,1782212051985979481,1782212070716412774,1782212070716445234,1782212051986394923,18730433293,-18730050311,-18730241802,191491,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
26,1782212051986443342,1782212070716876314,1782212070716907685,1782212051986851544,18730432972,-18730056141,-18730244557,188415,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
27,1782212051986880723,1782212070717320554,1782212070717388005,1782212051987337364,18730439831,-18730050641,-18730245236,194595,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
28,1782212051987364264,1782212070717796494,1782212070717863994,1782212051987812475,18730432230,-18730051519,-18730241875,190355,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
29,1782212051987841224,1782212070718275025,1782212070718306774,1782212051988250107,18730433801,-18730056667,-18730245234,188567,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
30,1782212051988277077,1782212070718710914,1782212070718777365,1782212051988725538,18730433837,-18730051827,-18730242832,191005,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
31,1782212051988753427,1782212070719180765,1782212070719247925,1782212051989197078,18730427338,-18730050847,-18730239093,188245,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
32,1782212051989223808,1782212070719643014,1782212070719714305,1782212051989663699,18730419206,-18730050606,-18730234906,184300,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-18730240984,-18730244819,-18730244229,-18730240984,5059.170111,3749,182456,188597,179445,188415,198035,182456
