count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
1,245911,1782212055934360789,1782212052153484190,1782212052153763750,1782212055934640349,1782212052153730101,1782212055934606700,0,3,3,1.000000000000,1.000000000000,1.000000000000
2,170598,1782212055934499031,1782212052153622432,1782212052153803349,1782212055934679948,1782212052153793030,1782212055934669629,3,0,3,1.000000000000,1.000000000000,1.000000000000
3,194004,1782212055934615092,1782212052153738493,1782212052153956566,1782212055934833165,1782212052153932497,1782212055934809096,2,3,1,1.000000000000,1.000000000000,1.000000000000
4,190731,1782212055934732902,1782212052153856303,1782212052154068894,1782212055934945493,1782212052154047034,1782212055934923633,0,0,0,1.000000000000,1.000000000000,1.000000000000
5,188088,1782212055934850093,1782212052153973494,1782212052154183012,1782212055935059611,1782212052154161582,1782212055935038181,3,2,1,1.000000000000,1.000000000000,1.000000000000
6,187586,1782212055934967843,1782212052154091244,1782212052154299459,1782212055935176058,1782212052154278830,1782212055935155429,3,3,0,1.000000000000,1.000000000000,1.000000000000
7,187193,1782212055935085414,1782212052154208815,1782212052154430217,1782212055935306816,1782212052154396008,1782212055935272607,2,2,0,1.000000000000,1.000000000000,1.000000000000
8,156180,1782212055935203245,1782212052154326646,1782212052154490966,1782212055935367565,1782212052154482826,1782212055935359425,3,0,3,1.000000000000,1.000000000000,1.000000000000
9,163127,1782212055935320425,1782212052154443826,1782212052154628053,1782212055935504652,1782212052154606953,1782212055935483552,2,3,1,1.000000000000,1.000000000000,1.000000000000
10,160044,1782212055935438536,1782212052154561937,1782212052154740051,1782212055935616650,1782212052154721981,1782212055935598580,1,1,0,1.000000000000,1.000000000000,1.000000000000
11,160661,1782212055935556027,1782212052154679428,1782212052154857858,1782212055935734457,1782212052154840089,1782212055935716688,0,1,1,1.000000000000,1.000000000000,1.000000000000
12,164608,1782212055935673637,1782212052154797038,1782212052154979206,1782212055935855805,1782212052154961646,1782212055935838245,1,3,2,1.000000000000,1.000000000000,1.000000000000
13,160184,1782212055935791209,1782212052154914610,1782212052155092074,1782212055935968673,1782212052155074794,1782212055935951393,3,1,2,1.000000000000,1.000000000000,1.000000000000
14,161611,1782212055935908580,1782212052155031981,1782212052155211591,1782212055936088190,1782212052155193592,1782212055936070191,3,0,3,1.000000000000,1.000000000000,1.000000000000
15,158178,1782212055936025700,1782212052155149101,1782212052155324999,1782212055936201598,1782212052155307279,1782212055936183878,1,0,1,1.000000000000,1.000000000000,1.000000000000
16,157255,1782212055936143761,1782212052155267162,1782212052155443597,1782212055936320196,1782212052155424417,1782212055936301016,2,2,0,1.000000000000,1.000000000000,1.000000000000
17,158222,1782212055936261122,1782212052155384523,1782212052155560784,1782212055936437383,1782212052155542745,1782212055936419344,1,1,0,1.000000000000,1.000000000000,1.000000000000
18,159449,1782212055936378572,1782212052155501973,1782212052155679952,1782212055936556551,1782212052155661422,1782212055936538021,3,0,3,1.000000000000,1.000000000000,1.000000000000
