count_idx,delay_ns,delay_physical_ns,ts_r2_ns,ts_r2_on_r1_ns,stage2_recv_local_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_final,w14,w56,w_final_raw,state_final_peer_id
51,67388,67388,1782212028452731012,1782212032233599571,1782212071506603208,1782212032233647628,1782212028452798400,0,1.000000000000,1.000000000000,1.000000000000,1
52,68290,68290,1782212028452853890,1782212032233722449,1782212071506726988,1782212032233771408,1782212028452922180,1,1.000000000000,1.000000000000,1.000000000000,1
53,66322,66322,1782212028452970898,1782212032233839457,1782212071506842028,1782212032233886448,1782212028453037220,3,1.000000000000,1.000000000000,1.000000000000,1
54,66715,66715,1782212028453090015,1782212032233958574,1782212071506961538,1782212032234005958,1782212028453156730,3,1.000000000000,1.000000000000,1.000000000000,1
55,67047,67047,1782212028453209703,1782212032234078262,1782212071507081558,1782212032234125978,1782212028453276750,0,1.000000000000,1.000000000000,1.000000000000,1
56,67479,67479,1782212028453322051,1782212032234190610,1782212071507194338,1782212032234238758,1782212028453389530,3,1.000000000000,1.000000000000,1.000000000000,1
57,67752,67752,1782212028453443978,1782212032234312537,1782212071507316538,1782212032234360958,1782212028453511730,1,1.000000000000,1.000000000000,1.000000000000,1
58,68514,68514,1782212028453560276,1782212032234428835,1782212071507433598,1782212032234478018,1782212028453628790,2,1.000000000000,1.000000000000,1.000000000000,1
59,66216,66216,1782212028453678844,1782212032234547403,1782212071507549868,1782212032234594288,1782212028453745060,0,1.000000000000,1.000000000000,1.000000000000,1
60,66759,66759,1782212028453794371,1782212032234662930,1782212071507665938,1782212032234710358,1782212028453861130,0,1.000000000000,1.000000000000,1.000000000000,1
61,68991,68991,1782212028453911629,1782212032234780188,1782212071507785428,1782212032234829848,1782212028453980620,0,1.000000000000,1.000000000000,1.000000000000,1
62,69133,69133,1782212028454034337,1782212032234902896,1782212071507908278,1782212032234952698,1782212028454103470,0,1.000000000000,1.000000000000,1.000000000000,1
63,73515,73515,1782212028454149805,1782212032235018364,1782212071508028128,1782212032235072548,1782212028454223320,2,1.000000000000,1.000000000000,1.000000000000,1
64,67747,67747,1782212028454263853,1782212032235132412,1782212071508136408,1782212032235180828,1782212028454331600,0,1.000000000000,1.000000000000,1.000000000000,1
65,67439,67439,1782212028454380971,1782212032235249530,1782212071508253218,1782212032235297638,1782212028454448410,0,1.000000000000,1.000000000000,1.000000000000,1
66,72952,72952,1782212028454504918,1782212032235373477,1782212071508382678,1782212032235427098,1782212028454577870,0,1.000000000000,1.000000000000,1.000000000000,1
67,71834,71834,1782212028454621566,1782212032235490125,1782212071508498208,1782212032235542628,1782212028454693400,2,1.000000000000,1.000000000000,1.000000000000,1
68,87257,87257,1782212028454704754,1782212032235573313,1782212071508596819,1782212032235641239,1782212028454792011,1,1.000000000000,1.000000000000,1.000000000000,1
69,69129,69129,1782212028454846572,1782212032235715131,1782212071508720509,1782212032235764929,1782212028454915701,0,1.000000000000,1.000000000000,1.000000000000,1
70,68022,68022,1782212028454968679,1782212032235837238,1782212071508841509,1782212032235885929,1782212028455036701,3,1.000000000000,1.000000000000,1.000000000000,1
71,66654,66654,1782212028455082147,1782212032235950706,1782212071508953609,1782212032235998029,1782212028455148801,2,1.000000000000,1.000000000000,1.000000000000,1
72,69426,69426,1782212028455201205,1782212032236069764,1782212071509075439,1782212032236119859,1782212028455270631,2,1.000000000000,1.000000000000,1.000000000000,1
73,67259,67259,1782212028455314762,1782212032236183321,1782212071509186829,1782212032236231249,1782212028455382021,3,1.000000000000,1.000000000000,1.000000000000,1
74,68381,68381,1782212028455439690,1782212032236308249,1782212071509312879,1782212032236357299,1782212028455508071,2,1.000000000000,1.000000000000,1.000000000000,1
75,66763,66763,1782212028455551588,1782212032236420147,1782212071509423159,1782212032236467579,1782212028455618351,2,1.000000000000,1.000000000000,1.000000000000,1
76,68126,68126,1782212028455665875,1782212032236534434,1782212071509538809,1782212032236583229,1782212028455734001,1,1.000000000000,1.000000000000,1.000000000000,1
77,70788,70788,1782212028455782653,1782212032236651212,1782212071509658249,1782212032236702669,1782212028455853441,0,1.000000000000,1.000000000000,1.000000000000,1
78,67960,67960,1782212028455902681,1782212032236771240,1782212071509775449,1782212032236819869,1782212028455970641,2,1.000000000000,1.000000000000,1.000000000000,1
79,67863,67863,1782212028456018978,1782212032236887537,1782212071509891649,1782212032236936069,1782212028456086841,1,1.000000000000,1.000000000000,1.000000000000,1
80,68445,68445,1782212028456136546,1782212032237005105,1782212071510009799,1782212032237054219,1782212028456204991,2,1.000000000000,1.000000000000,1.000000000000,1
81,68097,68097,1782212028456256694,1782212032237125253,1782212071510129599,1782212032237174019,1782212028456324791,0,1.000000000000,1.000000000000,1.000000000000,1
82,69670,69670,1782212028456370301,1782212032237238860,1782212071510244779,1782212032237289199,1782212028456439971,3,1.000000000000,1.000000000000,1.000000000000,1
83,67702,67702,1782212028456488759,1782212032237357318,1782212071510361269,1782212032237405689,1782212028456556461,3,1.000000000000,1.000000000000,1.000000000000,1
84,69204,69204,1782212028456600977,1782212032237469536,1782212071510474989,1782212032237519409,1782212028456670181,2,1.000000000000,1.000000000000,1.000000000000,1
85,66826,66826,1782212028456718995,1782212032237587554,1782212071510590629,1782212032237635049,1782212028456785821,0,1.000000000000,1.000000000000,1.000000000000,1
86,66699,66699,1782212028456833502,1782212032237702061,1782212071510705009,1782212032237749429,1782212028456900201,1,1.000000000000,1.000000000000,1.000000000000,1
87,69731,69731,1782212028456953690,1782212032237822249,1782212071510828229,1782212032237872649,1782212028457023421,3,1.000000000000,1.000000000000,1.000000000000,1
88,68433,68433,1782212028457069738,1782212032237938297,1782212071510942979,1782212032237987399,1782212028457138171,2,1.000000000000,1.000000000000,1.000000000000,1
89,67135,67135,1782212028457188226,1782212032238056785,1782212071511060169,1782212032238104589,1782212028457255361,1,1.000000000000,1.000000000000,1.000000000000,1
90,67167,67167,1782212028457302984,1782212032238171543,1782212071511174959,1782212032238219379,1782212028457370151,0,1.000000000000,1.000000000000,1.000000000000,1
91,73679,73679,1782212028457419262,1782212032238287821,1782212071511297749,1782212032238342169,1782212028457492941,0,1.000000000000,1.000000000000,1.000000000000,1
92,68992,68992,1782212028457536619,1782212032238405178,1782212071511410419,1782212032238454839,1782212028457605611,1,1.000000000000,1.000000000000,1.000000000000,1
93,69344,69344,1782212028457656157,1782212032238524716,1782212071511530309,1782212032238574729,1782212028457725501,1,1.000000000000,1.000000000000,1.000000000000,1
94,71637,71637,1782212028457769615,1782212032238638174,1782212071511646060,1782212032238690480,1782212028457841252,2,1.000000000000,1.000000000000,1.000000000000,1
95,68990,68990,1782212028457891482,1782212032238760041,1782212071511765280,1782212032238809700,1782212028457960472,0,1.000000000000,1.000000000000,1.000000000000,1
96,76282,76282,1782212028458000880,1782212032238869439,1782212071511881970,1782212032238926390,1782212028458077162,2,1.000000000000,1.000000000000,1.000000000000,1
97,69374,69374,1782212028458119818,1782212032238988377,1782212071511994000,1782212032239038420,1782212028458189192,2,1.000000000000,1.000000000000,1.000000000000,1
98,67566,67566,1782212028458233946,1782212032239102505,1782212071512106320,1782212032239150740,1782212028458301512,1,1.000000000000,1.000000000000,1.000000000000,1
99,67359,67359,1782212028458352343,1782212032239220902,1782212071512224510,1782212032239268930,1782212028458419702,3,1.000000000000,1.000000000000,1.000000000000,1
100,69191,69191,1782212028458467811,1782212032239336370,1782212071512341810,1782212032239386230,1782212028458537002,0,1.000000000000,1.000000000000,1.000000000000,1
101,67693,67693,1782212028458587009,1782212032239455568,1782212071512459510,1782212032239503930,1782212028458654702,2,1.000000000000,1.000000000000,1.000000000000,1
102,67206,67206,1782212028458700296,1782212032239568855,1782212071512572310,1782212032239616730,1782212028458767502,2,1.000000000000,1.000000000000,1.000000000000,1
103,67038,67038,1782212028458815634,1782212032239684193,1782212071512687480,1782212032239731900,1782212028458882672,0,1.000000000000,1.000000000000,1.000000000000,1
104,66840,66840,1782212028458938312,1782212032239806871,1782212071512809960,1782212032239854380,1782212028459005152,3,1.000000000000,1.000000000000,1.000000000000,1
105,66613,66613,1782212028459054399,1782212032239922958,1782212071512925820,1782212032239970240,1782212028459121012,0,1.000000000000,1.000000000000,1.000000000000,1
106,67795,67795,1782212028459170817,1782212032240039376,1782212071513043420,1782212032240087840,1782212028459238612,0,1.000000000000,1.000000000000,1.000000000000,1
107,67087,67087,1782212028459287365,1782212032240155924,1782212071513159260,1782212032240203680,1782212028459354452,0,1.000000000000,1.000000000000,1.000000000000,1
108,66540,66540,1782212028459403242,1782212032240271801,1782212071513274590,1782212032240319010,1782212028459469782,1,1.000000000000,1.000000000000,1.000000000000,1
109,72462,72462,1782212028459520690,1782212032240389249,1782212071513397960,1782212032240442380,1782212028459593152,3,1.000000000000,1.000000000000,1.000000000000,1
110,68284,68284,1782212028459639638,1782212032240508197,1782212071513512730,1782212032240557150,1782212028459707922,3,1.000000000000,1.000000000000,1.000000000000,1
111,66827,66827,1782212028459756175,1782212032240624734,1782212071513627810,1782212032240672230,1782212028459823002,1,1.000000000000,1.000000000000,1.000000000000,1
112,71659,71659,1782212028459873813,1782212032240742372,1782212071513750280,1782212032240794700,1782212028459945472,2,1.000000000000,1.000000000000,1.000000000000,1
113,67672,67672,1782212028460004140,1782212032240872699,1782212071513876620,1782212032240921040,1782212028460071812,0,1.000000000000,1.000000000000,1.000000000000,1
114,67814,67814,1782212028460117598,1782212032240986157,1782212071513990220,1782212032241034640,1782212028460185412,2,1.000000000000,1.000000000000,1.000000000000,1
115,67105,67105,1782212028460228297,1782212032241096856,1782212071514100210,1782212032241144630,1782212028460295402,2,1.000000000000,1.000000000000,1.000000000000,1
116,67297,67297,1782212028460341805,1782212032241210364,1782212071514213910,1782212032241258330,1782212028460409102,3,1.000000000000,1.000000000000,1.000000000000,1
117,71540,71540,1782212028460459762,1782212032241328321,1782212071514336110,1782212032241380530,1782212028460531302,2,1.000000000000,1.000000000000,1.000000000000,1
118,69152,69152,1782212028460574960,1782212032241443519,1782212071514448920,1782212032241493340,1782212028460644112,1,1.000000000000,1.000000000000,1.000000000000,1
119,66434,66434,1782212028460690118,1782212032241558677,1782212071514561360,1782212032241605780,1782212028460756552,2,1.000000000000,1.000000000000,1.000000000000,1
120,66628,66628,1782212028460808095,1782212032241676654,1782212071514679531,1782212032241723951,1782212028460874723,0,1.000000000000,1.000000000000,1.000000000000,1
121,66400,66400,1782212028460922703,1782212032241791262,1782212071514793911,1782212032241838331,1782212028460989103,2,1.000000000000,1.000000000000,1.000000000000,1
122,71822,71822,1782212028461040511,1782212032241909070,1782212071514917141,1782212032241961561,1782212028461112333,2,1.000000000000,1.000000000000,1.000000000000,1
123,66005,66005,1782212028461162178,1782212032242030737,1782212071515032991,1782212032242077411,1782212028461228183,2,1.000000000000,1.000000000000,1.000000000000,1
124,67097,67097,1782212028461273166,1782212032242141725,1782212071515145071,1782212032242189491,1782212028461340263,2,1.000000000000,1.000000000000,1.000000000000,1
125,67679,67679,1782212028461388094,1782212032242256653,1782212071515260581,1782212032242305001,1782212028461455773,2,1.000000000000,1.000000000000,1.000000000000,1
