count_idx,delay_ns,delay_physical_ns,ts_r2_ns,ts_r2_on_r1_ns,stage2_recv_local_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_final,w14,w56,w_final_raw,state_final_peer_id
51,64515,64515,1782212052159640495,1782212055940517094,1782212095213928629,1782212055940584004,1782212052159705010,2,1.000000000000,1.000000000000,1.000000000000,1
52,65947,65947,1782212052159757793,1782212055940634392,1782212095214047359,1782212055940702734,1782212052159823740,1,1.000000000000,1.000000000000,1.000000000000,1
53,61419,61419,1782212052159874541,1782212055940751140,1782212095214159579,1782212055940814954,1782212052159935960,3,1.000000000000,1.000000000000,1.000000000000,1
54,63083,63083,1782212052159995328,1782212055940871927,1782212095214282030,1782212055940937405,1782212052160058411,1,1.000000000000,1.000000000000,1.000000000000,1
55,61605,61605,1782212052160111866,1782212055940988465,1782212095214397090,1782212055941052465,1782212052160173471,2,1.000000000000,1.000000000000,1.000000000000,1
56,62017,62017,1782212052160228564,1782212055941105163,1782212095214514200,1782212055941169575,1782212052160290581,3,1.000000000000,1.000000000000,1.000000000000,1
57,63810,63810,1782212052160348521,1782212055941225120,1782212095214635950,1782212055941291325,1782212052160412331,2,1.000000000000,1.000000000000,1.000000000000,1
58,64002,64002,1782212052160469919,1782212055941346518,1782212095214757540,1782212055941412915,1782212052160533921,1,1.000000000000,1.000000000000,1.000000000000,1
59,62314,62314,1782212052160583887,1782212055941460486,1782212095214869820,1782212055941525195,1782212052160646201,1,1.000000000000,1.000000000000,1.000000000000,1
60,62177,62177,1782212052160693974,1782212055941570573,1782212095214979770,1782212055941635145,1782212052160756151,2,1.000000000000,1.000000000000,1.000000000000,1
61,62289,62289,1782212052160815592,1782212055941692191,1782212095215101500,1782212055941756875,1782212052160877881,1,1.000000000000,1.000000000000,1.000000000000,1
62,62431,62431,1782212052160933010,1782212055941809609,1782212095215219060,1782212055941874435,1782212052160995441,2,1.000000000000,1.000000000000,1.000000000000,1
63,62364,62364,1782212052161048617,1782212055941925216,1782212095215334600,1782212055941989975,1782212052161110981,3,1.000000000000,1.000000000000,1.000000000000,1
64,61976,61976,1782212052161166425,1782212055942043024,1782212095215452020,1782212055942107395,1782212052161228401,3,1.000000000000,1.000000000000,1.000000000000,1
65,62098,62098,1782212052161284583,1782212055942161182,1782212095215570300,1782212055942225675,1782212052161346681,2,1.000000000000,1.000000000000,1.000000000000,1
66,61941,61941,1782212052161407600,1782212055942284199,1782212095215693160,1782212055942348535,1782212052161469541,2,1.000000000000,1.000000000000,1.000000000000,1
67,64113,64113,1782212052161515048,1782212055942391647,1782212095215802780,1782212055942458155,1782212052161579161,3,1.000000000000,1.000000000000,1.000000000000,1
68,63935,63935,1782212052161631136,1782212055942507735,1782212095215918690,1782212055942574065,1782212052161695071,1,1.000000000000,1.000000000000,1.000000000000,1
69,71338,71338,1782212052161753863,1782212055942630462,1782212095216048820,1782212055942704195,1782212052161825201,0,1.000000000000,1.000000000000,1.000000000000,1
