count_idx,delay_ns,delay_physical_ns,final_e2e_via_r2_ns,stage2_link_delay_ns,stage1_delay_ns,ts_r1_ns,ts_r2_ns,ts_r2_on_r1_ns,stage1_recv_r1_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_r1,bits_final,w14,w56,w_final_raw,werner_intermediate,werner_final,state_after_stage1_peer_id,state_final_peer_id
51,250187,250187,247450,67974,,1782212084154237637,1782212080373505195,1782212084154417113,,1782212084154487824,1782212080373573169,,3,1.000000000000,1.000000000000,1.000000000000,,0.606303859660,,1
52,239476,239476,236739,64186,,1782212084154360368,1782212080373621003,1782212084154532921,,1782212084154599844,1782212080373685189,,1,1.000000000000,1.000000000000,1.000000000000,,0.619432216726,,1
53,239684,239684,236947,65228,,1782212084154477240,1782212080373737041,1782212084154648959,,1782212084154716924,1782212080373802269,,3,1.000000000000,1.000000000000,1.000000000000,,0.619174586514,,1
54,243044,243044,240307,66930,,1782212084154596390,1782212080373857849,1782212084154769767,,1782212084154839434,1782212080373924779,,0,1.000000000000,1.000000000000,1.000000000000,,0.615027682496,,1
55,238083,238083,235346,63782,,1782212084154713041,1782212080373972687,1782212084154884605,,1782212084154951124,1782212080374036469,,2,1.000000000000,1.000000000000,1.000000000000,,0.621160361069,,1
56,238132,238132,235395,64204,,1782212084154829382,1782212080374088655,1782212084155000573,,1782212084155067514,1782212080374152859,,0,1.000000000000,1.000000000000,1.000000000000,,0.621099490336,,1
57,238132,238132,235395,65216,,1782212084154945592,1782212080374203853,1782212084155115771,,1782212084155183724,1782212080374269069,,3,1.000000000000,1.000000000000,1.000000000000,,0.621099490336,,1
58,241991,241991,239254,65529,,1782212084155061913,1782212080374323720,1782212084155235638,,1782212084155303904,1782212080374389249,,3,1.000000000000,1.000000000000,1.000000000000,,0.616324295650,,1
59,240560,240560,237823,64851,,1782212084155178594,1782212080374439648,1782212084155351566,,1782212084155419154,1782212080374504499,,2,1.000000000000,1.000000000000,1.000000000000,,0.618090742363,,1
60,239641,239641,236904,63894,,1782212084155295314,1782212080374556406,1782212084155468324,,1782212084155534955,1782212080374620300,,2,1.000000000000,1.000000000000,1.000000000000,,0.619227837818,,1
61,239270,239270,236533,64427,,1782212084155412435,1782212080374672623,1782212084155584541,,1782212084155651705,1782212080374737050,,2,1.000000000000,1.000000000000,1.000000000000,,0.619687475379,,1
62,241710,241710,238973,64189,,1782212084155531555,1782212080374794421,1782212084155706339,,1782212084155773265,1782212080374858610,,3,1.000000000000,1.000000000000,1.000000000000,,0.616670767253,,1
63,242009,242009,239272,64281,,1782212084155648026,1782212080374911099,1782212084155823017,,1782212084155890035,1782212080374975380,,2,1.000000000000,1.000000000000,1.000000000000,,0.616302108374,,1
64,240687,240687,237950,64124,,1782212084155764928,1782212080375026836,1782212084155938754,,1782212084156005615,1782212080375090960,,2,1.000000000000,1.000000000000,1.000000000000,,0.617933767252,,1
65,237367,237367,234630,63386,,1782212084155881518,1782212080375140844,1782212084156052762,,1782212084156118885,1782212080375204230,,1,1.000000000000,1.000000000000,1.000000000000,,0.622050499893,,1
66,243906,243906,241169,65898,,1782212084155998079,1782212080375261432,1782212084156173350,,1782212084156241985,1782212080375327330,,3,1.000000000000,1.000000000000,1.000000000000,,0.613968288232,,1
67,244845,244845,242108,64401,,1782212084156115710,1782212080375381499,1782212084156293417,,1782212084156360555,1782212080375445900,,3,1.000000000000,1.000000000000,1.000000000000,,0.612816337806,,1
68,239765,239765,237028,62903,,1782212084156233170,1782212080375495377,1782212084156407295,,1782212084156472935,1782212080375558280,,3,1.000000000000,1.000000000000,1.000000000000,,0.619074288356,,1
69,250804,250804,248067,67825,,1782212084156353331,1782212080375621655,1782212084156533573,,1782212084156604135,1782212080375689480,,2,1.000000000000,1.000000000000,1.000000000000,,0.605556142134,,1
70,243453,243453,240716,66778,,1782212084156469982,1782212080375732002,1782212084156643920,,1782212084156713435,1782212080375798780,,1,1.000000000000,1.000000000000,1.000000000000,,0.614524795561,,1
71,239203,239203,236466,65480,,1782212084156586612,1782212080375845680,1782212084156757598,,1782212084156825815,1782212080375911160,,3,1.000000000000,1.000000000000,1.000000000000,,0.619770519064,,1
72,238722,238722,235985,64382,,1782212084156702953,1782212080375962638,1782212084156874556,,1782212084156941675,1782212080376027020,,0,1.000000000000,1.000000000000,1.000000000000,,0.620367025177,,1
73,242861,242861,240124,66795,,1782212084156819364,1782212080376080775,1782212084156992693,,1782212084157062225,1782212080376147570,,3,1.000000000000,1.000000000000,1.000000000000,,0.615252823826,,1
74,238290,238290,235553,64517,,1782212084156935645,1782212080376194763,1782212084157106681,,1782212084157173935,1782212080376259280,,1,1.000000000000,1.000000000000,1.000000000000,,0.620903253904,,1
75,237349,237349,234612,63389,,1782212084157051926,1782212080376311231,1782212084157223149,,1782212084157289275,1782212080376374620,,3,1.000000000000,1.000000000000,1.000000000000,,0.622072894114,,1
76,244579,244579,241842,68951,,1782212084157168646,1782212080376429619,1782212084157341537,,1782212084157413225,1782212080376498570,,3,1.000000000000,1.000000000000,1.000000000000,,0.613142442834,,1
77,244838,244838,242101,65694,,1782212084157285147,1782212080376549636,1782212084157461554,,1782212084157529985,1782212080376615330,,0,1.000000000000,1.000000000000,1.000000000000,,0.612824917295,,1
78,241507,241507,238770,63936,,1782212084157404058,1782212080376666974,1782212084157578892,,1782212084157645565,1782212080376730910,,2,1.000000000000,1.000000000000,1.000000000000,,0.616921186416,,1
79,249947,249947,247210,73127,,1782212084157521458,1782212080376783623,1782212084157695541,,1782212084157771405,1782212080376856750,,0,1.000000000000,1.000000000000,1.000000000000,,0.606594955370,,1
80,239926,239926,237189,65030,,1782212084157638769,1782212080376899010,1782212084157810928,,1782212084157878695,1782212080376964040,,3,1.000000000000,1.000000000000,1.000000000000,,0.618874978525,,1
81,244795,244795,242058,64342,,1782212084157755140,1782212080377020938,1782212084157932856,,1782212084157999935,1782212080377085280,,2,1.000000000000,1.000000000000,1.000000000000,,0.612877622504,,1
82,238955,238955,236218,64334,,1782212084157871650,1782212080377131616,1782212084158043534,,1782212084158110605,1782212080377195950,,2,1.000000000000,1.000000000000,1.000000000000,,0.620078001491,,1
83,238004,238004,235267,63737,,1782212084157987951,1782212080377247563,1782212084158159481,,1782212084158225955,1782212080377311300,,1,1.000000000000,1.000000000000,1.000000000000,,0.621258512159,,1
84,245162,245162,242425,70979,,1782212084158104883,1782212080377364411,1782212084158276329,,1782212084158350045,1782212080377435390,,0,1.000000000000,1.000000000000,1.000000000000,,0.612427935385,,1
85,244693,244693,241956,66522,,1782212084158221213,1782212080377484729,1782212084158396647,,1782212084158465906,1782212080377551251,,3,1.000000000000,1.000000000000,1.000000000000,,0.613002662293,,1
86,244142,244142,241405,68015,,1782212084158337684,1782212080377599156,1782212084158511074,,1782212084158581826,1782212080377667171,,2,1.000000000000,1.000000000000,1.000000000000,,0.613678563580,,1
87,238481,238481,235744,63747,,1782212084158456635,1782212080377716714,1782212084158628632,,1782212084158695116,1782212080377780461,,2,1.000000000000,1.000000000000,1.000000000000,,0.620666114158,,1
88,239281,239281,236544,64349,,1782212084158573225,1782212080377833502,1782212084158745420,,1782212084158812506,1782212080377897851,,0,1.000000000000,1.000000000000,1.000000000000,,0.619673842404,,1
89,242440,242440,239703,65822,,1782212084158689716,1782212080377951679,1782212084158863597,,1782212084158932156,1782212080378017501,,3,1.000000000000,1.000000000000,1.000000000000,,0.615771084861,,1
90,238390,238390,235653,64094,,1782212084158806166,1782212080378065807,1782212084158977725,,1782212084159044556,1782212080378129901,,3,1.000000000000,1.000000000000,1.000000000000,,0.620779085671,,1
91,238549,238549,235812,64596,,1782212084158922597,1782212080378181895,1782212084159093813,,1782212084159161146,1782212080378246491,,0,1.000000000000,1.000000000000,1.000000000000,,0.620581709306,,1
92,237888,237888,235151,64308,,1782212084159039068,1782212080378297993,1782212084159209911,,1782212084159276956,1782212080378362301,,2,1.000000000000,1.000000000000,1.000000000000,,0.621402660855,,1
93,250678,250678,247941,73031,,1782212084159155678,1782212080378418670,1782212084159330588,,1782212084159406356,1782212080378491701,,0,1.000000000000,1.000000000000,1.000000000000,,0.605708761511,,1
94,242956,242956,240219,65203,,1782212084159272700,1782212080378535798,1782212084159447716,,1782212084159515656,1782212080378601001,,1,1.000000000000,1.000000000000,1.000000000000,,0.615135936894,,1
95,239965,239965,237228,64355,,1782212084159392721,1782212080378653676,1782212084159565594,,1782212084159632686,1782212080378718031,,2,1.000000000000,1.000000000000,1.000000000000,,0.618826708160,,1
96,244185,244185,241448,68028,,1782212084159509411,1782212080378770913,1782212084159682831,,1782212084159753596,1782212080378838941,,1,1.000000000000,1.000000000000,1.000000000000,,0.613625789493,,1
97,249224,249224,246487,65910,,1782212084159625962,1782212080378894621,1782212084159806539,,1782212084159875186,1782212080378960531,,3,1.000000000000,1.000000000000,1.000000000000,,0.607472726151,,1
98,242533,242533,239796,65622,,1782212084159739943,1782212080379002199,1782212084159914117,,1782212084159982476,1782212080379067821,,3,1.000000000000,1.000000000000,1.000000000000,,0.615656562090,,1
99,240513,240513,237776,65155,,1782212084159857653,1782212080379118356,1782212084160030274,,1782212084160098166,1782212080379183511,,0,1.000000000000,1.000000000000,1.000000000000,,0.618148845624,,1
100,239292,239292,236555,64287,,1782212084159975154,1782212080379235504,1782212084160147422,,1782212084160214446,1782212080379299791,,1,1.000000000000,1.000000000000,1.000000000000,,0.619660209730,,1
101,244551,244551,241814,67899,,1782212084160092175,1782212080379354172,1782212084160266090,,1782212084160336726,1782212080379422071,,2,1.000000000000,1.000000000000,1.000000000000,,0.613176779773,,1
102,240771,240771,238034,64032,,1782212084160208855,1782212080379470939,1782212084160382857,,1782212084160449626,1782212080379534971,,0,1.000000000000,1.000000000000,1.000000000000,,0.617829963098,,1
