sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns
1,1782212028388652612,1782212071442752687,1782212071442873867,1782212028389204701,43054100075,-43053669166,-43053884621,215454,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
2,1782212028389237651,1782212071443231157,1782212071443360567,1782212028389687342,43053993506,-43053673225,-43053833366,160140,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
3,1782212028389726131,1782212071443775917,1782212071443843757,1782212028390120703,43054049786,-43053723054,-43053886420,163366,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
4,1782212028390152933,1782212071444112727,1782212071444137057,1782212028390397588,43053959794,-43053739469,-43053849632,110162,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
5,1782212028390444547,1782212071444342897,1782212071444411777,1782212028390672742,43053898350,-43053739035,-43053818693,79657,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
6,1782212028390705742,1782212071444640337,1782212071444657667,1782212028390913518,43053934595,-43053744149,-43053839372,95223,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
7,1782212028390944887,1782212071444824447,1782212071444849937,1782212028391104854,43053879560,-43053745083,-43053812322,67238,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
8,1782212028391137633,1782212071445082517,1782212071445095817,1782212028391349650,43053944884,-43053746167,-43053845526,99358,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
9,1782212028391381229,1782212071445252457,1782212071445272317,1782212028391528926,43053871228,-43053743391,-43053807310,63918,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
10,1782212028391560666,1782212071445494047,1782212071445507677,1782212028391762062,43053933381,-43053745615,-43053839498,93883,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
