sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns
1,1782212080306400544,1782212123361409811,1782212123361525981,1782212080306941723,43055009267,-43054584258,-43054796763,212504,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
2,1782212080306969543,1782212123361954631,1782212123362091191,1782212080307486853,43054985088,-43054604338,-43054794713,190375,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
3,1782212080307520542,1782212123362429691,1782212123362585421,1782212080307965534,43054909149,-43054619887,-43054764518,144631,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
4,1782212080307992944,1782212123362852001,1782212123362894261,1782212080308237379,43054859057,-43054656882,-43054757970,101087,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
5,1782212080308263548,1782212123363072751,1782212123363104051,1782212080308442285,43054809203,-43054661766,-43054735485,73718,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
6,1782212080308468104,1782212123363313082,1782212123363330582,1782212080308667600,43054844978,-43054662982,-43054753980,90998,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
7,1782212080308692400,1782212123363486952,1782212123363514472,1782212080308868796,43054794552,-43054645676,-43054720114,74438,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
8,1782212080308893346,1782212123363748652,1782212123363765642,1782212080309103252,43054855306,-43054662390,-43054758848,96458,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
9,1782212080309130541,1782212123363912842,1782212123363935522,1782212080309306598,43054782301,-43054628924,-43054705613,76688,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
10,1782212080309331377,1782212123364181662,1782212123364197362,1782212080309534463,43054850285,-43054662899,-43054756592,93693,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
11,1782212080309560543,1782212123364334872,1782212123364355352,1782212080309740069,43054774329,-43054615283,-43054694806,79523,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
12,1782212080309764769,1782212123364621932,1782212123364643472,1782212080309983884,43054857163,-43054659588,-43054758376,98787,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
13,1782212080310008144,1782212123364784282,1782212123364807382,1782212080310190920,43054776138,-43054616462,-43054696300,79838,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
