count_idx,delay_ns,delay_physical_ns,ts_r2_ns,ts_r2_on_r1_ns,stage2_recv_local_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_final,w14,w56,w_final_raw,state_final_peer_id
51,243533,243533,1782475512478781153,1782475512478781153,1782475512479024686,1782475512479024686,1782475512479024686,0,1.000000000000,1.000000000000,1.000000000000,4
52,251572,251572,1782475512478898611,1782475512478898611,1782475512479150183,1782475512479150183,1782475512479150183,1,1.000000000000,1.000000000000,1.000000000000,4
53,241671,241671,1782475512479016058,1782475512479016058,1782475512479257729,1782475512479257729,1782475512479257729,3,1.000000000000,1.000000000000,1.000000000000,4
54,252271,252271,1782475512479134035,1782475512479134035,1782475512479386306,1782475512479386306,1782475512479386306,0,1.000000000000,1.000000000000,1.000000000000,4
55,242110,242110,1782475512479257273,1782475512479257273,1782475512479499383,1782475512479499383,1782475512479499383,0,1.000000000000,1.000000000000,1.000000000000,4
56,255569,255569,1782475512479372291,1782475512479372291,1782475512479627860,1782475512479627860,1782475512479627860,1,1.000000000000,1.000000000000,1.000000000000,4
57,242120,242120,1782475512479490108,1782475512479490108,1782475512479732228,1782475512479732228,1782475512479732228,2,1.000000000000,1.000000000000,1.000000000000,4
58,250158,250158,1782475512479608536,1782475512479608536,1782475512479858694,1782475512479858694,1782475512479858694,2,1.000000000000,1.000000000000,1.000000000000,4
59,245540,245540,1782475512479721523,1782475512479721523,1782475512479967063,1782475512479967063,1782475512479967063,3,1.000000000000,1.000000000000,1.000000000000,4
60,255138,255138,1782475512479839221,1782475512479839221,1782475512480094359,1782475512480094359,1782475512480094359,3,1.000000000000,1.000000000000,1.000000000000,4
61,243379,243379,1782475512479957638,1782475512479957638,1782475512480201017,1782475512480201017,1782475512480201017,2,1.000000000000,1.000000000000,1.000000000000,4
62,253317,253317,1782475512480074785,1782475512480074785,1782475512480328102,1782475512480328102,1782475512480328102,1,1.000000000000,1.000000000000,1.000000000000,4
63,241598,241598,1782475512480191373,1782475512480191373,1782475512480432971,1782475512480432971,1782475512480432971,0,1.000000000000,1.000000000000,1.000000000000,4
64,252437,252437,1782475512480316470,1782475512480316470,1782475512480568907,1782475512480568907,1782475512480568907,1,1.000000000000,1.000000000000,1.000000000000,4
65,241157,241157,1782475512480433708,1782475512480433708,1782475512480674865,1782475512480674865,1782475512480674865,1,1.000000000000,1.000000000000,1.000000000000,4
66,252295,252295,1782475512480550855,1782475512480550855,1782475512480803150,1782475512480803150,1782475512480803150,1,1.000000000000,1.000000000000,1.000000000000,4
67,241796,241796,1782475512480667972,1782475512480667972,1782475512480909768,1782475512480909768,1782475512480909768,3,1.000000000000,1.000000000000,1.000000000000,4
68,240525,240525,1782475512480781920,1782475512480781920,1782475512481022445,1782475512481022445,1782475512481022445,2,1.000000000000,1.000000000000,1.000000000000,4
69,253015,253015,1782475512480908117,1782475512480908117,1782475512481161132,1782475512481161132,1782475512481161132,0,1.000000000000,1.000000000000,1.000000000000,4
70,241735,241735,1782475512481016515,1782475512481016515,1782475512481258250,1782475512481258250,1782475512481258250,0,1.000000000000,1.000000000000,1.000000000000,4
71,253494,253494,1782475512481135162,1782475512481135162,1782475512481388656,1782475512481388656,1782475512481388656,2,1.000000000000,1.000000000000,1.000000000000,4
72,242935,242935,1782475512481257469,1782475512481257469,1782475512481500404,1782475512481500404,1782475512481500404,0,1.000000000000,1.000000000000,1.000000000000,4
73,254064,254064,1782475512481369557,1782475512481369557,1782475512481623621,1782475512481623621,1782475512481623621,2,1.000000000000,1.000000000000,1.000000000000,4
74,238444,238444,1782475512481485714,1782475512481485714,1782475512481724158,1782475512481724158,1782475512481724158,0,1.000000000000,1.000000000000,1.000000000000,4
75,251973,251973,1782475512481599982,1782475512481599982,1782475512481851955,1782475512481851955,1782475512481851955,0,1.000000000000,1.000000000000,1.000000000000,4
76,249383,249383,1782475512481715469,1782475512481715469,1782475512481964852,1782475512481964852,1782475512481964852,3,1.000000000000,1.000000000000,1.000000000000,4
77,242582,242582,1782475512481830007,1782475512481830007,1782475512482072589,1782475512482072589,1782475512482072589,1,1.000000000000,1.000000000000,1.000000000000,4
78,252552,252552,1782475512481946374,1782475512481946374,1782475512482198926,1782475512482198926,1782475512482198926,1,1.000000000000,1.000000000000,1.000000000000,4
79,242592,242592,1782475512482063451,1782475512482063451,1782475512482306043,1782475512482306043,1782475512482306043,2,1.000000000000,1.000000000000,1.000000000000,4
80,241082,241082,1782475512482177939,1782475512482177939,1782475512482419021,1782475512482419021,1782475512482419021,0,1.000000000000,1.000000000000,1.000000000000,4
81,255600,255600,1782475512482304457,1782475512482304457,1782475512482560057,1782475512482560057,1782475512482560057,0,1.000000000000,1.000000000000,1.000000000000,4
82,242329,242329,1782475512482421625,1782475512482421625,1782475512482663954,1782475512482663954,1782475512482663954,1,1.000000000000,1.000000000000,1.000000000000,4
