count_idx,delay_ns,delay_physical_ns,ts_r2_ns,ts_r2_on_r1_ns,stage2_recv_local_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_final,w14,w56,w_final_raw,state_final_peer_id
51,176577,176577,1782475646412797427,1782475646412797427,1782475646412974004,1782475646412974004,1782475646412974004,3,1.000000000000,1.000000000000,1.000000000000,4
52,185796,185796,1782475646412917485,1782475646412917485,1782475646413103281,1782475646413103281,1782475646413103281,1,1.000000000000,1.000000000000,1.000000000000,4
53,175405,175405,1782475646413033883,1782475646413033883,1782475646413209288,1782475646413209288,1782475646413209288,0,1.000000000000,1.000000000000,1.000000000000,4
54,184984,184984,1782475646413153071,1782475646413153071,1782475646413338055,1782475646413338055,1782475646413338055,2,1.000000000000,1.000000000000,1.000000000000,4
55,175573,175573,1782475646413269639,1782475646413269639,1782475646413445212,1782475646413445212,1782475646413445212,1,1.000000000000,1.000000000000,1.000000000000,4
56,186222,186222,1782475646413391636,1782475646413391636,1782475646413577858,1782475646413577858,1782475646413577858,2,1.000000000000,1.000000000000,1.000000000000,4
57,176371,176371,1782475646413508314,1782475646413508314,1782475646413684685,1782475646413684685,1782475646413684685,3,1.000000000000,1.000000000000,1.000000000000,4
58,184310,184310,1782475646413627532,1782475646413627532,1782475646413811842,1782475646413811842,1782475646413811842,0,1.000000000000,1.000000000000,1.000000000000,4
59,175869,175869,1782475646413739730,1782475646413739730,1782475646413915599,1782475646413915599,1782475646413915599,1,1.000000000000,1.000000000000,1.000000000000,4
60,174408,174408,1782475646413856208,1782475646413856208,1782475646414030616,1782475646414030616,1782475646414030616,3,1.000000000000,1.000000000000,1.000000000000,4
61,186677,186677,1782475646413973006,1782475646413973006,1782475646414159683,1782475646414159683,1782475646414159683,3,1.000000000000,1.000000000000,1.000000000000,4
62,177856,177856,1782475646414089554,1782475646414089554,1782475646414267410,1782475646414267410,1782475646414267410,0,1.000000000000,1.000000000000,1.000000000000,4
63,173865,173865,1782475646414208092,1782475646414208092,1782475646414381957,1782475646414381957,1782475646414381957,2,1.000000000000,1.000000000000,1.000000000000,4
64,186613,186613,1782475646414331530,1782475646414331530,1782475646414518143,1782475646414518143,1782475646414518143,3,1.000000000000,1.000000000000,1.000000000000,4
65,175462,175462,1782475646414446029,1782475646414446029,1782475646414621491,1782475646414621491,1782475646414621491,3,1.000000000000,1.000000000000,1.000000000000,4
66,174942,174942,1782475646414560966,1782475646414560966,1782475646414735908,1782475646414735908,1782475646414735908,3,1.000000000000,1.000000000000,1.000000000000,4
67,186670,186670,1782475646414678394,1782475646414678394,1782475646414865064,1782475646414865064,1782475646414865064,0,1.000000000000,1.000000000000,1.000000000000,4
68,174050,174050,1782475646414796812,1782475646414796812,1782475646414970862,1782475646414970862,1782475646414970862,1,1.000000000000,1.000000000000,1.000000000000,4
69,173049,173049,1782475646414911790,1782475646414911790,1782475646415084839,1782475646415084839,1782475646415084839,0,1.000000000000,1.000000000000,1.000000000000,4
70,175027,175027,1782475646415028608,1782475646415028608,1782475646415203635,1782475646415203635,1782475646415203635,1,1.000000000000,1.000000000000,1.000000000000,4
71,174006,174006,1782475646415146776,1782475646415146776,1782475646415320782,1782475646415320782,1782475646415320782,2,1.000000000000,1.000000000000,1.000000000000,4
72,171945,171945,1782475646415267554,1782475646415267554,1782475646415439499,1782475646415439499,1782475646415439499,0,1.000000000000,1.000000000000,1.000000000000,4
73,187484,187484,1782475646415389702,1782475646415389702,1782475646415577186,1782475646415577186,1782475646415577186,3,1.000000000000,1.000000000000,1.000000000000,4
74,177363,177363,1782475646415510690,1782475646415510690,1782475646415688053,1782475646415688053,1782475646415688053,2,1.000000000000,1.000000000000,1.000000000000,4
75,186042,186042,1782475646415624237,1782475646415624237,1782475646415810279,1782475646415810279,1782475646415810279,2,1.000000000000,1.000000000000,1.000000000000,4
76,177542,177542,1782475646415739725,1782475646415739725,1782475646415917267,1782475646415917267,1782475646415917267,0,1.000000000000,1.000000000000,1.000000000000,4
77,174891,174891,1782475646415856673,1782475646415856673,1782475646416031564,1782475646416031564,1782475646416031564,0,1.000000000000,1.000000000000,1.000000000000,4
78,188889,188889,1782475646415973521,1782475646415973521,1782475646416162410,1782475646416162410,1782475646416162410,0,1.000000000000,1.000000000000,1.000000000000,4
79,175928,175928,1782475646416095149,1782475646416095149,1782475646416271077,1782475646416271077,1782475646416271077,3,1.000000000000,1.000000000000,1.000000000000,4
80,182877,182877,1782475646416212577,1782475646416212577,1782475646416395454,1782475646416395454,1782475646416395454,3,1.000000000000,1.000000000000,1.000000000000,4
81,179086,179086,1782475646416333805,1782475646416333805,1782475646416512891,1782475646416512891,1782475646416512891,3,1.000000000000,1.000000000000,1.000000000000,4
82,174455,174455,1782475646416447153,1782475646416447153,1782475646416621608,1782475646416621608,1782475646416621608,3,1.000000000000,1.000000000000,1.000000000000,4
83,173504,173504,1782475646416562661,1782475646416562661,1782475646416736165,1782475646416736165,1782475646416736165,3,1.000000000000,1.000000000000,1.000000000000,4
84,173843,173843,1782475646416679919,1782475646416679919,1782475646416853762,1782475646416853762,1782475646416853762,2,1.000000000000,1.000000000000,1.000000000000,4
85,185452,185452,1782475646416797267,1782475646416797267,1782475646416982719,1782475646416982719,1782475646416982719,1,1.000000000000,1.000000000000,1.000000000000,4
86,175752,175752,1782475646416915504,1782475646416915504,1782475646417091256,1782475646417091256,1782475646417091256,1,1.000000000000,1.000000000000,1.000000000000,4
87,173431,173431,1782475646417030412,1782475646417030412,1782475646417203843,1782475646417203843,1782475646417203843,2,1.000000000000,1.000000000000,1.000000000000,4
88,173030,173030,1782475646417148760,1782475646417148760,1782475646417321790,1782475646417321790,1782475646417321790,2,1.000000000000,1.000000000000,1.000000000000,4
89,174598,174598,1782475646417269368,1782475646417269368,1782475646417443966,1782475646417443966,1782475646417443966,3,1.000000000000,1.000000000000,1.000000000000,4
90,187727,187727,1782475646417395796,1782475646417395796,1782475646417583523,1782475646417583523,1782475646417583523,2,1.000000000000,1.000000000000,1.000000000000,4
91,178655,178655,1782475646417507705,1782475646417507705,1782475646417686360,1782475646417686360,1782475646417686360,0,1.000000000000,1.000000000000,1.000000000000,4
92,186414,186414,1782475646417620063,1782475646417620063,1782475646417806477,1782475646417806477,1782475646417806477,2,1.000000000000,1.000000000000,1.000000000000,4
93,177783,177783,1782475646417740871,1782475646417740871,1782475646417918654,1782475646417918654,1782475646417918654,1,1.000000000000,1.000000000000,1.000000000000,4
94,195621,195621,1782475646417854249,1782475646417854249,1782475646418049870,1782475646418049870,1782475646418049870,2,1.000000000000,1.000000000000,1.000000000000,4
95,182951,182951,1782475646417970167,1782475646417970167,1782475646418153118,1782475646418153118,1782475646418153118,1,1.000000000000,1.000000000000,1.000000000000,4
96,186511,186511,1782475646418087104,1782475646418087104,1782475646418273615,1782475646418273615,1782475646418273615,1,1.000000000000,1.000000000000,1.000000000000,4
97,176100,176100,1782475646418204432,1782475646418204432,1782475646418380532,1782475646418380532,1782475646418380532,1,1.000000000000,1.000000000000,1.000000000000,4
98,186018,186018,1782475646418329910,1782475646418329910,1782475646418515928,1782475646418515928,1782475646418515928,2,1.000000000000,1.000000000000,1.000000000000,4
99,180697,180697,1782475646418438588,1782475646418438588,1782475646418619285,1782475646418619285,1782475646418619285,0,1.000000000000,1.000000000000,1.000000000000,4
100,184706,184706,1782475646418552756,1782475646418552756,1782475646418737462,1782475646418737462,1782475646418737462,1,1.000000000000,1.000000000000,1.000000000000,4
101,177695,177695,1782475646418666324,1782475646418666324,1782475646418844019,1782475646418844019,1782475646418844019,1,1.000000000000,1.000000000000,1.000000000000,4
102,188374,188374,1782475646418782112,1782475646418782112,1782475646418970486,1782475646418970486,1782475646418970486,3,1.000000000000,1.000000000000,1.000000000000,4
103,177653,177653,1782475646418897540,1782475646418897540,1782475646419075193,1782475646419075193,1782475646419075193,2,1.000000000000,1.000000000000,1.000000000000,4
104,176522,176522,1782475646419011448,1782475646419011448,1782475646419187970,1782475646419187970,1782475646419187970,0,1.000000000000,1.000000000000,1.000000000000,4
105,175111,175111,1782475646419125196,1782475646419125196,1782475646419300307,1782475646419300307,1782475646419300307,3,1.000000000000,1.000000000000,1.000000000000,4
106,188040,188040,1782475646419252114,1782475646419252114,1782475646419440154,1782475646419440154,1782475646419440154,2,1.000000000000,1.000000000000,1.000000000000,4
107,176289,176289,1782475646419368692,1782475646419368692,1782475646419544981,1782475646419544981,1782475646419544981,1,1.000000000000,1.000000000000,1.000000000000,4
108,175678,175678,1782475646419481340,1782475646419481340,1782475646419657018,1782475646419657018,1782475646419657018,1,1.000000000000,1.000000000000,1.000000000000,4
109,179218,179218,1782475646419595437,1782475646419595437,1782475646419774655,1782475646419774655,1782475646419774655,1,1.000000000000,1.000000000000,1.000000000000,4
110,187747,187747,1782475646419712705,1782475646419712705,1782475646419900452,1782475646419900452,1782475646419900452,2,1.000000000000,1.000000000000,1.000000000000,4
111,177126,177126,1782475646419827813,1782475646419827813,1782475646420004939,1782475646420004939,1782475646420004939,2,1.000000000000,1.000000000000,1.000000000000,4
112,174815,174815,1782475646419943871,1782475646419943871,1782475646420118686,1782475646420118686,1782475646420118686,1,1.000000000000,1.000000000000,1.000000000000,4
113,175434,175434,1782475646420061799,1782475646420061799,1782475646420237233,1782475646420237233,1782475646420237233,0,1.000000000000,1.000000000000,1.000000000000,4
114,175613,175613,1782475646420177337,1782475646420177337,1782475646420352950,1782475646420352950,1782475646420352950,2,1.000000000000,1.000000000000,1.000000000000,4
115,178112,178112,1782475646420295045,1782475646420295045,1782475646420473157,1782475646420473157,1782475646420473157,3,1.000000000000,1.000000000000,1.000000000000,4
116,187110,187110,1782475646420416703,1782475646420416703,1782475646420603813,1782475646420603813,1782475646420603813,1,1.000000000000,1.000000000000,1.000000000000,4
117,178088,178088,1782475646420528192,1782475646420528192,1782475646420706280,1782475646420706280,1782475646420706280,1,1.000000000000,1.000000000000,1.000000000000,4
118,174917,174917,1782475646420642800,1782475646420642800,1782475646420817717,1782475646420817717,1782475646420817717,0,1.000000000000,1.000000000000,1.000000000000,4
119,175776,175776,1782475646420760758,1782475646420760758,1782475646420936534,1782475646420936534,1782475646420936534,0,1.000000000000,1.000000000000,1.000000000000,4
