count_idx,delay_ns,delay_physical_ns,final_e2e_via_r2_ns,stage2_link_delay_ns,stage1_delay_ns,ts_r1_ns,ts_r2_ns,ts_r2_on_r1_ns,stage1_recv_r1_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_r1,bits_final,w14,w56,w_final_raw,werner_intermediate,werner_final,state_after_stage1_peer_id,state_final_peer_id
51,431348,431348,431348,243533,118016,1782475512478593338,1782475512478781153,1782475512478781153,1782475512478711354,1782475512479024686,1782475512479024686,3,0,1.000000000000,1.000000000000,1.000000000000,0.789755401356,0.422022773822,3,4
52,439434,439434,439434,251572,107352,1782475512478710749,1782475512478898611,1782475512478898611,1782475512478818101,1782475512479150183,1782475512479150183,3,1,1.000000000000,1.000000000000,1.000000000000,0.806780211780,0.415252711794,3,4
53,429729,429729,429729,241671,121677,1782475512478828000,1782475512479016058,1782475512479016058,1782475512478949677,1782475512479257729,1782475512479257729,2,3,1.000000000000,1.000000000000,1.000000000000,0.783993930791,0.423391498332,3,4
54,440876,440876,440876,252271,107356,1782475512478945430,1782475512479134035,1782475512479134035,1782475512479052786,1782475512479386306,1782475512479386306,1,0,1.000000000000,1.000000000000,1.000000000000,0.806773757564,0.414056848238,3,4
55,436792,436792,436792,242110,117271,1782475512479062591,1782475512479257273,1782475512479257273,1782475512479179862,1782475512479499383,1782475512479499383,2,0,1.000000000000,1.000000000000,1.000000000000,0.790933014007,0.417452714412,3,4
56,447468,447468,447468,255569,108228,1782475512479180392,1782475512479372291,1782475512479372291,1782475512479288620,1782475512479627860,1782475512479627860,1,1,1.000000000000,1.000000000000,1.000000000000,0.805367970334,0.408633750364,3,4
57,433326,433326,433326,242120,117823,1782475512479298902,1782475512479490108,1782475512479490108,1782475512479416725,1782475512479732228,1782475512479732228,0,2,1.000000000000,1.000000000000,1.000000000000,0.790060305783,0.420356549693,3,4
58,442071,442071,442071,250158,107980,1782475512479416623,1782475512479608536,1782475512479608536,1782475512479524603,1782475512479858694,1782475512479858694,0,2,1.000000000000,1.000000000000,1.000000000000,0.805767531930,0.413068433996,3,4
59,432979,432979,432979,245540,117036,1782475512479534084,1782475512479721523,1782475512479721523,1782475512479651120,1782475512479967063,1782475512479967063,1,3,1.000000000000,1.000000000000,1.000000000000,0.791304839896,0.420648378391,3,4
60,442705,442705,442705,255138,107063,1782475512479651654,1782475512479839221,1782475512479839221,1782475512479758717,1782475512480094359,1782475512480094359,0,3,1.000000000000,1.000000000000,1.000000000000,0.807246665535,0.412544995152,3,4
61,431871,431871,431871,243379,120519,1782475512479769146,1782475512479957638,1782475512479957638,1782475512479889665,1782475512480201017,1782475512480201017,0,2,1.000000000000,1.000000000000,1.000000000000,0.785811764974,0.421581568791,3,4
62,441426,441426,441426,253317,110526,1782475512479886676,1782475512480074785,1782475512480074785,1782475512479997202,1782475512480328102,1782475512480328102,3,1,1.000000000000,1.000000000000,1.000000000000,0.801674992107,0.413601636117,3,4
63,428644,428644,428644,241598,117701,1782475512480004327,1782475512480191373,1782475512480191373,1782475512480122028,1782475512480432971,1782475512480432971,2,0,1.000000000000,1.000000000000,1.000000000000,0.790253104018,0.424311255459,3,4
64,446679,446679,446679,252437,112717,1782475512480122228,1782475512480316470,1782475512480316470,1782475512480234945,1782475512480568907,1782475512480568907,1,1,1.000000000000,1.000000000000,1.000000000000,0.798169737912,0.409279083456,3,4
65,430827,430827,430827,241157,122414,1782475512480244038,1782475512480433708,1782475512480433708,1782475512480366452,1782475512480674865,1782475512480674865,0,1,1.000000000000,1.000000000000,1.000000000000,0.782839175001,0.422462750740,3,4
66,441411,441411,441411,252295,108140,1782475512480361739,1782475512480550855,1782475512480550855,1782475512480469879,1782475512480803150,1782475512480803150,1,1,1.000000000000,1.000000000000,1.000000000000,0.805509727571,0.413614044352,3,4
67,429798,429798,429798,241796,122206,1782475512480479970,1782475512480667972,1782475512480667972,1782475512480602176,1782475512480909768,1782475512480909768,0,3,1.000000000000,1.000000000000,1.000000000000,0.783164903845,0.423333074337,3,4
68,427365,427365,427365,240525,109044,1782475512480595080,1782475512480781920,1782475512480781920,1782475512480704124,1782475512481022445,1782475512481022445,3,2,1.000000000000,1.000000000000,1.000000000000,0.804054681741,0.425398033047,3,4
69,447721,447721,447721,253015,131109,1782475512480713411,1782475512480908117,1782475512480908117,1782475512480844520,1782475512481161132,1782475512481161132,3,0,1.000000000000,1.000000000000,1.000000000000,0.769343288588,0.408427033990,3,4
70,429278,429278,429278,241735,114355,1782475512480828972,1782475512481016515,1782475512481016515,1782475512480943327,1782475512481258250,1782475512481258250,3,0,1.000000000000,1.000000000000,1.000000000000,0.795559212227,0.423773569752,3,4
71,444703,444703,444703,253494,107711,1782475512480943953,1782475512481135162,1782475512481135162,1782475512481051664,1782475512481388656,1782475512481388656,2,2,1.000000000000,1.000000000000,1.000000000000,0.806201151496,0.410899754731,3,4
