count_idx,delay_ns,delay_physical_ns,final_e2e_via_r2_ns,stage2_link_delay_ns,stage1_delay_ns,ts_r1_ns,ts_r2_ns,ts_r2_on_r1_ns,stage1_recv_r1_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_r1,bits_final,w14,w56,w_final_raw,werner_intermediate,werner_final,state_after_stage1_peer_id,state_final_peer_id
51,419654,419654,419654,165777,95074,1782475582900196553,1782475582900450430,1782475582900450430,1782475582900291627,1782475582900616207,1782475582900616207,3,1,1.000000000000,1.000000000000,1.000000000000,0.826836753048,0.432009370500,3,4
52,407939,407939,407939,156925,102889,1782475582900313084,1782475582900564098,1782475582900564098,1782475582900415973,1782475582900721023,1782475582900721023,1,0,1.000000000000,1.000000000000,1.000000000000,0.814013767282,0.442250860594,3,4
53,424365,424365,424365,170012,92095,1782475582900429574,1782475582900683927,1782475582900683927,1782475582900521669,1782475582900853939,1782475582900853939,0,2,1.000000000000,1.000000000000,1.000000000000,0.831777751039,0.427958093747,3,4
54,417562,417562,417562,165352,100821,1782475582900546525,1782475582900798735,1782475582900798735,1782475582900647346,1782475582900964087,1782475582900964087,2,2,1.000000000000,1.000000000000,1.000000000000,0.817387500294,0.433820684333,3,4
55,416826,416826,416826,165609,91816,1782475582900664037,1782475582900915254,1782475582900915254,1782475582900755853,1782475582901080863,1782475582901080863,3,3,1.000000000000,1.000000000000,1.000000000000,0.832242012541,0.434459738609,3,4
56,409103,409103,409103,156028,99482,1782475582900780857,1782475582901033932,1782475582901033932,1782475582900880339,1782475582901189960,1782475582901189960,2,3,1.000000000000,1.000000000000,1.000000000000,0.819579397660,0.441222498069,3,4
57,414908,414908,414908,163645,96007,1782475582900897488,1782475582901148751,1782475582901148751,1782475582900993495,1782475582901312396,1782475582901312396,2,1,1.000000000000,1.000000000000,1.000000000000,0.825295314276,0.436129526772,3,4
58,408083,408083,408083,157352,102623,1782475582901014239,1782475582901264970,1782475582901264970,1782475582901116862,1782475582901422322,1782475582901422322,3,0,1.000000000000,1.000000000000,1.000000000000,0.814446937819,0.442123510685,3,4
59,414220,414220,414220,159031,91659,1782475582901130889,1782475582901386078,1782475582901386078,1782475582901222548,1782475582901545109,1782475582901545109,1,3,1.000000000000,1.000000000000,1.000000000000,0.832503377566,0.436730054069,3,4
60,416005,416005,416005,163918,101535,1782475582901251820,1782475582901503907,1782475582901503907,1782475582901353355,1782475582901667825,1782475582901667825,1,0,1.000000000000,1.000000000000,1.000000000000,0.816221103949,0.435173707508,3,4
61,411031,411031,411031,159556,94172,1782475582901369160,1782475582901620635,1782475582901620635,1782475582901463332,1782475582901780191,1782475582901780191,1,0,1.000000000000,1.000000000000,1.000000000000,0.828329712795,0.439524420115,3,4
62,407088,407088,407088,156274,91706,1782475582901486051,1782475582901736865,1782475582901736865,1782475582901577757,1782475582901893139,1782475582901893139,3,2,1.000000000000,1.000000000000,1.000000000000,0.832425125926,0.443004212479,3,4
63,411573,411573,411573,159002,101291,1782475582901602922,1782475582901855493,1782475582901855493,1782475582901704213,1782475582902014495,1782475582902014495,1,3,1.000000000000,1.000000000000,1.000000000000,0.816619517052,0.439048233783,3,4
64,417129,417129,417129,164449,93479,1782475582901722002,1782475582901974682,1782475582901974682,1782475582901815481,1782475582902139131,1782475582902139131,1,1,1.000000000000,1.000000000000,1.000000000000,0.829478573754,0.434196535766,3,4
65,410754,410754,410754,158238,95083,1782475582901838494,1782475582902091010,1782475582902091010,1782475582901933577,1782475582902249248,1782475582902249248,2,0,1.000000000000,1.000000000000,1.000000000000,0.826821870120,0.439767984104,3,4
66,427799,427799,427799,163985,92138,1782475582901955025,1782475582902218839,1782475582902218839,1782475582902047163,1782475582902382824,1782475582902382824,0,1,1.000000000000,1.000000000000,1.000000000000,0.831706221229,0.425028947760,3,4
67,420954,420954,420954,163652,101244,1782475582902071495,1782475582902328797,1782475582902328797,1782475582902172739,1782475582902492449,1782475582902492449,2,2,1.000000000000,1.000000000000,1.000000000000,0.816696282895,0.430887605064,3,4
68,424251,424251,424251,164841,92921,1782475582902188086,1782475582902447496,1782475582902447496,1782475582902281007,1782475582902612337,1782475582902612337,3,1,1.000000000000,1.000000000000,1.000000000000,0.830404788574,0.428055679317,3,4
