count_idx,delay_ns,delay_physical_ns,ts_r2_ns,ts_r2_on_r1_ns,stage2_recv_local_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_final,w14,w56,w_final_raw,state_final_peer_id
51,36677,36677,1782475646412797427,1782475646412797427,1782475646412834104,1782475646412834104,1782475646412834104,3,1.000000000000,1.000000000000,1.000000000000,1
52,36357,36357,1782475646412917485,1782475646412917485,1782475646412953842,1782475646412953842,1782475646412953842,1,1.000000000000,1.000000000000,1.000000000000,1
53,35858,35858,1782475646413033883,1782475646413033883,1782475646413069741,1782475646413069741,1782475646413069741,0,1.000000000000,1.000000000000,1.000000000000,1
54,36208,36208,1782475646413153071,1782475646413153071,1782475646413189279,1782475646413189279,1782475646413189279,2,1.000000000000,1.000000000000,1.000000000000,1
55,36288,36288,1782475646413269639,1782475646413269639,1782475646413305927,1782475646413305927,1782475646413305927,1,1.000000000000,1.000000000000,1.000000000000,1
56,37349,37349,1782475646413391636,1782475646413391636,1782475646413428985,1782475646413428985,1782475646413428985,2,1.000000000000,1.000000000000,1.000000000000,1
57,36469,36469,1782475646413508314,1782475646413508314,1782475646413544783,1782475646413544783,1782475646413544783,3,1.000000000000,1.000000000000,1.000000000000,1
58,38390,38390,1782475646413627532,1782475646413627532,1782475646413665922,1782475646413665922,1782475646413665922,0,1.000000000000,1.000000000000,1.000000000000,1
59,40340,40340,1782475646413739730,1782475646413739730,1782475646413780070,1782475646413780070,1782475646413780070,1,1.000000000000,1.000000000000,1.000000000000,1
60,39980,39980,1782475646413856208,1782475646413856208,1782475646413896188,1782475646413896188,1782475646413896188,3,1.000000000000,1.000000000000,1.000000000000,1
61,45080,45080,1782475646413973006,1782475646413973006,1782475646414018086,1782475646414018086,1782475646414018086,3,1.000000000000,1.000000000000,1.000000000000,1
62,38500,38500,1782475646414089554,1782475646414089554,1782475646414128054,1782475646414128054,1782475646414128054,0,1.000000000000,1.000000000000,1.000000000000,1
