count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
1,257869,1782475512472695251,1782475512472695251,1782475512472988629,1782475512472988629,1782475512472953120,1782475512472953120,2,3,1,1.000000000000,1.000000000000,1.000000000000
2,181657,1782475512472827972,1782475512472827972,1782475512473036408,1782475512473036408,1782475512473009629,1782475512473009629,1,1,0,1.000000000000,1.000000000000,1.000000000000
3,209652,1782475512472943763,1782475512472943763,1782475512473168065,1782475512473168065,1782475512473153415,1782475512473153415,0,0,0,1.000000000000,1.000000000000,1.000000000000
4,212691,1782475512473059083,1782475512473059083,1782475512473286823,1782475512473286823,1782475512473271774,1782475512473271774,3,1,2,1.000000000000,1.000000000000,1.000000000000
5,205497,1782475512473173834,1782475512473173834,1782475512473390491,1782475512473390491,1782475512473379331,1782475512473379331,1,1,0,1.000000000000,1.000000000000,1.000000000000
6,204794,1782475512473289395,1782475512473289395,1782475512473505219,1782475512473505219,1782475512473494189,1782475512473494189,0,2,2,1.000000000000,1.000000000000,1.000000000000
7,207561,1782475512473404265,1782475512473404265,1782475512473623426,1782475512473623426,1782475512473611826,1782475512473611826,1,3,2,1.000000000000,1.000000000000,1.000000000000
8,206408,1782475512473523096,1782475512473523096,1782475512473741443,1782475512473741443,1782475512473729504,1782475512473729504,1,1,0,1.000000000000,1.000000000000,1.000000000000
9,204764,1782475512473641317,1782475512473641317,1782475512473857451,1782475512473857451,1782475512473846081,1782475512473846081,1,0,1,1.000000000000,1.000000000000,1.000000000000
10,205240,1782475512473759418,1782475512473759418,1782475512473975588,1782475512473975588,1782475512473964658,1782475512473964658,2,0,2,1.000000000000,1.000000000000,1.000000000000
11,173238,1782475512473877349,1782475512473877349,1782475512474062086,1782475512474062086,1782475512474050587,1782475512474050587,1,2,3,1.000000000000,1.000000000000,1.000000000000
12,176165,1782475512473995549,1782475512473995549,1782475512474183054,1782475512474183054,1782475512474171714,1782475512474171714,3,3,0,1.000000000000,1.000000000000,1.000000000000
13,191731,1782475512474113740,1782475512474113740,1782475512474317681,1782475512474317681,1782475512474305471,1782475512474305471,2,1,3,1.000000000000,1.000000000000,1.000000000000
14,175448,1782475512474233351,1782475512474233351,1782475512474422118,1782475512474422118,1782475512474408799,1782475512474408799,1,0,1,1.000000000000,1.000000000000,1.000000000000
15,174525,1782475512474351251,1782475512474351251,1782475512474536196,1782475512474536196,1782475512474525776,1782475512474525776,1,0,1,1.000000000000,1.000000000000,1.000000000000
16,175902,1782475512474468792,1782475512474468792,1782475512474655093,1782475512474655093,1782475512474644694,1782475512474644694,2,3,1,1.000000000000,1.000000000000,1.000000000000
17,176608,1782475512474585913,1782475512474585913,1782475512474773131,1782475512474773131,1782475512474762521,1782475512474762521,1,3,2,1.000000000000,1.000000000000,1.000000000000
18,174935,1782475512474703413,1782475512474703413,1782475512474895358,1782475512474895358,1782475512474878348,1782475512474878348,3,1,2,1.000000000000,1.000000000000,1.000000000000
19,174392,1782475512474821014,1782475512474821014,1782475512475006316,1782475512475006316,1782475512474995406,1782475512474995406,1,0,1,1.000000000000,1.000000000000,1.000000000000
20,174718,1782475512474938665,1782475512474938665,1782475512475123873,1782475512475123873,1782475512475113383,1782475512475113383,3,1,2,1.000000000000,1.000000000000,1.000000000000
21,173925,1782475512475056746,1782475512475056746,1782475512475241250,1782475512475241250,1782475512475230671,1782475512475230671,3,3,0,1.000000000000,1.000000000000,1.000000000000
22,172681,1782475512475174207,1782475512475174207,1782475512475357938,1782475512475357938,1782475512475346888,1782475512475346888,2,3,1,1.000000000000,1.000000000000,1.000000000000
23,174898,1782475512475289007,1782475512475289007,1782475512475475025,1782475512475475025,1782475512475463905,1782475512475463905,0,3,3,1.000000000000,1.000000000000,1.000000000000
24,176695,1782475512475406608,1782475512475406608,1782475512475594193,1782475512475594193,1782475512475583303,1782475512475583303,2,1,3,1.000000000000,1.000000000000,1.000000000000
25,174461,1782475512475525239,1782475512475525239,1782475512475710320,1782475512475710320,1782475512475699700,1782475512475699700,1,3,2,1.000000000000,1.000000000000,1.000000000000
26,175279,1782475512475642719,1782475512475642719,1782475512475829547,1782475512475829547,1782475512475817998,1782475512475817998,2,0,2,1.000000000000,1.000000000000,1.000000000000
27,177435,1782475512475760210,1782475512475760210,1782475512475948705,1782475512475948705,1782475512475937645,1782475512475937645,1,3,2,1.000000000000,1.000000000000,1.000000000000
28,174631,1782475512475878041,1782475512475878041,1782475512476065562,1782475512476065562,1782475512476052672,1782475512476052672,3,3,0,1.000000000000,1.000000000000,1.000000000000
29,175119,1782475512475995351,1782475512475995351,1782475512476180580,1782475512476180580,1782475512476170470,1782475512476170470,0,0,0,1.000000000000,1.000000000000,1.000000000000
30,177756,1782475512476113772,1782475512476113772,1782475512476303158,1782475512476303158,1782475512476291528,1782475512476291528,1,1,0,1.000000000000,1.000000000000,1.000000000000
31,174793,1782475512476235603,1782475512476235603,1782475512476421265,1782475512476421265,1782475512476410396,1782475512476410396,2,3,1,1.000000000000,1.000000000000,1.000000000000
32,174189,1782475512476353764,1782475512476353764,1782475512476539233,1782475512476539233,1782475512476527953,1782475512476527953,0,0,0,1.000000000000,1.000000000000,1.000000000000
33,177295,1782475512476471725,1782475512476471725,1782475512476659950,1782475512476659950,1782475512476649020,1782475512476649020,2,3,1,1.000000000000,1.000000000000,1.000000000000
34,173333,1782475512476588945,1782475512476588945,1782475512476773148,1782475512476773148,1782475512476762278,1782475512476762278,0,2,2,1.000000000000,1.000000000000,1.000000000000
35,175639,1782475512476705976,1782475512476705976,1782475512476892135,1782475512476892135,1782475512476881615,1782475512476881615,3,1,2,1.000000000000,1.000000000000,1.000000000000
36,174636,1782475512476823207,1782475512476823207,1782475512477008452,1782475512477008452,1782475512476997843,1782475512476997843,3,3,0,1.000000000000,1.000000000000,1.000000000000
37,173573,1782475512476940477,1782475512476940477,1782475512477124740,1782475512477124740,1782475512477114050,1782475512477114050,1,1,0,1.000000000000,1.000000000000,1.000000000000
38,175279,1782475512477057968,1782475512477057968,1782475512477243987,1782475512477243987,1782475512477233247,1782475512477233247,1,3,2,1.000000000000,1.000000000000,1.000000000000
39,175906,1782475512477175669,1782475512477175669,1782475512477362965,1782475512477362965,1782475512477351575,1782475512477351575,3,1,2,1.000000000000,1.000000000000,1.000000000000
40,174363,1782475512477293919,1782475512477293919,1782475512477478962,1782475512477478962,1782475512477468282,1782475512477468282,1,0,1,1.000000000000,1.000000000000,1.000000000000
41,180588,1782475512477412051,1782475512477412051,1782475512477603239,1782475512477603239,1782475512477592639,1782475512477592639,0,3,3,1.000000000000,1.000000000000,1.000000000000
42,175305,1782475512477527042,1782475512477527042,1782475512477716717,1782475512477716717,1782475512477702347,1782475512477702347,3,2,1,1.000000000000,1.000000000000,1.000000000000
43,175242,1782475512477644362,1782475512477644362,1782475512477831494,1782475512477831494,1782475512477819604,1782475512477819604,2,1,3,1.000000000000,1.000000000000,1.000000000000
44,175669,1782475512477762653,1782475512477762653,1782475512477948642,1782475512477948642,1782475512477938322,1782475512477938322,3,3,0,1.000000000000,1.000000000000,1.000000000000
45,174266,1782475512477880013,1782475512477880013,1782475512478069549,1782475512478069549,1782475512478054279,1782475512478054279,3,0,3,1.000000000000,1.000000000000,1.000000000000
46,181133,1782475512477997844,1782475512477997844,1782475512478193166,1782475512478193166,1782475512478178977,1782475512478178977,2,3,1,1.000000000000,1.000000000000,1.000000000000
47,178149,1782475512478115215,1782475512478115215,1782475512478308434,1782475512478308434,1782475512478293364,1782475512478293364,0,0,0,1.000000000000,1.000000000000,1.000000000000
48,175086,1782475512478239965,1782475512478239965,1782475512478429041,1782475512478429041,1782475512478415051,1782475512478415051,1,1,0,1.000000000000,1.000000000000,1.000000000000
49,176393,1782475512478357986,1782475512478357986,1782475512478548038,1782475512478548038,1782475512478534379,1782475512478534379,0,2,2,1.000000000000,1.000000000000,1.000000000000
50,175009,1782475512478475887,1782475512478475887,1782475512478664966,1782475512478664966,1782475512478650896,1782475512478650896,3,3,0,1.000000000000,1.000000000000,1.000000000000
51,174355,1782475512478593338,1782475512478593338,1782475512478781153,1782475512478781153,1782475512478767693,1782475512478767693,3,3,0,1.000000000000,1.000000000000,1.000000000000
52,174112,1782475512478710749,1782475512478710749,1782475512478898611,1782475512478898611,1782475512478884861,1782475512478884861,3,2,1,1.000000000000,1.000000000000,1.000000000000
53,174228,1782475512478828000,1782475512478828000,1782475512479016058,1782475512479016058,1782475512479002228,1782475512479002228,2,1,3,1.000000000000,1.000000000000,1.000000000000
54,174096,1782475512478945430,1782475512478945430,1782475512479134035,1782475512479134035,1782475512479119526,1782475512479119526,1,1,0,1.000000000000,1.000000000000,1.000000000000
55,173902,1782475512479062591,1782475512479062591,1782475512479257273,1782475512479257273,1782475512479236493,1782475512479236493,2,2,0,1.000000000000,1.000000000000,1.000000000000
56,177069,1782475512479180392,1782475512479180392,1782475512479372291,1782475512479372291,1782475512479357461,1782475512479357461,1,0,1,1.000000000000,1.000000000000,1.000000000000
57,175317,1782475512479298902,1782475512479298902,1782475512479490108,1782475512479490108,1782475512479474219,1782475512479474219,0,2,2,1.000000000000,1.000000000000,1.000000000000
58,175913,1782475512479416623,1782475512479416623,1782475512479608536,1782475512479608536,1782475512479592536,1782475512479592536,0,2,2,1.000000000000,1.000000000000,1.000000000000
59,174230,1782475512479534084,1782475512479534084,1782475512479721523,1782475512479721523,1782475512479708314,1782475512479708314,1,2,3,1.000000000000,1.000000000000,1.000000000000
60,174257,1782475512479651654,1782475512479651654,1782475512479839221,1782475512479839221,1782475512479825911,1782475512479825911,0,3,3,1.000000000000,1.000000000000,1.000000000000
61,175132,1782475512479769146,1782475512479769146,1782475512479957638,1782475512479957638,1782475512479944278,1782475512479944278,0,2,2,1.000000000000,1.000000000000,1.000000000000
62,174370,1782475512479886676,1782475512479886676,1782475512480074785,1782475512480074785,1782475512480061046,1782475512480061046,3,2,1,1.000000000000,1.000000000000,1.000000000000
63,173616,1782475512480004327,1782475512480004327,1782475512480191373,1782475512480191373,1782475512480177943,1782475512480177943,2,2,0,1.000000000000,1.000000000000,1.000000000000
64,179692,1782475512480122228,1782475512480122228,1782475512480316470,1782475512480316470,1782475512480301920,1782475512480301920,1,0,1,1.000000000000,1.000000000000,1.000000000000
65,176160,1782475512480244038,1782475512480244038,1782475512480433708,1782475512480433708,1782475512480420198,1782475512480420198,0,1,1,1.000000000000,1.000000000000,1.000000000000
66,175206,1782475512480361739,1782475512480361739,1782475512480550855,1782475512480550855,1782475512480536945,1782475512480536945,1,0,1,1.000000000000,1.000000000000,1.000000000000
67,174113,1782475512480479970,1782475512480479970,1782475512480667972,1782475512480667972,1782475512480654083,1782475512480654083,0,3,3,1.000000000000,1.000000000000,1.000000000000
68,173180,1782475512480595080,1782475512480595080,1782475512480781920,1782475512480781920,1782475512480768260,1782475512480768260,3,1,2,1.000000000000,1.000000000000,1.000000000000
69,180936,1782475512480713411,1782475512480713411,1782475512480908117,1782475512480908117,1782475512480894347,1782475512480894347,3,3,0,1.000000000000,1.000000000000,1.000000000000
70,173623,1782475512480828972,1782475512480828972,1782475512481016515,1782475512481016515,1782475512481002595,1782475512481002595,3,3,0,1.000000000000,1.000000000000,1.000000000000
71,176799,1782475512480943953,1782475512480943953,1782475512481135162,1782475512481135162,1782475512481120752,1782475512481120752,2,0,2,1.000000000000,1.000000000000,1.000000000000
72,173196,1782475512481062264,1782475512481062264,1782475512481257469,1782475512481257469,1782475512481235460,1782475512481235460,0,0,0,1.000000000000,1.000000000000,1.000000000000
73,174962,1782475512481179705,1782475512481179705,1782475512481369557,1782475512481369557,1782475512481354667,1782475512481354667,2,0,2,1.000000000000,1.000000000000,1.000000000000
74,173340,1782475512481298505,1782475512481298505,1782475512481485714,1782475512481485714,1782475512481471845,1782475512481471845,1,1,0,1.000000000000,1.000000000000,1.000000000000
75,172886,1782475512481413486,1782475512481413486,1782475512481599982,1782475512481599982,1782475512481586372,1782475512481586372,1,1,0,1.000000000000,1.000000000000,1.000000000000
76,173203,1782475512481528606,1782475512481528606,1782475512481715469,1782475512481715469,1782475512481701809,1782475512481701809,2,1,3,1.000000000000,1.000000000000,1.000000000000
77,172640,1782475512481643507,1782475512481643507,1782475512481830007,1782475512481830007,1782475512481816147,1782475512481816147,2,3,1,1.000000000000,1.000000000000,1.000000000000
78,173176,1782475512481758998,1782475512481758998,1782475512481946374,1782475512481946374,1782475512481932174,1782475512481932174,1,0,1,1.000000000000,1.000000000000,1.000000000000
79,174834,1782475512481873928,1782475512481873928,1782475512482063451,1782475512482063451,1782475512482048762,1782475512482048762,0,2,2,1.000000000000,1.000000000000,1.000000000000
80,174970,1782475512481992029,1782475512481992029,1782475512482177939,1782475512482177939,1782475512482166999,1782475512482166999,0,0,0,1.000000000000,1.000000000000,1.000000000000
81,179097,1782475512482112670,1782475512482112670,1782475512482304457,1782475512482304457,1782475512482291767,1782475512482291767,1,1,0,1.000000000000,1.000000000000,1.000000000000
82,175204,1782475512482235081,1782475512482235081,1782475512482421625,1782475512482421625,1782475512482410285,1782475512482410285,0,1,1,1.000000000000,1.000000000000,1.000000000000
83,173190,1782475512482354012,1782475512482354012,1782475512482537992,1782475512482537992,1782475512482527202,1782475512482527202,0,3,3,1.000000000000,1.000000000000,1.000000000000
84,173107,1782475512482469413,1782475512482469413,1782475512482653349,1782475512482653349,1782475512482642520,1782475512482642520,3,1,2,1.000000000000,1.000000000000,1.000000000000
85,172764,1782475512482583873,1782475512482583873,1782475512482769627,1782475512482769627,1782475512482756637,1782475512482756637,3,1,2,1.000000000000,1.000000000000,1.000000000000
86,172341,1782475512482698674,1782475512482698674,1782475512482881684,1782475512482881684,1782475512482871015,1782475512482871015,2,0,2,1.000000000000,1.000000000000,1.000000000000
87,173677,1782475512482813495,1782475512482813495,1782475512482997702,1782475512482997702,1782475512482987172,1782475512482987172,3,2,1,1.000000000000,1.000000000000,1.000000000000
88,174394,1782475512482931345,1782475512482931345,1782475512483116609,1782475512483116609,1782475512483105739,1782475512483105739,2,0,2,1.000000000000,1.000000000000,1.000000000000
89,174731,1782475512483048846,1782475512483048846,1782475512483234377,1782475512483234377,1782475512483223577,1782475512483223577,1,1,0,1.000000000000,1.000000000000,1.000000000000
90,176408,1782475512483166756,1782475512483166756,1782475512483354704,1782475512483354704,1782475512483343164,1782475512483343164,2,0,2,1.000000000000,1.000000000000,1.000000000000
91,174395,1782475512483287397,1782475512483287397,1782475512483472611,1782475512483472611,1782475512483461792,1782475512483461792,2,1,3,1.000000000000,1.000000000000,1.000000000000
92,172630,1782475512483404889,1782475512483404889,1782475512483588189,1782475512483588189,1782475512483577519,1782475512483577519,3,1,2,1.000000000000,1.000000000000,1.000000000000
93,172897,1782475512483520099,1782475512483520099,1782475512483703646,1782475512483703646,1782475512483692996,1782475512483692996,2,2,0,1.000000000000,1.000000000000,1.000000000000
94,172474,1782475512483635840,1782475512483635840,1782475512483819104,1782475512483819104,1782475512483808314,1782475512483808314,0,2,2,1.000000000000,1.000000000000,1.000000000000
95,172160,1782475512483750791,1782475512483750791,1782475512483933971,1782475512483933971,1782475512483922951,1782475512483922951,2,3,1,1.000000000000,1.000000000000,1.000000000000
96,173418,1782475512483865381,1782475512483865381,1782475512484049359,1782475512484049359,1782475512484038799,1782475512484038799,3,2,1,1.000000000000,1.000000000000,1.000000000000
97,184444,1782475512483982962,1782475512483982962,1782475512484178466,1782475512484178466,1782475512484167406,1782475512484167406,3,0,3,1.000000000000,1.000000000000,1.000000000000
98,175161,1782475512484100603,1782475512484100603,1782475512484290933,1782475512484290933,1782475512484275764,1782475512484275764,2,0,2,1.000000000000,1.000000000000,1.000000000000
99,173068,1782475512484218433,1782475512484218433,1782475512484401931,1782475512484401931,1782475512484391501,1782475512484391501,2,0,2,1.000000000000,1.000000000000,1.000000000000
100,172895,1782475512484334004,1782475512484334004,1782475512484517448,1782475512484517448,1782475512484506899,1782475512484506899,0,2,2,1.000000000000,1.000000000000,1.000000000000
101,173481,1782475512484448935,1782475512484448935,1782475512484633056,1782475512484633056,1782475512484622416,1782475512484622416,0,2,2,1.000000000000,1.000000000000,1.000000000000
102,174087,1782475512484567096,1782475512484567096,1782475512484751713,1782475512484751713,1782475512484741183,1782475512484741183,3,3,0,1.000000000000,1.000000000000,1.000000000000
103,175784,1782475512484684547,1782475512484684547,1782475512484870720,1782475512484870720,1782475512484860331,1782475512484860331,0,0,0,1.000000000000,1.000000000000,1.000000000000
104,173871,1782475512484802067,1782475512484802067,1782475512484986718,1782475512484986718,1782475512484975938,1782475512484975938,2,0,2,1.000000000000,1.000000000000,1.000000000000
105,173818,1782475512484919628,1782475512484919628,1782475512485104225,1782475512485104225,1782475512485093446,1782475512485093446,3,0,3,1.000000000000,1.000000000000,1.000000000000
106,175414,1782475512485036869,1782475512485036869,1782475512485222843,1782475512485222843,1782475512485212283,1782475512485212283,0,1,1,1.000000000000,1.000000000000,1.000000000000
107,175212,1782475512485154159,1782475512485154159,1782475512485340991,1782475512485340991,1782475512485329371,1782475512485329371,3,0,3,1.000000000000,1.000000000000,1.000000000000
108,173739,1782475512485277080,1782475512485277080,1782475512485461498,1782475512485461498,1782475512485450819,1782475512485450819,2,1,3,1.000000000000,1.000000000000,1.000000000000
109,172115,1782475512485392091,1782475512485392091,1782475512485575146,1782475512485575146,1782475512485564206,1782475512485564206,3,2,1,1.000000000000,1.000000000000,1.000000000000
110,174433,1782475512485507991,1782475512485507991,1782475512485693633,1782475512485693633,1782475512485682424,1782475512485682424,3,0,3,1.000000000000,1.000000000000,1.000000000000
111,175979,1782475512485625862,1782475512485625862,1782475512485812471,1782475512485812471,1782475512485801841,1782475512485801841,3,0,3,1.000000000000,1.000000000000,1.000000000000
112,172314,1782475512485743204,1782475512485743204,1782475512485928408,1782475512485928408,1782475512485915518,1782475512485915518,2,2,0,1.000000000000,1.000000000000,1.000000000000
113,173922,1782475512485857784,1782475512485857784,1782475512486046836,1782475512486046836,1782475512486031706,1782475512486031706,2,1,3,1.000000000000,1.000000000000,1.000000000000
114,172948,1782475512485972785,1782475512485972785,1782475512486159443,1782475512486159443,1782475512486145733,1782475512486145733,0,3,3,1.000000000000,1.000000000000,1.000000000000
115,176965,1782475512486089746,1782475512486089746,1782475512486282040,1782475512486282040,1782475512486266711,1782475512486266711,1,1,0,1.000000000000,1.000000000000,1.000000000000
116,173622,1782475512486207666,1782475512486207666,1782475512486395618,1782475512486395618,1782475512486381288,1782475512486381288,2,3,1,1.000000000000,1.000000000000,1.000000000000
117,172639,1782475512486322647,1782475512486322647,1782475512486509515,1782475512486509515,1782475512486495286,1782475512486495286,1,0,1,1.000000000000,1.000000000000,1.000000000000
118,173256,1782475512486437427,1782475512486437427,1782475512486624483,1782475512486624483,1782475512486610683,1782475512486610683,0,2,2,1.000000000000,1.000000000000,1.000000000000
119,174363,1782475512486554828,1782475512486554828,1782475512486742750,1782475512486742750,1782475512486729191,1782475512486729191,0,2,2,1.000000000000,1.000000000000,1.000000000000
120,173809,1782475512486672819,1782475512486672819,1782475512486860088,1782475512486860088,1782475512486846628,1782475512486846628,2,3,1,1.000000000000,1.000000000000,1.000000000000
121,172636,1782475512486789859,1782475512486789859,1782475512486975905,1782475512486975905,1782475512486962495,1782475512486962495,1,0,1,1.000000000000,1.000000000000,1.000000000000
