count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
1,282738,1782475646406626492,1782475646406626492,1782475646406954190,1782475646406954190,1782475646406909230,1782475646406909230,2,3,1,1.000000000000,1.000000000000,1.000000000000
2,243936,1782475646406762663,1782475646406762663,1782475646407016558,1782475646407016558,1782475646407006599,1782475646407006599,3,1,2,1.000000000000,1.000000000000,1.000000000000
3,241033,1782475646406879584,1782475646406879584,1782475646407138706,1782475646407138706,1782475646407120617,1782475646407120617,1,2,3,1.000000000000,1.000000000000,1.000000000000
4,236601,1782475646406995404,1782475646406995404,1782475646407248234,1782475646407248234,1782475646407232005,1782475646407232005,2,1,3,1.000000000000,1.000000000000,1.000000000000
5,245917,1782475646407111295,1782475646407111295,1782475646407374392,1782475646407374392,1782475646407357212,1782475646407357212,0,0,0,1.000000000000,1.000000000000,1.000000000000
6,236273,1782475646407227657,1782475646407227657,1782475646407480140,1782475646407480140,1782475646407463930,1782475646407463930,3,3,0,1.000000000000,1.000000000000,1.000000000000
7,238641,1782475646407344187,1782475646407344187,1782475646407598898,1782475646407598898,1782475646407582828,1782475646407582828,2,1,3,1.000000000000,1.000000000000,1.000000000000
8,255518,1782475646407460548,1782475646407460548,1782475646407732286,1782475646407732286,1782475646407716066,1782475646407716066,0,0,0,1.000000000000,1.000000000000,1.000000000000
9,235625,1782475646407579729,1782475646407579729,1782475646407831104,1782475646407831104,1782475646407815354,1782475646407815354,1,1,0,1.000000000000,1.000000000000,1.000000000000
10,219943,1782475646407698659,1782475646407698659,1782475646407933832,1782475646407933832,1782475646407918602,1782475646407918602,2,3,1,1.000000000000,1.000000000000,1.000000000000
11,217470,1782475646407814050,1782475646407814050,1782475646408046720,1782475646408046720,1782475646408031520,1782475646408031520,3,3,0,1.000000000000,1.000000000000,1.000000000000
12,228888,1782475646407930480,1782475646407930480,1782475646408174198,1782475646408174198,1782475646408159368,1782475646408159368,3,1,2,1.000000000000,1.000000000000,1.000000000000
13,216995,1782475646408062711,1782475646408062711,1782475646408294646,1782475646408294646,1782475646408279706,1782475646408279706,2,3,1,1.000000000000,1.000000000000,1.000000000000
14,217542,1782475646408178532,1782475646408178532,1782475646408411993,1782475646408411993,1782475646408396074,1782475646408396074,3,2,1,1.000000000000,1.000000000000,1.000000000000
15,216721,1782475646408293692,1782475646408293692,1782475646408525612,1782475646408525612,1782475646408510413,1782475646408510413,3,2,1,1.000000000000,1.000000000000,1.000000000000
16,215757,1782475646408409074,1782475646408409074,1782475646408639150,1782475646408639150,1782475646408624831,1782475646408624831,0,2,2,1.000000000000,1.000000000000,1.000000000000
17,214794,1782475646408525275,1782475646408525275,1782475646408754738,1782475646408754738,1782475646408740069,1782475646408740069,0,2,2,1.000000000000,1.000000000000,1.000000000000
18,216581,1782475646408640565,1782475646408640565,1782475646408872316,1782475646408872316,1782475646408857146,1782475646408857146,1,3,2,1.000000000000,1.000000000000,1.000000000000
19,217058,1782475646408756216,1782475646408756216,1782475646408988454,1782475646408988454,1782475646408973274,1782475646408973274,1,2,3,1.000000000000,1.000000000000,1.000000000000
20,216175,1782475646408872687,1782475646408872687,1782475646409103582,1782475646409103582,1782475646409088862,1782475646409088862,1,2,3,1.000000000000,1.000000000000,1.000000000000
21,216833,1782475646408991757,1782475646408991757,1782475646409223280,1782475646409223280,1782475646409208590,1782475646409208590,2,3,1,1.000000000000,1.000000000000,1.000000000000
22,220610,1782475646409107058,1782475646409107058,1782475646409344318,1782475646409344318,1782475646409327668,1782475646409327668,1,1,0,1.000000000000,1.000000000000,1.000000000000
23,216607,1782475646409222799,1782475646409222799,1782475646409454956,1782475646409454956,1782475646409439406,1782475646409439406,0,3,3,1.000000000000,1.000000000000,1.000000000000
24,216585,1782475646409338109,1782475646409338109,1782475646409569974,1782475646409569974,1782475646409554694,1782475646409554694,0,3,3,1.000000000000,1.000000000000,1.000000000000
25,215812,1782475646409453910,1782475646409453910,1782475646409693532,1782475646409693532,1782475646409669722,1782475646409669722,0,1,1,1.000000000000,1.000000000000,1.000000000000
26,216800,1782475646409569690,1782475646409569690,1782475646409801730,1782475646409801730,1782475646409786490,1782475646409786490,2,0,2,1.000000000000,1.000000000000,1.000000000000
27,215906,1782475646409685492,1782475646409685492,1782475646409915968,1782475646409915968,1782475646409901398,1782475646409901398,0,1,1,1.000000000000,1.000000000000,1.000000000000
28,215333,1782475646409801223,1782475646409801223,1782475646410031006,1782475646410031006,1782475646410016556,1782475646410016556,0,0,0,1.000000000000,1.000000000000,1.000000000000
29,214661,1782475646409916593,1782475646409916593,1782475646410145743,1782475646410145743,1782475646410131254,1782475646410131254,0,3,3,1.000000000000,1.000000000000,1.000000000000
30,216568,1782475646410031654,1782475646410031654,1782475646410263001,1782475646410263001,1782475646410248222,1782475646410248222,2,3,1,1.000000000000,1.000000000000,1.000000000000
