count_idx,delay_ns,delay_physical_ns,final_e2e_via_r2_ns,stage2_link_delay_ns,stage1_delay_ns,ts_r1_ns,ts_r2_ns,ts_r2_on_r1_ns,stage1_recv_r1_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_r1,bits_final,w14,w56,w_final_raw,werner_intermediate,werner_final,state_after_stage1_peer_id,state_final_peer_id
51,432309,432309,432309,238327,108688,1782988438552127556,1782988438552321538,1782988438552321538,1782988438552236244,1782988438552559865,1782988438552559865,1,2,1.000000000000,1.000000000000,1.000000000000,0.804627372528,0.421212425045,3,4
52,427525,427525,427525,238117,107243,1782988438552248648,1782988438552438056,1782988438552438056,1782988438552355891,1782988438552676173,1782988438552676173,3,1,1.000000000000,1.000000000000,1.000000000000,0.806956109038,0.425261927454,3,4
53,433241,433241,433241,243865,110679,1782988438552363279,1782988438552552655,1782988438552552655,1782988438552473958,1782988438552796520,1782988438552796520,0,1,1.000000000000,1.000000000000,1.000000000000,0.801429717088,0.420428016381,3,4
54,422678,422678,422678,232774,111936,1782988438552477579,1782988438552667483,1782988438552667483,1782988438552589515,1782988438552900257,1782988438552900257,2,3,1.000000000000,1.000000000000,1.000000000000,0.799417453255,0.429404463008,3,4
55,430134,430134,430134,241203,111512,1782988438552592090,1782988438552781021,1782988438552781021,1782988438552703602,1782988438553022224,1782988438553022224,1,0,1.000000000000,1.000000000000,1.000000000000,0.800095646769,0.423048690075,3,4
56,444690,444690,444690,253131,111738,1782988438552706491,1782988438552898050,1782988438552898050,1782988438552818229,1782988438553151181,1782988438553151181,3,2,1.000000000000,1.000000000000,1.000000000000,0.799734085255,0.410910438263,3,4
57,423127,423127,423127,232650,103095,1782988438552821071,1782988438553011548,1782988438553011548,1782988438552924166,1782988438553244198,1782988438553244198,2,0,1.000000000000,1.000000000000,1.000000000000,0.813678462687,0.429019030885,3,4
58,429633,429633,429633,238559,111211,1782988438552942432,1782988438553133506,1782988438553133506,1782988438553053643,1782988438553372065,1782988438553372065,3,3,1.000000000000,1.000000000000,1.000000000000,0.800577449356,0.423472797305,3,4
59,428309,428309,428309,238167,109277,1782988438553063703,1782988438553253845,1782988438553253845,1782988438553172980,1782988438553492012,1782988438553492012,2,2,1.000000000000,1.000000000000,1.000000000000,0.803680079549,0.424595639259,3,4
60,428905,428905,428905,239076,106913,1782988438553184804,1782988438553374633,1782988438553374633,1782988438553291717,1782988438553613709,1782988438553613709,2,2,1.000000000000,1.000000000000,1.000000000000,0.807488875864,0.424089822783,3,4
61,422692,422692,422692,234346,110379,1782988438553299085,1782988438553487431,1782988438553487431,1782988438553409464,1782988438553721777,1782988438553721777,3,1,1.000000000000,1.000000000000,1.000000000000,0.801910719205,0.429392439852,3,4
62,426957,426957,426957,237873,109955,1782988438553419616,1782988438553608700,1782988438553608700,1782988438553529571,1782988438553846573,1782988438553846573,2,0,1.000000000000,1.000000000000,1.000000000000,0.802591027905,0.425745299507,3,4
63,433794,433794,433794,242452,116372,1782988438553534246,1782988438553725588,1782988438553725588,1782988438553650618,1782988438553968040,1782988438553968040,0,0,1.000000000000,1.000000000000,1.000000000000,0.792356390799,0.419963280041,3,4
64,425571,425571,425571,234191,108489,1782988438553649167,1782988438553840547,1782988438553840547,1782988438553757656,1782988438554074738,1782988438554074738,0,0,1.000000000000,1.000000000000,1.000000000000,0.804947677959,0.426927102700,3,4
65,431088,431088,431088,241089,109066,1782988438553763537,1782988438553953536,1782988438553953536,1782988438553872603,1782988438554194625,1782988438554194625,2,0,1.000000000000,1.000000000000,1.000000000000,0.804019304113,0.422242282732,3,4
66,423324,423324,423324,234558,112321,1782988438553892658,1782988438554081424,1782988438554081424,1782988438554004979,1782988438554315982,1782988438554315982,3,3,1.000000000000,1.000000000000,1.000000000000,0.798802138742,0.428850030682,3,4
67,434399,434399,434399,240977,104487,1782988438554007480,1782988438554200902,1782988438554200902,1782988438554111967,1782988438554441879,1782988438554441879,0,3,1.000000000000,1.000000000000,1.000000000000,0.811416332194,0.419455431783,3,4
68,439815,439815,439815,239895,107834,1782988438554128870,1782988438554328790,1782988438554328790,1782988438554236704,1782988438554568685,1782988438554568685,3,3,1.000000000000,1.000000000000,1.000000000000,0.806002850404,0.414936409754,3,4
69,424782,424782,424782,234074,106580,1782988438554249891,1782988438554440599,1782988438554440599,1782988438554356471,1782988438554674673,1782988438554674673,1,0,1.000000000000,1.000000000000,1.000000000000,0.808026842578,0.427601325490,3,4
70,429948,429948,429948,240153,110156,1782988438554370812,1782988438554560607,1782988438554560607,1782988438554480968,1782988438554800760,1782988438554800760,3,2,1.000000000000,1.000000000000,1.000000000000,0.802268451154,0.423206093463,3,4
71,423595,423595,423595,234952,111863,1782988438554485102,1782988438554673745,1782988438554673745,1782988438554596965,1782988438554908697,1782988438554908697,0,2,1.000000000000,1.000000000000,1.000000000000,0.799534176724,0.428617656945,3,4
72,429461,429461,429461,240380,108549,1782988438554599453,1782988438554788534,1782988438554788534,1782988438554708002,1782988438555028914,1782988438555028914,3,1,1.000000000000,1.000000000000,1.000000000000,0.804851090033,0.423618497006,3,4
73,425997,425997,425997,235299,112235,1782988438554713704,1782988438554904402,1782988438554904402,1782988438554825939,1782988438555139701,1782988438555139701,3,0,1.000000000000,1.000000000000,1.000000000000,0.798939544527,0.426563515719,3,4
74,427554,427554,427554,237318,103262,1782988438554827954,1782988438555018190,1782988438555018190,1782988438554931216,1782988438555255508,1782988438555255508,3,0,1.000000000000,1.000000000000,1.000000000000,0.813406739461,0.425237262978,3,4
75,426549,426549,426549,237926,112247,1782988438554952366,1782988438555140989,1782988438555140989,1782988438555064613,1782988438555378915,1782988438555378915,1,3,1.000000000000,1.000000000000,1.000000000000,0.798920370208,0.426092849453,3,4
76,427515,427515,427515,236845,103213,1782988438555066767,1782988438555257437,1782988438555257437,1782988438555169980,1782988438555494282,1782988438555494282,2,0,1.000000000000,1.000000000000,1.000000000000,0.813486457228,0.425270432778,3,4
77,429482,429482,429482,238194,107860,1782988438555187797,1782988438555379085,1782988438555379085,1782988438555295657,1782988438555617279,1782988438555617279,1,2,1.000000000000,1.000000000000,1.000000000000,0.805960939346,0.423600705403,3,4
78,428268,428268,428268,238553,108486,1782988438555309948,1782988438555499663,1782988438555499663,1782988438555418434,1782988438555738216,1782988438555738216,2,3,1.000000000000,1.000000000000,1.000000000000,0.804952507660,0.424630457528,3,4
79,421815,421815,421815,231522,105972,1782988438555424009,1782988438555614302,1782988438555614302,1782988438555529981,1782988438555845824,1782988438555845824,0,0,1.000000000000,1.000000000000,1.000000000000,0.809010000858,0.430146255094,3,4
