count_idx,delay_ns,delay_physical_ns,final_e2e_via_r2_ns,stage2_link_delay_ns,stage1_delay_ns,ts_r1_ns,ts_r2_ns,ts_r2_on_r1_ns,stage1_recv_r1_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_r1,bits_final,w14,w56,w_final_raw,werner_intermediate,werner_final,state_after_stage1_peer_id,state_final_peer_id
51,443768,443768,443768,320445,121928,1782988910744627004,1782988910744750327,1782988910744750327,1782988910744748932,1782988910745070772,1782988910745070772,3,3,1.000000000000,1.000000000000,1.000000000000,0.783600464606,0.411668856158,3,4
52,440015,440015,440015,318836,120153,1782988910744747545,1782988910744868724,1782988910744868724,1782988910744867698,1782988910745187560,1782988910745187560,3,3,1.000000000000,1.000000000000,1.000000000000,0.786387189766,0.414770468381,3,4
53,439390,439390,439390,320034,120270,1782988910744867215,1782988910744986571,1782988910744986571,1782988910744987485,1782988910745306605,1782988910745306605,3,2,1.000000000000,1.000000000000,1.000000000000,0.786203196691,0.415289255641,3,4
54,439876,439876,439876,320284,118965,1782988910744987866,1782988910745107458,1782988910745107458,1782988910745106831,1782988910745427742,1782988910745427742,2,1,1.000000000000,1.000000000000,1.000000000000,0.788257867213,0.414885790600,3,4
55,440322,440322,440322,320793,120940,1782988910745105427,1782988910745224956,1782988910745224956,1782988910745226367,1782988910745545749,1782988910745545749,3,1,1.000000000000,1.000000000000,1.000000000000,0.785150389946,0.414515877481,3,4
56,431927,431927,431927,312822,120427,1782988910745226748,1782988910745345853,1782988910745345853,1782988910745347175,1782988910745658675,1782988910745658675,3,3,1.000000000000,1.000000000000,1.000000000000,0.785956367642,0.421534354299,3,4
57,432704,432704,432704,313212,120893,1782988910745344479,1782988910745463971,1782988910745463971,1782988910745465372,1782988910745777183,1782988910745777183,3,1,1.000000000000,1.000000000000,1.000000000000,0.785224197551,0.420879798634,3,4
58,448768,448768,448768,319541,128377,1782988910745463940,1782988910745593167,1782988910745593167,1782988910745592317,1782988910745912708,1782988910745912708,0,1,1.000000000000,1.000000000000,1.000000000000,0.773558485749,0.407572682599,3,4
59,444296,444296,444296,315202,128394,1782988910745587960,1782988910745717054,1782988910745717054,1782988910745716354,1782988910746032256,1782988910746032256,3,2,1.000000000000,1.000000000000,1.000000000000,0.773532185207,0.411234363298,3,4
60,435201,435201,435201,313921,123619,1782988910745715571,1782988910745836851,1782988910745836851,1782988910745839190,1782988910746150772,1782988910746150772,2,2,1.000000000000,1.000000000000,1.000000000000,0.780954804168,0.418783164572,3,4
61,436256,436256,436256,314700,123605,1782988910745835122,1782988910745956678,1782988910745956678,1782988910745958727,1782988910746271378,1782988910746271378,1,2,1.000000000000,1.000000000000,1.000000000000,0.780976671209,0.417900463672,3,4
62,446873,446873,446873,323090,120431,1782988910745959652,1782988910746083435,1782988910746083435,1782988910746080083,1782988910746406525,1782988910746406525,0,2,1.000000000000,1.000000000000,1.000000000000,0.785950080016,0.409120313975,3,4
63,434337,434337,434337,312539,120766,1782988910746080874,1782988910746202672,1782988910746202672,1782988910746201640,1782988910746515211,1782988910746515211,0,3,1.000000000000,1.000000000000,1.000000000000,0.785423669829,0.419507447481,3,4
64,434243,434243,434243,314979,119243,1782988910746201765,1782988910746321029,1782988910746321029,1782988910746321008,1782988910746636008,1782988910746636008,3,3,1.000000000000,1.000000000000,1.000000000000,0.787819717656,0.419586322295,3,4
65,443519,443519,443519,320918,123039,1782988910746325485,1782988910746448086,1782988910746448086,1782988910746448524,1782988910746769004,1782988910746769004,3,0,1.000000000000,1.000000000000,1.000000000000,0.781861237370,0.411873918305,3,4
66,435566,435566,435566,313759,119135,1782988910746445006,1782988910746566813,1782988910746566813,1782988910746564141,1782988910746880572,1782988910746880572,2,0,1.000000000000,1.000000000000,1.000000000000,0.787989905095,0.418477564420,3,4
67,440851,440851,440851,319418,120579,1782988910746562707,1782988910746684140,1782988910746684140,1782988910746683286,1782988910747003558,1782988910747003558,3,1,1.000000000000,1.000000000000,1.000000000000,0.785717473220,0.414077551598,3,4
68,435767,435767,435767,315316,127316,1782988910746681767,1782988910746802218,1782988910746802218,1782988910746809083,1782988910747117534,1782988910747117534,2,1,1.000000000000,1.000000000000,1.000000000000,0.775201719710,0.418309370248,3,4
69,442474,442474,442474,321957,120483,1782988910746802428,1782988910746922945,1782988910746922945,1782988910746922911,1782988910747244902,1782988910747244902,2,3,1.000000000000,1.000000000000,1.000000000000,0.785868345458,0.412735634974,3,4
70,432601,432601,432601,313227,121658,1782988910746921578,1782988910747040952,1782988910747040952,1782988910747043236,1782988910747354179,1782988910747354179,0,2,1.000000000000,1.000000000000,1.000000000000,0.784023723126,0.420966508803,3,4
71,436044,436044,436044,315155,120224,1782988910747039400,1782988910747160289,1782988910747160289,1782988910747159624,1782988910747475444,1782988910747475444,3,1,1.000000000000,1.000000000000,1.000000000000,0.786275530713,0.418077691038,3,4
72,433181,433181,433181,313076,122279,1782988910747162951,1782988910747283056,1782988910747283056,1782988910747285230,1782988910747596132,1782988910747596132,3,1,1.000000000000,1.000000000000,1.000000000000,0.783050570115,0.420478470770,3,4
73,439436,439436,439436,319754,120836,1782988910747286061,1782988910747405743,1782988910747405743,1782988910747406897,1782988910747725497,1782988910747725497,0,3,1.000000000000,1.000000000000,1.000000000000,0.785313718212,0.415251050787,3,4
74,475081,475081,475081,327314,122002,1782988910747405292,1782988910747553059,1782988910747553059,1782988910747527294,1782988910747880373,1782988910747880373,3,2,1.000000000000,1.000000000000,1.000000000000,0.783484500319,0.386678376483,3,4
75,438148,438148,438148,314934,120657,1782988910747522823,1782988910747646037,1782988910747646037,1782988910747643480,1782988910747960971,1782988910747960971,2,2,1.000000000000,1.000000000000,1.000000000000,0.785594910854,0.416322116434,3,4
76,446514,446514,446514,322233,124334,1782988910747642173,1782988910747766454,1782988910747766454,1782988910747766507,1782988910748088687,1782988910748088687,0,3,1.000000000000,1.000000000000,1.000000000000,0.779838836905,0.409414167841,3,4
77,435171,435171,435171,315044,122349,1782988910747758084,1782988910747878211,1782988910747878211,1782988910747880433,1782988910748193255,1782988910748193255,2,2,1.000000000000,1.000000000000,1.000000000000,0.782940950709,0.418808292316,3,4
78,445856,445856,445856,324854,120925,1782988910747877756,1782988910747998758,1782988910747998758,1782988910747998681,1782988910748323612,1782988910748323612,2,2,1.000000000000,1.000000000000,1.000000000000,0.785173944811,0.409953311565,3,4
79,439091,439091,439091,317592,128580,1782988910747997306,1782988910748118805,1782988910748118805,1782988910748125886,1782988910748436397,1782988910748436397,3,2,1.000000000000,1.000000000000,1.000000000000,0.773244484750,0.415537672885,3,4
80,433828,433828,433828,312822,119877,1782988910748117957,1782988910748238963,1782988910748238963,1782988910748237834,1782988910748551785,1782988910748551785,3,1,1.000000000000,1.000000000000,1.000000000000,0.786821395324,0.419934723509,3,4
81,442803,442803,442803,322611,121832,1782988910748242318,1782988910748362510,1782988910748362510,1782988910748364150,1782988910748685121,1782988910748685121,3,3,1.000000000000,1.000000000000,1.000000000000,0.783750930339,0.412464144256,3,4
82,432899,432899,432899,313190,120428,1782988910748360308,1782988910748480017,1782988910748480017,1782988910748480736,1782988910748793207,1782988910748793207,3,2,1.000000000000,1.000000000000,1.000000000000,0.785954795731,0.420715687516,3,4
83,446905,446905,446905,323700,119405,1782988910748480519,1782988910748603724,1782988910748603724,1782988910748599924,1782988910748927424,1782988910748927424,3,0,1.000000000000,1.000000000000,1.000000000000,0.787564505414,0.409094131113,3,4
84,433633,433633,433633,313351,127241,1782988910748598319,1782988910748718601,1782988910748718601,1782988910748725560,1782988910749031952,1782988910749031952,0,0,1.000000000000,1.000000000000,1.000000000000,0.775318008689,0.420098529992,3,4
85,433417,433417,433417,313179,120117,1782988910748719120,1782988910748839358,1782988910748839358,1782988910748839237,1782988910749152537,1782988910749152537,1,3,1.000000000000,1.000000000000,1.000000000000,0.786443811682,0.420280051762,3,4
86,431843,431843,431843,311810,126412,1782988910748838982,1782988910748959015,1782988910748959015,1782988910748965394,1782988910749270825,1782988910749270825,1,1,1.000000000000,1.000000000000,1.000000000000,0.776604552198,0.421605178020,3,4
87,445049,445049,445049,325179,120678,1782988910748958092,1782988910749077962,1782988910749077962,1782988910749078770,1782988910749403141,1782988910749403141,2,3,1.000000000000,1.000000000000,1.000000000000,0.785561916561,0.410615510460,3,4
88,433185,433185,433185,313419,119203,1782988910749078933,1782988910749198699,1782988910749198699,1782988910749198136,1782988910749512118,1782988910749512118,1,0,1.000000000000,1.000000000000,1.000000000000,0.787882745754,0.420475106956,3,4
89,434101,434101,434101,315178,119370,1782988910749196814,1782988910749315737,1782988910749315737,1782988910749316184,1782988910749630915,1782988910749630915,0,3,1.000000000000,1.000000000000,1.000000000000,0.787619636859,0.419705501733,3,4
90,434567,434567,434567,313578,125116,1782988910749321284,1782988910749442273,1782988910749442273,1782988910749446400,1782988910749755851,1782988910749755851,3,0,1.000000000000,1.000000000000,1.000000000000,0.778620122247,0.419314518432,3,4
91,441453,441453,441453,320228,119291,1782988910749444595,1782988910749565820,1782988910749565820,1782988910749563886,1782988910749886048,1782988910749886048,3,1,1.000000000000,1.000000000000,1.000000000000,0.787744090593,0.413579302232,3,4
92,434659,434659,434659,314188,120476,1782988910749562286,1782988910749682757,1782988910749682757,1782988910749682762,1782988910749996945,1782988910749996945,1,3,1.000000000000,1.000000000000,1.000000000000,0.785879347692,0.419237371659,3,4
93,439084,439084,439084,314857,120533,1782988910749681577,1782988910749805804,1782988910749805804,1782988910749802110,1782988910750120661,1782988910750120661,0,1,1.000000000000,1.000000000000,1.000000000000,0.785789762553,0.415543490453,3,4
94,435309,435309,435309,313905,129209,1782988910749801378,1782988910749922782,1782988910749922782,1782988910749930587,1782988910750236687,1782988910750236687,2,1,1.000000000000,1.000000000000,1.000000000000,0.772272354786,0.418692717178,3,4
95,432365,432365,432365,312595,120253,1782988910749925519,1782988910750045289,1782988910750045289,1782988910750045772,1782988910750357884,1782988910750357884,2,0,1.000000000000,1.000000000000,1.000000000000,0.786229928054,0.421165251895,3,4
96,433022,433022,433022,313295,118660,1782988910750045749,1782988910750165476,1782988910750165476,1782988910750164409,1782988910750478771,1782988910750478771,0,2,1.000000000000,1.000000000000,1.000000000000,0.788738851197,0.420612204186,3,4
97,434857,434857,434857,313924,120906,1782988910750163180,1782988910750284113,1782988910750284113,1782988910750284086,1782988910750598037,1782988910750598037,3,3,1.000000000000,1.000000000000,1.000000000000,0.785203781988,0.419071386527,3,4
98,444612,444612,444612,323674,120561,1782988910750289681,1782988910750410619,1782988910750410619,1782988910750410242,1782988910750734293,1782988910750734293,3,3,1.000000000000,1.000000000000,1.000000000000,0.785745759558,0.410974545292,3,4
99,446020,446020,446020,325224,119118,1782988910750409041,1782988910750529837,1782988910750529837,1782988910750528159,1782988910750855061,1782988910750855061,2,1,1.000000000000,1.000000000000,1.000000000000,0.788016697207,0.409818868928,3,4
100,435036,435036,435036,313124,118365,1782988910750526702,1782988910750648614,1782988910750648614,1782988910750645067,1782988910750961738,1782988910750961738,0,2,1.000000000000,1.000000000000,1.000000000000,0.789204344427,0.418921385822,3,4
101,432160,432160,432160,313622,126380,1782988910750648663,1782988910750767201,1782988910750767201,1782988910750775043,1782988910751080823,1782988910751080823,3,1,1.000000000000,1.000000000000,1.000000000000,0.776654256479,0.421337965052,3,4
102,435436,435436,435436,313942,120976,1782988910750766224,1782988910750887718,1782988910750887718,1782988910750887200,1782988910751201660,1782988910751201660,2,1,1.000000000000,1.000000000000,1.000000000000,0.785093861153,0.418586382732,3,4
103,434942,434942,434942,313242,120861,1782988910750886215,1782988910751007915,1782988910751007915,1782988910751007076,1782988910751321157,1782988910751321157,0,2,1.000000000000,1.000000000000,1.000000000000,0.785274453508,0.419000150446,3,4
104,434698,434698,434698,315121,119938,1782988910751009475,1782988910751129052,1782988910751129052,1782988910751129413,1782988910751444173,1782988910751444173,0,1,1.000000000000,1.000000000000,1.000000000000,0.786725408969,0.419204672419,3,4
105,432324,432324,432324,312820,118824,1782988910751128066,1782988910751247570,1782988910751247570,1782988910751246890,1782988910751560390,1782988910751560390,0,0,1.000000000000,1.000000000000,1.000000000000,0.788480187277,0.421199788862,3,4
106,435390,435390,435390,315090,122399,1782988910751245707,1782988910751366007,1782988910751366007,1782988910751368106,1782988910751681097,1782988910751681097,3,0,1.000000000000,1.000000000000,1.000000000000,0.782862660528,0.418624894451,3,4
107,431736,431736,431736,311569,122365,1782988910751374527,1782988910751494694,1782988910751494694,1782988910751496892,1782988910751806263,1782988910751806263,0,0,1.000000000000,1.000000000000,1.000000000000,0.782915896999,0.421695411182,3,4
108,438020,438020,438020,315068,120209,1782988910751494919,1782988910751617871,1782988910751617871,1782988910751615128,1782988910751932939,1782988910751932939,0,1,1.000000000000,1.000000000000,1.000000000000,0.786299119332,0.416428708539,3,4
109,437027,437027,437027,316419,120816,1782988910751614440,1782988910751735048,1782988910751735048,1782988910751735256,1782988910752051467,1782988910752051467,2,1,1.000000000000,1.000000000000,1.000000000000,0.785345131389,0.417256557736,3,4
110,434714,434714,434714,313399,121023,1782988910751736450,1782988910751857765,1782988910751857765,1782988910751857473,1782988910752171164,1782988910752171164,0,1,1.000000000000,1.000000000000,1.000000000000,0.785020065798,0.419191258084,3,4
111,443399,443399,443399,320758,122217,1782988910751855741,1782988910751978382,1782988910751978382,1782988910751977958,1782988910752299140,1782988910752299140,0,1,1.000000000000,1.000000000000,1.000000000000,0.783147674406,0.411972779908,3,4
112,434044,434044,434044,313897,118844,1782988910751975302,1782988910752095449,1782988910752095449,1782988910752094146,1782988910752409346,1782988910752409346,2,0,1.000000000000,1.000000000000,1.000000000000,0.788448648701,0.419753350888,3,4
113,435061,435061,435061,316027,119150,1782988910752092722,1782988910752211756,1782988910752211756,1782988910752211872,1782988910752527783,1782988910752527783,3,0,1.000000000000,1.000000000000,1.000000000000,0.787966265752,0.418900440276,3,4
114,432966,432966,432966,313166,126706,1782988910752215773,1782988910752335573,1782988910752335573,1782988910752342479,1782988910752648739,1782988910752648739,0,2,1.000000000000,1.000000000000,1.000000000000,0.776148042948,0.420659315391,3,4
115,435943,435943,435943,313196,120403,1782988910752335093,1782988910752457840,1782988910752457840,1782988910752455496,1782988910752771036,1782988910752771036,2,3,1.000000000000,1.000000000000,1.000000000000,0.785994094453,0.418162151262,3,4
116,449507,449507,449507,322505,119096,1782988910752454325,1782988910752581327,1782988910752581327,1782988910752573421,1782988910752903832,1782988910752903832,3,3,1.000000000000,1.000000000000,1.000000000000,0.788051370704,0.406970735123,3,4
117,435384,435384,435384,314776,119542,1782988910752575476,1782988910752696084,1782988910752696084,1782988910752695018,1782988910753010860,1782988910753010860,3,1,1.000000000000,1.000000000000,1.000000000000,0.787348742300,0.418629917980,3,4
118,436550,436550,436550,316465,120670,1782988910752693496,1782988910752813581,1782988910752813581,1782988910752814166,1782988910753130046,1782988910753130046,3,0,1.000000000000,1.000000000000,1.000000000000,0.785574485652,0.417654810429,3,4
119,433447,433447,433447,313956,128164,1782988910752812967,1782988910752932458,1782988910752932458,1782988910752941131,1782988910753246414,1782988910753246414,2,1,1.000000000000,1.000000000000,1.000000000000,0.773888091865,0.420254835716,3,4
120,433732,433732,433732,313015,120681,1782988910752936178,1782988910753056895,1782988910753056895,1782988910753056859,1782988910753369910,1782988910753369910,0,3,1.000000000000,1.000000000000,1.000000000000,0.785557203203,0.420015358717,3,4
121,447468,447468,447468,324704,119598,1782988910753056178,1782988910753178942,1782988910753178942,1782988910753175776,1782988910753503646,1782988910753503646,0,3,1.000000000000,1.000000000000,1.000000000000,0.787260564179,0.408633750364,3,4
122,432934,432934,432934,312884,122042,1782988910753173719,1782988910753293769,1782988910753293769,1782988910753295761,1782988910753606653,1782988910753606653,3,0,1.000000000000,1.000000000000,1.000000000000,0.783421824066,0.420686238449,3,4
123,432528,432528,432528,312573,120508,1782988910753291401,1782988910753411356,1782988910753411356,1782988910753411909,1782988910753723929,1782988910753723929,0,3,1.000000000000,1.000000000000,1.000000000000,0.785829053023,0.421027974401,3,4
124,450815,450815,450815,323843,125964,1782988910753417481,1782988910753544453,1782988910753544453,1782988910753543445,1782988910753868296,1782988910753868296,3,3,1.000000000000,1.000000000000,1.000000000000,0.777300701705,0.405907491009,3,4
125,437080,437080,437080,316142,120629,1782988910753537002,1782988910753657940,1782988910753657940,1782988910753657631,1782988910753974082,1782988910753974082,3,0,1.000000000000,1.000000000000,1.000000000000,0.785638905401,0.417212330885,3,4
126,435146,435146,435146,313602,120095,1782988910753656533,1782988910753778077,1782988910753778077,1782988910753776628,1782988910754091679,1782988910754091679,0,0,1.000000000000,1.000000000000,1.000000000000,0.786478415971,0.418829233254,3,4
127,433614,433614,433614,313992,130071,1782988910753775533,1782988910753895155,1782988910753895155,1782988910753905604,1782988910754209147,1782988910754209147,2,0,1.000000000000,1.000000000000,1.000000000000,0.770942104252,0.420114494039,3,4
128,432809,432809,432809,313151,120958,1782988910753895034,1782988910754014692,1782988910754014692,1782988910754015992,1782988910754327843,1782988910754327843,3,2,1.000000000000,1.000000000000,1.000000000000,0.785122125040,0.420791423156,3,4
129,435995,435995,435995,314811,120644,1782988910754013925,1782988910754135109,1782988910754135109,1782988910754134569,1782988910754449920,1782988910754449920,1,1,1.000000000000,1.000000000000,1.000000000000,0.785615336587,0.418118664660,3,4
130,436571,436571,436571,314909,119849,1782988910754137685,1782988910754259347,1782988910754259347,1782988910754257534,1782988910754574256,1782988910754574256,3,0,1.000000000000,1.000000000000,1.000000000000,0.786865458556,0.417637269295,3,4
131,434885,434885,434885,313228,118694,1782988910754258317,1782988910754379974,1782988910754379974,1782988910754377011,1782988910754693202,1782988910754693202,1,3,1.000000000000,1.000000000000,1.000000000000,0.788685218779,0.419047919186,3,4
132,435422,435422,435422,315108,119511,1782988910754375737,1782988910754496051,1782988910754496051,1782988910754495248,1782988910754811159,1782988910754811159,3,3,1.000000000000,1.000000000000,1.000000000000,0.787397559436,0.418598103315,3,4
133,433697,433697,433697,313127,119257,1782988910754499218,1782988910754619788,1782988910754619788,1782988910754618475,1782988910754932915,1782988910754932915,3,3,1.000000000000,1.000000000000,1.000000000000,0.787797659013,0.420044760821,3,4
134,439393,439393,439393,318087,120642,1782988910754621279,1782988910754742585,1782988910754742585,1782988910754741921,1782988910755060672,1782988910755060672,3,1,1.000000000000,1.000000000000,1.000000000000,0.785618479055,0.415286763913,3,4
135,430731,430731,430731,310588,119739,1782988910754740749,1782988910754860892,1782988910754860892,1782988910754860488,1782988910755171480,1782988910755171480,2,0,1.000000000000,1.000000000000,1.000000000000,0.787038588000,0.422543871376,3,4
136,433225,433225,433225,312836,120365,1782988910754862780,1782988910754983169,1782988910754983169,1782988910754983145,1782988910755296005,1782988910755296005,0,1,1.000000000000,1.000000000000,1.000000000000,0.786053832274,0.420441470293,3,4
137,432751,432751,432751,312526,120820,1782988910754982151,1782988910755102376,1782988910755102376,1782988910755102971,1782988910755414902,1782988910755414902,0,1,1.000000000000,1.000000000000,1.000000000000,0.785338848653,0.420840237792,3,4
138,435456,435456,435456,316025,122156,1782988910755101582,1782988910755221013,1782988910755221013,1782988910755223738,1782988910755537038,1782988910755537038,3,3,1.000000000000,1.000000000000,1.000000000000,0.783243224251,0.418569639612,3,4
139,433943,433943,433943,315586,119141,1782988910755222083,1782988910755340440,1782988910755340440,1782988910755341224,1782988910755656026,1782988910755656026,1,3,1.000000000000,1.000000000000,1.000000000000,0.787980449272,0.419838149629,3,4
140,432638,432638,432638,312375,119967,1782988910755339694,1782988910755459957,1782988910755459957,1782988910755459661,1782988910755772332,1782988910755772332,3,1,1.000000000000,1.000000000000,1.000000000000,0.786679780219,0.420935358434,3,4
141,441515,441515,441515,312965,122624,1782988910755457224,1782988910755585774,1782988910755585774,1782988910755579848,1782988910755898739,1782988910755898739,1,2,1.000000000000,1.000000000000,1.000000000000,0.782510451584,0.413528021578,3,4
142,448250,448250,448250,320674,119750,1782988910755580095,1782988910755707671,1782988910755707671,1782988910755699845,1782988910756028345,1782988910756028345,3,2,1.000000000000,1.000000000000,1.000000000000,0.787021273342,0.407995146697,3,4
143,433996,433996,433996,314074,119256,1782988910755698086,1782988910755818008,1782988910755818008,1782988910755817342,1782988910756132082,1782988910756132082,1,1,1.000000000000,1.000000000000,1.000000000000,0.787799234610,0.419793649144,3,4
144,433574,433574,433574,312715,120502,1782988910755815936,1782988910755936795,1782988910755936795,1782988910755936438,1782988910756249510,1782988910756249510,1,3,1.000000000000,1.000000000000,1.000000000000,0.785838483028,0.420148104543,3,4
145,436028,436028,436028,316243,126768,1782988910755935407,1782988910756055192,1782988910756055192,1782988910756062175,1782988910756371435,1782988910756371435,0,1,1.000000000000,1.000000000000,1.000000000000,0.776051806557,0.418091069738,3,4
146,431344,431344,431344,311763,119724,1782988910756056088,1782988910756175669,1782988910756175669,1782988910756175812,1782988910756487432,1782988910756487432,0,0,1.000000000000,1.000000000000,1.000000000000,0.787062199512,0.422026150017,3,4
147,435310,435310,435310,313603,118448,1782988910756175169,1782988910756296876,1782988910756296876,1782988910756293617,1782988910756610479,1782988910756610479,2,2,1.000000000000,1.000000000000,1.000000000000,0.789073347379,0.418691879793,3,4
148,434445,434445,434445,313402,120414,1782988910756292880,1782988910756413923,1782988910756413923,1782988910756413294,1782988910756727325,1782988910756727325,0,3,1.000000000000,1.000000000000,1.000000000000,0.785976802773,0.419416843658,3,4
149,439922,439922,439922,314232,120082,1782988910756410580,1782988910756536270,1782988910756536270,1782988910756530662,1782988910756850502,1782988910756850502,2,3,1.000000000000,1.000000000000,1.000000000000,0.786498864675,0.414847622863,3,4
150,436867,436867,436867,314471,120087,1782988910756536271,1782988910756658667,1782988910756658667,1782988910756656358,1782988910756973138,1782988910756973138,3,1,1.000000000000,1.000000000000,1.000000000000,0.786490999726,0.417390101200,3,4
151,433604,433604,433604,314062,119173,1782988910756658562,1782988910756778104,1782988910756778104,1782988910756777735,1782988910757092166,1782988910757092166,3,2,1.000000000000,1.000000000000,1.000000000000,0.787930020137,0.420122896413,3,4
152,436050,436050,436050,314541,120899,1782988910756781152,1782988910756902661,1782988910756902661,1782988910756902051,1782988910757217202,1782988910757217202,0,0,1.000000000000,1.000000000000,1.000000000000,0.785214774917,0.418072674136,3,4
153,432754,432754,432754,311400,120454,1782988910756904194,1782988910757025548,1782988910757025548,1782988910757024648,1782988910757336948,1782988910757336948,0,3,1.000000000000,1.000000000000,1.000000000000,0.785913927144,0.420837712759,3,4
154,433681,433681,433681,313091,123058,1782988910757024015,1782988910757144605,1782988910757144605,1782988910757147073,1782988910757457696,1782988910757457696,0,2,1.000000000000,1.000000000000,1.000000000000,0.781831527208,0.420058202468,3,4
155,433086,433086,433086,313128,122775,1782988910757143375,1782988910757263333,1782988910757263333,1782988910757266150,1782988910757576461,1782988910757576461,1,0,1.000000000000,1.000000000000,1.000000000000,0.782274169108,0.420558369270,3,4
156,431713,431713,431713,312849,119722,1782988910757262996,1782988910757381860,1782988910757381860,1782988910757382718,1782988910757694709,1782988910757694709,0,3,1.000000000000,1.000000000000,1.000000000000,0.787065347767,0.421714809617,3,4
