count_idx,delay_ns,delay_physical_ns,ts_r2_ns,ts_r2_on_r1_ns,stage2_recv_local_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_final,w14,w56,w_final_raw,state_final_peer_id
51,47676,47676,1782988438552321538,1782988438552321538,1782988438552369214,1782988438552369214,1782988438552369214,2,1.000000000000,1.000000000000,1.000000000000,1
52,50256,50256,1782988438552438056,1782988438552438056,1782988438552488312,1782988438552488312,1782988438552488312,1,1.000000000000,1.000000000000,1.000000000000,1
53,49756,49756,1782988438552552655,1782988438552552655,1782988438552602411,1782988438552602411,1782988438552602411,1,1.000000000000,1.000000000000,1.000000000000,1
54,49316,49316,1782988438552667483,1782988438552667483,1782988438552716799,1782988438552716799,1782988438552716799,3,1.000000000000,1.000000000000,1.000000000000,1
55,49048,49048,1782988438552781021,1782988438552781021,1782988438552830069,1782988438552830069,1782988438552830069,0,1.000000000000,1.000000000000,1.000000000000,1
56,48437,48437,1782988438552898050,1782988438552898050,1782988438552946487,1782988438552946487,1782988438552946487,2,1.000000000000,1.000000000000,1.000000000000,1
57,48448,48448,1782988438553011548,1782988438553011548,1782988438553059996,1782988438553059996,1782988438553059996,0,1.000000000000,1.000000000000,1.000000000000,1
58,49858,49858,1782988438553133506,1782988438553133506,1782988438553183364,1782988438553183364,1782988438553183364,3,1.000000000000,1.000000000000,1.000000000000,1
59,48118,48118,1782988438553253845,1782988438553253845,1782988438553301963,1782988438553301963,1782988438553301963,2,1.000000000000,1.000000000000,1.000000000000,1
60,47178,47178,1782988438553374633,1782988438553374633,1782988438553421811,1782988438553421811,1782988438553421811,2,1.000000000000,1.000000000000,1.000000000000,1
61,48209,48209,1782988438553487431,1782988438553487431,1782988438553535640,1782988438553535640,1782988438553535640,1,1.000000000000,1.000000000000,1.000000000000,1
62,46978,46978,1782988438553608700,1782988438553608700,1782988438553655678,1782988438553655678,1782988438553655678,0,1.000000000000,1.000000000000,1.000000000000,1
63,53029,53029,1782988438553725588,1782988438553725588,1782988438553778617,1782988438553778617,1782988438553778617,0,1.000000000000,1.000000000000,1.000000000000,1
