count_idx,delay_ns,delay_physical_ns,ts_r2_ns,ts_r2_on_r1_ns,stage2_recv_local_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_final,w14,w56,w_final_raw,state_final_peer_id
51,73608,73608,1782988910744750327,1782988910744750327,1782988910744823935,1782988910744823935,1782988910744823935,3,1.000000000000,1.000000000000,1.000000000000,1
52,72699,72699,1782988910744868724,1782988910744868724,1782988910744941423,1782988910744941423,1782988910744941423,3,1.000000000000,1.000000000000,1.000000000000,1
53,72799,72799,1782988910744986571,1782988910744986571,1782988910745059370,1782988910745059370,1782988910745059370,2,1.000000000000,1.000000000000,1.000000000000,1
54,73470,73470,1782988910745107458,1782988910745107458,1782988910745180928,1782988910745180928,1782988910745180928,1,1.000000000000,1.000000000000,1.000000000000,1
55,73609,73609,1782988910745224956,1782988910745224956,1782988910745298565,1782988910745298565,1782988910745298565,1,1.000000000000,1.000000000000,1.000000000000,1
56,73070,73070,1782988910745345853,1782988910745345853,1782988910745418923,1782988910745418923,1782988910745418923,3,1.000000000000,1.000000000000,1.000000000000,1
57,73440,73440,1782988910745463971,1782988910745463971,1782988910745537411,1782988910745537411,1782988910745537411,1,1.000000000000,1.000000000000,1.000000000000,1
58,83631,83631,1782988910745593167,1782988910745593167,1782988910745676798,1782988910745676798,1782988910745676798,1,1.000000000000,1.000000000000,1.000000000000,1
59,74141,74141,1782988910745717054,1782988910745717054,1782988910745791195,1782988910745791195,1782988910745791195,2,1.000000000000,1.000000000000,1.000000000000,1
60,76413,76413,1782988910745836851,1782988910745836851,1782988910745913264,1782988910745913264,1782988910745913264,2,1.000000000000,1.000000000000,1.000000000000,1
61,74254,74254,1782988910745956678,1782988910745956678,1782988910746030932,1782988910746030932,1782988910746030932,2,1.000000000000,1.000000000000,1.000000000000,1
62,74204,74204,1782988910746083435,1782988910746083435,1782988910746157639,1782988910746157639,1782988910746157639,2,1.000000000000,1.000000000000,1.000000000000,1
63,72665,72665,1782988910746202672,1782988910746202672,1782988910746275337,1782988910746275337,1782988910746275337,3,1.000000000000,1.000000000000,1.000000000000,1
64,74405,74405,1782988910746321029,1782988910746321029,1782988910746395434,1782988910746395434,1782988910746395434,3,1.000000000000,1.000000000000,1.000000000000,1
65,72676,72676,1782988910746448086,1782988910746448086,1782988910746520762,1782988910746520762,1782988910746520762,0,1.000000000000,1.000000000000,1.000000000000,1
66,74116,74116,1782988910746566813,1782988910746566813,1782988910746640929,1782988910746640929,1782988910746640929,0,1.000000000000,1.000000000000,1.000000000000,1
67,74357,74357,1782988910746684140,1782988910746684140,1782988910746758497,1782988910746758497,1782988910746758497,1,1.000000000000,1.000000000000,1.000000000000,1
68,73167,73167,1782988910746802218,1782988910746802218,1782988910746875385,1782988910746875385,1782988910746875385,1,1.000000000000,1.000000000000,1.000000000000,1
69,74167,74167,1782988910746922945,1782988910746922945,1782988910746997112,1782988910746997112,1782988910746997112,3,1.000000000000,1.000000000000,1.000000000000,1
70,73108,73108,1782988910747040952,1782988910747040952,1782988910747114060,1782988910747114060,1782988910747114060,2,1.000000000000,1.000000000000,1.000000000000,1
71,73569,73569,1782988910747160289,1782988910747160289,1782988910747233858,1782988910747233858,1782988910747233858,1,1.000000000000,1.000000000000,1.000000000000,1
72,72969,72969,1782988910747283056,1782988910747283056,1782988910747356025,1782988910747356025,1782988910747356025,1,1.000000000000,1.000000000000,1.000000000000,1
73,73190,73190,1782988910747405743,1782988910747405743,1782988910747478933,1782988910747478933,1782988910747478933,3,1.000000000000,1.000000000000,1.000000000000,1
74,77591,77591,1782988910747553059,1782988910747553059,1782988910747630650,1782988910747630650,1782988910747630650,2,1.000000000000,1.000000000000,1.000000000000,1
75,85211,85211,1782988910747646037,1782988910747646037,1782988910747731248,1782988910747731248,1782988910747731248,2,1.000000000000,1.000000000000,1.000000000000,1
76,79471,79471,1782988910747766454,1782988910747766454,1782988910747845925,1782988910747845925,1782988910747845925,3,1.000000000000,1.000000000000,1.000000000000,1
