count_idx,delay_ns,delay_physical_ns,final_e2e_via_r2_ns,stage2_link_delay_ns,stage1_delay_ns,ts_r1_ns,ts_r2_ns,ts_r2_on_r1_ns,stage1_recv_r1_ns,stage2_recv_r1_ns,stage2_recv_r2_ns,bits_r1,bits_final,w14,w56,w_final_raw,werner_intermediate,werner_final,state_after_stage1_peer_id,state_final_peer_id
51,196931,196931,196931,73608,,1782988910744627004,1782988910744750327,1782988910744750327,,1782988910744823935,1782988910744823935,,3,1.000000000000,1.000000000000,1.000000000000,,0.674447123522,,1
52,193878,193878,193878,72699,,1782988910744747545,1782988910744868724,1782988910744868724,,1782988910744941423,1782988910744941423,,3,1.000000000000,1.000000000000,1.000000000000,,0.678577896072,,1
53,192155,192155,192155,72799,,1782988910744867215,1782988910744986571,1782988910744986571,,1782988910745059370,1782988910745059370,,2,1.000000000000,1.000000000000,1.000000000000,,0.680920309162,,1
54,193062,193062,193062,73470,,1782988910744987866,1782988910745107458,1782988910745107458,,1782988910745180928,1782988910745180928,,1,1.000000000000,1.000000000000,1.000000000000,,0.679686239361,,1
55,193138,193138,193138,73609,,1782988910745105427,1782988910745224956,1782988910745224956,,1782988910745298565,1782988910745298565,,1,1.000000000000,1.000000000000,1.000000000000,,0.679582934904,,1
56,192175,192175,192175,73070,,1782988910745226748,1782988910745345853,1782988910745345853,,1782988910745418923,1782988910745418923,,3,1.000000000000,1.000000000000,1.000000000000,,0.680893072894,,1
57,192932,192932,192932,73440,,1782988910745344479,1782988910745463971,1782988910745463971,,1782988910745537411,1782988910745537411,,1,1.000000000000,1.000000000000,1.000000000000,,0.679862980759,,1
58,212858,212858,212858,83631,,1782988910745463940,1782988910745593167,1782988910745593167,,1782988910745676798,1782988910745676798,,1,1.000000000000,1.000000000000,1.000000000000,,0.653301853503,,1
59,203235,203235,203235,74141,,1782988910745587960,1782988910745717054,1782988910745717054,,1782988910745791195,1782988910745791195,,2,1.000000000000,1.000000000000,1.000000000000,,0.665997075229,,1
60,197693,197693,197693,76413,,1782988910745715571,1782988910745836851,1782988910745836851,,1782988910745913264,1782988910745913264,,2,1.000000000000,1.000000000000,1.000000000000,,0.673420048935,,1
61,195810,195810,195810,74254,,1782988910745835122,1782988910745956678,1782988910745956678,,1782988910746030932,1782988910746030932,,2,1.000000000000,1.000000000000,1.000000000000,,0.675960930316,,1
62,197987,197987,197987,74204,,1782988910745959652,1782988910746083435,1782988910746083435,,1782988910746157639,1782988910746157639,,2,1.000000000000,1.000000000000,1.000000000000,,0.673024194339,,1
63,194463,194463,194463,72665,,1782988910746080874,1782988910746202672,1782988910746202672,,1782988910746275337,1782988910746275337,,3,1.000000000000,1.000000000000,1.000000000000,,0.677784424206,,1
64,193669,193669,193669,74405,,1782988910746201765,1782988910746321029,1782988910746321029,,1782988910746395434,1782988910746395434,,3,1.000000000000,1.000000000000,1.000000000000,,0.678861600923,,1
65,195277,195277,195277,72676,,1782988910746325485,1782988910746448086,1782988910746448086,,1782988910746520762,1782988910746520762,,0,1.000000000000,1.000000000000,1.000000000000,,0.676681888870,,1
66,195923,195923,195923,74116,,1782988910746445006,1782988910746566813,1782988910746566813,,1782988910746640929,1782988910746640929,,0,1.000000000000,1.000000000000,1.000000000000,,0.675808180407,,1
67,195790,195790,195790,74357,,1782988910746562707,1782988910746684140,1782988910746684140,,1782988910746758497,1782988910746758497,,1,1.000000000000,1.000000000000,1.000000000000,,0.675987969294,,1
68,193618,193618,193618,73167,,1782988910746681767,1782988910746802218,1782988910746802218,,1782988910746875385,1782988910746875385,,1,1.000000000000,1.000000000000,1.000000000000,,0.678930848338,,1
69,194684,194684,194684,74167,,1782988910746802428,1782988910746922945,1782988910746922945,,1782988910746997112,1782988910746997112,,3,1.000000000000,1.000000000000,1.000000000000,,0.677484909688,,1
70,192482,192482,192482,73108,,1782988910746921578,1782988910747040952,1782988910747040952,,1782988910747114060,1782988910747114060,,2,1.000000000000,1.000000000000,1.000000000000,,0.680475132868,,1
71,194458,194458,194458,73569,,1782988910747039400,1782988910747160289,1782988910747160289,,1782988910747233858,1782988910747233858,,1,1.000000000000,1.000000000000,1.000000000000,,0.677791202084,,1
72,193074,193074,193074,72969,,1782988910747162951,1782988910747283056,1782988910747283056,,1782988910747356025,1782988910747356025,,1,1.000000000000,1.000000000000,1.000000000000,,0.679669927087,,1
73,192872,192872,192872,73190,,1782988910747286061,1782988910747405743,1782988910747405743,,1782988910747478933,1782988910747478933,,3,1.000000000000,1.000000000000,1.000000000000,,0.679944569212,,1
74,225358,225358,225358,77591,,1782988910747405292,1782988910747553059,1782988910747553059,,1782988910747630650,1782988910747630650,,2,1.000000000000,1.000000000000,1.000000000000,,0.637171773268,,1
75,208425,208425,208425,85211,,1782988910747522823,1782988910747646037,1782988910747646037,,1782988910747731248,1782988910747731248,,2,1.000000000000,1.000000000000,1.000000000000,,0.659119780496,,1
76,203752,203752,203752,79471,,1782988910747642173,1782988910747766454,1782988910747766454,,1782988910747845925,1782988910747845925,,3,1.000000000000,1.000000000000,1.000000000000,,0.665308790158,,1
77,195489,195489,195489,75362,,1782988910747758084,1782988910747878211,1782988910747878211,,1782988910747953573,1782988910747953573,,2,1.000000000000,1.000000000000,1.000000000000,,0.676395036566,,1
78,200255,200255,200255,79253,,1782988910747877756,1782988910747998758,1782988910747998758,,1782988910748078011,1782988910748078011,,2,1.000000000000,1.000000000000,1.000000000000,,0.669978269972,,1
79,195652,195652,195652,74153,,1782988910747997306,1782988910748118805,1782988910748118805,,1782988910748192958,1782988910748192958,,2,1.000000000000,1.000000000000,1.000000000000,,0.676174567723,,1
80,194039,194039,194039,73033,,1782988910748117957,1782988910748238963,1782988910748238963,,1782988910748311996,1782988910748311996,,1,1.000000000000,1.000000000000,1.000000000000,,0.678359429165,,1
81,197315,197315,197315,77123,,1782988910748242318,1782988910748362510,1782988910748362510,,1782988910748439633,1782988910748439633,,3,1.000000000000,1.000000000000,1.000000000000,,0.673929346982,,1
82,193093,193093,193093,73384,,1782988910748360308,1782988910748480017,1782988910748480017,,1782988910748553401,1782988910748553401,,2,1.000000000000,1.000000000000,1.000000000000,,0.679644100120,,1
83,202790,202790,202790,79585,,1782988910748480519,1782988910748603724,1782988910748603724,,1782988910748683309,1782988910748683309,,0,1.000000000000,1.000000000000,1.000000000000,,0.666590076472,,1
