count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
1,262251,1782988438546230008,1782988438546230008,1782988438546765846,1782988438546765846,1782988438546492259,1782988438546492259,3,2,1,1.000000000000,1.000000000000,1.000000000000
2,203029,1782988438546368479,1782988438546368479,1782988438546800225,1782988438546800225,1782988438546571508,1782988438546571508,0,1,1,1.000000000000,1.000000000000,1.000000000000
3,224296,1782988438546485540,1782988438546485540,1782988438546835465,1782988438546835465,1782988438546709836,1782988438546709836,3,0,3,1.000000000000,1.000000000000,1.000000000000
4,225885,1782988438546601290,1782988438546601290,1782988438546856334,1782988438546856334,1782988438546827175,1782988438546827175,3,3,0,1.000000000000,1.000000000000,1.000000000000
5,182723,1782988438546716761,1782988438546716761,1782988438546909313,1782988438546909313,1782988438546899484,1782988438546899484,3,1,2,1.000000000000,1.000000000000,1.000000000000
6,183520,1782988438546831542,1782988438546831542,1782988438547036372,1782988438547036372,1782988438547015062,1782988438547015062,1,1,0,1.000000000000,1.000000000000,1.000000000000
7,193897,1782988438546946983,1782988438546946983,1782988438547159930,1782988438547159930,1782988438547140880,1782988438547140880,2,0,2,1.000000000000,1.000000000000,1.000000000000
8,195664,1782988438547062224,1782988438547062224,1782988438547275158,1782988438547275158,1782988438547257888,1782988438547257888,0,3,3,1.000000000000,1.000000000000,1.000000000000
9,185293,1782988438547180494,1782988438547180494,1782988438547387137,1782988438547387137,1782988438547365787,1782988438547365787,3,0,3,1.000000000000,1.000000000000,1.000000000000
10,181900,1782988438547298675,1782988438547298675,1782988438547496555,1782988438547496555,1782988438547480575,1782988438547480575,2,0,2,1.000000000000,1.000000000000,1.000000000000
11,179078,1782988438547413036,1782988438547413036,1782988438547607113,1782988438547607113,1782988438547592114,1782988438547592114,1,0,1,1.000000000000,1.000000000000,1.000000000000
12,182246,1782988438547527916,1782988438547527916,1782988438547724412,1782988438547724412,1782988438547710162,1782988438547710162,0,3,3,1.000000000000,1.000000000000,1.000000000000
13,179724,1782988438547642927,1782988438547642927,1782988438547838471,1782988438547838471,1782988438547822651,1782988438547822651,1,3,2,1.000000000000,1.000000000000,1.000000000000
14,179922,1782988438547758248,1782988438547758248,1782988438547953029,1782988438547953029,1782988438547938170,1782988438547938170,2,0,2,1.000000000000,1.000000000000,1.000000000000
15,178399,1782988438547873199,1782988438547873199,1782988438548066498,1782988438548066498,1782988438548051598,1782988438548051598,2,2,0,1.000000000000,1.000000000000,1.000000000000
16,176636,1782988438547988760,1782988438547988760,1782988438548179226,1782988438548179226,1782988438548165396,1782988438548165396,0,0,0,1.000000000000,1.000000000000,1.000000000000
17,177735,1782988438548103560,1782988438548103560,1782988438548295105,1782988438548295105,1782988438548281295,1782988438548281295,2,3,1,1.000000000000,1.000000000000,1.000000000000
18,180532,1782988438548221671,1782988438548221671,1782988438548416153,1782988438548416153,1782988438548402203,1782988438548402203,2,3,1,1.000000000000,1.000000000000,1.000000000000
19,180199,1782988438548339922,1782988438548339922,1782988438548533871,1782988438548533871,1782988438548520121,1782988438548520121,3,0,3,1.000000000000,1.000000000000,1.000000000000
20,177868,1782988438548455082,1782988438548455082,1782988438548646709,1782988438548646709,1782988438548632950,1782988438548632950,1,1,0,1.000000000000,1.000000000000,1.000000000000
21,178195,1782988438548570653,1782988438548570653,1782988438548762348,1782988438548762348,1782988438548748848,1782988438548748848,1,2,3,1.000000000000,1.000000000000,1.000000000000
22,178921,1782988438548685765,1782988438548685765,1782988438548880476,1782988438548880476,1782988438548864686,1782988438548864686,0,2,2,1.000000000000,1.000000000000,1.000000000000
23,179090,1782988438548800825,1782988438548800825,1782988438548993995,1782988438548993995,1782988438548979915,1782988438548979915,1,0,1,1.000000000000,1.000000000000,1.000000000000
24,177867,1782988438548915896,1782988438548915896,1782988438549108103,1782988438549108103,1782988438549093763,1782988438549093763,1,3,2,1.000000000000,1.000000000000,1.000000000000
25,179515,1782988438549030906,1782988438549030906,1782988438549224241,1782988438549224241,1782988438549210421,1782988438549210421,3,0,3,1.000000000000,1.000000000000,1.000000000000
26,176633,1782988438549149327,1782988438549149327,1782988438549339610,1782988438549339610,1782988438549325960,1782988438549325960,0,1,1,1.000000000000,1.000000000000,1.000000000000
27,181700,1782988438549267268,1782988438549267268,1782988438549462978,1782988438549462978,1782988438549448968,1782988438549448968,3,2,1,1.000000000000,1.000000000000,1.000000000000
28,175558,1782988438549385258,1782988438549385258,1782988438549574776,1782988438549574776,1782988438549560816,1782988438549560816,3,2,1,1.000000000000,1.000000000000,1.000000000000
29,177546,1782988438549500019,1782988438549500019,1782988438549691215,1782988438549691215,1782988438549677565,1782988438549677565,3,3,0,1.000000000000,1.000000000000,1.000000000000
30,180162,1782988438549615531,1782988438549615531,1782988438549815243,1782988438549815243,1782988438549795693,1782988438549795693,3,2,1,1.000000000000,1.000000000000,1.000000000000
31,179150,1782988438549731101,1782988438549731101,1782988438549924421,1782988438549924421,1782988438549910251,1782988438549910251,0,1,1,1.000000000000,1.000000000000,1.000000000000
32,178928,1782988438549846702,1782988438549846702,1782988438550039510,1782988438550039510,1782988438550025630,1782988438550025630,0,1,1,1.000000000000,1.000000000000,1.000000000000
33,177415,1782988438549961623,1782988438549961623,1782988438550152888,1782988438550152888,1782988438550139038,1782988438550139038,2,1,3,1.000000000000,1.000000000000,1.000000000000
34,176464,1782988438550076573,1782988438550076573,1782988438550267286,1782988438550267286,1782988438550253037,1782988438550253037,2,1,3,1.000000000000,1.000000000000,1.000000000000
35,177661,1782988438550191714,1782988438550191714,1782988438550383375,1782988438550383375,1782988438550369375,1782988438550369375,3,1,2,1.000000000000,1.000000000000,1.000000000000
36,178699,1782988438550306254,1782988438550306254,1782988438550498913,1782988438550498913,1782988438550484953,1782988438550484953,2,1,3,1.000000000000,1.000000000000,1.000000000000
37,178486,1782988438550420996,1782988438550420996,1782988438550613101,1782988438550613101,1782988438550599482,1782988438550599482,2,0,2,1.000000000000,1.000000000000,1.000000000000
38,177953,1782988438550535947,1782988438550535947,1782988438550727410,1782988438550727410,1782988438550713900,1782988438550713900,0,0,0,1.000000000000,1.000000000000,1.000000000000
39,180662,1782988438550650827,1782988438550650827,1782988438550846559,1782988438550846559,1782988438550831489,1782988438550831489,3,1,2,1.000000000000,1.000000000000,1.000000000000
40,181620,1782988438550766428,1782988438550766428,1782988438550961947,1782988438550961947,1782988438550948048,1782988438550948048,3,2,1,1.000000000000,1.000000000000,1.000000000000
41,180057,1782988438550881709,1782988438550881709,1782988438551075696,1782988438551075696,1782988438551061766,1782988438551061766,2,0,2,1.000000000000,1.000000000000,1.000000000000
42,177625,1782988438551005529,1782988438551005529,1782988438551197884,1782988438551197884,1782988438551183154,1782988438551183154,0,2,2,1.000000000000,1.000000000000,1.000000000000
43,176503,1782988438551124150,1782988438551124150,1782988438551314602,1782988438551314602,1782988438551300653,1782988438551300653,1,0,1,1.000000000000,1.000000000000,1.000000000000
44,176420,1782988438551242421,1782988438551242421,1782988438551432801,1782988438551432801,1782988438551418841,1782988438551418841,2,0,2,1.000000000000,1.000000000000,1.000000000000
45,247946,1782988438551357392,1782988438551357392,1782988438551619038,1782988438551619038,1782988438551605338,1782988438551605338,3,1,2,1.000000000000,1.000000000000,1.000000000000
46,174794,1782988438551537643,1782988438551537643,1782988438551726076,1782988438551726076,1782988438551712437,1782988438551712437,3,2,1,1.000000000000,1.000000000000,1.000000000000
47,177151,1782988438551651964,1782988438551651964,1782988438551844825,1782988438551844825,1782988438551829115,1782988438551829115,2,2,0,1.000000000000,1.000000000000,1.000000000000
48,177269,1782988438551766514,1782988438551766514,1782988438551966723,1782988438551966723,1782988438551943783,1782988438551943783,0,2,2,1.000000000000,1.000000000000,1.000000000000
49,177087,1782988438551884935,1782988438551884935,1782988438552076541,1782988438552076541,1782988438552062022,1782988438552062022,1,3,2,1.000000000000,1.000000000000,1.000000000000
50,176244,1782988438552006636,1782988438552006636,1782988438552196550,1782988438552196550,1782988438552182880,1782988438552182880,1,3,2,1.000000000000,1.000000000000,1.000000000000
51,179802,1782988438552127556,1782988438552127556,1782988438552321538,1782988438552321538,1782988438552307358,1782988438552307358,1,3,2,1.000000000000,1.000000000000,1.000000000000
52,175588,1782988438552248648,1782988438552248648,1782988438552438056,1782988438552438056,1782988438552424236,1782988438552424236,3,2,1,1.000000000000,1.000000000000,1.000000000000
53,175436,1782988438552363279,1782988438552363279,1782988438552552655,1782988438552552655,1782988438552538715,1782988438552538715,0,1,1,1.000000000000,1.000000000000,1.000000000000
54,175924,1782988438552477579,1782988438552477579,1782988438552667483,1782988438552667483,1782988438552653503,1782988438552653503,2,1,3,1.000000000000,1.000000000000,1.000000000000
55,175332,1782988438552592090,1782988438552592090,1782988438552781021,1782988438552781021,1782988438552767422,1782988438552767422,1,1,0,1.000000000000,1.000000000000,1.000000000000
56,176579,1782988438552706491,1782988438552706491,1782988438552898050,1782988438552898050,1782988438552883070,1782988438552883070,3,1,2,1.000000000000,1.000000000000,1.000000000000
57,176687,1782988438552821071,1782988438552821071,1782988438553011548,1782988438553011548,1782988438552997758,1782988438552997758,2,2,0,1.000000000000,1.000000000000,1.000000000000
58,177035,1782988438552942432,1782988438552942432,1782988438553133506,1782988438553133506,1782988438553119467,1782988438553119467,3,0,3,1.000000000000,1.000000000000,1.000000000000
59,176342,1782988438553063703,1782988438553063703,1782988438553253845,1782988438553253845,1782988438553240045,1782988438553240045,2,0,2,1.000000000000,1.000000000000,1.000000000000
60,176079,1782988438553184804,1782988438553184804,1782988438553374633,1782988438553374633,1782988438553360883,1782988438553360883,2,0,2,1.000000000000,1.000000000000,1.000000000000
61,174896,1782988438553299085,1782988438553299085,1782988438553487431,1782988438553487431,1782988438553473981,1782988438553473981,3,2,1,1.000000000000,1.000000000000,1.000000000000
62,175594,1782988438553419616,1782988438553419616,1782988438553608700,1782988438553608700,1782988438553595210,1782988438553595210,2,2,0,1.000000000000,1.000000000000,1.000000000000
63,177562,1782988438553534246,1782988438553534246,1782988438553725588,1782988438553725588,1782988438553711808,1782988438553711808,0,0,0,1.000000000000,1.000000000000,1.000000000000
64,176600,1782988438553649167,1782988438553649167,1782988438553840547,1782988438553840547,1782988438553825767,1782988438553825767,0,0,0,1.000000000000,1.000000000000,1.000000000000
65,176399,1782988438553763537,1782988438553763537,1782988438553953536,1782988438553953536,1782988438553939936,1782988438553939936,2,2,0,1.000000000000,1.000000000000,1.000000000000
66,174906,1782988438553892658,1782988438553892658,1782988438554081424,1782988438554081424,1782988438554067564,1782988438554067564,3,0,3,1.000000000000,1.000000000000,1.000000000000
67,179772,1782988438554007480,1782988438554007480,1782988438554200902,1782988438554200902,1782988438554187252,1782988438554187252,0,3,3,1.000000000000,1.000000000000,1.000000000000
68,186120,1782988438554128870,1782988438554128870,1782988438554328790,1782988438554328790,1782988438554314990,1782988438554314990,3,0,3,1.000000000000,1.000000000000,1.000000000000
