count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
1,201036,1782988910738620425,1782988910738620425,1782988910738871080,1782988910738871080,1782988910738821461,1782988910738821461,1,3,2,1.000000000000,1.000000000000,1.000000000000
2,131384,1782988910738764646,1782988910738764646,1782988910738909829,1782988910738909829,1782988910738896030,1782988910738896030,1,0,1,1.000000000000,1.000000000000,1.000000000000
3,146249,1782988910738879937,1782988910738879937,1782988910739043486,1782988910739043486,1782988910739026186,1782988910739026186,3,1,2,1.000000000000,1.000000000000,1.000000000000
4,141106,1782988910738999868,1782988910738999868,1782988910739156623,1782988910739156623,1782988910739140974,1782988910739140974,1,3,2,1.000000000000,1.000000000000,1.000000000000
5,138563,1782988910739121739,1782988910739121739,1782988910739275651,1782988910739275651,1782988910739260302,1782988910739260302,2,1,3,1.000000000000,1.000000000000,1.000000000000
6,139650,1782988910739241199,1782988910739241199,1782988910739396048,1782988910739396048,1782988910739380849,1782988910739380849,0,3,3,1.000000000000,1.000000000000,1.000000000000
7,138096,1782988910739360890,1782988910739360890,1782988910739514235,1782988910739514235,1782988910739498986,1782988910739498986,1,2,3,1.000000000000,1.000000000000,1.000000000000
8,139162,1782988910739482211,1782988910739482211,1782988910739637802,1782988910739637802,1782988910739621373,1782988910739621373,1,1,0,1.000000000000,1.000000000000,1.000000000000
9,123509,1782988910739597831,1782988910739597831,1782988910739739830,1782988910739739830,1782988910739721340,1782988910739721340,3,1,2,1.000000000000,1.000000000000,1.000000000000
10,106976,1782988910739716872,1782988910739716872,1782988910739838707,1782988910739838707,1782988910739823848,1782988910739823848,0,1,1,1.000000000000,1.000000000000,1.000000000000
11,105962,1782988910739836463,1782988910739836463,1782988910739956834,1782988910739956834,1782988910739942425,1782988910739942425,1,0,1,1.000000000000,1.000000000000,1.000000000000
12,106468,1782988910739957164,1782988910739957164,1782988910740078071,1782988910740078071,1782988910740063632,1782988910740063632,3,2,1,1.000000000000,1.000000000000,1.000000000000
13,106804,1782988910740076445,1782988910740076445,1782988910740197379,1782988910740197379,1782988910740183249,1782988910740183249,3,3,0,1.000000000000,1.000000000000,1.000000000000
14,106351,1782988910740197445,1782988910740197445,1782988910740318006,1782988910740318006,1782988910740303796,1782988910740303796,1,1,0,1.000000000000,1.000000000000,1.000000000000
15,107327,1782988910740316826,1782988910740316826,1782988910740438173,1782988910740438173,1782988910740424153,1782988910740424153,0,0,0,1.000000000000,1.000000000000,1.000000000000
16,109353,1782988910740436297,1782988910740436297,1782988910740561340,1782988910740561340,1782988910740545650,1782988910740545650,1,2,3,1.000000000000,1.000000000000,1.000000000000
17,107080,1782988910740553767,1782988910740553767,1782988910740675287,1782988910740675287,1782988910740660847,1782988910740660847,3,3,0,1.000000000000,1.000000000000,1.000000000000
18,105365,1782988910740672879,1782988910740672879,1782988910740792304,1782988910740792304,1782988910740778244,1782988910740778244,2,2,0,1.000000000000,1.000000000000,1.000000000000
19,108541,1782988910740790680,1782988910740790680,1782988910740913771,1782988910740913771,1782988910740899221,1782988910740899221,0,3,3,1.000000000000,1.000000000000,1.000000000000
20,108028,1782988910740909110,1782988910740909110,1782988910741031858,1782988910741031858,1782988910741017138,1782988910741017138,3,0,3,1.000000000000,1.000000000000,1.000000000000
21,107184,1782988910741025251,1782988910741025251,1782988910741146465,1782988910741146465,1782988910741132435,1782988910741132435,3,1,2,1.000000000000,1.000000000000,1.000000000000
22,104882,1782988910741145181,1782988910741145181,1782988910741264132,1782988910741264132,1782988910741250063,1782988910741250063,1,2,3,1.000000000000,1.000000000000,1.000000000000
23,106228,1782988910741262812,1782988910741262812,1782988910741382889,1782988910741382889,1782988910741369040,1782988910741369040,1,0,1,1.000000000000,1.000000000000,1.000000000000
24,105234,1782988910741386963,1782988910741386963,1782988910741506196,1782988910741506196,1782988910741492197,1782988910741492197,1,0,1,1.000000000000,1.000000000000,1.000000000000
25,109451,1782988910741506063,1782988910741506063,1782988910741630103,1782988910741630103,1782988910741615514,1782988910741615514,3,2,1,1.000000000000,1.000000000000,1.000000000000
26,107226,1782988910741626205,1782988910741626205,1782988910741747850,1782988910741747850,1782988910741733431,1782988910741733431,3,3,0,1.000000000000,1.000000000000,1.000000000000
27,111081,1782988910741749636,1782988910741749636,1782988910741875027,1782988910741875027,1782988910741860717,1782988910741860717,2,2,0,1.000000000000,1.000000000000,1.000000000000
28,107579,1782988910741870456,1782988910741870456,1782988910741991634,1782988910741991634,1782988910741978035,1782988910741978035,1,3,2,1.000000000000,1.000000000000,1.000000000000
29,107305,1782988910741992277,1782988910741992277,1782988910742113301,1782988910742113301,1782988910742099582,1782988910742099582,1,0,1,1.000000000000,1.000000000000,1.000000000000
30,107062,1782988910742112188,1782988910742112188,1782988910742233059,1782988910742233059,1782988910742219250,1782988910742219250,0,2,2,1.000000000000,1.000000000000,1.000000000000
