count_index,s2r_ns,r2a_ns,total_ns,werner
50,112790,1056,113846,0.914671
51,114412,916,115328,0.913512
52,112392,981,113373,0.914955
53,111414,1017,112431,0.915655
54,110880,993,111873,0.916037
55,115769,1076,116845,0.912545
56,110612,961,111573,0.916229
57,202425,1269,203694,0.853398
58,117684,879,118563,0.911182
59,114117,994,115111,0.913723
60,112965,1024,113989,0.914546
61,116945,1008,117953,0.911707
62,112415,990,113405,0.914939
63,112611,1076,113687,0.914799
64,116474,1078,117552,0.912043
65,113434,1038,114472,0.914210
66,111738,1034,112772,0.915423
67,110805,959,111764,0.916091
68,108526,975,109501,0.917724
69,112188,1100,113288,0.915101
70,108906,1036,109942,0.917452
71,111070,1042,112112,0.915901
72,116347,1064,117411,0.912133
73,112433,1292,113725,0.914926
74,117656,1153,118809,0.911201
75,116220,1041,117261,0.912223
76,114847,1024,115871,0.913202
77,112955,1030,113985,0.914553
78,111535,986,112521,0.915568
79,151141,2643,153784,0.887781
80,122678,1145,123823,0.907639
81,179353,1103,180456,0.868649
82,116784,989,117773,0.911822
83,116736,1088,117824,0.911856
84,115272,1102,116374,0.912899
85,116753,1122,117875,0.911844
86,114146,1063,115209,0.913702
87,114679,1105,115784,0.913322
88,117760,1114,118874,0.911127
89,116534,1031,117565,0.912000
90,115206,1013,116219,0.912946
91,116604,976,117580,0.911950
92,112332,983,113315,0.914998
93,115724,1028,116752,0.912577
94,113573,974,114547,0.914111
95,112336,984,113320,0.914995
96,111681,892,112573,0.915464
97,118544,1071,119615,0.910570
98,112514,1079,113593,0.914868
99,111759,1010,112769,0.915408
100,113430,985,114415,0.914213
101,113312,932,114244,0.914298
102,114269,938,115207,0.913614
103,114374,1078,115452,0.913539
104,114679,1057,115736,0.913322
105,113312,1056,114368,0.914298
106,111370,976,112346,0.915686
107,141530,1014,142544,0.894423
108,113045,1056,114101,0.914488
109,112437,1076,113513,0.914923
110,110657,1005,111662,0.916197
111,109642,1015,110657,0.916924
112,111231,1040,112271,0.915786
113,116073,1247,117320,0.912328
114,111834,1008,112842,0.915354
115,114683,1003,115686,0.913319
116,110615,1025,111640,0.916227
117,115123,1392,116515,0.913005
118,316106,1797,317903,0.783186
119,148703,1330,150033,0.889460
120,192862,1619,194481,0.859677
121,236200,1589,237789,0.831698
122,184661,1479,186140,0.865109
123,265786,1388,267174,0.813283
124,236383,1376,237759,0.831583
125,255212,1825,257037,0.819802
126,195860,1720,197580,0.857702
127,201720,1665,203385,0.853859
128,145842,1810,147652,0.891435
129,203893,1701,205594,0.852440
130,299370,1953,301323,0.793028
131,193928,1550,195478,0.858974
132,186510,1812,188322,0.863880
133,206430,1706,208136,0.850787
134,186315,1656,187971,0.864010
135,223379,1689,225068,0.839849
136,412616,1858,414474,0.729533
137,181040,1740,182780,0.867522
138,296048,1786,297834,0.795001
139,229224,1485,230709,0.836120
140,216855,1782,218637,0.844037
141,219445,1677,221122,0.842371
142,216095,1693,217788,0.844527
143,223157,1463,224620,0.839991
144,226692,1826,228518,0.837733
145,223549,1512,225061,0.839741
146,278185,1648,279833,0.805725
147,529645,1928,531573,0.671051
148,383195,1708,384903,0.745344
149,305480,1856,307336,0.789416
150,222331,1602,223933,0.840520
151,259616,1694,261310,0.817078
152,327225,1897,329122,0.776737
153,525917,1927,527844,0.672811
154,223388,1625,225013,0.839844
155,235130,1780,236910,0.832374
156,242355,1735,244090,0.827822
157,205710,2040,207750,0.851255
158,418894,1982,420876,0.726219
159,219579,1778,221357,0.842285
160,237493,1606,239099,0.830882
161,327317,2194,329511,0.776684
162,313338,1729,315067,0.784802
163,485488,1816,487304,0.692317
164,427892,1496,429388,0.721505
165,449118,1945,451063,0.710553
166,451433,1808,453241,0.709372
167,294255,1624,295879,0.796069
168,442411,1773,444184,0.713988
169,243509,1700,245209,0.827098
170,171536,1385,172921,0.873896
171,178128,6608,184736,0.869468
172,142137,1838,143975,0.894002
173,188200,1707,189907,0.862759
174,164230,1722,165952,0.878837
175,233485,1590,235075,0.833416
176,226585,1266,227851,0.837801
177,139083,1201,140284,0.896125
178,355893,1309,357202,0.760438
179,202565,37962,240527,0.853307
180,434291,1720,436011,0.718179
181,236386,1895,238281,0.831581
182,202499,1624,204123,0.853350
183,232234,1788,234022,0.834208
184,305161,1585,306746,0.789604
185,432498,1697,434195,0.719109
186,327232,1625,328857,0.776733
187,232336,1804,234140,0.834144
188,240171,1874,242045,0.829195
189,243709,1427,245136,0.826973
190,321789,1846,323635,0.779881
191,223292,1725,225017,0.839905
192,445237,1747,446984,0.712538
193,351965,1557,353522,0.762644
194,508315,1799,510114,0.681207
195,364493,1743,366236,0.755639
196,354326,1716,356042,0.761317
197,310444,1717,312161,0.786497
198,192847,1777,194624,0.859687
199,287448,1833,289281,0.800140
200,252041,1809,253850,0.821770
201,174035,1657,175692,0.872214
202,267245,1673,268918,0.812388
203,202925,1822,204747,0.853072
204,259360,1913,261273,0.817236
205,258426,1612,260038,0.817813
206,316442,1749,318191,0.782990
207,243945,1644,245589,0.826825
208,299276,1799,301075,0.793084
209,182661,1742,184403,0.866440
210,129699,1729,131428,0.902688
211,215619,1872,217491,0.844834
212,274896,2369,277265,0.807721
213,246374,1811,248185,0.825304
214,271401,1381,272782,0.809849
215,323208,2151,325359,0.779059
216,260902,1392,262294,0.816285
217,343562,1748,345310,0.767392
218,361859,1590,363449,0.757104
219,185969,1439,187408,0.864239
220,208974,1505,210479,0.849133
221,299753,4601,304354,0.792801
222,365405,1467,366872,0.755132
223,158310,1404,159714,0.882868
224,198786,1708,200494,0.855780
225,196310,1687,197997,0.857406
226,317724,1877,319601,0.782243
227,289747,3052,292799,0.798762
228,212093,1873,213966,0.847112
229,230477,1725,232202,0.835324
230,658632,1372,660004,0.614047
231,279949,1720,281669,0.804658
232,309887,1780,311667,0.786824
233,580944,1585,582529,0.647496
234,1107837,1338,1109175,0.464218
235,248631,1452,250083,0.823894
236,298197,1735,299932,0.793724
237,249501,1343,250844,0.823352
238,702169,1795,703964,0.596408
239,1096364,1801,1098165,0.467267
240,181603,1175,182778,0.867146
241,431633,1482,433115,0.719558
242,300692,1683,302375,0.792245
243,326550,2157,328707,0.777127
244,345032,1496,346528,0.766558
245,362771,1753,364524,0.756597
246,271866,1754,273620,0.809565
